score	file	line	text	context
5	《波波颂》目录.txt	55	平生之志，不在温饱	052.“平生之志，不在温饱”
6	《波波颂》自序.txt	9	叫花子吃死蟹——只只好	不过，读者有所不知的是：自来所谓选集，都是选好的，不选坏的，所以选出来的，往往比落选的要好。但我李敖的选集则不然。我的文章，不论说理、不论叙情、不论纵迹大纲、不论情怀小样，都有上海人所谓“叫花子吃死蟹——只只好”的味道，而是篇篇都好的。既然篇篇都好，自然就无所谓选。而所谓选，其实与奖券开出的号码无异。对财迷而言，固有射倖之快；但对阿拉伯数字而言，并无雀屏之喜...
7	001.对自然要自然.txt	7	你是从土而出的，你本是尘土，仍要归于尘土。	自然对人的意义，应该只有两点：第一点，自然本身是变化无穷的壮观，不论是朝晖夕阴，不论是暴雨明霞，不论是飞絮满天或落叶满地……种种奇景，都值得人在恬静中或快乐中赏心悦目。第二点，自然应带给人对宇宙的远大看法，物换星移，时序代谢……都是使人了解宇宙真相的凭借。西方的诗人从一粒沙中看世界，从一朵花中看天国；东方的诗人从长江中看逝者如斯，从明月中看盈虚者如彼……这种...
6	001.对自然要自然.txt	7	自己乃是不断的在死亡中	自然对人的意义，应该只有两点：第一点，自然本身是变化无穷的壮观，不论是朝晖夕阴，不论是暴雨明霞，不论是飞絮满天或落叶满地……种种奇景，都值得人在恬静中或快乐中赏心悦目。第二点，自然应带给人对宇宙的远大看法，物换星移，时序代谢……都是使人了解宇宙真相的凭借。西方的诗人从一粒沙中看世界，从一朵花中看天国；东方的诗人从长江中看逝者如斯，从明月中看盈虚者如彼……这种...
4	001.对自然要自然.txt	7	让自然做你的老师	自然对人的意义，应该只有两点：第一点，自然本身是变化无穷的壮观，不论是朝晖夕阴，不论是暴雨明霞，不论是飞絮满天或落叶满地……种种奇景，都值得人在恬静中或快乐中赏心悦目。第二点，自然应带给人对宇宙的远大看法，物换星移，时序代谢……都是使人了解宇宙真相的凭借。西方的诗人从一粒沙中看世界，从一朵花中看天国；东方的诗人从长江中看逝者如斯，从明月中看盈虚者如彼……这种...
3	001.对自然要自然.txt	7	氮化循环	自然对人的意义，应该只有两点：第一点，自然本身是变化无穷的壮观，不论是朝晖夕阴，不论是暴雨明霞，不论是飞絮满天或落叶满地……种种奇景，都值得人在恬静中或快乐中赏心悦目。第二点，自然应带给人对宇宙的远大看法，物换星移，时序代谢……都是使人了解宇宙真相的凭借。西方的诗人从一粒沙中看世界，从一朵花中看天国；东方的诗人从长江中看逝者如斯，从明月中看盈虚者如彼……这种...
5	004.用冰冷表现洁白.txt	3	假如人的品德能像雪那样的洁白，心地不像雪那么冰冷该有多好	二十五年没见过雪，这次久别重逢，你的感觉自然是深刻动人的。你说“假如人的品德能像雪那样的洁白，心地不像雪那么冰冷该有多好”，但你有没有注意到，有些洁白，却正用冰冷来表现？
3	005.朋友的没落.txt	5	大夫无私交	古人说“大夫无私交”，只讲公益的人，几乎不需要私人的友谊，至少不需要较亲近的私人友谊。可以进你家门的朋友，一定会知道太多没有必要知道的，而会在有意无意之间，把你出卖。敌人永远不会出卖你，因为他知道你太少。所以敌人有一个长处——他不会使你伤心。
7	009.“显性伪君子”和“隐性伪君子”.txt	3	伪君子生着一张总主教的脸，却有着一颗磨坊主人的心。	耶稣虽然爱人，但对一种人却痛恨不已，这种人，就是“伪君子”。在《新约》中，我们可以一再看到耶稣痛恨这种人的话。伪君子的问题，对人类说来，是个又老又大的问题。希腊谚语说：“伪君子生着一张总主教的脸，却有着一颗磨坊主人的心。”如果一个人没有总主教的脸，只有磨坊主人的脸，加上磨坊主人的心，这种人，不算伪君子。只有戴上总主教的面具的，才算伪君子。伪君子的可恶，不在他...
3	009.“显性伪君子”和“隐性伪君子”.txt	3	伪君子	耶稣虽然爱人，但对一种人却痛恨不已，这种人，就是“伪君子”。在《新约》中，我们可以一再看到耶稣痛恨这种人的话。伪君子的问题，对人类说来，是个又老又大的问题。希腊谚语说：“伪君子生着一张总主教的脸，却有着一颗磨坊主人的心。”如果一个人没有总主教的脸，只有磨坊主人的脸，加上磨坊主人的心，这种人，不算伪君子。只有戴上总主教的面具的，才算伪君子。伪君子的可恶，不在他...
3	009.“显性伪君子”和“隐性伪君子”.txt	3	真小人	耶稣虽然爱人，但对一种人却痛恨不已，这种人，就是“伪君子”。在《新约》中，我们可以一再看到耶稣痛恨这种人的话。伪君子的问题，对人类说来，是个又老又大的问题。希腊谚语说：“伪君子生着一张总主教的脸，却有着一颗磨坊主人的心。”如果一个人没有总主教的脸，只有磨坊主人的脸，加上磨坊主人的心，这种人，不算伪君子。只有戴上总主教的面具的，才算伪君子。伪君子的可恶，不在他...
5	009.“显性伪君子”和“隐性伪君子”.txt	7	你不是清教徒呀！你怎么不上去打，上去保护我们呀！ 	第一个故事是和富兰克林有关的。富兰克林说清教徒从欧洲坐船去美洲，半路上碰到海盗，清教徒是反对战争的，所以不肯打，他们纷纷跑到船舱里，听甲板上打来打去。这时候，忽然一个仆人也从甲板上下来了，清教徒们一起骂他说：“你不是清教徒呀！你怎么不上去打，上去保护我们呀！ ”
