score	file	line	text	context
4	《蒋介石研究》自序.txt	3	为国民争人格	二十二年前，我出版《胡适研究》；二十二年后，我出版《蒋介石研究》。研究的对象虽然每下愈况，自己的成绩却扶摇直上。换句话说：被研究者的人格，跟我的文格适成反比。——我敢在刀光剑影和黑狱幢幢的压力下研究蒋介石，这种文格，是何等勇气！我敢在资料封锁和众口一声的困难下研究蒋介石，这种文格，是何等突破！古人说“文格渐卑庸福近”，我生平志不在庸福，所以总是变得“文格渐尊...
3	《蒋介石研究》自序.txt	3	文格渐卑庸福近	二十二年前，我出版《胡适研究》；二十二年后，我出版《蒋介石研究》。研究的对象虽然每下愈况，自己的成绩却扶摇直上。换句话说：被研究者的人格，跟我的文格适成反比。——我敢在刀光剑影和黑狱幢幢的压力下研究蒋介石，这种文格，是何等勇气！我敢在资料封锁和众口一声的困难下研究蒋介石，这种文格，是何等突破！古人说“文格渐卑庸福近”，我生平志不在庸福，所以总是变得“文格渐尊...
3	《蒋介石研究》自序.txt	3	文格渐尊奇祸近	二十二年前，我出版《胡适研究》；二十二年后，我出版《蒋介石研究》。研究的对象虽然每下愈况，自己的成绩却扶摇直上。换句话说：被研究者的人格，跟我的文格适成反比。——我敢在刀光剑影和黑狱幢幢的压力下研究蒋介石，这种文格，是何等勇气！我敢在资料封锁和众口一声的困难下研究蒋介石，这种文格，是何等突破！古人说“文格渐卑庸福近”，我生平志不在庸福，所以总是变得“文格渐尊...
5	《蒋介石研究》自序.txt	5	诛奸谀于既死，发潜德之幽光	我李敖就是不服这口气，我就是要站出来，一一拆穿蒋家的神话。虽然在情绪上，我对蒋介石深恶痛绝，——我是伍子胥；但在行文上，我却有历史家的谨严，全凭证据来“诛奸谀于既死，发潜德之幽光”，——我是沙尔非米尼（Gaetano Salvemini）。沙尔非米尼是意大利历史家，他因反对大独裁者墨索里尼（Benito Mussolini）的法西斯政权入狱，但他日后下笔写墨...
5	001.蒋介石的辫子问题.txt	13	以感痛国族陵夷，立志革命，乃自剪辫发，托友寄家，以示决心	照《总统蒋公哀思录》中《总统蒋公年表初稿》，蒋介石是民国前六年（1906）3月，“以感痛国族陵夷，立志革命，乃自剪辫发，托友寄家，以示决心”的，剪辫子后第二个月（4月），就“东渡日本”了。他在“东渡日本”后第二年（1907）， 再回国进保定军校。照董显光所说，“校中一切学生除蒋总统外皆有辫发”，这一说法，历来蒋介石传记都是众口一辞，直到这个月出书的《蒋介石传...
3	001.蒋介石的辫子问题.txt	13	校中一切学生除蒋总统外皆有辫发	照《总统蒋公哀思录》中《总统蒋公年表初稿》，蒋介石是民国前六年（1906）3月，“以感痛国族陵夷，立志革命，乃自剪辫发，托友寄家，以示决心”的，剪辫子后第二个月（4月），就“东渡日本”了。他在“东渡日本”后第二年（1907）， 再回国进保定军校。照董显光所说，“校中一切学生除蒋总统外皆有辫发”，这一说法，历来蒋介石传记都是众口一辞，直到这个月出书的《蒋介石传...
4	001.蒋介石的辫子问题.txt	19	唯公无辫	除了图证以外，还有文证。根据蒋介石当年的同学张群的回忆，所谓“唯公无辫”之说，也可推翻。据陈香梅《张岳公闲话往事》记录，张群说：
3	001.蒋介石的辫子问题.txt	23	留日考试合格的学生，好像有六十人左右。能够畅通日本话的人，由保定启程直接前往日本；我们（包括蒋总统在内）虽然能够阅读日文，但因为说得不好，暂且先到东北的陆军部集合，然后由大连乘船前往神户，换乘火车到达东京。……	据《蒋总统秘录》中访问张群记录，当时“留日考试合格的学生，好像有六十人左右。能够畅通日本话的人，由保定启程直接前往日本；我们（包括蒋总统在内）虽然能够阅读日文，但因为说得不好，暂且先到东北的陆军部集合，然后由大连乘船前往神户，换乘火车到达东京。……”，可见蒋介石他们当年一起“都是留发（带辫子）出国的”。出国时既然有辫子，则在保定军校时，蒋介石必然有辫属实。所...
5	002.蒋介石是日本士官学校毕业的吗？.txt	3	党内刊物，对外秘密	国民党在北伐成功后，出版了一部《中国国民党年鉴（民国十八年）》，书名页是邵元冲题的，背后有“党内刊物，对外秘密”八个大字，自然属于内部机密的印刷品。全书有正文一千二百二十二页，可谓洋洋大观。正文以外，又有党中央巨头图片多幅，其中第一幅，不是别人，就是蒋中正。蒋中正这时已是“国民政府主席兼陆海空军总司令”、“复兼任行政院长教育部部长”，权倾一时，自不消说；他在...
3	002.蒋介石是日本士官学校毕业的吗？.txt	3	国民政府主席兼陆海空军总司令	国民党在北伐成功后，出版了一部《中国国民党年鉴（民国十八年）》，书名页是邵元冲题的，背后有“党内刊物，对外秘密”八个大字，自然属于内部机密的印刷品。全书有正文一千二百二十二页，可谓洋洋大观。正文以外，又有党中央巨头图片多幅，其中第一幅，不是别人，就是蒋中正。蒋中正这时已是“国民政府主席兼陆海空军总司令”、“复兼任行政院长教育部部长”，权倾一时，自不消说；他在...
5	002.蒋介石是日本士官学校毕业的吗？.txt	19	初入日本振武学堂，继入陆军士官学校	这明明是说：蒋介石“初入日本振武学堂，继入陆军士官学校”的。这种说法，1945年潘公展主编的《蒋主席》（胜利出版社出版，邓文仪编著、吴敬恒题署）中，就说得更神龙活现：
4	002.蒋介石是日本士官学校毕业的吗？.txt	31	求学心切，谢绝一切游乐。	这明明是说：蒋介石不但“考入士官学校”，并且“在士官学校的时候”，“求学心切，谢绝一切游乐。”——连在校生活都写得神龙活现，足见蒋介石进了士官学校，不是含糊的了！
