id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LALZCS-001,老贼臭史,你盖棺，我论定,002.你盖棺，我论定.txt,11,11,安事诗书,历史典故成句,刘邦相关典故,李敖引刘邦式成句，写轻视读书学术的姿态。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-002,老贼臭史,你盖棺，我论定,002.你盖棺，我论定.txt,29,29,群贤毕至，少长咸集,古文成句,王羲之《兰亭集序》,李敖化用《兰亭集序》名句，写众人聚集的场面。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-003,老贼臭史,你盖棺，我论定,002.你盖棺，我论定.txt,113,113,事出于沉思，义归于翰藻,古文论文章句,萧统《文选序》,李敖引用《文选序》标准，说明传统词章之学重视沉思与文采。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-004,老贼臭史,张琍敏的爸爸杀了谁？,003.张琍敏的爸爸杀了谁？.txt,81,81,一座没有爆发的火山，火烧得我痛，却始终没有能力（就是技巧）炸开那禁锢我的地壳，放射出光和热来……,现代文学自述,闻一多对臧克家语,李敖转引闻一多自述，以火山比喻内在情感与表达技巧的冲突。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-005,老贼臭史,张琍敏的爸爸杀了谁？,003.张琍敏的爸爸杀了谁？.txt,109,109,信史随心翻铁案，狂夫呓语作金科,旧体诗句,萧公权名句,李敖引用萧公权诗句，形容史实被任意翻案、狂言被奉为准则。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-006,老贼臭史,为何将军腰,004.为何将军腰.txt,3,3,柳丝长、春雨细,词句成句,温庭筠《更漏子》相关词句,李敖引用词句意象，形容柔弱弯曲的姿态。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-007,老贼臭史,为何将军腰,004.为何将军腰.txt,3,3,为严将军头,古典诗文成句,文天祥《正气歌》,李敖引用《正气歌》成句，借严将军典故作对照。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-008,老贼臭史,为何将军腰,004.为何将军腰.txt,99,99,行行重行行,古诗成句,《古诗十九首》,李敖化用《古诗十九首》开篇成句，写一路继续前行。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-009,老贼臭史,为何将军腰,004.为何将军腰.txt,169,169,以德报怨,儒家成语,《论语》相关成句,李敖摘出常见成语，写以恩德回应怨恨的姿态。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-010,老贼臭史,为何将军腰,004.为何将军腰.txt,185,185,先秤秤你的分量,俗话,中文俗话,李敖转述俗话，写先试探对方虚实与分量。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-011,老贼臭史,为何将军腰,004.为何将军腰.txt,187,187,由你这厮奸似鬼，喝了老娘洗脚水,文学俗语,《水浒传》孙二娘语,李敖引用《水浒传》俗语，写再奸滑也会落入圈套。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-012,老贼臭史,为何将军腰,004.为何将军腰.txt,245,245,刀下留人,成语,中文成语,李敖借常见成语，写临刑或用刀时暂留性命的说法。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-013,老贼臭史,为何将军腰,004.为何将军腰.txt,245,245,人下留刀,成语戏仿,李敖由“刀下留人”反转化用,李敖戏仿成语，写人被迁就到连刀也被保留的反讽。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-014,老贼臭史,为何将军腰,004.为何将军腰.txt,277,277,授受不亲,礼教成语,《孟子》相关成句,李敖借礼教成语，写双方交付时不直接接触的姿态。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
LALZCS-015,老贼臭史,宋英别丟老公的脸了！,005.宋英别丟老公的脸了！.txt,13,13,天怒人怨,成语,中文成语,李敖摘出成语，写惹得天人共怒的处境。,校对后从严保留：《老贼臭史》以老立委、党国人物、军政受降、司法与人权攻防、反共/革命叙述、选举报刊冲突等现代政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻、民主自由人权、司法戒严、暴力暗杀与宣传攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、方言土话、文学典故、外文轶事与非政治生活格言。
