id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LASFH-001	keep-proofread	李敖式仿古成句	天不生‘李敖’，万古如长夜。	化用“天不生仲尼，万古如长夜”一类尊圣成句	001.为司法黑暗发榜.txt	7	7	本书在相关章节使用或引录“天不生‘李敖’，万古如长夜。”，保留其可独立检索的李敖式仿古成句性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-002	keep-proofread	中文成语	快意恩仇	传统成语	001.为司法黑暗发榜.txt	9	9	本书在相关章节使用或引录“快意恩仇”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-003	keep-proofread	中文成语	锲而不舍	传统成语	001.为司法黑暗发榜.txt	11	11	本书在相关章节使用或引录“锲而不舍”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-004	keep-proofread	中文俗语	上得山多终遇虎	中文俗谚	001.为司法黑暗发榜.txt	11	11	本书在相关章节使用或引录“上得山多终遇虎”，保留其可独立检索的中文俗语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-005	keep-proofread	中文成语	官官相护	传统成语	001.为司法黑暗发榜.txt	13	13	本书在相关章节使用或引录“官官相护”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-006	keep-proofread	中文成语	无所遁形	传统成语	001.为司法黑暗发榜.txt	31	31	本书在相关章节使用或引录“无所遁形”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-007	keep-proofread	中文成语	明镜高悬	传统成语	001.为司法黑暗发榜.txt	35	35	本书在相关章节使用或引录“明镜高悬”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-008	keep-proofread	中文成语	草菅人命	传统成语	001.为司法黑暗发榜.txt	39	39	本书在相关章节使用或引录“草菅人命”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-009	keep-proofread	中文成语	水落石出	传统成语	001.为司法黑暗发榜.txt	41	41	本书在相关章节使用或引录“水落石出”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
LASFH-010	keep-proofread	中文成语	不得要领	传统成语	001.为司法黑暗发榜.txt	47	47	本书在相关章节使用或引录“不得要领”，保留其可独立检索的中文成语性质。	校对轮保守收录：《你不知道的司法黑暗》为司法个案、法院攻防和党政人物语境密集文本；现代政治口号、司法诉求、法条判例解释、人物攻防、机关结论和意识形态判断不收；仅保留句子本身可独立检索的成语、俗语、古典成句、诗文句、文学典故和少量短法律格言。
