action	id	quote_text	reason
before			校对前条目数：113
removed	LACMSN-005	刲：割也	训诂释义，偏工具性，不作诗文格言保留。
removed	LACMSN-006	刲，刳也	训诂释义，偏工具性，不作诗文格言保留。
removed	LACMSN-063	剪纸为兵	三四字术语，已由后文完整纸人故事覆盖。
removed	LACMSN-064	剪纸为偷	三四字术语，缺少独立诗文格言价值。
removed	LACMSN-065	剪纸为祟	三四字术语，缺少独立诗文格言价值。
removed	LACMSN-073	针三枚、艾一撮，并以素纸包固	物件清单，像案情道具，不是独立引文。
removed	LACMSN-075	乃斩〔江〕充以徇，炙胡巫上林中	刑罚叙事片段，缺少独立格言或文句完整性。
removed	LACMSN-077	我不负公，此何意也？	上下文依赖强的案情问句，单独检索价值低。
removed	LACMSN-080	掘地求偶人	案情碎片，过短且已由完整偶人案文覆盖。
removed	LACMSN-081	得桐木人	案情碎片，过短且已由完整偶人案文覆盖。
removed	LACMSN-084	催办钱粮、勾摄公事	会典官样短语，偏制度用语，不作诗文格言保留。
changed	LACMSN-112	“道”“在屎溺”	补齐《庄子》引文在源文中的前后引号边界。
after			校对后条目数：102
