id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAWXKC-001,为文学开窗,没有窗，哪有“窗外”？,001.没有窗，哪有“窗外”？.txt,35,35,你吃一个坏了的蛋的时候，难道全吃下去，才知道它是坏蛋吗？,文学批评格言,李敖答话,李敖用坏蛋比喻说明判断劣质文坛作品不必逐一读尽。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-002,为文学开窗,没有窗，哪有“窗外”？,001.没有窗，哪有“窗外”？.txt,95,95,余弱冠时，读书杭州，闻有某贾人女，明艳工诗，以酷嗜《红楼梦》，致成瘵疾。当绵惙时，父母以是书贻祸，取投之火。女在床，乃大哭曰：“奈何烧煞我宝玉！”遂死。杭州人传以为笑。,清人笔记,陈子庄《庸闲斋笔记》,李敖引用清人笔记中痴迷《红楼梦》的故事，用作文艺影响的反面掌故。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-003,为文学开窗,没有窗，哪有“窗外”？,001.没有窗，哪有“窗外”？.txt,426,426,灵对肉的援助并不比肉对灵来得多。,外国诗句,勃朗宁诗句,李敖引用勃朗宁诗句，说明灵与肉互相成就、不可偏废。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-004,为文学开窗,没有窗，哪有“窗外”？,001.没有窗，哪有“窗外”？.txt,448,448,儒者论曰：天地故生人，此言妄也！夫天地合气，人偶自生也。犹夫妇合气，子则自生也。夫妇合气，非当时欲得生子，情欲动而合，合而生子矣！且夫妇不故生子，以知天地不故生人也。,古典哲学文句,王充《论衡·物势》,李敖引用王充文字，说明天地与生育并非有意造作，而是自然合气而生。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-005,为文学开窗,没有窗，哪有“窗外”？,001.没有窗，哪有“窗外”？.txt,544,550,"每张我碰到的脸上都有一个痕迹，软弱的痕迹，苦恼的痕迹。A mark in every face I meet, Marks of weakness, marks of woe.",外国诗句,布雷克诗句,李敖引用布雷克诗句，说明软弱与苦恼的文学气息。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-006,为文学开窗,“花落谁家”与“头落谁家”,003.“花落谁家”与“头落谁家”.txt,153,153,满招损、谦受益,古典格言,《尚书·大禹谟》成句,来信者借古训劝人谦虚受益、骄满招损。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-007,为文学开窗,“花落谁家”与“头落谁家”,003.“花落谁家”与“头落谁家”.txt,153,153,虚怀若谷,成语,中国成语,来信者用成语劝人胸怀宽广、能纳意见。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-008,为文学开窗,“花落谁家”与“头落谁家”,003.“花落谁家”与“头落谁家”.txt,179,179,人之不死，不仅因为他有忍受的能力，而是因为他有灵魂和精神，能同情、牺牲和忍受。诗人和作家的责任就在描写这些，以提高人们的情绪、勇气、希望、荣誉、自尊、同情、怜悯、牺牲和光荣，帮助他们忍受困难。,外国文学格言,福克纳诺贝尔文学奖演说,来信者引用福克纳演说，说明诗人与作家的责任在提高人的精神力量。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-009,为文学开窗,“花落谁家”与“头落谁家”,003.“花落谁家”与“头落谁家”.txt,181,181,放下屠刀立地成佛,佛家成语,佛教成语,来信者借佛家成语劝人停止有害创作、改过向善。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
LAWXKC-010,为文学开窗,“花落谁家”与“头落谁家”,003.“花落谁家”与“头落谁家”.txt,181,181,宁缺毋滥,成语格言,中国成语,来信者用成语劝作家少写粗劣作品，宁可缺少也不要滥造。,首轮保守收入：本书以文学批评、翻译、古书整理和文坛论争为主；普通小说对白、标题碎片、现代文坛互骂、党国/政论/革命/选举/政府机关语录不收，只保留能独立检索的诗文、古书典故、翻译文本、文学格言和非政治性写作格言。 校对轮：通过复核，保留；最终编号可能较首轮审计编号顺延。
