file	line	context
《千秋万岁乌鸦求是合集》目录.txt	19	017.一首预言诗
《千秋万岁乌鸦求是合集》目录.txt	32	030.历史名词又来了！
《千秋万岁乌鸦求是合集》目录.txt	33	031.从陶百川绑票大学生说起
《千秋万岁乌鸦求是合集》目录.txt	51	049.吕坤名言发微
《千秋万岁乌鸦求是合集》目录.txt	54	052.亚里士多德书的一个错误
《千秋万岁乌鸦求是合集》目录.txt	74	072.小记罗素四书
《千秋万岁乌鸦求是合集》目录.txt	116	114.张三李四一起倒霉诗
《千秋万岁乌鸦求是合集》目录.txt	184	182.老子意见，就是这个
001.第一条多了什么？.txt	5	案“民有民治民享”为林肯（A. Lincoln）所说of the people, by the people, for the people的译语。我赞成刘庆瑞教授的意见，民主共和已含有“民有民治民享”之涵义，国体既为共和，而政体又是民主了，再加上这个形容词，似是同语反复（tautology），善哉，谢瀛洲教授之言：“以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事”。也许民生主义还可以勉强包括于“民享”之中，民族主义似与“民有”二字未必一致。
002.“个人行为”并发症.txt	29	这又是“个人行为”并发症。（事实上，“党部”早就秘密“协调”了，这在同一天的《联合报》也有迹可寻。所谓“纯属立委个人的司法案件”云云，都是谎话）
002.“个人行为”并发症.txt	49	总之，“个人行为”的说词，我们看来看去，实在无法不说它是一种新障眼法。有了这种新障眼法，则一切祸事、滥污、失信、反复、程序责任、法律责任、行政责任、政治责任，……都可“奇门遁甲”，推卸得干干净净。——这样子的“个人行为”，真是太自欺了；这样子的“个人行为”，真是太欺人了！
002.“个人行为”并发症.txt	51	我总觉得，检定一个地区道德水平的上下，端在看这一地区人物“负责度”的高低，“负责度”高的，遇事就要勇于面对，一如古诗所说：“尔虽不我责，我责何由逃？”只有这样勇于面对，一切错误才有改进的起点。一切都归咎于“个人行为”，只是一种怯懦、一种逃避、一种道德的沦落与迷失，这是要不得的。
003.三民主义口头禅.txt	9	克洛席尔（Brian Crozier）和周榆瑞写蒋介石传——《断送了中国的人》（The Man Who Lost China），说蒋介石是个奉行了三分之一的三民主义的人。书中说蒋介石只知道奉行民族主义，却不知道如何奉行民权主义和民生主义。其实，他们所谓奉行了三分之一，恐怕也是溢美呢！比照起蒋介石自己的秘密讲话来，对三分之一恐怕也要逊谢不遑呢！
003.三民主义口头禅.txt	13	所谓口头禅，本是不能领会禅理，只是口头上袭用禅宗和尚常用的语言。宋朝王楙《野客丛书》附录《王先生圹铭临终诗》，其中说“平生不学口头禅，脚踏实地性虚天”，就是指此。三民主义最后沦为口头禅，它本身的空中楼阁、窒碍难行，固非无因，但是国民党宁肯挂羊头卖狗肉，而一路作伪、言行不一，则是今天陷入死巷的当然结果。三民主义是连自己都统一不了的粗糙理论，国民党却要拿它统一中国，真是天下第一鲜！
