id	source_file	line_start	line_end	category	quote_text	source_or_origin	summary	notes
LAPMMUNK-001	001.你不知道的彭明敏.txt	33	33	古语	可与同患，难与处安	中国古语	李敖引用古语，说明某类人可共患难而难以共安乐。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。 只收古语本体，不收同段现代人物与政治路线评论。
LAPMMUNK-002	002.给彭明敏先生的两封旧信.txt	45	47	古典诗句	何世无奇才，遗之在草泽！	晋朝诗人诗句	李敖引用诗句感叹奇才常被遗落在草野之间。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。 只收诗句本体，不收同段现实政治处境论述。
LAPMMUNK-003	009.答彭明敏先生.txt	5	5	古典诗句	公自平生怀直气，谁能晚节负初心？	古人诗句	李敖引用古诗，称许人应保有平生直气，不在晚节背弃初心。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。 校对轮补入：只收诗句本体，不收同段国民党、政治挂帅和现实人物论述。
LAPMMUNK-004	011.三答彭明敏先生.txt	53	67	唐诗	死别已吞声，生别常恻恻。江南瘴疠地，逐客无消息。故人入我梦，明我长相忆。恐非平生魂，路远不可测。魂来枫林青，魂返关塞黑。君今在罗网，何以有羽翼？落月满屋梁，犹疑照颜色。水深波浪阔，无使蛟龙得。	杜甫《梦李白》二首之一	李敖附录杜甫《梦李白》第一首，借古诗中的生别、梦魂与险阻意象寄意。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-005	011.三答彭明敏先生.txt	69	83	唐诗	浮云终日行，游子久不至。三夜频梦君，情亲见君意。告归常局促，苦道来不易。江湖多风波，舟楫恐失坠。出门搔白首，若负平生志。冠盖满京华，斯人独憔悴。孰云网恢恢，将老身反累。千秋万岁名，寂寞身后事。	杜甫《梦李白》二首之二	李敖附录杜甫《梦李白》第二首，借古诗中的游子、风波、憔悴和身后名意象寄意。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-006	013.“吾道一以贯之”.txt	17	17	论语化用	述而不作，信而好古，窃比于我老彭	《论语·述而》化用	李敖引用并改动《论语》成句，把“老彭”牵引到彭明敏姓名上。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-007	013.“吾道一以贯之”.txt	17	17	论语戏拟	述而又作，信而好古，窃比于我老彭	李敖化用《论语·述而》	李敖把《论语》成句改成“述而又作”，形成戏拟性的书写格言。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-008	014.记胡适与彭明敏.txt	43	43	西谚	成功者多爹，失败者孤儿	西方谚语	李敖引用西谚，说明成功常被多人认领，失败却无人承担。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-009	016.李敖致书彭明敏，大谈白头宫女事.txt	9	9	荀子成句	天行有常，不为尧存，不为桀亡	《荀子·天论》	李敖引用荀子成句，说明天道自有常规，不因贤君暴君而改变。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
LAPMMUNK-010	016.李敖致书彭明敏，大谈白头宫女事.txt	13	13	出版格言	如果你想害一个人，你就劝他办杂志	李敖语	李敖自称旧日名言，借办杂志之艰苦形成出版业格言。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。 只收出版格言本体，不收同段办报处境与现实攻防。
LAPMMUNK-011	016.李敖致书彭明敏，大谈白头宫女事.txt	15	15	外国文学格言	More than half of modem culture depends on what one shouldn’t read	Oscar Wilde（源文作 Oscar Wide）	李敖引用王尔德格言，说明现代文化有相当部分取决于人不该读什么。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。 校对轮补入：源文作 Oscar Wide 与 modem，疑为 OCR 形态；quote_text 按源文保留以便回查。
LAPMMUNK-012	016.李敖致书彭明敏，大谈白头宫女事.txt	17	17	现代诗句	老去无端玩古董	周作人打油诗句	李敖引用周作人打油诗句，借老境中无端转向旧物的幽默感自况。	首轮保守收入：本书为彭明敏相关现代政论、党派争议和司法/国族论述密集文本，候选人、党派、总统、台独、国族、选举、政府机关、公文法令、司法案件、政治理论和人物攻防语录一律不收；只保留可脱离政论语境的古典诗文、经史成句、俗谚和非政治性格言。
