score	file	line	text	context
8	001.2000年2月1日.txt	5	你愿不愿意皈依上帝，然后到远方去传教？	在一百六十年前，有一个小孩子在教堂里听讲道，牧师看着这小孩子，发现他很有慧根，特别走过来对他说：“你愿不愿意皈依上帝，然后到远方去传教？”这小孩受这个感召，从此决定了一生的方向，他就是非洲的探险家李文斯顿。在一百一十年前，也是一个少年人，碰到一位中年人跟他讲一段话，也影响了他一生；后来他联合这位中年人一起发动了影响中国近代历史的一个改革——戊戌政变，这小孩就...
3	001.2000年2月1日.txt	7	政治挂帅	台湾是一个奇怪的地方。被日本人统治了五十年，由于日本的压制，使我们这个岛的人发生一个现象，就是政治欲望被打压，所以要反弹。在1945年以后，台湾由国民党统治，带来很多职位，台湾人高兴了，可以满足政治欲望；就是今天看到的一个明显现象，台湾这地区“政治挂帅”，只要有政治气氛就可以炒得很热，为了政治可以花多少钱。像李远哲说过，台湾的选举经费比美国多二十五倍，因为大...
3	001.2000年2月1日.txt	11	会杀人吗？会不会误事？	在日本压制台湾的时候，还有一个怪现象，因为政治上的不满足，很多优秀的台湾人开始学医，所以台湾有个特色，就是医生特别多，医师在台湾近代历史占了重要的地位；而这批医生到了今天，还有这种喜欢做官或搞政治的观念。医生不作本行作政治活动，严格说起来是学非所用，有的人学非所用会出事的。《西游记》里猪八戒骂人说“庸医杀人”，可是对良医我们一定要问，至少在这里我要问：“会杀...
3	001.2000年2月1日.txt	19	搞台独的人都是玩假的！	在我们看起来这根本是笑话。国民党办我们这些“叛乱犯”，从来不用《刑法第一百条》，因为判太轻、判太慢，他们是用《惩治叛乱条例》第二条第一款来判。那时候已经没有任何危险了，李镇源和一些政治上的投机分子搞运动，就是要废除《刑法第一百条》，让我们觉得很好笑。现在资料出来了，白色恐怖时代枪毙的人，罪名统统都是共产党，真正台独被枪毙的只有一人；搞共产党的成千上万被枪毙，...
4	001.2000年2月1日.txt	27	劫贫济富	自1840年鸦片战争以来，中国面临的两个大问题，一个是避免挨打，一个是避免挨饿。在避免挨打部分，共产党它做到了；中华人民共和国，今天做到了没人敢打中国，虽然中国人民付了很大代价。第二部分避免挨饿，中国人还要努力；所谓避免挨饿是如何繁荣起来，中国人还要继续努力。可是在这时候，海峡两岸发生一个问题，在1949年，中国大陆失掉了一个机会，整个中国的黄金被我们运到台...
3	002.2000年2月2日.txt	5	别再中山了！	今天我是以一个来自台湾大学历史研究所退学的学生身份，到高雄中山大学来踢馆、来挑战，跟大家谈谈中山大学的一些相关事情，讲题就是“别再中山了！”中山大学的校名不太好，因为“中山”这两个字引起我们不愉快和痛苦的回忆，这不愉快的回忆要如何解释，我来跟各位谈谈。
4	002.2000年2月2日.txt	21	台湾独立国	我们回忆一百年前中日甲午战争，台湾割让给日本，当时日本的伊藤博文与李鸿章在马关谈判时，李鸿章说：台湾人很难统治、他们不会屈服的。伊藤博文说：这不要你们操心，我们会解决。果然割让之后，当时曾经有一个昙花一现的“台湾独立国”，但是很快就被消灭了。当时受尽屈辱没有尊严的给日本人下跪，可是却换来了五十年的机会。这五十年使当时才一、二十岁的老台湾人看到五十年后日本人的...
5	002.2000年2月2日.txt	37	出卖台湾，买回大陆	今天在台湾动辄给人戴帽子，说新党是中共同路人、认同大陆、不爱台湾；说台湾人不是被吓大的，台湾人要打、要制裁你们这些台奸。大家有没有想过，如果我们爱台湾的方法不正确，会给台湾带来什么？我在台湾住了五十年，当年有暴君不准我们讲话，现在有暴民，有不同意见就给你戴帽子，这太恐怖了！我李敖觉得要为我们下一代争取五十年的空间，让他们来决定未来的前途。新党的李庆华把我推出...
8	003.2000年2月3日.txt	5	李敖你现在穿的是长袍，将来考取后还继续穿吗？	今天为止，我的正式学历是台大历史研究所肄业；我记得在台大考研究所时，教授坐了一排对我口试，每一位教授都不向我提出问题，都看着我，后来文学院院长沈刚伯先生他忍不住，问我一句话：“李敖你现在穿的是长袍，将来考取后还继续穿吗？”我说还继续穿，就这样我考取了台大研究所。可见我在台大历史系是多么厉害，使教授害怕、胆寒的一个学生。事实上，我还不算厉害，发明制造原子弹的美...
8	003.2000年2月3日.txt	7	陈胜、吴广起义	我在台大曾是这样的学生，最后，我骂了教授、文学院院长、台大校长，我离开了，原因就是我真正做到孔子所说的“当仁不让于师”，也就是亚里士多德说的，我爱柏拉图甚于许多东西，可是我爱真理甚于吾师柏拉图。当我批评台大的时候，我历史系陈姓、吴姓两位学长合写一封信向学校建议，我笑他们是“陈胜、吴广起义”，结果每人被记一大过。后来我跟学校翻脸，正式办杂志写文章、公开骂校长，...
4	003.2000年2月3日.txt	7	当仁不让于师	我在台大曾是这样的学生，最后，我骂了教授、文学院院长、台大校长，我离开了，原因就是我真正做到孔子所说的“当仁不让于师”，也就是亚里士多德说的，我爱柏拉图甚于许多东西，可是我爱真理甚于吾师柏拉图。当我批评台大的时候，我历史系陈姓、吴姓两位学长合写一封信向学校建议，我笑他们是“陈胜、吴广起义”，结果每人被记一大过。后来我跟学校翻脸，正式办杂志写文章、公开骂校长，...
5	003.2000年2月3日.txt	13	台湾是主权独立国家，两国论好不好	这意思就是我们面对一个问题，怎么样选择我们的一个方向，就是今天我所讲的题目“台大人的第二命题”。我和台大人讲话，比较不像普通的讲演，因为你们是我的小学弟；我跟你们谈的一点就是，我们常常总是第一命题过去了，忽略第二命题。我讲过，好比说第一命题是，“台湾是主权独立国家，两国论好不好”，“好”，第一命题通过了；然后，没有人提出第二命题，就是“两国论可能引发海峡两岸...
5	003.2000年2月3日.txt	13	两国论可能引发海峡两岸战争，你愿不愿意	这意思就是我们面对一个问题，怎么样选择我们的一个方向，就是今天我所讲的题目“台大人的第二命题”。我和台大人讲话，比较不像普通的讲演，因为你们是我的小学弟；我跟你们谈的一点就是，我们常常总是第一命题过去了，忽略第二命题。我讲过，好比说第一命题是，“台湾是主权独立国家，两国论好不好”，“好”，第一命题通过了；然后，没有人提出第二命题，就是“两国论可能引发海峡两岸...
8	003.2000年2月3日.txt	17	好读书，不求甚解	后来我们才知道没有什么了不起，以前帮罗斯福总统竞选的总干事高雷，他是可口可乐的老板，能叫出三万个人的名字，这么天才、好的记忆力，我非常羡慕。悟性高就是你讲什么话，我很准确明白你的意思，陶渊明写的《五柳先生传》有句话，“好读书，不求甚解”，不求甚解是不钻牛角尖，就是恰如其分，不把不该有的意思强加进去。
3	003.2000年2月3日.txt	27	对不起，我现在是选中华民国总统，要遵守中华民国宪法体制，国民大会没有变更宪法条文前，我不能违法回答你的问题。	为什么现在有人在逼宋楚瑜表态？“你赞不赞成两国论”；因为，赞成了，他就丢掉了这种坚持中华民国的人的票，要是他宣布不赞成两国论，很多台独分子的票就丢掉了。宋楚瑜滑头不讲，他也不会讲；我个人可以给他意见，“对不起，我现在是选中华民国总统，要遵守中华民国宪法体制，国民大会没有变更宪法条文前，我不能违法回答你的问题。”
4	004.2000年2月10日.txt	35	李先生绝不肯有一点特权，绝对不要妨碍了别人。	上面这件事，当然是我跟你提到“绝不可以扰民”以前发生的事，并且绝对是你手下小朋友们对我爱护保护的好意行为，但既有这种事发生，我很不安，特别再申前请，请你委婉严申：“李先生绝不肯有一点特权，绝对不要妨碍了别人。”
