id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LASD-001	李敖送电集	003.2000年2月3日.txt	7	7	当仁不让于师	儒家名句	《论语》	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-002	李敖送电集	003.2000年2月3日.txt	17	17	好读书，不求甚解	古文名句	陶渊明《五柳先生传》	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：原文明确引为《五柳先生传》文句，句子本体为读书格言。
LASD-003	李敖送电集	007.2000年2月15日.txt	15	15	会做生意的两个人是打不起来的	外国格言	富兰克林语	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：所在段落有现代政论语境，但 quote_text 本体为可独立成立的经济格言。
LASD-004	李敖送电集	008.2000年2月16日.txt	35	35	心正则锋正，锋正乃可法矣	书法格言	柳公权语	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-005	李敖送电集	008.2000年2月16日.txt	35	35	青草池塘处处蛙	宋诗句	赵师秀《约客》诗句	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-006	李敖送电集	008.2000年2月16日.txt	39	39	圣人不空出，贤者不虚生	古典格言	古人语	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-007	李敖送电集	014.2000年2月24日.txt	5	5	横看成岭侧成峰，远近高低皆不同，不识庐山真面目，只缘身在此山中	宋诗名句	苏轼《题西林壁》	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-008	李敖送电集	014.2000年2月24日.txt	19	19	世事洞明皆学问，人情练达即文章	传统格言	《红楼梦》联语	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LASD-009	李敖送电集	014.2000年2月24日.txt	29	29	卧薪尝胆	传统成语	苏轼文字流变所成成语	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：原文专门讨论成语来源，句子本体不含现代政治判断。
LASD-010	李敖送电集	015.2000年2月25日.txt	23	23	幸福的家庭都是一样的，不幸的家庭各有各的不幸	外国文学名句	托尔斯泰《安娜·卡列尼娜》	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：原文明确标出托尔斯泰小说来源，属于文学名句。
LASD-011	李敖送电集	015.2000年2月25日.txt	25	25	吾爱吾师，吾尤爱真理	西方哲学格言	亚里士多德语意	yes		首轮保守收入：本书处在总统选举与电子报政论语境中，现代政党人物语录、选举口号、两岸/外交判断、治理口号、法律条文和直接政论断语不收；只取句子本体可独立成立的古典诗文、成语俗谚、文学格言、幽默文句和李敖非政治文句。
