id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAJJSY-001,蒋介石研究,《蒋介石研究》自序,《蒋介石研究》自序.txt,3,3,文格渐卑庸福近,文人格言,古人格言,李敖引用古人格言，说明文章格调与庸常福分之间的反比关系。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收古人格言本体，不收同段蒋介石、袁世凯、国民人格等政治论战。
LAJJSY-002,蒋介石研究,《蒋介石研究》自序,《蒋介石研究》自序.txt,3,3,文格渐尊奇祸近,李敖化用格言,李敖化用古人格言,李敖把古人格言反转成自己的写作自况，形成可独立检索的文人格言。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收化用格言本体，不收同段政治人物与政治压迫叙述。
LAJJSY-003,蒋介石研究,《蒋介石研究》自序,《蒋介石研究》自序.txt,5,5,诛奸谀于既死，发潜德之幽光,史学格言,史家笔法成句,李敖引用史家笔法句，说明历史写作应凭证据揭发奸谀、表彰潜德。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收史学写作格言本体，不收同段墨索里尼、法西斯与政治人物论述。
LAJJSY-004,蒋介石研究,蒋介石是日本士官学校毕业的吗？,002.蒋介石是日本士官学校毕业的吗？.txt,129,129,英雄不问出身,俗语成语,中国俗语,李敖引用俗语，说明有成就者不必追问出身来历。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收俗语本体，不收同段军校、士官同学会与蒋介石学历真伪论述。
LAJJSY-005,蒋介石研究,蒋介石加入了“丈夫团”吗？,003.蒋介石加入了“丈夫团”吗？.txt,23,23,当仁不让,论语成语,《论语·卫灵公》成句,李敖转引黄郛等人用成语表达遇到应做之事不可推让。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收古典成语本体，不收同段革命组织与排满叙述。
LAJJSY-006,蒋介石研究,蒋介石加入了“丈夫团”吗？,003.蒋介石加入了“丈夫团”吗？.txt,23,23,富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫,孟子文句,《孟子·滕文公下》,李敖转引《孟子》句，解释“丈夫团”名称所本的大丈夫精神。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收孟子原句本体，不收同段同盟会、秘密组织与革命叙述。
LAJJSY-007,蒋介石研究,紧要关头，蒋介石在哪？,005.紧要关头，蒋介石在哪？.txt,165,165,其介如石,易经文句,《易经·豫卦》成句,李敖提到题字所用古典成句，保留其坚介如石的文义。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收古典成句本体，不收同段蒋介石命名与题字纪念语境。
LAJJSY-008,蒋介石研究,紧要关头，蒋介石在哪？,005.紧要关头，蒋介石在哪？.txt,165,165,吾能于亭后小筑三椽，隐居自适，斯愿足矣！,山水隐居语,游山题记引语,李敖引用游山文字中的隐居自适之语，表现小筑山亭、闲居自足的心愿。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 校对补入：只收隐居自适句本体，不收同段蒋介石行踪和纪念题字叙述。
LAJJSY-009,蒋介石研究,紧要关头，蒋介石在哪？,005.紧要关头，蒋介石在哪？.txt,165,165,养天地正气，法古今完人。,联语,鼓山题联,李敖引鼓山石壁联语，呈现修养正气、取法完人的道德题辞。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。 只收联语本体，不收同段军政行踪和蒋介石纪念题字叙述。
LAJJSY-010,蒋介石研究,蒋介石为什么不把父母合葬？,006.蒋介石为什么不把父母合葬？.txt,3,3,吾夫既死，与之同棺共穴可也。,古代轶事语,汴梁儒士孟志刚夫人衣氏语,李敖转述古代合葬轶事中妻子的决绝之语。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。
LAJJSY-011,蒋介石研究,蒋介石怎样对待老同志？,007.蒋介石怎样对待老同志？.txt,29,29,几生修到会龙华，马面牛头并夜叉。非是桐宫明一德，却来羑里演三车。,居正诗句,居正《梅川谱偈》,李敖引用居正诗，写看守所经历与佛典意象。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。
LAJJSY-012,蒋介石研究,蒋介石怎样对待老同志？,007.蒋介石怎样对待老同志？.txt,35,35,阿奴引入别幽居，见有人将鼻倒书。觉后忆来真梦梦，将毋幻想堕玄虚。,居正诗句,居正《梅川谱偈》,李敖引用居正诗，写狱中梦境与事后回忆。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。
LAJJSY-013,蒋介石研究,蒋介石怎样对待老同志？,007.蒋介石怎样对待老同志？.txt,41,41,不曾见异敢思迁，许徙蓝庄度夏天。寓舍四围洪水绕，渡船常系浅芦边。,居正诗句,居正《梅川谱偈》,李敖引用居正诗，写迁居蓝家庄后的水乡寓居景况。,首轮保守收入：《蒋介石研究》以近现代政治人物、政党、军政、革命、国家与意识形态论战为主体；党派文件、政权攻防、领袖语录、军政口号、革命/反革命/反共/民族国家叙述与现代政治评论不收，只保留可脱离具体政治论战独立检索的古典文句、诗句、俗语、联语、笑话和礼俗文献句。
