score	file	line	text	context
5	001.瞻之在前，忽焉在后（何飞鹏）.txt	11	瞻之在前，忽焉在后	但事实就是如此，每次接触李敖先生，都有不同的新发现，最后我终于找到结论：“瞻之在前，忽焉在后”就是我的感觉，这一辈子，对李敖先生，这恐怕是永远的感觉！
4	001.瞻之在前，忽焉在后（何飞鹏）.txt	15	与汝偕小	以前只知道李敖17岁就与大师胡适往来，后来才知道，几乎我所听过的知识分子，李敖先生都有接触，有的被他批判得体无完肤，在他的笔下，我才知道在世俗的面具之下，这些我过去所尊敬的学者，原来如此不堪！当然也有的受到他的肯定，但数量实在太少，或许我们这一代岛国寡民，诚如李敖所言：“与汝偕小”下，真正值得认同的人也不多！
5	001.瞻之在前，忽焉在后（何飞鹏）.txt	29	活在台湾，做你自己	记得台湾TVBS周刊创刊时，曾以“活在台湾，做你自己”为宣传口号，但事实上，这几乎是不可能的事，人在江湖，身不由己犹恐不及，谁能真正做自己？读完《李敖快意恩仇录》，我不能不说，真正能做自己的，惟李先生一人耳。
7	002.《李敖快意恩仇录》自序.txt	3	好奇之心，使猫送命。	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫...
6	002.《李敖快意恩仇录》自序.txt	3	我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫...
3	002.《李敖快意恩仇录》自序.txt	3	老婆	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫...
3	002.《李敖快意恩仇录》自序.txt	3	大老婆	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫...
3	002.《李敖快意恩仇录》自序.txt	3	小老婆	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫...
5	002.《李敖快意恩仇录》自序.txt	5	伸头挨一刀，不伸头也挨一刀	一般拍电影、写小说，凡是又来一集者，大都后不如前，原因在又来一集者，都想在热珰头趁机多捞一票，以致弄得画蛇添足。但《李敖快意恩仇录》之作，却不如此，因为根本上不是画蛇问题而是画龙问题。原来前面那本《李敖回忆录》，非画蛇也，乃画龙也。画龙而未点睛何也？俟此书耳！《李敖回忆录》三十万字，实不足以尽多彩多姿，三十万字中，或欲说还休、或语焉未详、或按下不表、或舍之则...
7	003.陆根纪.txt	13	在古代与原来广义的苗族为同一民族，居于中国大陆长江以南……远在纪元以前……移居台湾，海上早有往来，自秦皇汉武三次迁沿海越民于内地，彻底实行海禁以后，台湾孤悬海外，乃与大陆隔绝	大陆本来是一片鲁迅“我以我血荐轩辕”天下的，忽然台湾传来荐轩辕死对头的妙诗，自然足为少数民族及被压迫民族张目。而在海峡这边，我也没闲着，我排斥了高山族绝对南来的说法，而采取了高山族是苗族论的新说。在台湾大学教过我考古人类学导论的凌纯声教授，曾综合日本学者金关丈夫、国分直一、鹿野忠雄等教授的见解，益以己说，发表《古代闽越人与台湾土著族》论文。他的结论是：高山族...
7	003.陆根纪.txt	13	入山工作，所至之处，见土著之民情风俗，与大陆上西南民族相若，大有旧地重游之感。	大陆本来是一片鲁迅“我以我血荐轩辕”天下的，忽然台湾传来荐轩辕死对头的妙诗，自然足为少数民族及被压迫民族张目。而在海峡这边，我也没闲着，我排斥了高山族绝对南来的说法，而采取了高山族是苗族论的新说。在台湾大学教过我考古人类学导论的凌纯声教授，曾综合日本学者金关丈夫、国分直一、鹿野忠雄等教授的见解，益以己说，发表《古代闽越人与台湾土著族》论文。他的结论是：高山族...
3	003.陆根纪.txt	13	我以我血荐轩辕	大陆本来是一片鲁迅“我以我血荐轩辕”天下的，忽然台湾传来荐轩辕死对头的妙诗，自然足为少数民族及被压迫民族张目。而在海峡这边，我也没闲着，我排斥了高山族绝对南来的说法，而采取了高山族是苗族论的新说。在台湾大学教过我考古人类学导论的凌纯声教授，曾综合日本学者金关丈夫、国分直一、鹿野忠雄等教授的见解，益以己说，发表《古代闽越人与台湾土著族》论文。他的结论是：高山族...
8	003.陆根纪.txt	17	世乱遭飘荡，生还偶然遂	我在13岁1948年离开北京，南下天津和上海，那时大姐、二姐留在北京。大姐大我六岁，正念大一；二姐大我五岁，正念高三。这一分别，一别就是四十四年！1992年我请她们来台湾，那时我已57岁，大姐、二姐已经63、62岁了。三年后1995年，二姐再来台湾，我请她书面回忆吾家旧事，不期她心灵手敏，凭她的好记忆，一写就是六万字。杜甫诗说“世乱遭飘荡，生还偶然遂”，我在...
3	003.陆根纪.txt	17	生还	我在13岁1948年离开北京，南下天津和上海，那时大姐、二姐留在北京。大姐大我六岁，正念大一；二姐大我五岁，正念高三。这一分别，一别就是四十四年！1992年我请她们来台湾，那时我已57岁，大姐、二姐已经63、62岁了。三年后1995年，二姐再来台湾，我请她书面回忆吾家旧事，不期她心灵手敏，凭她的好记忆，一写就是六万字。杜甫诗说“世乱遭飘荡，生还偶然遂”，我在...
4	003.陆根纪.txt	37	老太太动胸腔手术，可是开刀后找不到心，找了半天，原来心在胳肢窝（腋下）里！	老太太们的偏心性格是很普遍的。我看到外祖母一边做活儿（用针线“纳”鞋底做布鞋）一边听收音机，收音机中说相声的挖苦老太太，说：“老太太动胸腔手术，可是开刀后找不到心，找了半天，原来心在胳肢窝（腋下）里！”其心之偏也可想。外祖母一边听收音机一边笑，但是笑归笑，偏习难改也。
4	003.陆根纪.txt	41	是一男一女所为，钱还藏在家里某处缝里还没转走。	外祖母在世的时候，始终是我们李家的当家人。外祖母不识字，但聪明过人，当年住在哈尔滨就发生过这样一个故事：曾有一次组织哈尔滨的中学校长到日本参观，爸爸是其中之一。但临走前爸爸的旅费突然在家里失踪。家里的人怪来怪去未免心境不佳。外祖母找个算命先生问卜，算命先生说：“是一男一女所为，钱还藏在家里某处缝里还没转走。”外祖母最怀疑是个女佣人干的，但同伙男的是谁弄不清楚...
3	003.陆根纪.txt	43	寿禄不永	在二姐的回忆里，包含了许多养生送死故事，最可看出我们那一世代的旧时信仰与风光。不论是烧纸还是拜祖宗牌位等，都属于养生以外的送死范围，中国的送死是大学问，二姐在这方面的描写真是精采绝沦。我们对祖父祖母叫爷爷奶奶，奶奶一个人生了十二个小孩，六男六女，成双成对。其中四叔、大姑、二姑、三姑、五姑虽都“寿禄不永”，但是还剩下十二分之七，剩下五男二女。十二个小孩中，爸爸...
3	003.陆根纪.txt	43	养生派	在二姐的回忆里，包含了许多养生送死故事，最可看出我们那一世代的旧时信仰与风光。不论是烧纸还是拜祖宗牌位等，都属于养生以外的送死范围，中国的送死是大学问，二姐在这方面的描写真是精采绝沦。我们对祖父祖母叫爷爷奶奶，奶奶一个人生了十二个小孩，六男六女，成双成对。其中四叔、大姑、二姑、三姑、五姑虽都“寿禄不永”，但是还剩下十二分之七，剩下五男二女。十二个小孩中，爸爸...
3	003.陆根纪.txt	43	送礼派	在二姐的回忆里，包含了许多养生送死故事，最可看出我们那一世代的旧时信仰与风光。不论是烧纸还是拜祖宗牌位等，都属于养生以外的送死范围，中国的送死是大学问，二姐在这方面的描写真是精采绝沦。我们对祖父祖母叫爷爷奶奶，奶奶一个人生了十二个小孩，六男六女，成双成对。其中四叔、大姑、二姑、三姑、五姑虽都“寿禄不永”，但是还剩下十二分之七，剩下五男二女。十二个小孩中，爸爸...
7	003.陆根纪.txt	45	不用害怕，只要是亲人，无论生病或去世看了都不会怕。	奶奶婚后几十年一直在怀孕生孩子。最年长的大爷和最年幼的老姑相差三十二岁。差了整整一代人。奶奶生了六儿六女之后还是没空手，带着个子宫癌去世。患病期间奶奶虽能忍痛沉默不语，但显而易见是在活受罪。不但卧床不起骨瘦如柴，而且生褥疮，自己也没有能力排便。老姑每天戴上口罩为奶奶解决便秘的痛苦，人人都说奶奶的老姑娘很孝顺。难熬的日子拖了很长时间。爷爷也常拄着拐棍儿走到奶奶...
6	003.陆根纪.txt	45	你中不中？	奶奶婚后几十年一直在怀孕生孩子。最年长的大爷和最年幼的老姑相差三十二岁。差了整整一代人。奶奶生了六儿六女之后还是没空手，带着个子宫癌去世。患病期间奶奶虽能忍痛沉默不语，但显而易见是在活受罪。不但卧床不起骨瘦如柴，而且生褥疮，自己也没有能力排便。老姑每天戴上口罩为奶奶解决便秘的痛苦，人人都说奶奶的老姑娘很孝顺。难熬的日子拖了很长时间。爷爷也常拄着拐棍儿走到奶奶...
8	003.陆根纪.txt	47	福无双至，祸不单行	奶奶去世是在晚上，爸爸让我到隔两条马路的干面胡同通知五叔。等我回家之后看到奶奶已被穿戴就绪，停尸在爷爷房间的走廊里。那是个挺可怕的镜头，身材瘦小的奶奶上身穿九件长长短短的袍子，下身套七条裤子，数字是规定的并有什么讲究吧！脚下穿一双崭新的方头绣有花纹图案的鞋，头被卡在一个硬枕头里。寿衣寿材都是早已准备好的。最外面一件寿衣是个大红长袍，好大好大，至少能装进去五六...
8	003.陆根纪.txt	47	运来推不开，倒霉一齐来	奶奶去世是在晚上，爸爸让我到隔两条马路的干面胡同通知五叔。等我回家之后看到奶奶已被穿戴就绪，停尸在爷爷房间的走廊里。那是个挺可怕的镜头，身材瘦小的奶奶上身穿九件长长短短的袍子，下身套七条裤子，数字是规定的并有什么讲究吧！脚下穿一双崭新的方头绣有花纹图案的鞋，头被卡在一个硬枕头里。寿衣寿材都是早已准备好的。最外面一件寿衣是个大红长袍，好大好大，至少能装进去五六...
5	003.陆根纪.txt	47	死人七天要回望乡台。	奶奶去世是在晚上，爸爸让我到隔两条马路的干面胡同通知五叔。等我回家之后看到奶奶已被穿戴就绪，停尸在爷爷房间的走廊里。那是个挺可怕的镜头，身材瘦小的奶奶上身穿九件长长短短的袍子，下身套七条裤子，数字是规定的并有什么讲究吧！脚下穿一双崭新的方头绣有花纹图案的鞋，头被卡在一个硬枕头里。寿衣寿材都是早已准备好的。最外面一件寿衣是个大红长袍，好大好大，至少能装进去五六...
5	003.陆根纪.txt	51	不行了，抬头纹都开了！	奶奶过世整整一百天，爷爷突然一反常态，不再大声哎哟喊疼了，而且清醒地宣布他快要死了。为了判断爷爷预言将死是真有先见之明，还是诈死吓唬人，特别从北房请来经历丰富的外祖母前去看望爷爷，外祖母有把握的说：“不行了，抬头纹都开了！”但爷爷保持冷静清醒，亲自指挥爸爸妈妈在哪里能找到他的寿衣，还声明箱子没有上锁。那天晚上我和小六妹睡在正房西南角，也就是外祖母过去常住的那...
