id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LASHQ-001,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,27,27,自己有错误人必知之,古人格言,孔子语意,以有错必为人知来自警。,
LASHQ-002,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,29,29,身在庐山之中,成语典故,苏轼诗意,比喻当局者反而难以看清全貌。,
LASHQ-003,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,55,55,既要古人说现代话（读者是现代人），又要尽量还古人之原,写作格言,李敖,概括历史小说语言的两难。,
LASHQ-004,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,55,55,必要的矛盾,写作妙语,李敖,把文学创作中的不协调称为必要矛盾。,
LASHQ-005,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,55,55,事实逼真，小说完蛋,文学格言,李敖,说明小说不能被事实逼真完全束缚。,
LASHQ-006,李敖书启集,《北京法源寺》勘误,001.《北京法源寺》勘误.txt,55,55,改不胜改,成语化用,成语,形容校改处多到难以尽改。,
LASHQ-007,李敖书启集,《北京法源寺》再勘误,004.《北京法源寺》再勘误.txt,11,11,一切有为法，如梦幻泡影,佛经引用,《金刚经》,校正佛经原句。,
LASHQ-008,李敖书启集,《北京法源寺》再勘误,004.《北京法源寺》再勘误.txt,15,15,史诗式小说,文学评语,读者评语,以史诗式概括小说气象。,
LASHQ-009,李敖书启集,《北京法源寺》再勘误,004.《北京法源寺》再勘误.txt,51,51,随处结读者，诚意方殷，诸书现全身,妙语,李敖仿《金刚经》,以仿经句答谢读者校勘。,
LASHQ-010,李敖书启集,《北京法源寺》再勘误,004.《北京法源寺》再勘误.txt,51,51,著作之幸,写作评语,李敖,称好读者护持乃著作之幸。,
LASHQ-011,李敖书启集,怨结金兰,003.怨结金兰.txt,15,15,本来无事只畏扰,妙语,李敖,化出本来无事的语意，写无谓纷扰。,
LASHQ-012,李敖书启集,怨结金兰,003.怨结金兰.txt,49,49,费力不讨好,俗语,俗语,形容辛苦却不受认可。,
LASHQ-013,李敖书启集,怨结金兰,003.怨结金兰.txt,49,49,萧规曹随、无为而治,典故成语,历史典故,以旧规相承和无为而治说明处理方式。,
LASHQ-014,李敖书启集,怨结金兰,003.怨结金兰.txt,51,51,精打细算,成语,成语,指仔细筹算钱物。,
LASHQ-015,李敖书启集,怨结金兰,003.怨结金兰.txt,51,51,哭笑不得,成语,成语,形容尴尬荒唐，笑也不是哭也不是。,
LASHQ-016,李敖书启集,怨结金兰,003.怨结金兰.txt,55,55,天下宁有是理？,古文句式,李敖,用反问强调事情不合情理。,
LASHQ-017,李敖书启集,怨结金兰,003.怨结金兰.txt,57,57,同仇敌忾,成语,成语,形容共同愤慨、协力对外。,
LASHQ-018,李敖书启集,怨结金兰,003.怨结金兰.txt,59,59,疑心生暗鬼,俗语,俗语,指疑心过重会无端生出猜忌。,
LASHQ-019,李敖书启集,怨结金兰,003.怨结金兰.txt,59,59,不与人为善,成语,成语,指不肯善意待人。,
LASHQ-020,李敖书启集,怨结金兰,003.怨结金兰.txt,59,59,任劳任怨,成语,成语,形容做事能吃苦也能承受怨责。,
LASHQ-021,李敖书启集,怨结金兰,003.怨结金兰.txt,59,59,今古奇观,成语,成语,形容罕见奇事。,
LASHQ-022,李敖书启集,怨结金兰,003.怨结金兰.txt,61,61,求之不得,成语,成语,指正合所求。,
LASHQ-023,李敖书启集,怨结金兰,003.怨结金兰.txt,61,61,人间的一点起码的是非与正义,处事格言,李敖,强调维护基本是非。,
LASHQ-024,李敖书启集,再致金兰邻居,005.再致金兰邻居.txt,7,7,占了便宜还卖乖,俗语,俗语,形容得了好处还装作无辜。,
LASHQ-025,李敖书启集,再致金兰邻居,005.再致金兰邻居.txt,7,7,哑口无言,成语,成语,形容无话可说。,
LASHQ-026,李敖书启集,再致金兰邻居,005.再致金兰邻居.txt,7,7,自知理亏,成语,成语,指自己知道理上站不住。,
