id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	proofread_reason	notes
LAGMDNK-001	keep-proofread	俗语成句	一眠大一寸	中文俗语	001.向国民党讨十大债.txt	5	5	李敖借儿童成长俗语，形容事物迅速膨胀。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-002	keep-proofread	成语格言	天道好还	中文成语/因果俗语	004.承认的暗杀和否认的暗杀.txt	9	9	李敖摘出成语，写恶事终有回报、真相终会返还。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-003	keep-proofread	古文引文	宋之亡也，死国事者多矣！陆秀夫、张世杰死于海；李芾死于潭；赵昂发死于池……不可胜数。虽然，死矣，未有如公之出万死而后死。……自古亡国之臣，未有如公之烈也！收宋三百年养士之功、立千万载为臣之极，不在于公乎？公非仁者之勇，浩然塞于天地之间者乎？	罗伦《宋丞相文信国公祠堂记》	010.国民党的天祥症.txt	5	5	李敖引用明人祠堂记文字，说明文天祥从容殉节的古典评价。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。 只收古文评价本体，不收同章现代政治人物效法文天祥的讲话。
LAGMDNK-004	keep-proofread	古典名句	孔曰成仁，孟云取义，唯其义尽，所以仁至；读圣贤书，所学何事，而今而后，庶几无愧。	文天祥临终衣带赞相关文字	010.国民党的天祥症.txt	11	11	李敖转引文天祥名句，呈现成仁取义与读书立身的古典伦理。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。 只收文天祥古典名句，不收同段现代军政安排语境。
LAGMDNK-005	keep-proofread	古语格言	败军之将，不足以言勇。	中文古话	011.不牺牲，只退却.txt	17	17	李敖明引古话，说明失败者不宜自夸勇武。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-006	keep-proofread	明代诗句	狭巷短兵相接处，杀人如草不闻声。	沈明臣《铙歌》	014.“杀人如草不闻声”.txt	11	11	李敖引用明代诗句，取其沉郁意象写无声杀戮的恐怖。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-007	keep-proofread	史记名句	天之亡我，我何渡为？且籍与江东子弟八千人渡江而西，今无一人还，纵江东父兄，怜而王我，我何面目见之？纵彼不言，籍独不愧于心乎？	《史记·项羽本纪》	016.比江东还江东.txt	17	17	李敖引用项羽乌江不渡名句，呈现羞见江东父兄的历史典故。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-008	keep-proofread	古语格言	盗固不义，而跖非诛盗之人。	中文古话	018.谁在“地方割据”？.txt	21	21	李敖明引古话，说明作恶者无资格制裁同类小恶。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-009	keep-proofread	文选名句	甘危躯以成仁	《昭明文选·曹植·七启》	023.国民党又捏造烈士了！.txt	3	3	李敖引用古文名句，说明舍身成仁的古典表达。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
LAGMDNK-010	keep-proofread	古文释义	好名义不进仕者	《韩非子·诡使》	023.国民党又捏造烈士了！.txt	3	3	李敖引用韩非子释义，说明烈士古义中好名义而不仕的一类人。		校对后从严保留：《给国民党难看》以现代政党、党报、军政、司法、两岸、选举与政治人物攻防为主体；现代政党口号、政治宣言、公文条款、党报社论、人物政论、革命/反共/统独/民主自由人权等政治语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、典籍成句、成语俗语、寓言、文学评语、外文格言和非政治生活格言。
