id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LACL-001	挑战李敖	003.19991001挑战李敖.txt	69	69	胆大如斗	成语典故	《三国演义》姜维故事	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-002	挑战李敖	004.19991004挑战李敖.txt	37	37	我每听到别人捧我的时候，我就浑身不自在。什么原因？因为别人捧的不够。	西方幽默格言	萧伯纳语	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-003	挑战李敖	005.19991005挑战李敖.txt	39	39	和而不同	古典成语	《论语·子路》	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-004	挑战李敖	006.19991006挑战李敖.txt	29	29	我不入地狱，谁入地狱	佛教俗语	地藏菩萨愿语	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-005	挑战李敖	007.19991007挑战李敖.txt	13	13	庸人自扰	成语	中国成语	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-006	挑战李敖	007.19991007挑战李敖.txt	13	13	本来无事只畏扰，扰者才吏非庸人	诗句	陆游诗句	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-007	挑战李敖	008.19991008挑战李敖.txt	13	13	骆驼背上最后一根草	西方谚语	The last straw	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-008	挑战李敖	008.19991008挑战李敖.txt	133	133	发现错误就是聪明，知错能改就是正直	格言	《聊斋》引语	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-009	挑战李敖	008.19991008挑战李敖.txt	133	133	知耻近乎勇	古典名句	《礼记·中庸》	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
LACL-010	挑战李敖	010.19991012挑战李敖.txt	81	81	魔鬼引证圣经	西方谚语	西方谚语	yes		首轮保守收入：节目文字稿噪声较密，仅取可独立成立的诗文、格言、成语俗语和古典文句。
