score	file	line	text	context
6	001.2000年6月29日.txt	9	环视多媒体有限公司	环视公司（全名“环视多媒体有限公司”，即通称“环球电视”的公司）原由赵怡等组成，由于业务不振，赔了八亿后由张俊宏、吴子嘉等接手，张俊宏、吴子嘉是全民公司（全名“全民电通投资股份有限公司”）的董事长、副董事长，他们接手后，也业务不振，赔了四亿。去年夏天，环球电视总经理杨宪宏出面邀请李敖主持节目，几度洽商，复由新闻部经理李永萍参与洽商细节，才在9月9日签约，签约...
6	001.2000年6月29日.txt	9	全民电通投资股份有限公司	环视公司（全名“环视多媒体有限公司”，即通称“环球电视”的公司）原由赵怡等组成，由于业务不振，赔了八亿后由张俊宏、吴子嘉等接手，张俊宏、吴子嘉是全民公司（全名“全民电通投资股份有限公司”）的董事长、副董事长，他们接手后，也业务不振，赔了四亿。去年夏天，环球电视总经理杨宪宏出面邀请李敖主持节目，几度洽商，复由新闻部经理李永萍参与洽商细节，才在9月9日签约，签约...
5	001.2000年6月29日.txt	9	竟于八十八年9月4日与吴子嘉勾结	环视公司（全名“环视多媒体有限公司”，即通称“环球电视”的公司）原由赵怡等组成，由于业务不振，赔了八亿后由张俊宏、吴子嘉等接手，张俊宏、吴子嘉是全民公司（全名“全民电通投资股份有限公司”）的董事长、副董事长，他们接手后，也业务不振，赔了四亿。去年夏天，环球电视总经理杨宪宏出面邀请李敖主持节目，几度洽商，复由新闻部经理李永萍参与洽商细节，才在9月9日签约，签约...
3	001.2000年6月29日.txt	9	环球电视	环视公司（全名“环视多媒体有限公司”，即通称“环球电视”的公司）原由赵怡等组成，由于业务不振，赔了八亿后由张俊宏、吴子嘉等接手，张俊宏、吴子嘉是全民公司（全名“全民电通投资股份有限公司”）的董事长、副董事长，他们接手后，也业务不振，赔了四亿。去年夏天，环球电视总经理杨宪宏出面邀请李敖主持节目，几度洽商，复由新闻部经理李永萍参与洽商细节，才在9月9日签约，签约...
5	001.2000年6月29日.txt	11	罔顾事实，且不念宾主关系及朋友之情	二、李敖有否“罔顾事实，且不念宾主关系及朋友之情”？
5	001.2000年6月29日.txt	15	罔顾事实，且不念宾主关系及朋友之情	1.李敖为环球电视台打开了知名度和收进了广告满档，李敖对环球是大利多；2. 环球最后退了李敖的票，是对不起李敖；3. 对不起李敖还反咬李敖一口，说李敖掏空了你，你是前后赔了十二亿的公司，负债累累，你有什么给人掏空？所以，张俊宏指摘李敖“罔顾事实，且不念宾主关系及朋友之情”，正好是张俊宏的夫子自道。
5	001.2000年6月29日.txt	17	罔顾事实，且不念宾主关系及朋友之情	三、张俊宏怎样“罔顾事实，且不念宾主关系及朋友之情”？
3	001.2000年6月29日.txt	19	不念宾主关系及朋友之情	环球退了李敖的票，是和张俊宏有直接关系的，原因是环球电视是子公司，全民公司是母公司。母公司九席董事共分三派，即余陈月瑛派三席，张俊宏派三席，吴子嘉派三席，并各分一席监察人，三国鼎立局面出现后，张俊宏为了打倒吴子嘉，乃使母公司停止支援子公司，子公司没有经济来源，陷入绝境，吴子嘉个人张罗上亿资金救急，但是无法长期维持。在旧年前夕，2月2日晚上，环球员工代表新闻部...
5	002.2000年6月30日.txt	7	全民电通公司董事长张俊宏先生及余陈月瑛以下各位董事、环视多媒体公司董事长巴燕达鲁先生	张俊宏赶走了吴子嘉，首先开除了为员工争权益的李永萍，但对李敖，还是没办法，因为李敖与环球有契约关系，李敖于4月6日主动不再进棚录影，并致函“全民电通公司董事长张俊宏先生及余陈月瑛以下各位董事、环视多媒体公司董事长巴燕达鲁先生”，表示：
4	002.2000年6月30日.txt	9	甲方不履行前述义务，乙方（李敖）得终止本契约，并得请求甲方应负本条第二项之违约责任	1. 本人年来应环视邀请担任节目主持人，不料最后二期付款，环视竟予退票，其间经友人包奕洪先生先容，张俊宏先生亲临本人书房，保证绝不影响本人权益，本人信以为真，静候解决，不料言犹在耳，环视与本人于上月10日所签新约，公司又告违约（依约每月酬金“应于每半月支付一次”，迄未支付），依约“甲方不履行前述义务，乙方（李敖）得终止本契约，并得请求甲方应负本条第二项之违约...
