id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LADSZ-001,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,155,155,目营手检，无间晨夕,治学格言,陈梦雷《进汇编启略》转述,李敖写陈梦雷编书勤苦时摘出的治学语。,
LADSZ-002,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,161,161,以一人独肩斯任,治学格言,陈梦雷编纂事迹,概括陈梦雷独力承担巨编的精神。,
LADSZ-003,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,247,247,铜铸字，工费而不便久藏。,印刷史格言,沈括《梦溪笔谈》转引,李敖引沈括语说明铜活字工费高且不便久藏。,
LADSZ-004,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,263,263,恐书先印，序是后加,版本考据语,蒋复璁《古今图书集成的前因后果》,蒋复璁以版本纸张版式推测序文后加。,
LADSZ-005,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,421,421,古今未有之奇书，宇内读书人求一见不可得，而玉竟得两部以贻子孙，亦古今未有之幸事也！,藏书题跋名句,张廷玉《澄怀园语》,张廷玉赞《古今图书集成》珍贵难得。,
LADSZ-006,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,425,425,自有书契以来，以一书贯串古今，包罗万有，未有如我朝古今图书集成者。,藏书题跋名句,张廷玉《澄怀园语》,张廷玉以包罗万有形容《古今图书集成》的规模。,
LADSZ-007,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,425,425,诚册府之巨观，为群书之渊海。,藏书题跋名句,张廷玉《澄怀园语》,以册府巨观、群书渊海赞巨型类书。,
LADSZ-008,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,455,455,这个书也不过如聋子的耳朵，摆设而已。,小说俗语,陈森《品花宝鉴》,小说人物用俗语讽刺藏书有而不用。,
LADSZ-009,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,465,465,一万卷皆完好，诚中国之瑰宝也！愿为中国之文明保存之。,藏书题跋名句,康有为跋《古今图书集成》,康有为跋语中保存文化典籍的感慨。,
LADSZ-010,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,475,475,儿时闻图书集成之名，某处有一部，某老人曾阅过几遍，心向往之，未见其书也！,出版回忆语,陆费逵《影印缘起》,陆费逵回忆早年向往《古今图书集成》而不得见。,
LADSZ-011,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,481,481,当兹四海困穷之时，能以千元购书者，究有几人？,出版感叹语,陆费逵《影印缘起》,陆费逵感叹民国年间重印巨书定价高昂。,
LADSZ-012,读史指南,《古今图书集成》研究,002.《古今图书集成》研究.txt,513,513,摭拾群书、以类相从,类书方法语,李敖《〈古今图书集成〉研究》,李敖概括类书的资料组织方法。,
