id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LABD-001,你笨蛋，你笨蛋,送高信疆归大陆序,001.送高信疆归大陆序.txt,9,9,升高而望远,韩愈文句,韩愈《送李愿归盘谷序》,李敖借韩愈赠序中的高远句，为高信疆归大陆壮行。,
LABD-002,你笨蛋，你笨蛋,送高信疆归大陆序,001.送高信疆归大陆序.txt,9,9,终吾生以徜徉,韩愈文句,韩愈《送李愿归盘谷序》,李敖借韩愈原句写人生后段的徜徉与归趋。,
LABD-003,你笨蛋，你笨蛋,送高信疆归大陆序,001.送高信疆归大陆序.txt,17,17,讳疾忌医,传统成语,形容隐瞒病情、不肯医治的成语。,马家辉回忆李敖安排高信疆体检时，用此成语写朋友怕就医的情状。,
LABD-004,你笨蛋，你笨蛋,准伤痕文学,002.准伤痕文学.txt,5,5,小孩子都快饿死了，文学还有什么意义呢？,外国文学家语,萨特语，文中称其为诺贝尔文学奖拒领者的感慨。,李敖用萨特的反问引出他对弱者文学、伤痕文学的判断。,
LABD-005,你笨蛋，你笨蛋,准伤痕文学,002.准伤痕文学.txt,7,7,独与天地精神往来,庄子成句,《庄子》语意发展出的名句。,李敖用它指称有原则而不逃世的知识分子姿态。,
LABD-006,你笨蛋，你笨蛋,准伤痕文学,002.准伤痕文学.txt,7,7,回到自古以来的悲哀,日本文学家语,川端康成语。,李敖引川端康成之语，作为逃入审美小世界的文学姿态。,
LABD-007,你笨蛋，你笨蛋,我写《上山上山爱》,003.我写《上山上山爱》.txt,27,27,广陵散失传,古典音乐典故,嵇康被害后《广陵散》绝响的典故。,李敖以此比喻独特清音一旦消亡便成绝响。,
LABD-008,你笨蛋，你笨蛋,我写《上山上山爱》,003.我写《上山上山爱》.txt,33,33,形而上者谓之道，形而下者谓之器,易经成句,《易经》系辞语。,李敖借此区分思想大道与器官交合，说明小说不止于形下。,
LABD-009,你笨蛋，你笨蛋,我写《上山上山爱》,003.我写《上山上山爱》.txt,35,35,谈笑间，强虏灰飞烟灭。,宋词名句,苏轼《念奴娇·赤壁怀古》句。,李敖借苏词写小说中的思想战斗力量。,
LABD-010,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,3,3,Diamond cut diamond,英语谚语,英语俗谚。,李敖引此说明棋逢敌手、强中更有强中手。,
LABD-011,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,9,9,言语妙天下,古人评语,文中称为古人语。,李敖用它称赞陈文茜口才出众。,
LABD-012,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,口诛笔伐,传统成语,形容用言语文字攻击批判。,李敖用来写陈文茜以口才与文章进行批评。,
LABD-013,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,借题发挥,传统成语,借一个题目发挥题外意思的成语。,李敖围绕胡适对自己的评价，反转说明借题发挥的价值。,
LABD-014,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,作文章切莫要借题发挥,胡适语,胡适评论李敖作文习惯的话。,李敖转述胡适劝诫，并进一步为借题发挥辩护。,
LABD-015,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,教人一个思想学问的方法,胡适语,胡适谈考证《红楼梦》之积极目的。,李敖借此说明学术考证可以具有方法论意义。,
LABD-016,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,被人蒙着眼睛牵着鼻子走。,胡适语,胡适谈思想方法时的警语。,李敖以此概括胡适反对盲从的学问方法。,
LABD-017,你笨蛋，你笨蛋,分个第一给她,005.分个第一给她.txt,11,11,与子偕小,拟古谐语,化用《诗经》式句法。,李敖用拟古谐语自嘲只能借小岛题材发挥。,
LABD-018,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,3,3,内忧外患,传统成语,指内部忧患与外来侵扰。,李敖借此概括近代中国百余年处境。,
LABD-019,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,3,3,虽关、岳束手,近代文句,林则徐私信中评估战争困局的说法。,李敖借此写林则徐认识到武器落后，关羽岳飞亦无能为力。,
LABD-020,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,7,7,慎终追远,论语成句,《论语》相关语意。,李敖用它写对启蒙人物的纪念与评价。,
LABD-021,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,7,7,恰如其分,传统成语,形容评价或处理适当。,李敖用来说明评价胡适应有准确分寸。,
LABD-022,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,7,7,旧学商量加邃密，新知培养转深沉。,宋诗名句,朱熹诗句。,李敖以朱熹句评价胡适兼具旧学新知。,
LABD-023,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,25,25,尔为尔，我为我，虽袒裼裸裎于我侧，尔焉能浼我哉！,古代圣人语,文中称为中国古代圣人语。,李敖用此说明他人污浊不能沾染自己的立身本末。,
LABD-024,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,25,25,谣言止于智者,传统成语,指聪明人不会传播谣言。,李敖用它批评朋友不应听信耳食之言。,
LABD-025,你笨蛋，你笨蛋,《胡适语粹》新序,006.《胡适语粹》新序.txt,31,31,"慎终追远, 民德归厚矣",论语名句,《论语》曾子语。,李敖借此说明纪念胡适与保存《胡适语粹》的文化意义。,
LABD-026,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,3,3,皮之不存，毛将安传？,古典成句,通行作“皮之不存，毛将焉附”的化用。,李敖以此写《胡适选集》被消灭后连序也无从谈起。,
LABD-027,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,7,7,交友以自大其身；求士以求此身之不朽。,清儒文句,李塨语，胡适晚年喜欢引用。,李敖借此说明胡适交友与求士两种身后用心。,
LABD-028,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,7,7,呵！李先生！连我自己都忘记了、丢光了的著作，你居然都能找得到！你简直比我胡适之还了解胡适之！,胡适语,胡适对李敖搜集其著作的称许。,李敖以此显示自己对胡适散佚文字的熟悉。,
LABD-029,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,9,9,尸骨未寒,传统成语,指人刚死不久。,李敖用来写胡适去世后周围人迅速冷漠。,
LABD-030,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,9,9,不认得耶稣,宗教典故,彼得三次不认耶稣的典故。,李敖用彼得典故写胡适旧友在其死后的变脸。,
LABD-031,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,9,9,告朔饩羊,论语典故,《论语》典故。,李敖用此讽刺形式化的纪念仪式。,
LABD-032,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,17,17,借一千，还十万,胡适札记题名,胡适《留学日记》札记题名。,李敖以此比照自己用《胡适选集》回报胡适知遇。,
LABD-033,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,75,75,借尸还魂,传统成语,比喻凭借旧事物重新出现。,李敖用来写《胡适选集》在多年后重新出版。,
LABD-034,你笨蛋，你笨蛋,《胡适选集》补序,007.《胡适选集》补序.txt,75,75,卷土重来,传统成语,失败后重整力量再来。,李敖用此写《胡适选集》复出。,
LABD-035,你笨蛋，你笨蛋,五十年是什么？,008.五十年是什么？.txt,21,27,"飞来山上千寻塔，
闻说鸡鸣见日升，
不畏浮云遮望眼，
自缘身在最高层。",宋诗,王安石《登飞来峰》,李敖转录王安石全诗，说明胡适条幅所写后二句的出处与怀抱。,
LABD-036,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,13,13,仗义输（疏）财,传统成语,“仗义疏财”的谐写。,李敖用它说明伸张正义需要财力支撑。,
LABD-037,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,13,13,市义,战国典故,孟尝君门客冯谖为君市义的典故。,李敖用战国典故说明正义也需要实际经营。,
LABD-038,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,13,13,为君市义,战国典故,孟尝君门客冯谖语。,李敖引用此句作为正义可被实践检验的典故。,
LABD-039,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,13,13,市不义,拟古谐语,仿“市义”反造。,李敖以此讽刺花钱玩弄法律也可买到不义。,
LABD-040,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,21,21,人生太短不要鸡毛蒜皮。,外国名言译语,英国首相狄士雷利语，原文 Life is too short to be little.,李敖引狄士雷利语，说明私人缠讼常失之太小。,
LABD-041,你笨蛋，你笨蛋,从李文告小布什说起,010.从李文告小布什说起.txt,21,21,Life is too short to be little.,英语名言,英国首相狄士雷利语。,李敖引英文原句，说明人生不宜困于细小纷争。,
LABD-042,你笨蛋，你笨蛋,从眼神到背影,011.从眼神到背影.txt,23,23,急流勇退,传统成语,形容在顺势或险势中及时退出。,李敖借成语谈是否退出选举。,
LABD-043,你笨蛋，你笨蛋,从眼神到背影,011.从眼神到背影.txt,39,39,逝者如斯夫，不舍昼夜,论语名句,《论语》孔子语。,李敖以孔子临河浩叹写年龄与时间感。,
