id	present_in_source	political_hits	duplicate_text	source_file	line	quote_text
LALZCS-001	yes		no	002.你盖棺，我论定.txt	11-11	安事诗书
LALZCS-002	yes		no	002.你盖棺，我论定.txt	29-29	群贤毕至，少长咸集
LALZCS-003	yes		no	002.你盖棺，我论定.txt	113-113	事出于沉思，义归于翰藻
LALZCS-004	yes		no	003.张琍敏的爸爸杀了谁？.txt	81-81	一座没有爆发的火山，火烧得我痛，却始终没有能力（就是技巧）炸开那禁锢我的地壳，放射出光和热来……
LALZCS-005	yes		no	003.张琍敏的爸爸杀了谁？.txt	109-109	信史随心翻铁案，狂夫呓语作金科
LALZCS-006	yes		no	004.为何将军腰.txt	3-3	柳丝长、春雨细
LALZCS-007	yes		no	004.为何将军腰.txt	3-3	为严将军头
LALZCS-008	yes		no	004.为何将军腰.txt	99-99	行行重行行
LALZCS-009	yes		no	004.为何将军腰.txt	169-169	以德报怨
LALZCS-010	yes		no	004.为何将军腰.txt	185-185	先秤秤你的分量
LALZCS-011	yes		no	004.为何将军腰.txt	187-187	由你这厮奸似鬼，喝了老娘洗脚水
LALZCS-012	yes		no	004.为何将军腰.txt	245-245	刀下留人
LALZCS-013	yes		no	004.为何将军腰.txt	245-245	人下留刀
LALZCS-014	yes		no	004.为何将军腰.txt	277-277	授受不亲
LALZCS-015	yes		no	005.宋英别丟老公的脸了！.txt	13-13	天怒人怨
LALZCS-016	yes		no	005.宋英别丟老公的脸了！.txt	19-19	嗟来食
LALZCS-017	yes		no	008.谁是老贼中的老贼？.txt	7-7	调和鼎鼐
LALZCS-018	yes		no	008.谁是老贼中的老贼？.txt	7-7	含饴弄孙
LALZCS-019	yes		no	008.谁是老贼中的老贼？.txt	13-13	爱人以德
LALZCS-020	yes		no	009.官方秘密文件中的林栋受贿证据.txt	5-5	生我之门死我户
LALZCS-021	yes		no	010.盛世才式虐待狂.txt	91-91	先天下之忧而忧，后天下之乐而乐
LALZCS-022	yes		no	010.盛世才式虐待狂.txt	101-101	水干石头显，真金不怕火炼
LALZCS-023	yes		no	013.俞国华下台的省籍意义.txt	3-3	英国人呀！你们因为我是法国人而要杀我，难道因我不是英国人所受的惩罚还不够吗？
LALZCS-024	yes		no	013.俞国华下台的省籍意义.txt	7-7	奸黄陂，狡孝感，又奸又狡是汉川
LALZCS-025	yes		no	013.俞国华下台的省籍意义.txt	7-7	天上九头鸟，地下湖北佬
LALZCS-026	yes		no	013.俞国华下台的省籍意义.txt	9-9	无宁不成埠
LALZCS-027	yes		no	013.俞国华下台的省籍意义.txt	11-11	回汤豆腐干
LALZCS-028	yes		no	013.俞国华下台的省籍意义.txt	13-13	赢头输尾
LALZCS-029	yes		no	013.俞国华下台的省籍意义.txt	19-19	朝里阿大
LALZCS-030	yes		no	015.陶百川蹂躏人权的证据.txt	7-7	好汉不提当年勇
LALZCS-031	yes		no	017.梁肃戎是第一劣等东北人.txt	11-11	胳膊肘朝外弯
LALZCS-032	yes		no	018.蒋彦士，大浑蛋.txt	3-3	你这给奴才做奴才的奴才
LALZCS-033	yes		no	018.蒋彦士，大浑蛋.txt	9-9	既做好官，又要做好人，两者岂可得兼耶？
LALZCS-034	yes		no	019.薛岳与民进党.txt	3-3	恺撒已死
LALZCS-035	yes		no	019.薛岳与民进党.txt	3-3	我就是恺撒！
LALZCS-036	yes		no	020.家奴终于忍不住了！.txt	7-7	见利忘义
LALZCS-037	yes		no	020.家奴终于忍不住了！.txt	11-11	见义得利
