id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LADHL-001,李敖对话录,《李敖对话录》自序,《李敖对话录》自序.txt,5,5,用口语的通俗，表达出质疑、问难和抬杠,文论格言,李敖《李敖对话录》自序,概括对话体的表达特色。,
LADHL-002,李敖对话录,《李敖对话录》自序,《李敖对话录》自序.txt,7,7,别开生面,传统成语,传统成语,形容对话录体例有新局面。,
LADHL-003,李敖对话录,《李敖对话录》自序,《李敖对话录》自序.txt,7,7,虚实双修,李敖序文成句,李敖《李敖对话录》自序,以虚构与实录兼具概括本书体例。,
LADHL-004,李敖对话录,《李敖对话录》自序,《李敖对话录》自序.txt,7,7,音容宛在,传统成语,传统成语,形容读来如见其人其声。,
LADHL-005,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,31,31,不是逢人苦誉君，亦狂亦侠亦温文,清代诗句,龚自珍诗句,以狂、侠、温文三面自况。,
LADHL-006,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,71,71,中国人写白话文，五十年来五百年内，我李敖是第一把交椅,李敖自评名言,李敖访谈自评,以第一把交椅自评白话文地位。,
LADHL-007,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,77,77,嘴巴上骂我吹牛的人，心里都为我供了牌位。,李敖自评名言,李敖访谈自评,以戏谑方式回应外界对其自负的看法。,
LADHL-008,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,77,77,行云流水,传统成语,传统成语,形容文章自然流畅。,
LADHL-009,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,79,79,五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖,李敖自评名言,李敖访谈自评,以反复押韵形成自评与广告效果。,
LADHL-010,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,91,91,有之不必然，无之必不然,荀子成句,《荀子》相关成句,以有无关系说明条件差异。,
LADHL-011,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,129,129,三刀六眼,江湖俗语,传统江湖俗语,以江湖规矩比喻强悍作风。,
LADHL-012,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,139,139,妇人之仁,传统成语,传统成语,形容不合时宜的软弱仁慈。,
LADHL-013,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,155,155,行不言之教,道家成句,《老子》相关成句,指以不言而教的高境界。,
LADHL-014,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,163,163,天知地知你知我知,古典成句,杨震四知典故化用,用四知典故表示私下行为仍有见证。,
LADHL-015,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,181,181,我从来就没有哥哥。,历史人物答语,陈平故事,以一句答语化解偷嫂传闻。,
LADHL-016,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,191,191,我德比才高,李敖自评名言,李敖访谈自评,反转才德高低的外界评价。,
LADHL-017,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,193,193,自反而不缩，虽千万人，吾往矣！,孟子成句,《孟子·公孙丑上》成句,表达自省无愧后的独往勇气。,
LADHL-018,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,197,197,人家捧我，我很不安，因为捧的不够。,外国作家格言,萧伯纳语,以反讽方式谈自我夸奖。,
LADHL-019,李敖对话录,才华盖世侠骨柔情的思想家,001.才华盖世侠骨柔情的思想家.txt,203,203,不必为五斗米折腰,陶渊明典故,陶渊明不为五斗米折腰典故,表示不为小利屈身。,
LADHL-020,李敖对话录,对是非绝对是不让步的,002.对是非绝对是不让步的.txt,61,61,今世之儒世，自以为得正心诚意之学者，皆风痹不知痛痒之人也！,宋人评语,陈亮评当世读书人语,批评空谈心性而无痛痒的学者。,
