id	source_file	line_start	line_end	category	quote_len	range_hit	file_hit	quote_text
LAXA60-001	001.20090803惨绿少年·初抵台湾.txt	19	19	李敖诗	31	yes	yes	六十年前谁识我，六十年后我识谁，信知老屋终作土，捧得凄凉片瓦回
LAXA60-002	001.20090803惨绿少年·初抵台湾.txt	55	55	李敖诗	66	yes	yes	好花应折，因为花会老。莫等盛开，折花要趁早。春天应寻，因为春会老。莫等冬去，才把春天找。爱情应断，因为情会老。劳燕先飞，是为两人好。
LAXA60-003	002.20090804狂妄青年·崭露头角.txt	5	5	李敖格言	32	yes	yes	用他听得懂的话，你只得到他的脑；用他说得出的话，你才得到他的心。
LAXA60-004	002.20090804狂妄青年·崭露头角.txt	25	25	李敖诗	94	yes	yes	老兵永远不死，他是一个苦神。他一生水来火去，轮不到一抔土坟。他无人代办后事，也无心回首前尘，他输光全部历史，也丢掉所有亲人。他没有今天夜里，也没有明天早晨，更没有勋章可挂，只有着满身弹痕。
LAXA60-005	002.20090804狂妄青年·崭露头角.txt	55	55	古典文句	11	yes	yes	蛟龙得云雨，终非池中物
LAXA60-006	002.20090804狂妄青年·崭露头角.txt	61	61	李敖诗	23	yes	yes	春去人犹在，车站证此身，不见徐复观，只见徐武军
LAXA60-007	003.20090805文星之火·火首燎原.txt	25	25	清人格言	17	yes	yes	交友以自大其身，求士以求此身之不朽
LAXA60-008	004.20090806隐居谈情·东山再起.txt	19	19	李敖格言	50	yes	yes	五十年来和五百年内，中国人写白话文的前三名是李敖，李敖，李敖，嘴巴上骂我吹牛的人，心里都为我供了牌位
LAXA60-009	005.20090807以笔载史·叱吒风云.txt	71	71	清代对联	15	yes	yes	妻太聪明夫太怪，人何寥落鬼何多
LAXA60-010	005.20090807以笔载史·叱吒风云.txt	83	83	近代诗句	23	yes	yes	慷慨歌燕市，从容做楚囚；引刀成一快，不负少年头
LAXA60-011	005.20090807以笔载史·叱吒风云.txt	83	83	李敖改联	42	yes	yes	引刀成一快，人心大快，仇者先快，亲者后快；不负少年头，浪子回头，为了大头，苦了小头。
LAXA60-012	005.20090807以笔载史·叱吒风云.txt	103	103	李敖格言	25	yes	yes	长寿的秘诀是慎重选择父母；结婚的秘诀是慎重选择前妻
LAXA60-014	006.20090808独坐孤岛·创格完人.txt	13	13	现代诗句	7	yes	yes	相逢一笑泯恩仇
LAXA60-015	006.20090808独坐孤岛·创格完人.txt	20	20	近代诗句	15	yes	yes	不信青春唤不回，不容青史尽成灰
LAXA60-016	006.20090808独坐孤岛·创格完人.txt	22	22	李敖诗	104	yes	yes	不必有惊天号角，不必有动地鼓鼙。无声中，我们作战，在泥里，一片春泥。哪怕是好花堕水，哪怕是落红成离。只相信此心一念，一念里多少凄迷。明知你——你将远走，明知我——我志不移，明知他——灰飞烟灭，也要下这盘残棋。
LAXA60-017	006.20090808独坐孤岛·创格完人.txt	32	32	李敖格言	43	yes	yes	当目标远在天边的时候，过程对我们就更重要了；目的远在天边的时候，手段对我们就更重要了。
LAXA60-018	006.20090808独坐孤岛·创格完人.txt	34	34	外国诗译文	138	yes	yes	没有人能自全，没有人是孤岛，每人都是大陆的一片，要为本土应卯。哪便是一块土地，哪便是一方海角，哪便是一座庄园，不论是你的，还是朋友的。一旦海水冲走，欧洲就要变小，任何人的死亡，都是我的减少，做为人类的一员，我与生灵共老，丧钟在为谁敲，我本茫然不晓，不为幽明永隔，它正为你哀悼。
LAXA60-019	006.20090808独坐孤岛·创格完人.txt	34	34	外国诗译文	84	yes	yes	没有人是一个岛，自给自足；每个人都是大陆的一部分，整体的一片段。如果一块土地被冲走，正如冲走了你朋友的田庄或是你自己的田庄，不论谁死了，我都受损，因为我和人类息息相关。
LAXA60-020	006.20090808独坐孤岛·创格完人.txt	46	46	明末清初诗句	15	yes	yes	远路不须愁日暮，老年终自望河清
LAXA60-021	006.20090808独坐孤岛·创格完人.txt	58	60	清代对联	45	yes	yes	开万古得未曾有之奇，洪荒留此山川，作遗民世界\n极一生无可如何之遇，缺憾还诸天地，是创格完人
LAXA60-022	001.20090803惨绿少年·初抵台湾.txt	41	41	李敖格言	13	yes	yes	婚丧喜庆都是一些无聊的动作
LAXA60-023	004.20090806隐居谈情·东山再起.txt	63	63	传统俗语	7	yes	yes	肥水不落外人田
LAXA60-024	004.20090806隐居谈情·东山再起.txt	63	63	李敖改俗语	7	yes	yes	水肥不落外人田
LAXA60-025	006.20090808独坐孤岛·创格完人.txt	13	13	现代文句	14	yes	yes	让他们怨恨去，我一个都不宽恕
LAXA60-026	006.20090808独坐孤岛·创格完人.txt	38	38	现代文论句	19	yes	yes	入乎其内，故有低迴；出于其外，故有高致
LAXA60-027	006.20090808独坐孤岛·创格完人.txt	48	48	五代词句	7	yes	yes	梦里不知身是客
LAXA60-028	006.20090808独坐孤岛·创格完人.txt	64	64	传统观念	6	yes	yes	立德立言立功
