id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
INSP-001,启发你的小故事,《启发你的小故事》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/《启发你的小故事》题辞.txt,3,3,喜欢借题发挥,格言,胡适,1962年胡适死前不久，曾批评李敖写的文章“喜欢借题发挥”，其实李敖这种毛病，不止於写文章，甚至在说故事时也言近旨远，借题发挥个没完。李敖喜欢在写文章中插入说故事，文章中常有个穿插的小故事，且这故事是“他在其中”的，就像大导演希区柯克拍的电影中，总有导演本人小亮一相一样。李敖以现身说故事以代说法，用启发你的小故事，令你开颜。,题辞中引胡适语，独立成句。
INSP-002,启发你的小故事,《启发你的小故事》题辞,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/《启发你的小故事》题辞.txt,3,3,言近旨远,格言,成语,1962年胡适死前不久，曾批评李敖写的文章“喜欢借题发挥”，其实李敖这种毛病，不止於写文章，甚至在说故事时也言近旨远，借题发挥个没完。李敖喜欢在写文章中插入说故事，文章中常有个穿插的小故事，且这故事是“他在其中”的，就像大导演希区柯克拍的电影中，总有导演本人小亮一相一样。李敖以现身说故事以代说法，用启发你的小故事，令你开颜。,题辞中概括“小故事”的文体旨趣。
INSP-003,启发你的小故事,001.我给我画帽子,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/001.我给我画帽子.txt,5,5,画影图形,格言,成语,逃难时候，处处要“画影图形”，就照了一张穿中山装的。这张照片把我从上海证明到台湾、证明到台中一中，一路“验明正身”，没受刁难，最后却在童子军老师面前，打了回票。,比喻依图索人。
INSP-004,启发你的小故事,001.我给我画帽子,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/001.我给我画帽子.txt,9,9,我们家早起刷牙，买不起牙粉，更买不起牙膏，只能用盐水刷牙，哪有余钱去日月潭呢？,格言,李敖父亲,原因是：逃难到台湾，已经一穷二白。记得我正念初二，班上要远足，我听说日月潭不错，提议去日月潭，全班一致通过。回家向爸爸伸手，爸爸说：“我们家早起刷牙，买不起牙粉，更买不起牙膏，只能用盐水刷牙，哪有余钱去日月潭呢？”于是，全班在日月潭日月潭，我在家里日月潭。,家庭小故事中的机智答语。
INSP-005,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,5,5,无友不如己者,格言,《论语》,被朋友伤了心，不全怪朋友，主要还怪你自己。怪你自己没有在一开始把握住交友之道。孔夫子两次提到“无友不如己者”，要“友直、友谅、友多闻”，如果你正直过人、诚信过人、博学过人，还跟不如你的做朋友，岂不自找麻烦？孟夫子又补充说：“友天下之善士。”天下善士是可遇而不可求，“友天下之善士为未足，又尚论古人。”上溯古人，跟古人交朋友，才最安全、永恒、有趣味。,交友名句。
INSP-006,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,5,5,友直、友谅、友多闻,格言,《论语》,被朋友伤了心，不全怪朋友，主要还怪你自己。怪你自己没有在一开始把握住交友之道。孔夫子两次提到“无友不如己者”，要“友直、友谅、友多闻”，如果你正直过人、诚信过人、博学过人，还跟不如你的做朋友，岂不自找麻烦？孟夫子又补充说：“友天下之善士。”天下善士是可遇而不可求，“友天下之善士为未足，又尚论古人。”上溯古人，跟古人交朋友，才最安全、永恒、有趣味。,益友标准。
INSP-007,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,5,5,友天下之善士。,格言,《孟子》,被朋友伤了心，不全怪朋友，主要还怪你自己。怪你自己没有在一开始把握住交友之道。孔夫子两次提到“无友不如己者”，要“友直、友谅、友多闻”，如果你正直过人、诚信过人、博学过人，还跟不如你的做朋友，岂不自找麻烦？孟夫子又补充说：“友天下之善士。”天下善士是可遇而不可求，“友天下之善士为未足，又尚论古人。”上溯古人，跟古人交朋友，才最安全、永恒、有趣味。,交友层次。
INSP-008,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,5,5,友天下之善士为未足，又尚论古人。,格言,《孟子》,被朋友伤了心，不全怪朋友，主要还怪你自己。怪你自己没有在一开始把握住交友之道。孔夫子两次提到“无友不如己者”，要“友直、友谅、友多闻”，如果你正直过人、诚信过人、博学过人，还跟不如你的做朋友，岂不自找麻烦？孟夫子又补充说：“友天下之善士。”天下善士是可遇而不可求，“友天下之善士为未足，又尚论古人。”上溯古人，跟古人交朋友，才最安全、永恒、有趣味。,尚友古人之说。
INSP-009,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,7,7,既幸予得见王珣，又幸珣书不尽湮没，得见吾也！,格言,米芾,这种神交古人的干法，是否太抽象、太单向了呢？其实不然。十六七世纪的董其昌去长安，看到三世纪王珣的《伯远帖》，他非常感动，在帖后题字说：“既幸予得见王珣，又幸珣书不尽湮没，得见吾也！”——神交之下，古人也能见到你呢！,赏王珣书法语。
INSP-010,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,5,5,天下善士是可遇而不可求,格言,李敖,被朋友伤了心，不全怪朋友，主要还怪你自己。怪你自己没有在一开始把握住交友之道。孔夫子两次提到“无友不如己者”，要“友直、友谅、友多闻”，如果你正直过人、诚信过人、博学过人，还跟不如你的做朋友，岂不自找麻烦？孟夫子又补充说：“友天下之善士。”天下善士是可遇而不可求，“友天下之善士为未足，又尚论古人。”上溯古人，跟古人交朋友，才最安全、永恒、有趣味。,由交友古训引申出的断语。
INSP-011,启发你的小故事,002.交友之道新解,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/002.交友之道新解.txt,9,9,醉卧沙场,诗文,王翰《凉州词》,教训是：要交朋友，从“匪谍”到“天下之善士”，都有机会去碰到，往往二者合一，“匪谍”说不定就是“天下之善士”，你逃也难逃。最好还是神交古人，这样才只得其利，不见其弊。如果神交有术，交到花家木兰之类，说不定你还宁愿醉卧沙场、长入“时光隧道”，永不重返今生今世呢！,诗句典故片语。
INSP-012,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,5,5,八仙过海、各有各的神通,格言,俗语,另一个制度上的原因是薪金的不合理，我曾举房租津贴为例。按现行公教人员房租津贴月支标准，简任：七百元；荐任：六百元；委任：五百元；技工工友：四百元；单身职员二百元、工友一百五十元。但台湾地区的房租，以三十坪为准，台北市高达一万元，台中市八千元，即使最低的花莲也要三千元，以上述标准与房租津贴相比，相去达四倍至二十倍，极为悬殊，致使所谓津贴，作用可哂。再就租屋人数而言，以台湾省为例，近百分之八十五无公家宿舍可住，可以说绝大部分的公务员必须以完全不成比例的房租津贴支付高昂的房租。以无公家宿舍与有公家宿舍相比较，无公家宿舍以月支房租一万元计，全年就要十二万元。以每月简任房租津贴七百元计，全年不过八千四百元，超支房租十一万一千六百元。如果任职二十年，则累计超支房租二百二十三万二千元。这一数目，比中下级公务员的退休金还多得多，这算哪门子公平？虽然制度上不公平如此，但实际上，人人有屋住如彼，屋从何来？八仙过海、各有各的神通；生财有道，各有各的门路。此中因贪污所得，恐不在少。由此反证，制度上，大有为政府是比照你一定会有贪污所得，而叙你的薪、给你的房租津贴；一如比照商家一定会有逃税所得而定你的税负，一旦你不贪污，则薪水自然不敷；一如一旦你不逃税，则所赚必将涓滴归公一般，我所谓中国人贪污成风，乃制度使然，其道理在此。,各显本领。
INSP-013,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,5,5,生财有道,格言,成语,另一个制度上的原因是薪金的不合理，我曾举房租津贴为例。按现行公教人员房租津贴月支标准，简任：七百元；荐任：六百元；委任：五百元；技工工友：四百元；单身职员二百元、工友一百五十元。但台湾地区的房租，以三十坪为准，台北市高达一万元，台中市八千元，即使最低的花莲也要三千元，以上述标准与房租津贴相比，相去达四倍至二十倍，极为悬殊，致使所谓津贴，作用可哂。再就租屋人数而言，以台湾省为例，近百分之八十五无公家宿舍可住，可以说绝大部分的公务员必须以完全不成比例的房租津贴支付高昂的房租。以无公家宿舍与有公家宿舍相比较，无公家宿舍以月支房租一万元计，全年就要十二万元。以每月简任房租津贴七百元计，全年不过八千四百元，超支房租十一万一千六百元。如果任职二十年，则累计超支房租二百二十三万二千元。这一数目，比中下级公务员的退休金还多得多，这算哪门子公平？虽然制度上不公平如此，但实际上，人人有屋住如彼，屋从何来？八仙过海、各有各的神通；生财有道，各有各的门路。此中因贪污所得，恐不在少。由此反证，制度上，大有为政府是比照你一定会有贪污所得，而叙你的薪、给你的房租津贴；一如比照商家一定会有逃税所得而定你的税负，一旦你不贪污，则薪水自然不敷；一如一旦你不逃税，则所赚必将涓滴归公一般，我所谓中国人贪污成风，乃制度使然，其道理在此。,常用成语。
INSP-014,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,7,7,仰事俯蓄,格言,成语,说了一大堆中国人贪污成风的来龙去脉，虽多贬语，亦有恕词。恕词为何？依我看来，中下级公务员的贪污，未必全是坏事。一来是他们非贪污不足以仰事俯蓄时，小动手脚，也不失为对不合理的待遇的一种抗议。更重要的是，在法令滋彰的不合理制度下，如能因有人贪污而软化或松弛这种不合理，对人民又焉知非福？,养家糊口典故。
INSP-015,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,7,7,焉知非福,格言,成语,说了一大堆中国人贪污成风的来龙去脉，虽多贬语，亦有恕词。恕词为何？依我看来，中下级公务员的贪污，未必全是坏事。一来是他们非贪污不足以仰事俯蓄时，小动手脚，也不失为对不合理的待遇的一种抗议。更重要的是，在法令滋彰的不合理制度下，如能因有人贪污而软化或松弛这种不合理，对人民又焉知非福？,塞翁失马类成语。
INSP-016,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,9,9,铁面无私,格言,成语,多年前，我母亲在台中一中做职员，为人刚正，绝不贪污，刻板的墨守训导陋规，执行不懈。从同人到学生，都深以为苦。有一天我写信劝她，有这样的话：“你在台中一中工作十多年，工作成绩，有目共睹，……你知道我过去一再写文章攻击现在的中学训导处活像警察局，而你老太太正好在一中训导处掌管全校小毛头请假大权，不肯收任何红包，自然积怨不少。你记得上个月我还向你开玩笑说：你老太是标准的‘悍吏’，中学训导制度的严格与不合理，在某些方面，甚至需要‘人情’和‘红包’的力量来软化它、来松弛它，否则板板六十四。完全照严格与不合理的典章规定执行——不打折扣的执行，小毛头们就更苦了。您老太在中学训导处，铁面无私，完全是一个守恶法的才吏，未免太可怕了！”我上面这一劝告，对李老太完全无效，她照样把台中市长因请托而送的礼物丢到大门外面。从此我再也不劝她何妨“贪污”了，我改劝别家的老太太了。,常用成语。
INSP-017,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,9,9,板板六十四,格言,俗语,多年前，我母亲在台中一中做职员，为人刚正，绝不贪污，刻板的墨守训导陋规，执行不懈。从同人到学生，都深以为苦。有一天我写信劝她，有这样的话：“你在台中一中工作十多年，工作成绩，有目共睹，……你知道我过去一再写文章攻击现在的中学训导处活像警察局，而你老太太正好在一中训导处掌管全校小毛头请假大权，不肯收任何红包，自然积怨不少。你记得上个月我还向你开玩笑说：你老太是标准的‘悍吏’，中学训导制度的严格与不合理，在某些方面，甚至需要‘人情’和‘红包’的力量来软化它、来松弛它，否则板板六十四。完全照严格与不合理的典章规定执行——不打折扣的执行，小毛头们就更苦了。您老太在中学训导处，铁面无私，完全是一个守恶法的才吏，未免太可怕了！”我上面这一劝告，对李老太完全无效，她照样把台中市长因请托而送的礼物丢到大门外面。从此我再也不劝她何妨“贪污”了，我改劝别家的老太太了。,不通融的俗语。
INSP-018,启发你的小故事,003.贪污的一个好处,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/003.贪污的一个好处.txt,5,5,涓滴归公,格言,成语,另一个制度上的原因是薪金的不合理，我曾举房租津贴为例。按现行公教人员房租津贴月支标准，简任：七百元；荐任：六百元；委任：五百元；技工工友：四百元；单身职员二百元、工友一百五十元。但台湾地区的房租，以三十坪为准，台北市高达一万元，台中市八千元，即使最低的花莲也要三千元，以上述标准与房租津贴相比，相去达四倍至二十倍，极为悬殊，致使所谓津贴，作用可哂。再就租屋人数而言，以台湾省为例，近百分之八十五无公家宿舍可住，可以说绝大部分的公务员必须以完全不成比例的房租津贴支付高昂的房租。以无公家宿舍与有公家宿舍相比较，无公家宿舍以月支房租一万元计，全年就要十二万元。以每月简任房租津贴七百元计，全年不过八千四百元，超支房租十一万一千六百元。如果任职二十年，则累计超支房租二百二十三万二千元。这一数目，比中下级公务员的退休金还多得多，这算哪门子公平？虽然制度上不公平如此，但实际上，人人有屋住如彼，屋从何来？八仙过海、各有各的神通；生财有道，各有各的门路。此中因贪污所得，恐不在少。由此反证，制度上，大有为政府是比照你一定会有贪污所得，而叙你的薪、给你的房租津贴；一如比照商家一定会有逃税所得而定你的税负，一旦你不贪污，则薪水自然不敷；一如一旦你不逃税，则所赚必将涓滴归公一般，我所谓中国人贪污成风，乃制度使然，其道理在此。,公私分明。
INSP-019,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,5,5,有善走者，家中被窃，遂逐之，行步如飞。,诗文,《哈哈笑》,有善走者，家中被窃，遂逐之，行步如飞。遇友人问曰：“君何往？”曰：“逐贼耳！”问：“贼在何处？”善走者回头一望，急曰：“在后面，在后面。”,旧笑话开端。
INSP-020,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,5,5,君何往？,诗文,《哈哈笑》,有善走者，家中被窃，遂逐之，行步如飞。遇友人问曰：“君何往？”曰：“逐贼耳！”问：“贼在何处？”善走者回头一望，急曰：“在后面，在后面。”,旧笑话问句。
INSP-021,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,5,5,逐贼耳！,诗文,《哈哈笑》,有善走者，家中被窃，遂逐之，行步如飞。遇友人问曰：“君何往？”曰：“逐贼耳！”问：“贼在何处？”善走者回头一望，急曰：“在后面，在后面。”,旧笑话答句。
INSP-022,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,5,5,贼在何处？,诗文,《哈哈笑》,有善走者，家中被窃，遂逐之，行步如飞。遇友人问曰：“君何往？”曰：“逐贼耳！”问：“贼在何处？”善走者回头一望，急曰：“在后面，在后面。”,旧笑话问句。
INSP-023,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,5,5,在后面，在后面。,诗文,《哈哈笑》,有善走者，家中被窃，遂逐之，行步如飞。遇友人问曰：“君何往？”曰：“逐贼耳！”问：“贼在何处？”善走者回头一望，急曰：“在后面，在后面。”,旧笑话妙处。
INSP-024,启发你的小故事,004.追过了头,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/004.追过了头.txt,1,1,追过了头,格言,李敖,追过了头,由旧笑话引出的警句。
INSP-025,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,7,7,霸王饭,格言,俗语,有人请“霸王饭”、有人请“巴米塞得饭”（巴米塞得酒席，Barmecide feast），前者不吃不行、后者要吃没有，请客花样多端，其为学也，大矣！,“请客”花样之一。
INSP-026,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,7,7,巴米塞得饭,格言,Barmecide feast,有人请“霸王饭”、有人请“巴米塞得饭”（巴米塞得酒席，Barmecide feast），前者不吃不行、后者要吃没有，请客花样多端，其为学也，大矣！,西方典故译名。
INSP-027,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,7,7,Barmecide feast,格言,英语典故,有人请“霸王饭”、有人请“巴米塞得饭”（巴米塞得酒席，Barmecide feast），前者不吃不行、后者要吃没有，请客花样多端，其为学也，大矣！,空请客之典。
INSP-028,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,11,11,我吃过了，我请你客，就是专门请你自己吃，我不吃，我还是吃我在班里不要钱的大锅饭。,格言,李敖同学,一、我做预备军官时候，待遇太低，人人都穷。排中有一老士官，待人诚恳，一点也不做假。有一次他欠另一老士官的情，说要请客酬谢。到了小饭馆，他点了一份最贵的客饭，就请起对方来。对方奇怪，说两人吃一份客饭，太不对了吧？不料他诚诚恳恳的答道：“我吃过了，我请你客，就是专门请你自己吃，我不吃，我还是吃我在班里不要钱的大锅饭。”,穷学生请客笑谈。
INSP-029,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,13,13,要小杯的！,格言,旧同学笑谈,二、发了大财的画家席德进不得已请客，饭后客人要喝点饮料。席德进装听不到。那位客人忍不住了，叫来侍者，说：“给我一杯橘子汁。”侍者点头，刚要转身，席德进一把抓住，满脸堆笑叮咛道：“要小杯的！”,请客故事中的反转。
INSP-030,启发你的小故事,005.请客学一瞥,《大李敖全集6.0》分章节/016.李敖祸台五十年庆祝十书/005.启发你的小故事/005.请客学一瞥.txt,7,7,请客花样多端，其为学也，大矣！,格言,李敖,有人请“霸王饭”、有人请“巴米塞得饭”（巴米塞得酒席，Barmecide feast），前者不吃不行、后者要吃没有，请客花样多端，其为学也，大矣！,由小故事抽出的俏皮断语。
