id	source_file	line_start	line_end	present	political_hits	quote_text
LALYZTF-001	001.关于李远哲忘恩负义的讨论.txt	11	11	yes		孺子可教
LALYZTF-002	001.关于李远哲忘恩负义的讨论.txt	11	11	yes		王门立雨
LALYZTF-003	001.关于李远哲忘恩负义的讨论.txt	97	97	yes		天外有天
LALYZTF-004	001.关于李远哲忘恩负义的讨论.txt	123	123	yes		饮水思源
LALYZTF-005	001.关于李远哲忘恩负义的讨论.txt	175	175	yes		石沉大海
LALYZTF-006	001.关于李远哲忘恩负义的讨论.txt	175	175	yes		言笑晏晏
LALYZTF-007	001.关于李远哲忘恩负义的讨论.txt	267	267	yes		此地不留爷，自有留爷处
LALYZTF-008	001.关于李远哲忘恩负义的讨论.txt	305	305	yes		君子之爱人也，以德；细人之爱人也，以姑息
LALYZTF-009	006.李远哲有两个.txt	3	3	yes		化身博士
LALYZTF-010	006.李远哲有两个.txt	3	3	yes		判若两人
LALYZTF-011	007.改变台湾命运，要选对人.txt	87	87	yes		樽前作剧莫相笑，我死诸君思此狂
LALYZTF-012	019.一位理科教授对李远哲的纠举.txt	61	61	yes		虽千万人吾往矣
LALYZTF-013	019.一位理科教授对李远哲的纠举.txt	63	63	yes		两岸猿声啼不住，轻舟已过万重山
LALYZTF-014	019.一位理科教授对李远哲的纠举.txt	63	63	yes		四两拨千斤
LALYZTF-015	019.一位理科教授对李远哲的纠举.txt	71	71	yes		君子道消、小人道长
LALYZTF-016	019.一位理科教授对李远哲的纠举.txt	71	71	yes		为所当为
LALYZTF-017	021.潘毓刚论李远哲的两封信.txt	23	23	yes		隔行如隔山
LALYZTF-018	021.潘毓刚论李远哲的两封信.txt	29	29	yes		事在人为
