id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LASHXJ-001,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,45,45,前人种树，后人夺树而纳凉,俗语变体,传统俗语“前人种树，后人乘凉”的反讽变体,以树荫被后来者夺取，概括遗业被侵占的讽刺意味。,
LASHXJ-002,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,73,73,求仁得仁,论语成句,《论语·述而》“求仁而得仁”成句,用以表示所求之道已经得到，因而无怨。,
LASHXJ-003,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,105,105,天网恢恢，疏而不漏,道家格言,《老子》成句,以恢恢天网比喻终有公道与报应。,
LASHXJ-004,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,105,105,魂兮归来,楚辞成句,《楚辞·招魂》名句,以招魂语寄托遥祭与哀悼。,
LASHXJ-005,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,137,137,数天涯，依然骨肉，几家能够？,古典词句,古典词句化用，文中作乱离亲情之叹,以天涯骨肉相隔，写乱离中亲人难全。,
LASHXJ-006,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,157,157,乘桴浮于海,论语成句,《论语·公冶长》成句,借孔子浮海之叹，比喻离去与远行。,
LASHXJ-007,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,161,175,"傲骨本天生

非能口舌争

有才君佯狂

无势我真怜

击鼓敢骂曹

任性终误萧

浮云遮白日

狱中作长啸",友人题诗,居浩然《天涯怀李敖》,以傲骨、佯狂、击鼓骂曹等意象写友人身世与狱中气概。,收录为李敖文中引用的友人诗，不作李敖自作处理。
LASHXJ-008,李敖书序集,写在居浩然《十论》的前面,001.写在居浩然《十论》的前面.txt,177,177,情见乎辞,易传成句,《周易·系辞》相关成句,用以说明真情自然显露于文字。,
LASHXJ-009,李敖书序集,介绍《紫禁城的黄昏》,004.介绍《紫禁城的黄昏》.txt,29,35,"咬不开、捶不碎的核儿，

关不住核儿里的一点生意；

百尺的宫墙，千年的礼教；

锁不住一个少年的心！",现代诗,胡适《有感》,以核儿和宫墙意象写少年生命力不可禁锢。,
LASHXJ-010,李敖书序集,介绍《紫禁城的黄昏》,004.介绍《紫禁城的黄昏》.txt,39,39,嗟夫！丧乱之余，得此目击身经之实录，信乎其可贵也！,序文摘句,溥仪为庄士敦《紫禁城的黄昏》所作序,称许亲历实录在乱离之后的可贵。,
