file	line	score	tags	quotes	text
117.你还不配做台湾人！.txt	15	18	poem|classical|proverb|quote|literary_people		我告诉大家，我今年67岁，我生在1935年4月，在我生那一年那个月，胡适博士的写了篇很有趣的文章，就是那个时候，很多中国的守旧势力说我们要给小孩子读经，所谓读经什么？所谓读经，就是念四书五经。胡适就写文章，这个标题是《我们今日还不配读经》。为什么不配读经？因为我们不懂这个经，四书五经我们懂得这个比例其实很少。什么原因？它很难懂，古代的东西，语言、文法、当时的说话背景、文字的定义，跟现在不一样，所以大家读不懂。那怎么办？就是我们要去读四书五经，是骗人的。所以胡适讲的一句话：五经到今天为止还是只有一半懂得一半不懂的东西。大家想不到，《诗经》《书经》《易经》什么，其实大家只能懂一半，可谁会承认？没人会承认怎么懂一半呢？一个中国的大学者叫做王国维，他最后点破了真相。所以清朝人搞这个古典研究，搞了300年以后。胡适说：谁料到了这300年的末了，王国维先生忽然公开揭穿了这张黑幕，老实的承认，《诗经》他不懂的有十之一二，《尚书》他不懂的有十之五。一半都不懂。王国维那么了不起的学者，他说他一半都不懂。什么原因？我们还不配读经。所以胡适的结论：总而言之，古代的经典，今日正在开始受科学整理的时期，傅斯年说的六经虽在专门家手中也不是半懂半不懂的东西，真是确当的估计。诗、书、易、仪礼，固然有十之五我们是不能读懂的，春秋三传也都有从头整理研究的必要，就是《论语》《孟子》也至少有十分之一二是必须经过新经学的整理的。换句话说，我们今天没有资格去读经。
089.美国爸爸救命.txt	37	16	poem|classical|proverb|quote|literary_people|political_context		李敖大哥大。我继续讲躲躲躲躲躲。首先我给大家讲个有趣的故事，使大家看到为什么我刚才谴责这个闽南话呢？因为闽南话文字跟不上，没有文字你这个文化就没落。我们讲国语，国语它有文字跟得上，文字上来是很重要的一点。我跟大家举个例子，大家知道有句谚语叫做太阳底下没有新鲜的事。换句话说呢，很多事情你以为是你自己的事情，事实上呢是别人的事情，你以为你说的自己的话，事实上这话已经被别人说过了，这是很痛苦的一件事情。宋朝的大文豪苏东坡就讲了一段话，他看了李白的诗、看了唐朝杜甫的诗，发现有些好句子他苏东坡宋朝的苏轼他可以写出来，可是不能了，因为被唐朝人写过了，你再写就抄人家的话，抄袭。可是苏东坡说，以我的才气很多句子，李白能写的我也可以写出来；杜甫能写的，我也可以写出来，可是因为古人生在我前面，唐朝人生在宋朝人前面，所以被李白、杜甫先写出来了。宋朝的儒者讲：东海有圣人出焉，西海有圣人出焉。东海的这地方有圣人出现，西海有圣人出现。东海有圣人出焉，西海有圣人出焉。此心同，此理同。就是说人同此心，心同此理。西方的圣人跟东方的圣人不谋而合，会讲同样的话。我举个例子给大家看，好比说古代的庄子讲了一句话，他说：彼窃钩者诛，窃国者为诸侯。什么叫窃钩呢？钩就是我前面皮带上的皮带环，腰带那个环叫钩，把这个钩偷走了，偷了个小东西诛，杀掉。什么叫诛呢？诛就是宣布你罪状把你杀掉，就偷个小东西就把他杀掉。窃国者侯，他偷了一个国家的时候就变成了中华民国总统，变成了这个立法院院长，为什么呢？他偷个大的没事儿，偷个小的就杀掉。这个概念到了英国，被20世纪的英国作家叫做萧伯纳，他讲了一句话，他说：偷一块面包关进监牢，偷一条铁路送进国会。偷面包很小的东西，把你抓起来关监牢；可是偷了一条铁路，介入公营事业搞鬼，像今天这个陈水扁派了这么多民进党大员接收台糖、接收台盐，接收了以后干什么呢？找利益啊。可是呢，没事儿啊！进入国会还做议员。请看萧伯纳的这句话：偷一块面包关进监牢，偷一条铁路送进国会。这句话在句子结构上面跟中国的庄子的：彼窃钩者诛，窃国者为诸侯。有什么不同呢？完全一样。可是20世纪的萧伯纳有没有念过这个一两千年前庄子的中国书呢？他没有念过。可是讲出这话来跟中国的庄子不谋而合，什么原因呢？东海有圣人出焉，西海有圣人出焉，此心同，此理同。就是我们今天所说的人同此心，心同此理。
102.微臣有力可遮天.txt	11	16	poem|classical|proverb|quote|literary_people|political_context		李敖大哥大。今天讲的第一个题目叫做微臣有力可遮天。驻南非的陆以正大使，昨天有一个新书发表会，他发表了他的新书名字叫做《微臣无力可回天》，就是陆以正的外交生涯这个书。这个书昨天新书发表会，今天早晨我就买了两本。为什么买两本？就是我可以切开正反来剪贴，买两本。并且在我上节目以前，已经看完了，当然大家知道我李敖看书的速度。看了以后，我把这个题目就改成了微臣有力可遮天，它是微臣无力可回天。陆以正大使这个题目用的很有技巧，原来的这个诗是台湾的一位有名的人士，叫做丘念台的父亲叫做丘逢甲，他写的两句诗叫做：宰相有权能割地，指李鸿章有权利把台湾土地割掉。孤臣无力可回天，他一个单独的大臣，没有办法可以把这个情况扭转回来。陆以正大使很谦虚，他说不能用孤臣，只能用微臣。我必须说陆以正大使这个微字用的不好。为什么不好？我的好朋友朱良箴教授，也是我所佩服的，他跟我说陆以正大使英文好的不得了，因为朱良箴教授英文也好的不得了，他说陆以正大使英文好得不得了。可是他把这个孤臣无力可回天改成微臣的微字，在中文的用法上面，我李敖认为有一点问题。因为微字，我们不太用微臣。我们说小臣，很少用到微臣，我没有见过用微臣。为什么呢？这个微字在中国古代意思，是没有的意思。所以孔子说：微管仲，吾其披发左衽矣。没有管仲的话，我就披着头发向左面开襟，就是胡人的开襟。为什么我们讲说于右任呢？于右任表示，我是汉人，我说这边这个襟是向右开的。向左开的就是胡人，孔子说：微管仲，吾其披发左衽矣。可是微字是没有的意思，当然也有其他的意思。好比说这个古代有个笑话，就一个人就是谈到这个微管仲的考试的时候，他说这个微字就是不能这个唯一的解释就是无的意思，考官就骂他，他说孔子不但是微管仲，吾其披发左衽矣。孔子还是微服而过宋，微服什么意思？微服就是化妆，穿着便衣，来离开这宋国。那微服过宋的话，微字如果变成无字的话，就孔子光着屁股就过了宋国，可以吗？所以微字不完全是无的意思，还有这种隐藏的、化妆的种种其他的意思。可是，用来做臣子的话，我认为陆以正大使，说错了！什么原因？因为他不是微臣，他不是人微言轻的这种小臣，他是大臣。他也许在某些方面无力可回天，可是他可以遮天。为什么遮天？因为他帮着一个很可恶的政权在遮天这个可恶的政权就是蒋介石他这个政权。
095.李敖谈《中国时报》.txt	11	15	poem|classical|proverb|quoted	上帝临女|上帝临女|上帝临女|上帝临女	李敖大哥大。今天讲的第一个题目叫做“上帝临女”新解。在中国的《诗经》里面和中国的《左传》这部书里面，都有出现过“上帝临女”的这个字眼。这个临字什么意思？我们说大驾光临，临字在中国最古典的解释，就是监视你，出现你的面前，后来这个字光临的临字，意思变宽了。好比说皇帝死了，你要到皇帝的尸体旁边去哭，这叫苦临。“上帝临女”什么意思？就是上帝在看着你。古代的这个“汝”字就是这个女字，所以讲“上帝临女”新解。为什么李敖有新解？请大家先看一张昨天晚上我拿到的东西，佳音内儿科诊所，院长、台大医学士于志哲医生给我开的这个药。为什么我请于大夫帮我看？我可以告诉各位，我有很多律师，也有很多的医师。一般我有感冒，我会找于大夫；我有喉咙问题，我会找刘振医师；我心脏问题，谢士明院长。我一般的这个新陈代谢部分，我会我会到振兴医院看我的好朋友王光国医师。于大夫离我最近，所以我一有感冒，我就去看他。大家看到，前几天地震，南部的鳄鱼先感到不安。为什么？因为这种爬虫类这种动物，它有一个本领，先知道地震的这种情况。我李敖也是这样子。大家知道吗？天气忽然温度变下来，变下来四度五度，我就先感冒。什么先感冒呢？告诉你这个天气要冷了。一感冒声音就变得很不好，可是，我没有借口不来，陈文茜还有借口，她跑到外国去了，叫别人代她。可是，我还要来做这个节目，除非有重大的情况，好比说开刀。基本上，我是要来的。
095.李敖谈《中国时报》.txt	15	15	poem|classical|proverb|quote|quoted|political_context	上帝临女|上帝临女|上帝临女	我跟于志哲医师这样讲过话以后，我回来我就忽然想起来，哎呀我的上帝是什么啊？我的上帝就是女人啊！上帝临汝就是“上帝临女”什么意思？当时在中国的古代《诗经》里面的意思，有一句话叫做：上帝临女，无贰尔心。大家看台湾大学中文系死掉的屈万里教授，他写的这个《诗经诠释》这本书，看他第34则的这个注解，他说：贰心，犹言变心也。屈万里教授说的对不对？我认为翻译的不好。无贰尔心的意思，就是上帝在注意你了，上帝已经把你锁定了。无贰尔心不是说你要变心，而是说你不要再三心两意了。什么原因？你要相信上帝。这样子翻，才比较准确。无贰尔心就是不要再三心两意了。为什么我讲这个话呢？我也有上帝，大家看到这个人没有，这个照片给大家看，这就是俄国最有名的诗人叫普希金。普希金后来为了保护他的太太，跟别人决斗，那个时代还有决斗，结果他被那个男的打死了。他写了一本秘密的日记，这个日记他交代很清楚，他死后100年才能够发表。现在，普希金的日记发表了，我们才知道这是什么日记呢？这个整本日记是对女性生殖器的歌颂的一个日记，日记也没有确切的日期。大概可以查出来大概是什么时候开始的，什么时候结束的。绝大部分都是一个我们讲的术语，叫生殖器崇拜。一般生殖器崇拜，都是阳具的，就是崇拜男人的，像日本人弄出一个好大的木头雕的这种东西，大家都扛着它，干什么？崇拜男人的。好比说在古代的北方也是，我们看到很多那个佛像，或者那个有这个动物性的驴，很多女人去摸，为什么摸呢？因为摸了以后，觉得会生小孩子，他基本上是一个生殖器崇拜。可是我们觉得很有趣，在普希金死后100年，他的日记出现的时候，我们发现他的这个日记里面，左歌颂的是女人的生殖器，右歌颂的是女人的生殖器，他描写他所见过的女人的各种生殖器的这个形状、这种颜色、这种温暖，他在拼命的描写。当时为什么不发表呢？就发表之后，会影响他的名誉。可是他现在已经成名了，他已经死了100年以后了，没事儿了，所以就发表了这个日记。现在才发现，上帝临汝就是“上帝临女”，我才知道就是普希金所说的，他看到漂亮女人的这种生殖器以后，他就好像看到了上帝。懂我意思吗？所以我觉得，我没有跟于大夫、于院长开玩笑。可是对我说起来，真正的漂亮的女人包括图片，对我而言就是治我病的一个上帝。虽然我现在感冒的已经很严重了，我声音变得很小，并且很沙哑，我一开始跟大家开这个玩笑就叫做“上帝临女”新解。
013.有种就别学猪叫.txt	13	14	poem|proverb|quote|literary_people		大家知不知道过去在释迦摩尼的时候，有一个很有名的人叫做维摩诘。请大家看敦煌壁画里面的他的画，这就是维摩诘。他有一个很有名的学生就是文殊菩萨。维摩诘生病的时候，文殊菩萨去向他请教问题，就是佛教里面最有名的叫做文殊问疾，就慰问他老师的生病，就是维摩诘的这个病。所以后来王安石就写一首诗，最后就说：维摩虽病有神通。这个人呐，这个了不起的人，虽然他生病，他的智慧还是最高的。
059.台大校长不要脸.txt	15	14	poem|proverb|quote|western		这个时候我讲出来这个题目叫做就是我不行，就是你不行。什么意思呢？我先讲个故事，我们过去写文章的时候，大家就有很多套语、老套，好比说一写文章光阴如箭，日月如梭，这是老套；也会写天下兴亡，匹夫有责。大家都说是明末清初的一位了不起的知识分子，叫做顾炎武，也叫做顾亭林说的。错错错！顾亭林没有说过这句话。就好像一般人讲法国的伏尔泰说过一段话，那段话是说：你说的话，我一句也不赞成，可是我要拼命为你争取你有说这话的权利。对不起，伏尔泰也没说过这个话。这是别人总和伏尔泰的这种构想，而把他描写出来的一个传记家所写的。
063.可怜无补费精神.txt	43	14	poem|proverb|quote|literary_people		讲到这里我再回到这个题目，什么叫做可怜无补费精神？我给大家秀一段诗，66岁我这年纪死掉一个伟人，他的名字叫做王安石。王安石写过一首诗，在《王临川集》里面有首诗，我念给大家听，很有趣的一首诗，很好的诗，大家可以背下来。他写韩非的，标题叫《韩子》，他说：纷纷易尽百年身，举世何人识道真。力去陈言夸末俗，可怜无补费精神。我再念一遍，纷纷易尽百年身，人很容易100年死掉了。举世何人识道真，有谁知道李敖这种了不起的人？力去陈言夸末俗，韩愈主张力去陈言，不要把那些陈腔滥调来写出来，因为韩愈是唐宋八大家的第一名。可怜无补费精神，很可怜的，努力了半天，都浪费了精神。
064.新党怎样才有前途？.txt	19	14	poem|proverb|quote|literary_people		首先我跟大家说我的老本行是什么？是书念得极好。你们很难能看到一个人看了我这么多的书，头脑还这么好的。为什么？因为一般人书念的多了以后，就变成书呆子。我常常笑，我说任何人读书读了我李敖十分之一，这么多的书的时候，他就变成书呆子了。为什么呢？会中书毒？食古不化或者书读的不好，就变成书呆子。我李敖的本领就把书读得很活，可是这种本领我可以告诉你们，我从很小的时候就会了。我举个例子给你们看，我在小学的时候啊，老师教我们念一篇文章叫做《木兰辞》，就是我们说的花木兰的《木兰辞》。一开始有四句：唧唧复唧唧，木兰当户织。不闻机杼声，唯闻女叹息。然后老师就说：唧唧复唧唧，是木兰在织布的声音，在窗户面前在织布。不闻机杼声，忽然听不到织布的声音了。唯闻女叹息，只听到木兰在叹气。为什么花木兰在叹气呢？因为她爸爸没有儿子，她爸爸要当兵去了，所以这花木兰，木兰从军要替他爸爸去。我就站起来跟小学的老师说：老师，你讲错了！唧唧复唧唧这五个字，唧唧这两个字不是织布机的声音。老师说：是什么声音？我说：是叹气的声音。所以应该是唧唧复唧唧，就叹气又叹气，是这个意思。叹气又叹气，木兰在织布，木兰不织布，木兰在叹气，是这样意思。老师说：你有什么证据？我说：你忘了，几天以前你教我们念白居易的《琵琶行》，其中有四句诗：我闻琵琶已叹息，又闻此语重唧唧。同是天涯沦落人，相逢何必曾相识。不是吗？老师说：我是教过啊。但怎么解释呢？我听到琵琶的声音，我就叹气了。又听到你弹琵琶的这位女士，报告你的身世，对痛苦的经历重唧唧，我重新叹气。叹气以后怎么样？白居易我和你，我跟你这位弹琵琶的女士，同是天涯沦落人，相逢何必曾相识。不是吗？所以我闻琵琶已叹息，又闻此语重唧唧。唧唧就是叹气的声音。所以唧唧复唧唧，是叹气又叹气，木兰当户织。不闻机杼声，唯闻女叹息。所以唧唧复唧唧是叹气的声音，不是织布的声音。老师一听，觉得你李敖为什么读书会读得这么活呢？这就是我的本领，
064.新党怎样才有前途？.txt	26	14	poem|classical|quote|literary_people		你讲这话以后，问题又来了，过去胡适在跟钱穆、梁启超他们打笔墨官司时候就谈过，梁启超、钱穆这些先生们，他们说老子在孔子之后，理由是说文体文章的体裁感觉上，老子应该在孔子之后。胡适就举了两句诗来考大家，哪两句诗？就是：历览前贤国与家，成由勤俭败由奢。胡适说，你看这两句是什么人写的？感觉什么时代的诗呢？多数人一定猜是明末的历史演义小说里面的开场诗，绝不会猜到它是李义山李商隐的诗，唐朝人的诗。怎么唐朝人诗感觉上是明朝演义小说的诗呢？就是你从文字的体裁来对比不准确。所以胡适说：老子又不是我的老子，他在孔子前在孔子后，对我有什么好处啊？可是你们拿不出来更多的证据来使我心服。所以胡适说，我认为老子还是在孔子之前，根据《史记》的记载，应该还是可信的。
