action	id	source_file	line_start	line_end	category	quote_text	reason
remove	LACLZG-011	007.柏杨忘恩负义了吗？.txt	347	347	古典成语	苛政猛于虎	所在段落直接写台湾当政者、冤狱、营救与政治恐惧；校对轮按现代政治语境残留删除。
remove	LACLZG-034	012.王八一落千丈考.txt	49	49	史传文句	忠臣不佐二主，汝乃降乎？	原句虽为《金史》史传文句，但核心是忠臣事主的政治伦理；本处只为考王八人名，校对轮从严删除。
remove	LACLZG-040	015.柏杨割错了屌.txt	13	13	史书文句	上（汉武帝）以迁为诬罔，欲沮贰师，为陵游说，下迁腐刑。	这是《通鉴》案件摘要，依附皇帝、刑罚与政治案件说明，独立诗文格言价值不足。
remove	LACLZG-045	023.行走在地雷上（李明德）.txt	21	21	古典史论成句	非名不著，非器不形。名以命之，器以别之	名器制度句直接服务君臣等级与政体秩序辨析，校对轮按古典政治/治理语录删除。
remove	LACLZG-046	023.行走在地雷上（李明德）.txt	21	21	古典成句	惟器与名，不可假人	名器不可假人的核心含义是权位不可假借，属古典政治制度语录，校对轮删除。
remove	LACLZG-047	023.行走在地雷上（李明德）.txt	47	47	清儒考据	形上谓道，形下谓器，……器者，所以藏礼，故孔子曰，唯器与名不可假人。	阮元考据在本段服务名器/车服/爵号等政治礼制辨析，校对轮删除。
remove	LACLZG-057	024.一本不了解原著的译作（孙国栋）.txt	17	17	史学取材原则	关国家的盛衰，系生民之休戚，善可为法，恶可为戒者	司马光取材标准明确以国家盛衰、生民休戚为对象，属史政治理口径，校对轮删除。
remove	LACLZG-059	024.一本不了解原著的译作（孙国栋）.txt	49	49	古典史论成句	国将亡，必多制。	直接判断国家兴亡与法制烦苛，属于古典政治治理格言，校对轮删除。
remove	LACLZG-064	024.一本不了解原著的译作（孙国栋）.txt	157	157	史书评语	（文帝）专务以德化民，是以海内殷富，兴于礼义，断狱数百，几致刑错。	《汉书》赞语主旨是帝王德化与刑政成效，属古典政治治理评语，校对轮删除。
remove	LACLZG-065	026.再评《柏杨版资治通鉴》（孙国栋）.txt	29	29	经学注文	王者求多闻以立事，学于古训，乃有所得。	《尚书》注文以王者建事为主语与用途，虽有治学意味，仍属君王政务语境，校对轮删除。
add	LACLZG-012	006.辜振甫忘恩负义了吗？.txt	111	111	民间俗谚	清官难断家务事	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
add	LACLZG-011	006.辜振甫忘恩负义了吗？.txt	111	111	民间俗谚	吃三年清斋都不知人家内事	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
add	LACLZG-013	006.辜振甫忘恩负义了吗？.txt	125	125	传统格言	君子爱财，取之有道	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：财义格言，非政治语录。
add	LACLZG-014	006.辜振甫忘恩负义了吗？.txt	125	125	民间俗谚	钱四脚，人两脚	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
add	LACLZG-015	006.辜振甫忘恩负义了吗？.txt	127	127	民间俗谚	人在人情在、人亡人情亡	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚。
add	LACLZG-016	006.辜振甫忘恩负义了吗？.txt	129	129	传统格言	良药苦口，忠言逆耳	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治格言。
add	LACLZG-071	035柏杨无知乱译《资治通鉴》.txt	17	17	民间俗谚	太岁头上动土	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：民俗训诂材料，非政治语录。
add	LACLZG-072	035柏杨无知乱译《资治通鉴》.txt	23	23	清儒训诂	太岁，所以纪岁也。其名有六：太岁，一也；太阴，二也；岁阴，三也；天一，四也；摄提，五也；青龙，六也（青龙或曰苍龙）。……名异而实同也。	筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：术数名物训诂，非政治语录。
