id	source_file	line_start	line_end	category	quote_text	source_or_origin	summary	notes
LAGMDYJ-001	001.国民党建党有九十年吗？.txt	15	15	成语化用	贪人之功	贪天之功化用	李敖化用成语，表示把他人的功劳据为己有。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-002	001.国民党建党有九十年吗？.txt	15	15	成语	贪天之功	中文成语	李敖引用成语，表示把不属于自己的功劳据为己有。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-003	001.国民党建党有九十年吗？.txt	15	15	文言史评	知当时实事者已少，夸诞之士，乃欲一切笼为己有	章太炎《中华民国开国前革命史》序	李敖引用章太炎史评，讥刺夸诞者把历史功劳一概揽归己有。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。 只收文言史评本体，不收同段现代党史归属论战。
LAGMDYJ-004	002.国民党“意淫大陆，手淫台湾”.txt	5	5	古笑话语	你如今闭了眼睛正想得我好！	《笑倒》	李敖引用笑话中妇人的回击，写闭眼意想也逃不过揶揄。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-005	002.国民党“意淫大陆，手淫台湾”.txt	5	5	古笑话语	如今何罪？	《笑倒》	李敖引用笑话中僧人的问句，形成机锋式诙谐。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-006	002.国民党“意淫大陆，手淫台湾”.txt	11	11	古笑话语	看的何妨？闭眼想的独狠。	《笑禅录》	李敖引用笑话中歌妓的妙语。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-007	002.国民党“意淫大陆，手淫台湾”.txt	11	11	古笑话语	我未曾看你。	《笑禅录》	李敖引用笑话中长者的辩解。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-008	003.国民党的“余态”.txt	11	11	佛典文句	吹大法螺、击大法鼓、燃大法炬、雨胜法雨。	《金光明经》	李敖引用佛典文句，说明“吹大法螺”的原始宗教语义。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。 只收佛典文句本体，不收同段现代党史讽刺语境。
LAGMDYJ-009	003.国民党的“余态”.txt	21	21	宋诗句	譬如妖韶女，老自有余态。	欧阳修《水谷夜行寄子美圣俞》	李敖引用欧阳修诗句，借妖韶老女仍有余态作比。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-010	005.国民党杂碎.txt	7	7	成语化短语	情不可却	中文成句	李敖摘出“情不可却”，表示情面难以推辞。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-011	005.国民党杂碎.txt	7	7	谐拟成句	情非得已	情非得已/情非得已式谐拟	李敖摘出“情非得已”，形成情势所迫的谐拟说法。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-012	005.国民党杂碎.txt	11	11	笑话语	当这乱世，我虽希望真命天子出现，却不愿再有纣王复生……	《逸经》半月刊《纣王复生》	李敖引用乡间笑话，以“救亡复兴”和“纣王复生”的谐音构成讽刺。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。 只收笑话语本体，不收同段现代宣传语境。
LAGMDYJ-013	006.国民党与变造照片.txt	17	17	古典成语	莫予毒也	《左传》相关成句	李敖用莫予毒也形容自恃无人能害的气焰。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
LAGMDYJ-014	006.国民党与变造照片.txt	19	19	文言讽语	那拉氏者，先帝之遗妾耳	康有为清议报文字	李敖引用康有为讥刺西太后的文言句。	首轮保守收入：《国民党研究》以现代党史、党国宣传、军政制度、反攻复国、选举、司法整肃、老兵与军中乐园等政治材料为主体；现代政党、政权、政府机关、领袖、军政、革命、反共/反攻/复国、选举、统独、民主自由人权、国家民族、司法整肃和政治攻防语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语俗语、笑话、联语、民俗文献、文学典故、外文格言和非政治生活格言。
