id	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
LAXK-001	《李敖新刊》总序.txt	9	9	无人信高洁，谁为表予心？	唐诗名句	骆宾王《在狱咏蝉》句。	李敖引用骆宾王诗句，说明作品和心志可能由对手间接保存、映照。	
LAXK-002	《李敖新刊》总序.txt	9	9	无人信高洁，他来禁我书！	李敖化用诗句	李敖仿骆宾王诗句改写。	李敖把骆宾王诗句翻成禁书处境中的自嘲与讽刺。	
LAXK-003	《李敖新刊》总序.txt	11	11	门前清，不求人	俗语	牌局语与俗语化说法。	李敖借这句俗语写自己成立出版社、自己印书的选择。	
LAXK-004	001.明星政治与政治明星.txt	11	11	盲人骑瞎马，夜半临深池	世说新语典故	《世说新语》成句。	李敖用这句形容外行贸然发表政见所可能造成的危险。	
LAXK-005	002.台湾的妓女传统.txt	9	9	青出于蓝	荀子成语	《荀子》语意发展出的成语。	李敖用它形容制度或恶俗被继承后反而更进一步。	
LAXK-006	004.遗教中的两难式.txt	5	5	圣之时者也	孟子成句	《孟子》称孔子语。	李敖用它说明遗教中顺应时势、兼收各路的弹性。	
LAXK-007	005.羊头化的遗教.txt	3	3	挂羊头卖狗肉	传统俗语	比喻名实不符的俗语。	李敖用它概括遗教名目和实际做法之间的落差。	
LAXK-008	005.羊头化的遗教.txt	5	5	挂羊头卖狗肉	传统俗语	比喻名实不符的俗语。	李敖再次借这句俗语强调招牌与内容不相称。	
LAXK-009	005.羊头化的遗教.txt	5	5	牵强附会	传统成语	形容生硬牵合的成语。	李敖用它说明名义包装和实际内容之间的强行拼接。	
LAXK-010	005.羊头化的遗教.txt	5	5	偷天换日	传统成语	比喻暗中改变事物真相的成语。	李敖用它写实质已经被调换、招牌仍照旧悬挂的状态。	
LAXK-011	008.错把投资做投机.txt	5	5	天马行空	传统成语	形容想象驰骋、不受拘束的成语。	李敖用它形容抽象口号较容易回避细节。	
LAXK-012	008.错把投资做投机.txt	9	9	挂羊头卖狗肉	传统俗语	比喻名实不符的俗语。	李敖用它说明无法明说时以名义包装实际做法。	
LAXK-013	009.主义与祸根.txt	7	7	天马行空	传统成语	形容想象驰骋、不受拘束的成语。	李敖用它形容民族主义层面的口号化和空泛。	
LAXK-014	011.谁实行三民主义？.txt	3	3	老有所终、壮有所用、幼有所长、鳏寡孤独废疾者皆有所养	礼记大同语	《礼记·礼运》大同篇语意。	文中转述蔡孟坚以古典大同语汇形容社会福利理想。	首轮保留古典语本身，不收同段现代政治人物问答。
LAXK-015	021.旧文化运动与国民党.txt	3	3	焚琴煮鹤	传统成语	比喻糟蹋美好事物的成语。	李敖用它形容以文化名义摧残文化的做法。	
LAXK-016	021.旧文化运动与国民党.txt	5	5	翻云覆雨	传统成语	比喻反复无常、玩弄手段的成语。	李敖用它写某类人物善于权术却不足以治天下。	
LAXK-017	021.旧文化运动与国民党.txt	9	9	附庸风雅	传统成语	形容缺乏真学问而装作文雅的成语。	李敖用它讽刺表面文化化、实际低水平的风气。	
LAXK-018	021.旧文化运动与国民党.txt	9	9	强做斯文	传统熟语	形容勉强装作有文化的熟语。	李敖用它补足对伪文化姿态的讽刺。	
LAXK-019	023.关于《我被迫离开台湾大学的经过》.txt	39	39	武大郞玩夜猫子——什么人玩什么鸟	歇后语	民间歇后语。	李敖借俗语写招朋引类、层次相投的讽刺意思。	
LAXK-020	024.两类人，两类待遇.txt	3	3	霍氏泰盛，陛下即爱厚之，宜以时抑制，无使至亡	汉书引文	《汉书·霍光传》徐福上书语。	李敖引用徐福预警霍氏家族过盛的史传文字，引出曲突徙薪典故。	
LAXK-021	024.两类人，两类待遇.txt	3	3	霍氏诛灭，而告霍氏者皆封	汉书引文	《汉书·霍光传》叙事语。	李敖引用霍氏被诛后告发者受封的史传叙述，对比先知反被忽略。	
LAXK-022	024.两类人，两类待遇.txt	3	3	更为曲突，远徙其薪，不者且有火患	汉书典故	曲突徙薪故事中的劝告语。	李敖引用烟囱与柴薪的寓言式劝告，说明防患未然。	
LAXK-023	024.两类人，两类待遇.txt	3	3	论功而请宾，曲突徙薪亡恩泽，焦头烂额为上客	汉书典故	曲突徙薪故事中的评论语。	李敖引用这句说明防患者无赏、救火者反居上客的荒谬。	
LAXK-024	024.两类人，两类待遇.txt	3	3	往事既已，而〔徐〕福独不蒙其功，惟陛下察之，贵徙薪曲突之策，使居焦发灼烂之右（上）	汉书典故	《汉书·霍光传》曲突徙薪故事的进言语。	李敖引用此句点出真正预防问题的人应在救火者之上。	
LAXK-025	024.两类人，两类待遇.txt	5	5	曲突徙薪	汉书成语	《汉书》故事发展出的成语。	李敖明称这是有名典故，用以概括防患未然的智慧。	
LAXK-026	024.两类人，两类待遇.txt	9	9	介之推不言禄，禄亦弗及	左传成句	介之推故事中的成句。	李敖用它补充说明有功者不求赏，掌权者却忘恩负义。	
LAXK-027	025.解严、解严、越解越严.txt	5	5	庖丁解牛	庄子成语	《庄子·养生主》典故。	李敖借它表示把复杂表象逐层剖开。	
LAXK-028	025.解严、解严、越解越严.txt	5	5	食髓知味	传统成语	形容尝到甜头后仍想继续的成语。	李敖用它写某种制度性便利被反复依赖。	
LAXK-029	025.解严、解严、越解越严.txt	5	5	虎而翼之	韩非子成句	《韩非子》语意发展出的成句。	李敖用它形容原已强横的东西又添工具与便利。	
LAXK-030	025.解严、解严、越解越严.txt	7	7	言犹在耳	传统成语	形容说过的话还像在耳边的成语。	李敖用它对照前后说法的落差。	
LAXK-031	025.解严、解严、越解越严.txt	9	9	换汤不换药	传统俗语	比喻只改形式不改实质的俗语。	李敖用它概括形式改变而核心未变的状态。	
LAXK-032	025.解严、解严、越解越严.txt	9	9	偷天换日	传统成语	比喻暗中改变事物真相的成语。	李敖用它写表面解除、实际调包的手法。	
LAXK-033	025.解严、解严、越解越严.txt	9	9	变本加厉	传统成语	形容情况比原来更加严重的成语。	李敖用它与偷天换日并列，指出实际趋向更严。	
LAXK-034	025.解严、解严、越解越严.txt	9	9	李代桃僵	传统成语	比喻以此代彼的成语。	李敖用它形容旧法令退场后由新法令承接功能。	
LAXK-035	025.解严、解严、越解越严.txt	9	9	曲学阿世	史记成语	《史记》语意发展出的成语。	李敖用它批评曲解学理以迎合权力的做法。	
LAXK-036	025.解严、解严、越解越严.txt	9	9	法令没有尽头，执行之时又没有开头。	外国文学格言	马克·吐温语，文中附英文原句。	李敖引用马克·吐温的话，说明法令与执行之间的荒诞关系。	
LAXK-037	025.解严、解严、越解越严.txt	9	9	There is no end to the laws, and no beginning to the execution of them.	英文格言	马克·吐温原句。	文中并列英文原句，作为中文译句的出处。	
LAXK-038	026.李敖控告李登辉及五院院长伪造文书案.txt	85	85	人之将死，其言也善	论语成句	《论语》语。	李敖引用这句讨论临终遗言可能发生转折的情形。	
LAXK-039	027.推荐《三毛三部作》.txt	9	9	大人者，不失其赤子之心者也。	孟子名句	《孟子》语。	李敖引用孟子之言，说明真三毛的赤子精神成全了大人之心。	
LAXK-040	031.浮生记趣.txt	3	3	穷山恶水，丑妇刁民	民间俗语	民间骂语式俗语。	李敖记录祖父骂人的句式，作为家族轶事中的俗语材料。	
LAXK-041	031.浮生记趣.txt	5	5	妻不贤，子不孝。	算命断语	命相先生断语。	李敖记述算命先生对长辈的直断，带有民间格言式口吻。	
LAXK-042	031.浮生记趣.txt	7	7	樱桃小口万人尝	签诗	铁板神数签诗句。	李敖记录命相书上的签诗，用以构成笑话转折。	
LAXK-043	031.浮生记趣.txt	9	9	若夫人者，所为极贱而极贵也！	笑话书引文	中国笑话书《哈哈笑》引文。	李敖附录笑话书原文，以相士断语解释类似笑话结构。	
LAXK-044	032.浮生记趣一续.txt	7	7	嫠不恤其纬，而忧宗周之陨。	古文成句	古人说法，常见于忧国典故。	李敖引用古句，说明所忧与自身处境不相称的讽刺结构。	
LAXK-045	032.浮生记趣一续.txt	7	7	不恤其死，而忧刀法不佳	李敖化用古句	李敖仿古句改写。	李敖把古句改写成杀人犯轶事中的荒诞忧虑。	
LAXK-046	033.龚德柏和他的秘录.txt	5	5	云深不知处	唐诗成句	贾岛《寻隐者不遇》句。	李敖用唐诗成句写龚德柏被秘密羁押后音讯全无。	
LAXK-047	033.龚德柏和他的秘录.txt	23	23	大胆的假设	学术格言	胡适治学语。	龚德柏借胡适治学说法，说明自己的判断还需要证据支持。	
LAXK-048	033.龚德柏和他的秘录.txt	23	23	小心的求证	学术格言	胡适治学语。	龚德柏借胡适治学说法，说明观点需要细致求证。	
LAXK-049	033.龚德柏和他的秘录.txt	45	45	兵众孰强？士卒孰练？	孙子兵法成句	《孙子·始计篇》比较敌我之语。	龚德柏引用《孙子》原则衡量作战前的敌我估计。	
LAXK-050	033.龚德柏和他的秘录.txt	47	47	多算胜，少算不胜，而况于无算乎？	孙子兵法名句	《孙子·始计篇》语。	龚德柏引用此句说明决策前估算的重要。	
LAXK-051	033.龚德柏和他的秘录.txt	49	49	故用兵之法，十则围之，五则攻之，倍则分之，敌则能战之，少则能守之，不若则能避之。故小敌之坚，大敌之擒也。	孙子兵法名句	《孙子·谋攻篇》语。	龚德柏整段引用《孙子》，用来论证兵力对比与进退策略。	
LAXK-052	033.龚德柏和他的秘录.txt	49	49	不若则能避之	孙子兵法成句	《孙子·谋攻篇》语。	龚德柏抽出此句说明不如对方时应避其锋。	
LAXK-053	033.龚德柏和他的秘录.txt	49	49	小敌之坚，大敌之擒	孙子兵法成句	《孙子·谋攻篇》语。	龚德柏用此句概括弱小一方硬撑终被擒获的结局。	
LAXK-054	033.龚德柏和他的秘录.txt	51	51	用兵之法，无恃其不来，恃我有以待之。	孙子兵法名句	《孙子·九变篇》语。	龚德柏引用此句说明军事准备不能寄望于敌人不来。	
LAXK-055	033.龚德柏和他的秘录.txt	51	51	无恃我有以待之，而恃敌之不来	反用孙子句	龚德柏反写《孙子》语。	龚德柏把《孙子》句式倒转，用以讽刺把准备寄托为侥幸。	
LAXK-056	014.冯作民杀人案探秘.txt	7	7	欠债者无罪，代讨债者有罪	李敖格言式讽语	李敖就债务纠纷概括出的讽刺语。	李敖用这句反讽责任倒置的道德荒谬。	
LAXK-057	016.谢聪敏回台志感.txt	9	9	把热血卖给识货的	水浒传俗语	《水浒传》中阮家兄弟语意。	李敖借《水浒传》语写别人对自己利用价值的判断。	首轮只收古典小说俗语，不收同段现代政治宣传语。
LAXK-058	037.无出其左，有谢可击.txt	3	3	杀身之祸	传统成语	形容招致生命危险或大祸的成语。	李敖用它说明文章发表后引来的严重后果。	
LAXK-059	037.无出其左，有谢可击.txt	7	7	上梁不正下梁歪	传统俗语	比喻上层不正导致下层偏斜的俗语。	李敖借这句说明责任并不只在左右或下属。	
LAXK-060	037.无出其左，有谢可击.txt	7	7	欲说还休	宋词成句	辛弃疾词句发展出的成语化表达。	李敖用它形容在文禁环境下只能点到为止。	
LAXK-061	037.无出其左，有谢可击.txt	7	7	不知稼穑之难	古典成句	古文中关于不知农事艰难的说法。	李敖用它形容后来者难以想象当年写作处境。	
LAXK-062	037.无出其左，有谢可击.txt	31	31	文过饰非	传统成语	比喻掩饰过失和错误的成语。	李敖引用谈话中的成语，说明不应遮掩部属过失。	
LAXK-063	037.无出其左，有谢可击.txt	37	37	束之高阁	传统成语	比喻把东西搁置不用的成语。	李敖引用讲话中的成语，写法规宣言被搁置不行。	
LAXK-064	037.无出其左，有谢可击.txt	45	45	自扫门前雪	传统俗语	各人只顾自己的俗语。	李敖用它形容同行遇到横逆时缺乏共同抗议。	
LAXK-065	037.无出其左，有谢可击.txt	45	45	吃哑巴亏	传统俗语	形容受了损失却无法或不敢声张的俗语。	李敖用它概括舆论界不敢奋斗的处境。	
LAXK-066	037.无出其左，有谢可击.txt	49	49	一手足掩天下人耳目	讽刺熟语	由一手遮天语意发展出的讽刺表达。	李敖转引社论文字，形容用权势遮蔽事实的荒谬。	
LAXK-067	037.无出其左，有谢可击.txt	55	55	空穴来风	传统成语	比喻消息或说法有其来由，后亦常误作凭空捏造。	李敖转引社论中对诬控来由的质问。	
LAXK-068	037.无出其左，有谢可击.txt	57	57	莫须有	传统典故	岳飞冤狱相关典故语。	李敖转引社论文字，形容凭空加罪。	
LAXK-069	037.无出其左，有谢可击.txt	59	59	心劳计拙	传统成语	形容费尽心机而办法笨拙的成语。	李敖用它概括某种诬控手法的失败。	
LAXK-070	037.无出其左，有谢可击.txt	67	67	不念旧恶，怨是用希。	论语名句	《论语》孔子语。	李敖转录孔子语，作为以自反代报复的传统依据。	首轮只收《论语》句，不收周边现代政治讲话。
LAXK-071	037.无出其左，有谢可击.txt	67	67	与人为善	孟子成语	《孟子》语意发展出的成语。	李敖转录这句，用作对人对事应取善意的表达。	
LAXK-072	037.无出其左，有谢可击.txt	73	73	拒人千里之外	传统成语	形容态度疏远、排斥别人的成语。	李敖转引文字中用此句概括立门户、分派系的作风。	
LAXK-073	037.无出其左，有谢可击.txt	101	101	下里巴人	文论典故	战国宋玉文论典故发展出的成语。	李敖借它反讽连低层江湖人物都不齿的行径。	
LAXK-074	037.无出其左，有谢可击.txt	101	101	惨不忍睹	传统成语	形容悲惨或丑恶到不忍观看的成语。	李敖用它作强烈讽刺的收束。	
