file	line	context
《我是天安门》目录.txt	33	031.猫王歌曲打入大陆市场
001.香港的机会，中国的机会.txt	59	中共这种立场，香港的中国人，虽然认为还差强人意，可是仍然不放心。8月29日左翼学联举行的“香港前景与市民权益”研讨会上，立法局议员就认为：“港人治港”的方案，实施时会困难重重，而中共的态度与做法，也使香港人非常困扰不安。他们认为：香港一旦挂上五星旗，便会成为共产国家的一部分了，所谓“资本主义经济特区”，也就不无疑问了。
001.香港的机会，中国的机会.txt	85	香港已经脱离了中国一百四十年，何必急于染上红色呢？何必急于一统呢？中国在周朝初年，是千余国；到了春秋时代，是十二大国；秦朝统一中国，大家说完全统一了，是错的，它留下一个小卫国，直到解决六国以后十二年（公元前209），才完全统一，那时秦始皇都死翘翘了。我觉得留下卫国不统一，并没妨碍秦始皇统一中国的令名，反倒足见其大。香港问题当然今非昔比，但这个小史实，岂不值得...
002.“谢谢你，帝国主义！”.txt	3	帝国主义本是人类的一种老毛病，它的发展基础是“强凌弱、众暴寡”，这种毛病从中国到外国、从穴居人到高楼大厦的，都是一样。人类在自己成为弱者的时候，就满口和平，一旦成为强者，就犯老毛病。国民党宣传中国是爱好和平的民族，但是从汉武“事四夷”，到乾隆“十全武功”，我们实在不能不说是帝国主义的杰作。乾隆打四川西北边的大小金川（大金川是四川理番县的绥靖屯、小金川是四川懋...
002.“谢谢你，帝国主义！”.txt	11	在国民党“打倒帝国主义”的活剧里，我们很容易联想到张天师捉鬼拿妖的活剧。张天师登坛作法，口中念念有词，比手画脚，凭空就捉得鬼下拿得妖来了，其实天知道真正有没有鬼和妖，张天师是不知道的，他只是假设有鬼有妖而已，他的一切，也都是自欺欺人的假动作，凭这些假动作换饭吃而已。同理代换，国民党的“打倒帝国主义”，也不过如此。
002.“谢谢你，帝国主义！”.txt	21	其实，发明帝国主义而叫嚣打倒的，他们自己，就是典型的帝国主义。当国民党拉来王八蛋苏联做朋友，开始“联俄容共”的时候，党外人士就提出疑义，梁启超在《复刘勉己书论对俄问题》中大声疾呼：
002.“谢谢你，帝国主义！”.txt	23	问苏俄是不是帝国主义者？我毫不沉吟的答道：他是帝国主义的结晶，他是帝国主义的大魔王……俗语说的好：“江山易改，本性难移”《一国的国民性，可是换一面招牌就改得转来吗？俄国人玩的政治，对内只是专制，对外只是侵略，他们非如此不能过瘾。不管苏不苏，赤不赤，玩来玩去总是这一套，马克思便是化身的希腊正教上帝，列宁便是转轮再生的大彼得，全俄人民从前是“沙”的脚下草，现在便...
002.“谢谢你，帝国主义！”.txt	35	除了政治及武力侵略以外，现代还有所谓经济侵略、文化侵略及主义侵略。我们受到近几年的宣传的人都以为这些现象是极明显而简单的帝国主义。其实这些现象都是极复杂的。我们先就经济的侵略说，外人在中国的投资是侵略么？是帝国主义么？若说是，那么欧战以前，法国在俄国所投的资本比法国在中国或安南所投的还多，岂不是法国对俄比对安南还更行帝国主义么？彼时英国在美国所投的资本反过于...
002.“谢谢你，帝国主义！”.txt	43	一切的有作为的、向上的民族都在那里求自己的政治、经济、文化势力的膨胀。古代如此，现在亦如此。倘甲的势力膨胀与乙的相等，如日美、日俄、英美、法德等国之间，甲乙的关系就是平等的、通常的国际关系。我们不说甲乙之间有帝国主义存在。万一甲的势力膨胀过于乙的，如列强与中国之间，那么帝国主义自然而然的就来了。这是一种天然现象，无所谓善恶，如要谈善恶和责任，那么强者与弱者是...
002.“谢谢你，帝国主义！”.txt	51	帝国主义到中国来后，有所谓“租界”（settlement concession），租界是帝国主义在中国领土上画地为特区，不受中国政府管辖。乍看起来，这些特区是丧权辱国、是洋鬼子侵略我们，但是仔细一看租界中的政治，我们却会脸红的。洋鬼子虽然帝国主义，但在帝国主义之中，他们的许多良法美意，也都“侵略”而来。比如说：洋鬼子是主张言论自由的，他们欢迎办报，于是，办报...
002.“谢谢你，帝国主义！”.txt	67	如今，最后的英国式帝国主义的象征，即将在香港落幕。我们回首前尘，在历数洋鬼子罪状之余，不妨也心平气和的公论一下是非。西方谚语说：“不掩没恶人长处。”（Give the devil his due.）在回首英国式帝国主义长处之后，我们中国人要想想、要想想：我们是不是还是要对不起自己人？当政者不做李鸿章是好的，但李鸿章有两个：一个是“宰相有权能割地”的李鸿章；一...
002.“谢谢你，帝国主义！”.txt	73	①比利时统治刚果七十年，没为小黑人培植一个公务员、一个医生、一个工程师、一个律师，只在一千二百万人口中，培植出三个大学生！比利时被赶出刚果后，刚果暴民轮奸比利时在刚果做慈善事业的修女，如此报应，真令人浩叹！
003.有关香港的几段鲜事.txt	19	国民党口口声声他们有一大堆的丰功伟业，丰功伟业中最得意之举，是所谓废除不平等条约。国民党《中央日报》在1978年10月31日说是“完全废除”了；在1982年12月26日说是“取消了所有的”，但是，我们稍有常识的人，一想到香港上面，我们就忍不住大倒胃口，因为历史真相与国民党的宣传完全不对头，我们试看一点历史真相如下。
