id	category	quote_text	source_file	line_start	summary
LADB-004	中文熟语	障眼法	001.告徐复观的状子.txt	33	本书在相关章节使用或引录“障眼法”，保留其可独立检索的中文熟语性质。
LADB-011	中文熟语	牵着别人的鼻子走	001.告徐复观的状子.txt	65	本书在相关章节使用或引录“牵着别人的鼻子走”，保留其可独立检索的中文熟语性质。
LADB-025	中文熟语	不厌求详	001.告徐复观的状子.txt	111	本书在相关章节使用或引录“不厌求详”，保留其可独立检索的中文熟语性质。
LADB-027	中文熟语	无日无之	001.告徐复观的状子.txt	111	本书在相关章节使用或引录“无日无之”，保留其可独立检索的中文熟语性质。
LADB-028	中文熟语	盈篇满版	001.告徐复观的状子.txt	111	本书在相关章节使用或引录“盈篇满版”，保留其可独立检索的中文熟语性质。
LADB-033	中文熟语	挺起脊梁	001.告徐复观的状子.txt	131	本书在相关章节使用或引录“挺起脊梁”，保留其可独立检索的中文熟语性质。
LADB-036	中文熟语	生逢乱世	001.告徐复观的状子.txt	145	本书在相关章节使用或引录“生逢乱世”，保留其可独立检索的中文熟语性质。
LADB-044	中文熟语	割裂文字	003.所谓“小疯狗”与法律.txt	31	本书在相关章节使用或引录“割裂文字”，保留其可独立检索的中文熟语性质。
LADB-046	中文熟语	任意取舍	003.所谓“小疯狗”与法律.txt	31	本书在相关章节使用或引录“任意取舍”，保留其可独立检索的中文熟语性质。
LADB-047	中文熟语	一字不提	003.所谓“小疯狗”与法律.txt	31	本书在相关章节使用或引录“一字不提”，保留其可独立检索的中文熟语性质。
LADB-065	中文熟语	挡箭牌	004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	129	本书在相关章节使用或引录“挡箭牌”，保留其可独立检索的中文熟语性质。
LADB-082	李敖式题句	租给张三，却告李四	010.租给张三，却告李四.txt	1	本书在相关章节使用或引录“租给张三，却告李四”，保留其可独立检索的李敖式题句性质。
LADB-099	中文熟语	知过能改	013.为萧孟能入狱在即致施启扬函.txt	39	本书在相关章节使用或引录“知过能改”，保留其可独立检索的中文熟语性质。
LADB-101	中文熟语	浑然忘我	014.告李敖的下场.txt	23	本书在相关章节使用或引录“浑然忘我”，保留其可独立检索的中文熟语性质。
LADB-102	中文熟语	忘了我是谁	014.告李敖的下场.txt	23	本书在相关章节使用或引录“忘了我是谁”，保留其可独立检索的中文熟语性质。
LADB-107	中文格言式题句	无所遁形，也责无旁贷	016.无所遁形，也责无旁贷.txt	1	本书在相关章节使用或引录“无所遁形，也责无旁贷”，保留其可独立检索的中文格言式题句性质。
LADB-114	中文熟语	有头有脸	018.《自由时报》被裁定诚意不足.txt	13	本书在相关章节使用或引录“有头有脸”，保留其可独立检索的中文熟语性质。
LADB-115	中文熟语	孤傲高蹈	018.《自由时报》被裁定诚意不足.txt	55	本书在相关章节使用或引录“孤傲高蹈”，保留其可独立检索的中文熟语性质。
LADB-121	法律熟语	案重初供，证重初证	025.林洋港说话算数吗？.txt	7	本书在相关章节使用或引录“案重初供，证重初证”，保留其可独立检索的法律熟语性质。
