score	file	line	text	context
3	001.从《中央日报》捧杀人犯说起.txt	3	嘉义刘内科医院院长刘堂坤	十八年来，国民党《中央日报》一而再、再而三的骂我，我笑着对自己说，被他们骂骂也好，要是被他们捧，那可能要倒霉。例如，在1961年2月24日的《中央日报上》，就大捧特捧“嘉义刘内科医院院长刘堂坤”，肉麻的说：
4	001.从《中央日报》捧杀人犯说起.txt	11	明镜高悬	刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。
4	001.从《中央日报》捧杀人犯说起.txt	11	自由心证	刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。
4	001.从《中央日报》捧杀人犯说起.txt	11	不予采信	刘堂坤在一审中被“明镜高悬”的法官判处死刑，二审中又被“明镜高悬”的法官判处死刑。事后，台湾省医师公会理事长吴基福先生对我说，根据医学的原理与技术，所谓刘堂坤麻醉女护士，照法官所述说的情况，绝不可能！这种绝不可能，本来已有专家证明给法官了，可是法官——乱用“自由心证”的法官——却官样文章，“不予采信”——对专家的意见“不予采信”！结果仍是判了刘堂坤的死刑。
4	001.从《中央日报》捧杀人犯说起.txt	13	自由心证	不过值得注意的，还不在法官乱用“自由心证”，而在法官的证据认定和逻辑知识。这个案子，初审法官判刘堂坤死刑，用的完完全全是“猜谜”的方法，而不是严格的证据。换句话说，这么一件人命关天的大案子，用“想象的情况”来“猜”出刘堂坤是凶手，这种“执法”，是我们绝不敢领教的。我们认为这是一切冤狱和人权侵犯的祸源。
3	001.从《中央日报》捧杀人犯说起.txt	13	想象的情况	不过值得注意的，还不在法官乱用“自由心证”，而在法官的证据认定和逻辑知识。这个案子，初审法官判刘堂坤死刑，用的完完全全是“猜谜”的方法，而不是严格的证据。换句话说，这么一件人命关天的大案子，用“想象的情况”来“猜”出刘堂坤是凶手，这种“执法”，是我们绝不敢领教的。我们认为这是一切冤狱和人权侵犯的祸源。
4	002.只许我中央，不许你中央.txt	3	本法所称标准，系依标准制定程序，所制定全国共同遵守之国家标准。	1946年9月24日，“大有为政府”制造出一种“标准法”一共九条，第1条说：“本法所称标准，系依标准制定程序，所制定全国共同遵守之国家标准。”第3条说：“经济部设中央标准局，掌理全国各种标准事宜。”第5条说：“凡适合标准之产品及方法，呈经中央标准局审查合格后，加正字标记，以资识别。”这是积极方面的法律；“大有为政府”又制造出一种“商标法”，第37条说：“相同...
4	002.只许我中央，不许你中央.txt	3	经济部设中央标准局，掌理全国各种标准事宜。	1946年9月24日，“大有为政府”制造出一种“标准法”一共九条，第1条说：“本法所称标准，系依标准制定程序，所制定全国共同遵守之国家标准。”第3条说：“经济部设中央标准局，掌理全国各种标准事宜。”第5条说：“凡适合标准之产品及方法，呈经中央标准局审查合格后，加正字标记，以资识别。”这是积极方面的法律；“大有为政府”又制造出一种“商标法”，第37条说：“相同...
4	002.只许我中央，不许你中央.txt	3	凡适合标准之产品及方法，呈经中央标准局审查合格后，加正字标记，以资识别。	1946年9月24日，“大有为政府”制造出一种“标准法”一共九条，第1条说：“本法所称标准，系依标准制定程序，所制定全国共同遵守之国家标准。”第3条说：“经济部设中央标准局，掌理全国各种标准事宜。”第5条说：“凡适合标准之产品及方法，呈经中央标准局审查合格后，加正字标记，以资识别。”这是积极方面的法律；“大有为政府”又制造出一种“商标法”，第37条说：“相同...
5	002.只许我中央，不许你中央.txt	5	只许我中央，不许你中央	正字标记的主人是中央标准局，可见中央级比正字级高级，一变成中央标准，自然就大显赫特显赫，“中央党部”也、《中央日报》也、“中央通讯社”也、“中央银行”也、“中央信托局”也、“中央文物供应社”也……中央先就抢先一步，神气活现起来。神气活现之余，首先就推出“只许我中央，不许你中央”的霸道作风：台北中山北路的一家“中央妇产医院”，被勒令改名，该医院无法，只好改名叫...
