id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAJJSXJ-001,蒋介石研究续集,蒋介石还是没加入“丈夫团”,001.蒋介石还是没加入“丈夫团”.txt,11,11,富贵不能淫，贫贱不能移，威武不能屈,孟子文句,《孟子·滕文公下》,李敖转引《孟子》句，说明“丈夫团”取名所本的品德观。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收孟子原句本体，不收同段同盟会、军事留学生、革命核心等政治组织叙述。
LAJJSXJ-002,蒋介石研究续集,蒋介石怎样暗杀革命元勋？,003.蒋介石怎样暗杀革命元勋？.txt,21,21,幸老父犹健，家计无忧，一至故乡，恐被人情牵累，不能复出矣！,近代人物语,陶成章语,李敖转引陶成章回应魏兰劝归省亲的话，写故乡亲情与人情牵累。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 校对补入：只收家庭与人情牵累句本体；同段“既以身为国奔走……”含国家/革命语义，不收。
LAJJSXJ-003,蒋介石研究续集,蒋介石怎样暗杀革命元勋？,003.蒋介石怎样暗杀革命元勋？.txt,217,217,夜雨潇潇地下着，提起笔，忽而又想到用麻绳做腰带的困苦的陶焕卿。,鲁迅散文句,鲁迅《华盖集续编》,李敖在注中引用鲁迅追忆陶成章的散文句，呈现夜雨中想起故人的文字氛围。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收鲁迅散文句本体，不收同篇暗杀、革命组织与政党史攻防。
LAJJSXJ-004,蒋介石研究续集,蒋介石怎样暗杀革命元勋？,003.蒋介石怎样暗杀革命元勋？.txt,221,221,杭、绍一苇可航，君盍归里一省？,近代人物语,魏兰语,李敖转引魏兰劝陶成章回乡省亲的话。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收劝归省亲的生活语，不收同篇革命史与暗杀论述。
LAJJSXJ-005,蒋介石研究续集,蒋介石怎样暗杀革命元勋？,003.蒋介石怎样暗杀革命元勋？.txt,221,221,情字难却，一见父母妻子，即不能出矣。,近代人物语,陶成章语,李敖转引陶成章解释不敢回乡的家情牵绊。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收亲情自述本体，不收同篇革命史与暗杀论述。
LAJJSXJ-006,蒋介石研究续集,蒋介石在肇和起义中算老几？,004.蒋介石在肇和起义中算老几？.txt,125,125,玄都观里桃千树，尽是‘杨’郎去后栽！,唐诗化用,刘禹锡诗句化用,李敖化用刘禹锡《再游玄都观》诗句，借“杨”字写杨虎身后被改写的历史。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收诗句化用本体，不收同段肇和起义、党史与政治人物论断。
LAJJSXJ-007,蒋介石研究续集,蒋介石与江阴炮台,005.蒋介石与江阴炮台.txt,65,65,一饭酬以千金,韩信典故,韩信漂母典故,李敖以韩信报答漂母的典故，说明受恩以后厚报的古代美谈。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 校对补入：只收古代报恩典故本体，不收同篇江阴炮台、起义与军政叙述。
LAJJSXJ-008,蒋介石研究续集,蒋介石与杜夫人,007.蒋介石与杜夫人.txt,5,5,此度见花枝，白头誓不归！,词句,韦庄《菩萨蛮》,李敖以韦庄词句作篇首题辞，写一去不归的决绝意味。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。
LAJJSXJ-009,蒋介石研究续集,蒋介石与杜夫人,007.蒋介石与杜夫人.txt,41,41,种瓜得瓜，种豆得豆,俗语,中国俗语,李敖引用俗语，说明行事种因后自得其果。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 校对补入：只收因果俗语本体，不收同段淮海战役、军政责任与政治评价。
LAJJSXJ-010,蒋介石研究续集,蒋介石与杜夫人,007.蒋介石与杜夫人.txt,107,107,可以死，可以无死，死，伤勇。,孟子文句,《孟子·离娄下》,李敖引用孟子句，说明可死而也可不死时勉强求死反伤勇德。,首轮保守收入：《蒋介石研究续集》以蒋介石、国民党、革命史、暗杀、起义、军政、总统合法性、遗嘱、神化与反共著作为主体；现代党派、政权、领袖、军政、革命、国家民族、暗杀、战争、遗嘱、官方文件、政治攻防与意识形态语录不收，只保留可脱离具体政治论战独立检索的古典文句、诗词、俗语、文学散文句和古代典故。 只收孟子原句本体，不收同段将军、投降、战败与统治者强制作死的政治军事论述。
