id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LACLZG-001,丑陋的中国人研究,《丑陋的中国人研究》导引,001.《丑陋的中国人研究》导引.txt,3,3,大同而与小同异，此之谓小同异；万物毕同毕异，此之谓大同异。,古典哲学文句,《庄子》记惠施同异说,李敖以《庄子》惠施同异说说明民族性与国民性问题。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-002,丑陋的中国人研究,《丑陋的中国人研究》导引,001.《丑陋的中国人研究》导引.txt,5,5,性相近，习相远,论语成句,《论语·阳货》,李敖引用孔子成句，说明民族差异可由习染与教化形成。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-003,丑陋的中国人研究,《丑陋的中国人研究》导引,001.《丑陋的中国人研究》导引.txt,7,7,出乎其类，拔乎其萃,孟子成句,《孟子·公孙丑上》,李敖借孟子成句说明民族性中也有杰出变体。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-004,丑陋的中国人研究,从认贼到被贼认,004.从认贼到被贼认.txt,19,19,既贵之后……无赖之徒苟合，借其权势，拜伏为兄叔者甚众,史传文句,《旧唐书·李义府传》,李敖引用《旧唐书》语，说明攀附权势、认亲附贵的古已有之。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-005,丑陋的中国人研究,从认贼到被贼认,004.从认贼到被贼认.txt,21,21,认贼为子,佛经成语,《楞严经》,李敖引佛经成语，与俗语“认贼作父”并举，说明攀附认亲的荒唐。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-006,丑陋的中国人研究,从认贼到被贼认,004.从认贼到被贼认.txt,21,21,认贼作父,俗语,中国俗语,李敖引用俗语，说明把恶人认作父辈的攀附心态。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-007,丑陋的中国人研究,从胡老太秘录看钱大头忘恩负义,005.从胡老太秘录看钱大头忘恩负义.txt,3,3,爱情的代价是痛苦，爱情的方法是忍受痛苦,近代文人题语,胡适题扇语,李敖引用胡适题扇语，说明胡适对婚姻与忍受的心境。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-008,丑陋的中国人研究,从胡老太秘录看钱大头忘恩负义,005.从胡老太秘录看钱大头忘恩负义.txt,5,5,谈笑有鸿儒，往来无白丁,唐文成句,刘禹锡《陋室铭》,李敖借刘禹锡成句写江冬秀进入胡适交游圈后的自卑。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-009,丑陋的中国人研究,从胡老太秘录看钱大头忘恩负义,005.从胡老太秘录看钱大头忘恩负义.txt,37,37,玉不琢，不成器。,蒙学成句,《三字经》,李敖引用《三字经》成句，又反用来说明朴素文字的真趣。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-010,丑陋的中国人研究,从胡老太秘录看钱大头忘恩负义,005.从胡老太秘录看钱大头忘恩负义.txt,81,81,交友以自大其身，求士以求此身之不朽,清儒格言,李塨语,李敖引用胡适所喜李塨语，反衬朋友凉薄与过河拆桥。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-011,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,111,111,吃三年清斋都不知人家内事,民间俗谚,中国俗语,林坤元信中并引俗谚，说明外人难尽知家庭内情。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
LACLZG-012,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,111,111,清官难断家务事,民间俗谚,中国俗语,林坤元信中以俗谚说明家族内部纠纷外人难断。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
LACLZG-013,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,125,125,君子爱财，取之有道,传统格言,古人有言,林坤元信中引用传统格言，劝人处理债务不可夺理强霸。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：财义格言，非政治语录。
LACLZG-014,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,125,125,钱四脚，人两脚,民间俗谚,中国俗语,林坤元信中引用俗语，说明人与财物不可本末倒置。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚，独立检索价值高。
LACLZG-015,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,127,127,人在人情在、人亡人情亡,民间俗谚,中国俗语,林坤元信用俗语形容人亡后情义顿失的世态。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治俗谚。
LACLZG-016,丑陋的中国人研究,辜振甫忘恩负义了吗？,006.辜振甫忘恩负义了吗？.txt,129,129,良药苦口，忠言逆耳,传统格言,中国俗语,林坤元信末用传统格言说明直言劝谏不易被接受。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。 校对补入：非政治格言。
LACLZG-017,丑陋的中国人研究,柏杨忘恩负义了吗？,007.柏杨忘恩负义了吗？.txt,369,369,介之推不言禄，禄亦弗及,古典故事成句,介之推故事,李敖借介之推故事说明施恩者虽不求回报，受恩者仍应知恩。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-018,丑陋的中国人研究,柏杨忘恩负义了吗？,007.柏杨忘恩负义了吗？.txt,371,371,以志吾过，且旌善人。,古典史语,晋文公语,李敖引用晋文公语，劝人承认过失并表彰善人。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
LACLZG-019,丑陋的中国人研究,义助柏杨的外一章,008.义助柏杨的外一章.txt,149,149,曾经沧海难为水，除却巫山不是云,唐诗名句,元稹《离思》,艾玫信中引用元稹诗句表达爱情不可替代。,筛选口径：本书夹杂柏杨论争、党国人物、文字狱、现代政治与民族性争辩；现代党派/政权/领袖/营救/人权/电报语录不收，只保留可独立检索的古典文句、诗文、成语俗谚、治学格言、翻译校勘材料和非政治性文化格言。
