decision	id	source_file	line_range	category	quote_text	reason
keep	LAQSJ-001	001.《李敖情书集》新序.txt	5-5	李敖情书格言	可爱的废话	以戏谑短语概括情书的本质。
keep	LAQSJ-002	001.《李敖情书集》新序.txt	5-5	西方人物语	纸上罗曼斯	新序转述萧伯纳关于情书的说法。
keep	LAQSJ-003	001.《李敖情书集》新序.txt	5-5	李敖情书格言	聪明人绝不骂别人情书肉麻	谈读他人情书时应有的宽容。
keep	LAQSJ-004	001.《李敖情书集》新序.txt	7-7	李敖情书格言	情海余韵，亦堪“快然自足”	以《兰亭集序》成语说明旧情书的余味。
keep	LAQSJ-005	001.《李敖情书集》新序.txt	9-9	古文名句	快然自足	新序借《兰亭集序》写情感满足。
keep	LAQSJ-006	001.《李敖情书集》新序.txt	9-9	古文名句	情随事迁，感慨系之矣！	新序引用《兰亭集序》中情随事迁的感叹。
keep	LAQSJ-007	001.《李敖情书集》新序.txt	9-9	古文名句	俯仰之间，已为陈迹	新序用作情书成为旧迹的说明。
keep	LAQSJ-008	001.《李敖情书集》新序.txt	9-9	古文名句	不能不以之兴怀	新序以此说明重读旧情书的兴怀。
keep	LAQSJ-009	001.《李敖情书集》新序.txt	11-11	李敖情书格言	我只见甜甜的回忆，不见淡淡的哀愁	以甜蜜回忆取代滥情哀愁的爱情态度。
keep	LAQSJ-010	001.《李敖情书集》新序.txt	11-11	传统成语	太上忘情	新序用来形容一种洒脱的爱情风度。
keep	LAQSJ-011	002.《李敖情书集》原序.txt	17-17	李敖爱情格言	用现代化的水准与情调，开展现代化的爱情	原序提出爱情也要走向现代化。
keep	LAQSJ-012	002.《李敖情书集》原序.txt	17-17	李敖爱情格言	迷恋秋雨梧桐，何如春江水暖？感叹难乎为继，何如独起楼台？	用对仗句式批评旧式感伤爱情。
keep	LAQSJ-013	002.《李敖情书集》原序.txt	21-21	李敖爱情格言	爱情是不盲目的	原序概括李敖反盲目爱情的主张。
keep	LAQSJ-014	002.《李敖情书集》原序.txt	23-23	西方爱情俗语	爱情是盲目的	原序先引西方爱情俗语再加以反驳。
keep	LAQSJ-015	002.《李敖情书集》原序.txt	23-23	李敖爱情格言	爱情该像《三国演义》中张飞的眼睛，一天二十四小时，除了眨眼，连睡觉都是睁着的。	以张飞眼睛比喻清醒的恋爱。
keep	LAQSJ-016	002.《李敖情书集》原序.txt	25-25	李敖爱情格言	睁着眼睛的恋爱才是真的恋爱	原序强调恋爱应保持清醒判断。
keep	LAQSJ-017	002.《李敖情书集》原序.txt	25-25	李敖爱情格言	西施不该只出在情人眼里	改写俗语，反对只靠情人眼光制造美。
keep	LAQSJ-018	002.《李敖情书集》原序.txt	25-25	李敖爱情格言	爱情应该知道对方的优点与缺点	强调爱情应认识对方全貌。
keep	LAQSJ-019	002.《李敖情书集》原序.txt	27-27	李敖爱情格言	爱情是不痛苦的——它是纯快乐	原序主张爱情本质是纯快乐。
keep	LAQSJ-020	002.《李敖情书集》原序.txt	29-29	李敖爱情格言	男欢女爱是人类最大的快乐，这种快乐，是纯快乐，不该掺进别的，尤其不该掺进痛苦。	阐述爱情不应与痛苦混同。
keep	LAQSJ-021	002.《李敖情书集》原序.txt	31-33	现代人物题句	爱情的代价是痛苦，\n爱情的方法是忍受痛苦。	原序引胡适关于爱情代价与方法的题句。
keep	LAQSJ-022	002.《李敖情书集》原序.txt	35-35	李敖爱情格言	真正的第一流的人，是不为爱情痛苦的	原序以第一流人的标准排除爱情痛苦。
keep	LAQSJ-023	002.《李敖情书集》原序.txt	37-43	西方诗歌译文	啊！“爱情”！他们大大的误解了你！\n他们说你的甜蜜是痛苦，\n当你丰富的果实\n比任何果实都甜蜜。	原序引用外国诗句说明爱情之甜不应被说成痛苦。
keep	LAQSJ-024	002.《李敖情书集》原序.txt	45-51	西方诗歌	Oh Love！they wrong thee much\nThat say thy sweet is bitter，\nwhen thy rich fruit is such\nAs nothing can be sweeter．	与前条中文译句对应的英文原诗。
keep	LAQSJ-025	002.《李敖情书集》原序.txt	55-55	李敖爱情格言	爱情是灵肉一致的——肉一样重要	原序概括灵与肉并重的爱情观。
keep	LAQSJ-026	002.《李敖情书集》原序.txt	61-61	西方诗歌译句	……灵之对肉，并不多于肉之对灵。	原序引诗句说明灵肉相助。
keep	LAQSJ-027	002.《李敖情书集》原序.txt	63-63	西方诗歌	……Nor soul helps flesh more，now than flesh helps soul．	与前条中文译句对应的英文诗句。
keep	LAQSJ-028	002.《李敖情书集》原序.txt	65-65	李敖爱情格言	懂得爱情的人，绝不忽略灵肉任何一方面。	原序强调爱情的身心完整。
keep	LAQSJ-029	002.《李敖情书集》原序.txt	67-67	李敖爱情格言	爱情是会变的——接吻来分离	原序以分离技巧谈感情变化。
keep	LAQSJ-030	002.《李敖情书集》原序.txt	69-69	李敖爱情格言	不承认感情在变的人，是不了解爱情的。	原序指出感情变化是爱情中的事实。
keep	LAQSJ-031	002.《李敖情书集》原序.txt	69-69	李敖爱情格言	第一流人的态度是潇洒的、洒脱的、来去自如的	原序称赞来去自如的情感态度。
keep	LAQSJ-032	002.《李敖情书集》原序.txt	71-73	西方诗歌译文	既然没有办法，\n让我们接吻来分离！	原序用外国诗句说明洒脱分手。
keep	LAQSJ-033	002.《李敖情书集》原序.txt	75-77	西方诗歌	Since there's no help，\nCome let us kiss and part．	与前条中文译句对应的英文原句。
keep	LAQSJ-034	002.《李敖情书集》原序.txt	81-81	李敖爱情格言	爱情是要技巧的——不一起下山	原序提出爱情关系中的分寸技巧。
keep	LAQSJ-035	002.《李敖情书集》原序.txt	83-83	李敖爱情格言	小就是技巧，就是细心体贴，不发生技术错误。	借《水浒传》王婆说法阐释爱情技巧。
