score	file	line	text	context
4	001.1990年4月.txt	51	总统决定我担任什么工作，我就遵从。人事布局上需要我退休下来，我也很愿意。	林洋港昨天说：“总统决定我担任什么工作，我就遵从。人事布局上需要我退休下来，我也很愿意。”这种以狗自居的国民党司法院长，全无个人意见与个性，不知其无耻也！
6	002.1990年5月.txt	11	国事于我何有哉——参考书下的人文省思	夜一中苏瑞华来电，敲定讲题为“自由人与桎梏人”。他们提议的题目——“国事于我何有哉——参考书下的人文省思”、“拒绝融化的冰——书呆子与独立思想”等，都被我否决。这种句型与思路都受了台湾蛋头文体的坏影响。
6	002.1990年5月.txt	11	拒绝融化的冰——书呆子与独立思想	夜一中苏瑞华来电，敲定讲题为“自由人与桎梏人”。他们提议的题目——“国事于我何有哉——参考书下的人文省思”、“拒绝融化的冰——书呆子与独立思想”等，都被我否决。这种句型与思路都受了台湾蛋头文体的坏影响。
4	002.1990年5月.txt	11	自由人与桎梏人	夜一中苏瑞华来电，敲定讲题为“自由人与桎梏人”。他们提议的题目——“国事于我何有哉——参考书下的人文省思”、“拒绝融化的冰——书呆子与独立思想”等，都被我否决。这种句型与思路都受了台湾蛋头文体的坏影响。
3	002.1990年5月.txt	149	长跑是我维持二十年的老习惯，每天至少跑三英里路（五公里）以上。……1982年夏天，我岳父由台湾来访，有一天他看我在炎炎夏日里长跑，就对内人说我过着很可怜的生活：不喝汽水、不喝茶、不喝咖啡、不喝酒且不抽烟，老是跑得满身大汗。其实，他哪晓得长跑是我人生的一大享受。每当夕阳西下，跑完了十几圈运动场后，筋疲力尽，懒洋洋地在操场散步，面对阔野寂静的四方，常会令我忘了繁杂的世界而进入到另一个安详的心境。	今天《自立晚报》有蔡同荣写《长跑对我的影响》，说：“长跑是我维持二十年的老习惯，每天至少跑三英里路（五公里）以上。……1982年夏天，我岳父由台湾来访，有一天他看我在炎炎夏日里长跑，就对内人说我过着很可怜的生活：不喝汽水、不喝茶、不喝咖啡、不喝酒且不抽烟，老是跑得满身大汗。其实，他哪晓得长跑是我人生的一大享受。每当夕阳西下，跑完了十几圈运动场后，筋疲力尽，懒...
6	002.1990年5月.txt	193	并非你文章写得好，而是只有在我《世界论坛报》上才能看到。所以大家才要看呀！《联合报》上根本没你的文章，还不是有一百万人在看《联合报》！	老段笑谓：“并非你文章写得好，而是只有在我《世界论坛报》上才能看到。所以大家才要看呀！《联合报》上根本没你的文章，还不是有一百万人在看《联合报》！”我说：“《联合报》没有我文章，我的文章登《千秋评论》登了八年，其间没有《世界论坛报》，还不是一样，可见你的报是多余的。——你自己个人自大就好啦，你的报别自大啦！”两人大笑。
6	002.1990年5月.txt	193	《联合报》没有我文章，我的文章登《千秋评论》登了八年，其间没有《世界论坛报》，还不是一样，可见你的报是多余的。——你自己个人自大就好啦，你的报别自大啦！	老段笑谓：“并非你文章写得好，而是只有在我《世界论坛报》上才能看到。所以大家才要看呀！《联合报》上根本没你的文章，还不是有一百万人在看《联合报》！”我说：“《联合报》没有我文章，我的文章登《千秋评论》登了八年，其间没有《世界论坛报》，还不是一样，可见你的报是多余的。——你自己个人自大就好啦，你的报别自大啦！”两人大笑。
3	003.1990年6月.txt	227	据制作单位表示，上周首集与中视《女人女人》对垒失利，主要原因是《女人女人》上周邀请的李敖太强，有鉴于此，《甄妮会客室》自本周起也将改走煽情路线，昨天录完‘未婚妈妈’后，同时还录‘外遇’，下周将录‘校园性生活’及考虑邀请李敖与甄妮两位大男人、大女人谈‘两性平等’，企图以激烈的话题吸引观众。	《中国时报》说甄妮泪洒影棚，说：“据制作单位表示，上周首集与中视《女人女人》对垒失利，主要原因是《女人女人》上周邀请的李敖太强，有鉴于此，《甄妮会客室》自本周起也将改走煽情路线，昨天录完‘未婚妈妈’后，同时还录‘外遇’，下周将录‘校园性生活’及考虑邀请李敖与甄妮两位大男人、大女人谈‘两性平等’，企图以激烈的话题吸引观众。”
4	003.1990年6月.txt	269	其争也君子	制作单位的感觉是，虽激烈但还蛮有趣的，尤其双方从头到尾都是带着“满脸笑容”你一句、我一句的，使他们见识到“其争也君子”的风度。
3	003.1990年6月.txt	269	满脸笑容	制作单位的感觉是，虽激烈但还蛮有趣的，尤其双方从头到尾都是带着“满脸笑容”你一句、我一句的，使他们见识到“其争也君子”的风度。
4	003.1990年6月.txt	277	大男人主义	【记者李云鑫台北报导】华视《今晚有约》昨（21）日特别请到“大男人主义”李敖，及“大女人主义”李昂两大作家对谈，在以文学创作为题的谈话中，也加入了不少个人观念及兴趣等方面的话题讨论。
4	003.1990年6月.txt	277	大女人主义	【记者李云鑫台北报导】华视《今晚有约》昨（21）日特别请到“大男人主义”李敖，及“大女人主义”李昂两大作家对谈，在以文学创作为题的谈话中，也加入了不少个人观念及兴趣等方面的话题讨论。
7	003.1990年6月.txt	279	此情不渝、据理力争、依法解决。	拥有十万册藏书，喜好剪报的李敖，至今有九十六本著作被查禁过。在狱中待了六年四个月仍然不改李敖本色，依然爱打官司，对女人也是如此，但李敖用一句话形容交女朋友的过程——“此情不渝、据理力争、依法解决。”
3	003.1990年6月.txt	341	明星	文章最后说，侯德健此次偷渡返台，前因后果只有他本人才知道，既然已经抵台，又何况走的不是正道，找托词、寻借口、推责任也在情在理，只是希望侯氏在今后的言语中别说得太离谱或漏洞百出，因这样除有损于自己的“明星”形象外，绝无好处。
4	005.1990年8月.txt	25	我没有参加、也没有做过这样的事，我头一次听到这种说法。	连战回答时说，他就读台大三年级时，彭明敏是他“国际公法”的老师，彭明敏回忆录他在报章上看过节录刊登的部分，不知有牵涉到他本人的内容，有关他曾翻译《台湾人民自救宣言》并为台独宣传的传闻，他说：“我没有参加、也没有做过这样的事，我头一次听到这种说法。”
4	005.1990年8月.txt	27	假设性的问题，我没办法回答。	对于周慧瑛所问，如果中共对他“统战”，他的立场会不会转变一事，连战说：“假设性的问题，我没办法回答。”他说，爱国、爱乡、爱民是大家共同的理想，他身为台湾人民的一分子，一定尽全力贡献自己，同时他身为中华民国的官员，也一定依法做事。
5	005.1990年8月.txt	87	你成功了，哎呀，你厉害！	台中法院法官来电：“你成功了，哎呀，你厉害！”
