id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAHSPZ-001,胡适评传,关于《胡适评传》,001.关于《胡适评传》.txt,7,7,我已是死掉的人了，死人还能说些什么呢？,人生感喟,胡适语,李敖在序文中转引胡适自嘲已被批评者判为死人的感喟，句子有独立的生命无常意味。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-002,胡适评传,关于《胡适评传》,001.关于《胡适评传》.txt,15,15,画我须是我。,传记格言,克伦威尔语,李敖借克伦威尔要求写真相的名句说明传记写作必须面对真实人物。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-003,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,141,141,将军慷慨来渡辽，飞鞭跃马夸人豪。平时搜集得汉印，今作将印悬在腰。,近代讽刺诗,黄遵宪《渡辽将军歌》,李敖引用黄遵宪诗句讽刺吴大澂以金石嗜好入军事场景。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-004,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,141,141,将军终是察吏材，湘中一官复归来，八千子弟空摧折，白衣迎拜悲风哀。幕下部卒皆云散，将军归来犹善饭。平章古玉图鼎钟，搜箧价犹值千万。,近代讽刺诗,黄遵宪《渡辽将军歌》,李敖引用较长一段，呈现讽刺人物失败后仍归于金石古玩的一面。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-005,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,141,141,两军相接战甫交，纷纷鸟兽空营逃。弃官脱剑无人惜，只幸腰间印未失。,近代讽刺诗,黄遵宪《渡辽将军歌》,李敖续引同诗写败逃与护印的反差。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-006,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,233,233,夜夜澄心学坐禅，更残漏尽未成眠，忽然一阵风吹到，几处笙歌管杂弦。云影迢迢月影孤，山中习静要功夫，僧房寂寞蒲团冷，未悉禅心入定无？晓色迷离睡转浓，三杯乍夜醉黄封，非常最是邯郸梦，莫遣沙弥乱打钟。,幽默打油诗,胡传调侃诗,李敖转录胡传调侃同乡读书坐禅的诗，保留其诙谐诗趣。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-007,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,283,283,吾家世业茶，然此儿慧，勿以服贾废读。,教育格言,胡铁花家传,胡传家传中长辈劝不以经商废读的话，体现旧家教育取向。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-008,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,295,295,多其取之方，少其取之数，则人易为力而乐从。,处事格言,胡铁花家传,胡传议修宗祠筹款时提出的取财有方、负担从轻原则。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-009,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,327,327,习之熟则猝遇非常，不致张皇矣。,训练格言,胡铁花语,胡传督练步伐打靶时说明熟练训练可防临事慌乱。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
LAHSPZ-010,胡适评传,可怜的县太爷（1841-1895）,003.可怜的县太爷（1841-1895）.txt,329,329,吾死，尔归吾骨，不幸则父子同死，毋令全家俱殉也。,家书遗语,胡铁花语,胡传临危安排家人内渡时留下的沉痛家族遗语。,校对轮保守收入：本书兼具评传、史料脚注和早年诗文，现代党派、革命、选举、国家治理、时事新闻、电讯和现代政治人物评议不收；删除碎片化题字、过度场景化人物评语和政治边缘表达，只取句子本体可独立成立的诗文、治学方法、古典名句、宗教哲理、亲情婚恋诗文和非政治生活格言。
