action	reason	id	source_file	line_start	line_end	present	political_hits	quote_text
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-001	《论定蒋经国》前言（李敖）.txt	7	7	yes		富贵不能淫、贫贱不能移、威武不能屈
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-002	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	yes		六帝园林堕劫灰，独余静谷葬崔嵬，行人指点云间鹤，唤得齐梁一梦回。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-003	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	yes		贫僧塔坏，陛下社稷随坏。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-004	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	17	17	yes		一介有能，片言可用，朕亲加听览
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-005	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		国君死社稷，朕将安往？
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-006	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		好似门神
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-007	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		因失江山，无面目见祖宗于天上，不敢终于正寝
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-008	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		自去冠冕，以发覆面
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-009	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	25	25	yes		扶不起的阿斗
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-010	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	29	29	yes		乐不思蜀
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-011	002.论定蒋经国（李敖）.txt	5	5	yes		炳耀千秋
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-012	002.论定蒋经国（李敖）.txt	5	5	yes		高朗令终
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-013	002.论定蒋经国（李敖）.txt	5	5	yes		有过之而无不及
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-014	002.论定蒋经国（李敖）.txt	17	17	yes		看人只看后半截。
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-015	002.论定蒋经国（李敖）.txt	17	17	yes		辣手摧花
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-016	002.论定蒋经国（李敖）.txt	17	17	yes		怜香惜玉
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-017	002.论定蒋经国（李敖）.txt	17	17	yes		声妓晚景从良，一世之烟花无碍；贞妇白头失守，半生之清苦俱非。
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-018	002.论定蒋经国（李敖）.txt	17	17	yes		与人为善
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-019	002.论定蒋经国（李敖）.txt	19	19	yes		朕即位以来，所为狂悖，使天下愁苦，不可追悔，自今事有伤害百姓、靡费天下者，悉罢之！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-020	002.论定蒋经国（李敖）.txt	23	23	yes		无智，故能使众智也；无能，故能使众能也；无为，故能使众为也。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-021	002.论定蒋经国（李敖）.txt	23	23	yes		重为惠，若重为暴
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-022	003.蒋经国与故乡（毛炳岳）.txt	17	17	yes		读书总以烂熟为度
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-023	004.蒋经国的本生母——“毛太君”（龙中天）.txt	9	9	yes		身体发肤，受之父母，不敢毁伤，孝之始也；立身行道，扬名于后世，以显父母，孝之终也！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-024	004.蒋经国的本生母——“毛太君”（龙中天）.txt	21	21	yes		清明在躬，仪矩咸宜
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-025	004.蒋经国的本生母——“毛太君”（龙中天）.txt	29	29	yes		昏定晨省
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-026	004.蒋经国的本生母——“毛太君”（龙中天）.txt	29	29	yes		纤屑曲尽
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-027	004.蒋经国的本生母——“毛太君”（龙中天）.txt	29	29	yes		有其父者，必有其子
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-028	004.蒋经国的本生母——“毛太君”（龙中天）.txt	35	35	yes		临难不苟免
