score	file	line	text	context
4	《李敖有话说》目录.txt	5	孤笑看一线天	451-735集全部内容，打字部分由群578505007群友“孤笑看一线天”（Q：1056218525）联合大鹏起兮尘飞扬（Q：248326417）、青蜂侠（QQ:504539165）、敬敷法雨（Q:1059981851）、张明瑞（Mr Q：984334467）、敖之（Q：602427595）、尊敖之（q24158715）、羽隹（QQ：24158715）、网...
4	《李敖有话说》目录.txt	5	吐烟圈的日子	451-735集全部内容，打字部分由群578505007群友“孤笑看一线天”（Q：1056218525）联合大鹏起兮尘飞扬（Q：248326417）、青蜂侠（QQ:504539165）、敬敷法雨（Q:1059981851）、张明瑞（Mr Q：984334467）、敖之（Q：602427595）、尊敖之（q24158715）、羽隹（QQ：24158715）、网...
3	《李敖有话说》目录.txt	14	公投	008.2004-03-17：“公投”丐词魔术骗你不商量
3	《李敖有话说》目录.txt	26	骗子	020.2004-04-02：“骗子”诗人和他的诗
5	《李敖有话说》目录.txt	524	美男破老，美女破舌	518.2006-03-01：谈“美男破老，美女破舌”
8	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	15	天下兴亡，匹夫有责！	我们为什么谈到顾炎武？顾炎武说了一句话你们都记得，事实上这句话不是他说的，什么话呢？就是“天下兴亡，匹夫有责！”这句话不是顾炎武说的，大家都以为是他说的，只能说顾炎武有这个精神，说“天下兴亡，匹夫有责”。事实上我是给大家展示一下我丰富的历史知识，告诉你们顾亭林就是顾炎武，没有讲过这句话。
8	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	15	天下兴亡，匹夫有责	我们为什么谈到顾炎武？顾炎武说了一句话你们都记得，事实上这句话不是他说的，什么话呢？就是“天下兴亡，匹夫有责！”这句话不是顾炎武说的，大家都以为是他说的，只能说顾炎武有这个精神，说“天下兴亡，匹夫有责”。事实上我是给大家展示一下我丰富的历史知识，告诉你们顾亭林就是顾炎武，没有讲过这句话。
3	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	17	国父	为什么说中华民国已经亡国了？我告诉各位。我在台湾被蒋介石抓起来坐黑牢的时候，他们把我单独关在一个小房间里。看守我的人说，你这个人太坏了，你不是喜欢看书嘛，我什么书都不让你看，什么书都不给你看。我坐在那里很发愁，因为没有书可以看。我就提出来一个奇怪的问题，对看守我的人说，可不可以看孙中山的《三民主义》？孙中山是被国民党政府捧为所谓“国父”，所谓中华民国的“国父...
5	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	21	总统复职的使命与目的	在《蒋总统集》的一篇文章里，我看到他讲的一句话。在1950年3月13日，他有一个秘密演讲，说“中华民国亡国了”。替他编全集的人都糊里糊涂不知道，认为“总统”的话怎么会错？我后来找到了蒋介石这个秘密的演讲稿，我给大家看一下他改的原文，看到没有？这就是蒋介石的秘密演讲稿，他手写的“总统复职的使命与目的”，是三十九年就是1950年3月13日，在台北的革命实践研究院...
4	001.2004-03-08：我终于有一个机会在这里抛头露面.txt	21	中华民国亡国了	在《蒋总统集》的一篇文章里，我看到他讲的一句话。在1950年3月13日，他有一个秘密演讲，说“中华民国亡国了”。替他编全集的人都糊里糊涂不知道，认为“总统”的话怎么会错？我后来找到了蒋介石这个秘密的演讲稿，我给大家看一下他改的原文，看到没有？这就是蒋介石的秘密演讲稿，他手写的“总统复职的使命与目的”，是三十九年就是1950年3月13日，在台北的革命实践研究院...
