file	line	text
001.十七天的校园生活.txt	3	我的《大学后期日记》（收入《李敖大全集》（台湾版）第五册中）是1958年6月8日开始的。是我由大学三年级升到四年级的一大段完整的日记。在这大段日记以前，我零星有十七天日记，从1958年5月27日到6月7日，正好下接《大学后期日记》，就是这些。
001.十七天的校园生活.txt	25	四、夜与信郑同看《一袭灰衣万缕情》。Jennifer Jones娇态极多。
001.十七天的校园生活.txt	91	二、看末场《马戏班小丑》。
001.十七天的校园生活.txt	113	七、卢梭应征作文，灵感如泉，写出时汗流浃背，自言能捉到的灵感不过四分之一耳。卢梭写《爱弥儿》谈教育，但他自己与下层社会女人生五子而置孤儿院中。其《民约论》乃有感情之书，故能动人。
001.十七天的校园生活.txt	125	三、陈淑平、王曼施送晚会票六张，与华民去看。电影为《新灵肉之门》。述一妓女，女儿被杀死，充圣母，最后被石击死。“暂时我不笑，一会我会笑的。”“女人要捣乱，她们就会找出借口来。”此影写群众情绪之冲动易变，甚佳。
001.十七天的校园生活.txt	131	二、动感情之例——卢梭《民约论》第一句便动感情。
001.十七天的校园生活.txt	151	四、当把许多笑话写成《哈哈集》。
001.十七天的校园生活.txt	153	五、当把一生快乐的事写成《得意集》。咪咪说该把失意的事写成以为警惕，我觉得不需要。
001.十七天的校园生活.txt	161	九、卡德威《上帝的小田亩》二十五年来销八百万册。美国许多州现在还在禁它。
001.十七天的校园生活.txt	163	十、二十年前美国毕特金写《人生四十开始》一书成名，此书给中年人对生命之大希望。此后他每至一处，便被包围签名，使他不胜其烦，誓言将写一部《人生四一而终》。
001.十七天的校园生活.txt	177	十七、看《战地春梦》：“假如死后没有上帝，我把坏消息保守秘密。”“重要的是在一起，能多久就多久。”“有时爱人们会彼此故意误会。”……海明威的人生经验多丰富多深刻，岂是这些学者所可及！
002.毕业以后，从军以前.txt	5	我的《大学后期日记》，写到1959年8月2日结束。这一天，我就从台北回到台中了。自8月3日到9月6日，一个月零三天，我失业在家，留下这些日记。9月7日以后，我到凤山接受第八期预官训练，就开始《一个预备军官的日记》了。
002.毕业以后，从军以前.txt	189	一、李敖文集中当有《论保险套》等文。
002.毕业以后，从军以前.txt	195	四、《日本人》乃剪裁自传而成。人道主义者的悲哀。
002.毕业以后，从军以前.txt	255	五、午成功、庄因、鼓应、述古、彦增来寓吃盒子，后同看奥迪墨菲《飞骑追踪》。
002.毕业以后，从军以前.txt	297	五、夜与尔琳、华民看《一夜夫人》于金都。
002.毕业以后，从军以前.txt	301	一、晨广诚来谈并午饭。饭后广诚请我及李八看埃洛弗林之《剑底游龙》，史蒂文森之Master of B(?)，临死前叹恨尚多未花的钱和未接触过的女人。
002.毕业以后，从军以前.txt	309	一、午后姚嶂请看《降伞暗杀团》。
002.毕业以后，从军以前.txt	327	五、夜12点一刻读完《父与子》。
002.毕业以后，从军以前.txt	335	三、一部《猎人日记》对农奴改革有多大影响！岂是政治改革所可及的！此为正路！
002.毕业以后，从军以前.txt	347	三、看《天涯一妇人》（Woman Obsessed）于丰中。后父前子甚不易处也。
002.毕业以后，从军以前.txt	349	四、看电影归来，略读今午购来的《存在主义哲学》。
002.毕业以后，从军以前.txt	381	二、午后与述古、鼓应等看《青春恋》于东海。又看《最后逃生》于丰中。
002.毕业以后，从军以前.txt	383	三、夜与尔琳看《迷魂曲》于金都。
002.毕业以后，从军以前.txt	391	一、晨看东海早场《电话情杀案》。
002.毕业以后，从军以前.txt	397	四、夜仁龙请看《刁蛮娘子》。
003.四席小屋日记.txt	7	我在《十三年和十三月》里，有一段写四席小屋时代的往事，我说：
003.四席小屋日记.txt	25	“四席小屋”中住我隔壁的李善培，后来在美国被黑人杀死了，我有诗《无所逃》怀念他，收在《李敖千秋评论丛书》（台湾版）第五册《霸王·骆马·人》里。
003.四席小屋日记.txt	37	四、午后即与马去景家，谈及共同租房事，既又作罢，马戈愠然而去，我和马戈同居实在没有“信心”，马似“嫉”言景盼我北来，景以退回之二信及八十元示我，5日信曰：
003.四席小屋日记.txt	41	9日信云：
003.四席小屋日记.txt	83	一、晨起想到写《旧事新诂（估）》，重点在把旧史赋予新解释，盖今人多以今臆古，每失之矣。
003.四席小屋日记.txt	125	二、钉稳桌子等等，12时后抵第一宿舍，谈天吃橘，直扯到2点才由珂陪吃包子，敖小姐借三百元，珂与英善皆借款，今日办货良多，脸盆、拖鞋、杯、壶、钉、烧水器、绿瓷烟缸（四元，甚可爱）、衣架、鞋油，遍购书架不到，真是欠文明之地域！跑到女师找广诚不在，去大理街取回日记及书，强送阿兵哥送我的Parker 21给新汉，上次送他光锦赠我之Parker 21原子笔，我专门把纪念品送给这位待我最厚的通心粉专家。谎言已晚饭，出来在小店食二十饺子，花了十元。在万华购《双梅景暗丛书》及The Art of Kissing，共花六元。
003.四席小屋日记.txt	129	四、归与英星等谈笑风生，强英星送夜壶一，取来《大学论坛》，有杨庆仪的诗与文，“小儿女感情”真浓。
003.四席小屋日记.txt	133	六、决定写《中国性史》，先零售于报章，想可获登载。
003.四席小屋日记.txt	199	（一）明明是与人私通的烂女人居然摇身一变为“圣母”，且有《圣母颂》，安分守己的女人该如何称之耶？
003.四席小屋日记.txt	281	一、一早珂来扰我清梦，骂走再睡，至11时。起理旧稿，决定先将《冥婚考》及《溺女考》写出。
003.四席小屋日记.txt	301	十、10时后穷四时之力一口气写两千五百字之《排长经》（后改名《充员官》）。
003.四席小屋日记.txt	335	三、午与善培合宴启庆于寿尔康，归与启庆品茗谈，再赴校找姚老头，还钱他不受，他言对我之信任与能力之期许与赞扬，又写名片介绍蒋复璁，翻看《东方杂志》后归。
003.四席小屋日记.txt	337	四、应新汉信邀与面谈，今晚破例去其家，送还锯刨，并赠以Across the River into the Trees及线装《护生画集》，新汉欣喜之状殊罕见也。新汉言见十七师预官云我口才之佳。新汉怪我对彼等男女事漠然，我真的不关心他们这些小儿女的事了！
