id	source_file	line_start	line_end	present	political_hits	quote_text
LACLZG-001	001.《丑陋的中国人研究》导引.txt	3	3	yes		大同而与小同异，此之谓小同异；万物毕同毕异，此之谓大同异。
LACLZG-002	001.《丑陋的中国人研究》导引.txt	5	5	yes		性相近，习相远
LACLZG-003	001.《丑陋的中国人研究》导引.txt	7	7	yes		出乎其类，拔乎其萃
LACLZG-004	004.从认贼到被贼认.txt	19	19	yes		既贵之后……无赖之徒苟合，借其权势，拜伏为兄叔者甚众
LACLZG-005	004.从认贼到被贼认.txt	21	21	yes		认贼为子
LACLZG-006	004.从认贼到被贼认.txt	21	21	yes		认贼作父
LACLZG-007	005.从胡老太秘录看钱大头忘恩负义.txt	3	3	yes		爱情的代价是痛苦，爱情的方法是忍受痛苦
LACLZG-008	005.从胡老太秘录看钱大头忘恩负义.txt	5	5	yes		谈笑有鸿儒，往来无白丁
LACLZG-009	005.从胡老太秘录看钱大头忘恩负义.txt	37	37	yes		玉不琢，不成器。
LACLZG-010	005.从胡老太秘录看钱大头忘恩负义.txt	81	81	yes		交友以自大其身，求士以求此身之不朽
LACLZG-011	006.辜振甫忘恩负义了吗？.txt	111	111	yes		吃三年清斋都不知人家内事
LACLZG-012	006.辜振甫忘恩负义了吗？.txt	111	111	yes		清官难断家务事
LACLZG-013	006.辜振甫忘恩负义了吗？.txt	125	125	yes		君子爱财，取之有道
LACLZG-014	006.辜振甫忘恩负义了吗？.txt	125	125	yes		钱四脚，人两脚
LACLZG-015	006.辜振甫忘恩负义了吗？.txt	127	127	yes		人在人情在、人亡人情亡
LACLZG-016	006.辜振甫忘恩负义了吗？.txt	129	129	yes		良药苦口，忠言逆耳
LACLZG-017	007.柏杨忘恩负义了吗？.txt	369	369	yes		介之推不言禄，禄亦弗及
LACLZG-018	007.柏杨忘恩负义了吗？.txt	371	371	yes		以志吾过，且旌善人。
LACLZG-019	008.义助柏杨的外一章.txt	149	149	yes		曾经沧海难为水，除却巫山不是云
LACLZG-020	008.义助柏杨的外一章.txt	149	149	yes		春蚕到死丝方尽，蜡炬成灰泪始干
LACLZG-021	010.将相怎样才能和？.txt	41	41	yes		知耻近乎勇
LACLZG-022	010.将相怎样才能和？.txt	89	89	yes		没有仆人能侍奉两个主人：不是恨这个，就得爱那个；不是重这个，就得轻那个，你不能同时侍奉上帝，又侍奉财神。
LACLZG-023	010.将相怎样才能和？.txt	89	89	yes		同时侍奉上帝和财神的，很快就会发现上帝没了。
LACLZG-024	010.将相怎样才能和？.txt	91	91	yes		我在南都以前，尚有些子乡愿的意思在。我今信得这良知，真是真非，信手行去，更不着些覆藏，我今才做得个狂者的胸次。……
LACLZG-025	011.怎样摸公羊.txt	17	17	yes		左氏艳而富，其失也巫。
LACLZG-026	011.怎样摸公羊.txt	23	23	yes		笔则笔，削则削
LACLZG-027	011.怎样摸公羊.txt	39	39	yes		肝胆两昆仑
LACLZG-028	011.怎样摸公羊.txt	51	51	yes		我这一生中，只要有一个女人，愿意为我心甘情愿地煮一顿饭，我就可以死而无憾了。
LACLZG-029	012.王八一落千丈考.txt	3	3	yes		人皆玳瑁，我独乌龟，何也？
LACLZG-030	012.王八一落千丈考.txt	11	11	yes		毛虫，毛而后生；羽虫，羽而后生；毛羽之虫，阳气之所生也；介虫，介而后生；鳞虫，鳞而后生；介鳞之虫，阴气之所生也。惟人为倮匈而后生也（王聘珍校曰：倮匈谓无毛羽与鳞介也），阴阳之精也。毛虫之精者曰麟，羽虫之精者曰凤，介虫之精者曰龟，鳞虫之精者曰龙，倮虫之精者曰圣人。
LACLZG-031	012.王八一落千丈考.txt	13	13	yes		我龟既厌，不我告犹
LACLZG-032	012.王八一落千丈考.txt	13	13	yes		昔者，圣人建阴阳天地之情，立以为易，易抱龟南面，天子卷冕北面，虽有明知之心，必进断其志焉，示不敢专，以尊天也。
LACLZG-033	012.王八一落千丈考.txt	27	27	yes		龟，旧也。外骨内肉者也。从它（蛇）。龟头与它（蛇）头同。天地之性，广肩无雄、龟鳖之类，以它（蛇）为雄。
LACLZG-034	012.王八一落千丈考.txt	29	29	yes		广肩无雄，与蛇为匹，故龟与蛇合，谓之玄武。
LACLZG-035	012.王八一落千丈考.txt	29	29	yes		面盆脞水（脞水，贮水也）津呵呵（清到彻底也），照见北爷（玄天上帝也）在后座，头毛披肩手骑（骑，拿也）剑，脚下踏着龟蛇哥。
LACLZG-036	012.王八一落千丈考.txt	37	37	yes		明制乐人例用碧绿巾裹头，故吴人以妻之有淫行者。谓其夫为绿头巾，事见《七修类稿》。又《知新录》云明制伶人服绿色衣，良家带用绢布，妓女无带，伶人妇不带冠子、不穿褙子，然则伶人不惟裹绿巾，兼着绿衣。按《唐史》及《封氏闻见记》李封为延陵令，吏人有罪，不加杖，但令裹碧绿巾以耻之，随所犯重轻以定日数，吴人遂以此服为耻。明之令乐人裹绿巾，或本诸此也。
LACLZG-037	012.王八一落千丈考.txt	39	39	yes		但又思当时李封何必欲用绿巾？及见春秋时有货妻女求食者，谓之‘娼夫’，以绿巾裹头，以别贵贱。然后知从来已远。李封亦因是以辱之。今则深于乐人耳。
LACLZG-038	012.王八一落千丈考.txt	39	39	yes		帽儿改绿，顶子飞红
LACLZG-039	012.王八一落千丈考.txt	57	57	yes		王八好做气难当
LACLZG-040	012.王八一落千丈考.txt	57	57	yes		王八看绿豆——对眼
LACLZG-041	012.王八一落千丈考.txt	57	57	yes		有钱的王八大三辈
LACLZG-042	014.你不能只做一半.txt	61	61	yes		非之，无举也；刺之，无刺也。同乎流俗，合乎污世。居之似忠信、行之似廉洁，众皆悦之，自以为是，而不可与入尧舜之道。故曰：德之贼也。
LACLZG-043	014.你不能只做一半.txt	61	61	yes		过我门而不入我室，我不憾焉者，其惟乡愿乎？乡愿，德之贼也。
LACLZG-044	015.柏杨割错了屌.txt	23	23	yes		仆怀欲陈之而未有路，适会召问，即以此指推言陵之功，欲以广主上之意，塞睚眦之辞，未能尽明。明主不深晓，以为仆沮贰师，而为李陵游说，遂下于理。拳拳之忠，终不能自列。因为诬上，卒从吏议。家贫，财赂不足以自赎，交游莫救，左右亲近，不为一言，身非木石，独与法吏为伍，深幽囹圄之中，谁可告诉者！
LACLZG-045	020.恩仇心理学.txt	13	13	yes		狱囚有意气者，感勉求生，勉纵而逸之。后数岁，勉罢秩客游河北，偶见故囚。故囚喜，迎归厚待之。告其妻曰：“此活我者，何以报德？”妻曰：“偿缣千匹可乎？”曰：“未也。”妻曰：“二千匹可乎？”亦曰：“未也。”妻曰：“若此，不如杀之。”故囚心动。其仆哀勉，密告之。勉衩衣乘马而逸。比夜半，行百余里，至津店。店老父曰：“此多猛兽，何敢夜行？”勉因话言。言未毕，粱上有人瞥下，曰：“我几误杀长者！”乃去。未明，携故囚夫妻二首以示勉。
LACLZG-046	020.恩仇心理学.txt	17	17	yes		恩将仇报
LACLZG-047	023.行走在地雷上（李明德）.txt	7	7	yes		初学最急，莫如《史记》、两《汉书》、《三国志》、以后便读《通鉴》。
LACLZG-048	023.行走在地雷上（李明德）.txt	51	51	yes		夫事未有不生于微而成于著。圣人之虑远，故能谨其微而治之；众人之识近，故必待其著而救之。治其微则用力寡而功多；救其著则竭力而不能及也。易曰：“履霜坚冰至”，书曰：“一日二日万岁”，谓此类也。
LACLZG-049	023.行走在地雷上（李明德）.txt	53	53	yes		履霜坚冰至
LACLZG-050	023.行走在地雷上（李明德）.txt	53	53	yes		商鉴不远，在夏后之世。
LACLZG-051	023.行走在地雷上（李明德）.txt	53	53	yes		于无声处听惊雷
LACLZG-052	023.行走在地雷上（李明德）.txt	53	53	yes		治史所得，在能知几，非惟就已往之事，陈述其变已也。
LACLZG-053	023.行走在地雷上（李明德）.txt	61	61	yes		著书不易，笺书尤难。
LACLZG-054	023.行走在地雷上（李明德）.txt	61	61	yes		著书难，注书更难。
LACLZG-055	023.行走在地雷上（李明德）.txt	65	65	yes		序者，叙所以作之指也。
LACLZG-056	023.行走在地雷上（李明德）.txt	65	65	yes		一个蛋只要吃一口，就可以知道是好蛋还是臭蛋。
LACLZG-057	024.一本不了解原著的译作（孙国栋）.txt	39	39	yes		基广则难倾、根深则难拔、理节则不乱、胶结则不迁。
LACLZG-058	024.一本不了解原著的译作（孙国栋）.txt	147	147	yes		十月涤场，朋酒斯飨，曰杀羔羊……
LACLZG-059	024.一本不了解原著的译作（孙国栋）.txt	147	147	yes		十月获稻，为此春酒，以介眉寿……
LACLZG-060	024.一本不了解原著的译作（孙国栋）.txt	149	149	yes		胡姬招素手，延客醉金樽
LACLZG-061	024.一本不了解原著的译作（孙国栋）.txt	149	149	yes		时人食狗，亦与羊豕同，故哙专屠以卖。
LACLZG-062	026.再评《柏杨版资治通鉴》（孙国栋）.txt	71	71	yes		尽信《书》则不如无《书》，吾于‘武成’，取二三策而已。
