score	file	line	text	reasons	context
4	002.第一幕——夏至.txt	57	跛脚蛤蟆	trigger-context,chinese-compact,political-context	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。”我知道所谓帮忙思考，就是大刑伺候，我内行，我招了。
5	002.第一幕——夏至.txt	57	说我是共产党，你们要拿出证据来。	trigger-context,punctuated,political-context	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。”我知道所谓帮忙思考，就是大刑伺候，我内行，我招了。
6	002.第一幕——夏至.txt	57	我们办案还靠证据吗？你想一想，过去你是怎么办案的？	trigger-context,punctuated,chinese-compact,political-context	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。”我知道所谓帮忙思考，就是大刑伺候，我内行，我招了。
4	002.第一幕——夏至.txt	57	我们是自己人啊！	trigger-context,chinese-compact,political-context	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。”我知道所谓帮忙思考，就是大刑伺候，我内行，我招了。
5	002.第一幕——夏至.txt	57	自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。	trigger-context,punctuated,political-context	史处长：怎么不提？当时承办我案子的，是我苏北同乡科长刘昭祥，他的两条腿不一样长，走起路来一颠一颠的，凸出的黑眼球在玳瑁镜框中旋转，像一只蛤蟆，外号就叫“跛脚蛤蟆”。他的是非标准也人如其腿。我问他：“说我是共产党，你们要拿出证据来。”他说：“我们办案还靠证据吗？你想一想，过去你是怎么办案的？”我说：“我们是自己人啊！”他冷笑说：“自己人？你已经是我们的敌人了。话又说回来，如果你是自己人，你更应该对组织坦白，组织会饶恕你。不过，如果你还不招，我们就知道不给你吃一点苦头，你不会承认，我们要帮忙你思考。”我知道所谓帮忙思考，就是大刑伺候，我内行，我招了。
3	002.第一幕——夏至.txt	77	人生自古谁无死，留取丹心照汗青	punctuated,chinese-compact,political-context	史处长：我的父亲、伯叔、堂兄等，为国民党而死，被共产党杀了，国民党不领情、不认帐。而今，我被国民党指为共产党了，万一因此而死，我这个冒牌的，人家共产党还不是照样不领情、不认帐。虽然说“人生自古谁无死，留取丹心照汗青”，但我们究竟为谁而死的啊？留什么丹心照给谁啊？
3	002.第一幕——夏至.txt	85	背宝剑	trigger-context,political-context	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把给你的所谓休息，像剁一条蛇一样，剁成好几节，这叫休息吗？你的口供他们不满意，不客气的就来了，花样多得很。那时我留着大胡子，他们罚我自己拔胡子三十根，眉毛三十根，要一根一根地拔。每次多一根也不行，拔不出来也不行。拔完了，他们说：“好了，好了，这游戏不玩了，换别的。”别的是什么？换成自打嘴巴——逼令你自己打自己的嘴巴，非用力打、非打出红肿不行。此刑他们美其名为“自我惩罚”，其实意在侮辱你。还有一种叫“吃豆腐乳”——逼令吃下咸豆腐乳，叫你口渴难忍，让你胃疼。还有一种叫“跪象棋”——...
3	002.第一幕——夏至.txt	85	背宝剑	trigger-context,political-context	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把给你的所谓休息，像剁一条蛇一样，剁成好几节，这叫休息吗？你的口供他们不满意，不客气的就来了，花样多得很。那时我留着大胡子，他们罚我自己拔胡子三十根，眉毛三十根，要一根一根地拔。每次多一根也不行，拔不出来也不行。拔完了，他们说：“好了，好了，这游戏不玩了，换别的。”别的是什么？换成自打嘴巴——逼令你自己打自己的嘴巴，非用力打、非打出红肿不行。此刑他们美其名为“自我惩罚”，其实意在侮辱你。还有一种叫“吃豆腐乳”——逼令吃下咸豆腐乳，叫你口渴难忍，让你胃疼。还有一种叫“跪象棋”——...
3	002.第一幕——夏至.txt	85	踩地杠	trigger-context,political-context	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把给你的所谓休息，像剁一条蛇一样，剁成好几节，这叫休息吗？你的口供他们不满意，不客气的就来了，花样多得很。那时我留着大胡子，他们罚我自己拔胡子三十根，眉毛三十根，要一根一根地拔。每次多一根也不行，拔不出来也不行。拔完了，他们说：“好了，好了，这游戏不玩了，换别的。”别的是什么？换成自打嘴巴——逼令你自己打自己的嘴巴，非用力打、非打出红肿不行。此刑他们美其名为“自我惩罚”，其实意在侮辱你。还有一种叫“吃豆腐乳”——逼令吃下咸豆腐乳，叫你口渴难忍，让你胃疼。还有一种叫“跪象棋”——...
4	002.第一幕——夏至.txt	85	吃豆腐乳	trigger-context,chinese-compact,political-context	华老师：我受过三天三夜、四天四夜、五天五夜的疲劳审问，疲劳审问时只骂不打，但是骂的部分包括对你人格的羞辱，例如问我：“姓华的，你有几个爸爸？”我回答说：“当然只有一个。”但特务说：“混帐，你不是有十个爸爸吗？从实招来！说，说你有十个爸爸！”然后，他们在旁边拍手，高声喊叫作乐。有时候说让你睡一下，但不到五分钟十分钟，又大喝一声：“谈话！”一切继续，由头开始。把给你的所谓休息，像剁一条蛇一样，剁成好几节，这叫休息吗？你的口供他们不满意，不客气的就来了，花样多得很。那时我留着大胡子，他们罚我自己拔胡子三十根，眉毛三十根，要一根一根地拔。每次多一根也不行，拔不出来也不行。拔完了，他们说：“好了，好了，这游戏不玩了，换别的。”别的是什么？换成自打嘴巴——逼令你自己打自己的嘴巴，非用力打、非打出红肿不行。此刑他们美其名为“自我惩罚”，其实意在侮辱你。还有一种叫“吃豆腐乳”——逼令吃下咸豆腐乳，叫你口渴难忍，让你胃疼。还有一种叫“跪象棋”——...
