score	file	line	text	reasons	context
13	002.序幕——最后审判.txt	167	莫轻小恶，以为无罪	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：谁说“最后审判”是你们基督徒专利了的？佛教比你们基督教还早吧？佛教讲究“死后有报，纤毫受之”，指死后要跟你算总账，账算得很细很细，细到一根毛都跑不掉，所以要人生前“莫轻小恶，以为无罪”，“最后审判”起来，大罪小罪都清清楚楚，没有一个逃得掉。总之，“最后审判”是普世的，不是基督教只此一家的，何况你们基督教也不是哪一家说了算的。你看，你是“唯一神教派”（Unitarian）的，而你的前任华盛顿，却是“圣公会”（Episcopalian）的，在他眼里，严格地说，你未必代表得了基督教。
13	002.序幕——最后审判.txt	167	死后有报，纤毫受之	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：谁说“最后审判”是你们基督徒专利了的？佛教比你们基督教还早吧？佛教讲究“死后有报，纤毫受之”，指死后要跟你算总账，账算得很细很细，细到一根毛都跑不掉，所以要人生前“莫轻小恶，以为无罪”，“最后审判”起来，大罪小罪都清清楚楚，没有一个逃得掉。总之，“最后审判”是普世的，不是基督教只此一家的，何况你们基督教也不是哪一家说了算的。你看，你是“唯一神教派”（Unitarian）的，而你的前任华盛顿，却是“圣公会”（Episcopalian）的，在他眼里，严格地说，你未必代表得了基督教。
13	003.第1幕——审判华盛顿.txt	125	皇帝轮流做，今年到我家	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：请看这四行英文的最后一行，当然我是上帝，至少我是轮值到的上帝。我们中国神话人物孙悟空说，“皇帝轮流做，今年到我家”，2008年后奥运轮流到中国了，上帝也该由中国人做做了。你们美国总统不也轮流吗？我不好说我是永远的上帝，但这场“最后审判”法庭，可是我来当家的。你没有选择权，你可以清楚说出你的希望，会有人听到。就好像1799年12月14日晚上10点你最后说出你的希望一样。你没上绞架，可是你必须面对死在眼前，你叮咛你死后三天才能入土，你怕你还没死，就被活埋了。你一再叮咛里尔（Tobias Lear），你坦白说，是不是？
13	003.第1幕——审判华盛顿.txt	265	你可以欺骗所有人于暂时，你可以欺骗少数人于永久，但你不能欺骗所有人于永久	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：帝国主义。是帝国主义使你们美国再也休想以道德面目骗尽世界，“你可以欺骗所有人于暂时，你可以欺骗少数人于永久，但你不能欺骗所有人于永久”。（You can fool all the people some of the time，and some of the people all the time，but you cannot fool all the people all of the time.）
13	003.第1幕——审判华盛顿.txt	303	拉法耶特，我们来了！	known-pattern,trigger-context,punctuated,chinese-compact,political-context	华盛顿：美国独立战争时候，一个法国贵族叫拉法耶特（Marquis de Lafayette）的，在1777年7月抵达新大陆，参加了反抗英国的作战。他那时20岁，被任命为少将，很有战功。1779年他回法国，劝说法国国王路易十六（Louis XVI）派出6000人的远征军支援殖民地人民。1780年他再返新大陆，协助美国独立战争，直到成功为止。1782年他回法国。1784年访问美国，成为好几个州的公民，极得美国人的景仰。拉法耶特死后87年，也就是他去美国参加独立战争后140年，第一次世界大战爆发了，美国加入战团，支援法国对抗德国。美国派出军队，派遣军司令官是潘兴将军（General John J. Pershing）。1917年7月4日，一幕感人的献词在巴黎拉法耶特坟前发表了，主题是：“拉法耶特，我们来了！”（Lafayette，we are here！）言简意赅，表达了美国人在法国人危难之际如何援之以手，一如140年前法国人援美国人以手一样。由潘兴将军的例子，证明我们美国人不是不讲道义。请上帝李提到我们美国对不起博马舍的时候注意一下。
13	003.第1幕——审判华盛顿.txt	305	拉法耶特，我们来了！	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：我先纠正你的错误，这句“拉法耶特，我们来了！”的名言，一般都误以为出自潘兴将军之口，但据潘兴回忆录《我在世界大战中的经历》（My Experiences in the World War），却指出乃是斯坦顿上校（Colonel C. E. Stanton）的杰作。至于你举拉法耶特的例子，并不能证明你们对得起另一位法国人博马舍。拉法耶特是明的，你们抹杀不掉；但博马舍是暗的，就被你们给做掉了。
13	010.第8幕——审判范布伦.txt	31	传说太阳从东方升起，你相信吗？	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：由你的外号，证明你很滑头。你在自传中也提到那个滑头的故事。你任参议员时，一位同僚打赌能使你表示积极意见。他问你：“传说太阳从东方升起，你相信吗？”你回答：“我了解那是人所共同接受的（the common acceptance），不过我从未在黎明以前起床，我不能确实的说。”你用“不确表意见”（non-committal）来表达你的意见，在方法学上，是可以成立的；在政治上，就太滑头了。
13	011.第9幕——审判哈里森.txt	73	婆婆腔哈里森，娘娘腔一将军	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：你呀，你有别的形象正在维护呢。你这位28岁起家的印第安人大杀手，声名远播，30年后，“被歌颂赢得总统职位”（sung into presidency），你一路靠英雄形象竞选，你把副手泰勒（Tyler）名字加入，编成口号“Tippecanoe and Tyler Too”（提帕卡努，再加泰勒），成功造出美国第一次“形象”竞选（the first“image” campaign），最后你赢了，民主党的《惠林时报》（Wheeling Times）评论说：“我们被唱倒、骗倒、醉倒。”（We have been sung down, lied down and drunk down.）足见歌声、谎言、和苹果酒影响大选之大。你的宣传把你描绘成战争英雄，又描绘成民间英雄（a folk hero）、又描绘成老百姓的人（man of the people）、又描绘成一名住小木屋（log cabin）、喝酸果汁（hard cider）的山林土老儿（a hillbilly），实际上，你出身维吉尼亚的上流社会、拥有22间房屋的大宅邸、饮上等威士忌酒，你从杀印第安...
13	017.第15幕——审判布坎南.txt	83	俄酋阴为主谋，英、美、佛（法）则恃强要挟，米酋（美国领导人）则两相依附，诡计多端，合而图我	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：和平友好？是你们的门面话吧？中国官方文献明说当时的情况是“英、法阳示其恶，美、俄阴济其奸，强弱不同，其为贪得无厌，则均归一辙”，“俄酋阴为主谋，英、美、佛（法）则恃强要挟，米酋（美国领导人）则两相依附，诡计多端，合而图我”。中国绝不相信你们美国，中国看出来你们美国只是捡便宜，英国、法国在前面要权利，而你们美国在后面“一体均沾”。真相是英国法国演黑脸，美国演白脸，你们不费一枪一弹，不死一条人命，就捡尽了便宜。捡便宜变成你们的政策与国策，我们越看越清楚了。
13	017.第15幕——审判布坎南.txt	83	英、法阳示其恶，美、俄阴济其奸，强弱不同，其为贪得无厌，则均归一辙	known-pattern,trigger-context,punctuated,chinese-compact,political-context	上帝李：和平友好？是你们的门面话吧？中国官方文献明说当时的情况是“英、法阳示其恶，美、俄阴济其奸，强弱不同，其为贪得无厌，则均归一辙”，“俄酋阴为主谋，英、美、佛（法）则恃强要挟，米酋（美国领导人）则两相依附，诡计多端，合而图我”。中国绝不相信你们美国，中国看出来你们美国只是捡便宜，英国、法国在前面要权利，而你们美国在后面“一体均沾”。真相是英国法国演黑脸，美国演白脸，你们不费一枪一弹，不死一条人命，就捡尽了便宜。捡便宜变成你们的政策与国策，我们越看越清楚了。
