id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LALTRS-001,李敖书信集,《李敖书信集》自序,《李敖书信集》自序.txt,5,5,吾心所是，却老而弥笃,李敖自述格言,李敖自序,以老而弥笃概括心志不改。,
LALTRS-002,李敖书信集,《李敖书信集》自序,《李敖书信集》自序.txt,5,5,异端性格与独立气概,李敖自述短语,李敖自序,概括自我性格。,
LALTRS-003,李敖书信集,《李敖书信集》自序,《李敖书信集》自序.txt,7,7,不诚之事，不可为之。,古人格言,司马光,以诚为行事底线。,
LALTRS-004,李敖书信集,《李敖书信集》自序,《李敖书信集》自序.txt,7,7,可以告人以诚,李敖书信格言,李敖自序,以坦然存诚概括书信。,
LALTRS-005,李敖书信集,才吏自扰,003.才吏自扰.txt,11,13,"本来无事只畏扰，
扰者才吏非庸人！",古诗句,陆游,以才吏自扰写善意扰人。,
LALTRS-008,李敖书信集,才吏自扰,003.才吏自扰.txt,15,15,庸人自扰,成语,传统成语,和才吏自扰对举。,
LALTRS-009,李敖书信集,才吏自扰,003.才吏自扰.txt,15,15,才吏自扰,李敖化用短语,李敖化用陆游诗意,指出能吏也会扰人。,
LALTRS-010,李敖书信集,才吏自扰,003.才吏自扰.txt,15,15,真正俯仰无愧的人，才会为他们的善良和守“正”不阿（他们以为的“正”），而制造出悲剧！,李敖警句,李敖书信,提醒善意和自信也可能造成悲剧。,
LALTRS-011,李敖书信集,一个作家的反叛,005.一个作家的反叛.txt,5,5,不为酒饮，乃为醉饮,古人格言,古人之言,写饮酒重在醉意。,
LALTRS-012,李敖书信集,一个作家的反叛,005.一个作家的反叛.txt,33,33,受过良好思想方法训练的人，该先学会想得清楚、写得简单。,李敖写作格言,李敖书信,强调思考清楚、表达简单。,
LALTRS-013,李敖书信集,一个作家的反叛,005.一个作家的反叛.txt,33,33,过度地想和写，会使一个人糊涂而入迷津。,李敖写作格言,李敖书信,提醒过度自我沉溺会伤害表达。,
LALTRS-014,李敖书信集,论识货,007.论识货.txt,17,17,这腔热血只要卖与识货的！,小说名句,《水浒传》阮小五、阮小七,写知己识货时的热血相托。,
LALTRS-015,李敖书信集,论识货,007.论识货.txt,17,17,人家利用我，是看得起我。,人物俗语,杜月笙,以自嘲姿态看待被利用。,
LALTRS-016,李敖书信集,论识货,007.论识货.txt,29,29,人生一世，草生一秋！,小说俗语,《水浒传》,以草木一秋感叹人生短暂。,
LALTRS-017,李敖书信集,论识货,007.论识货.txt,29,29,水里水里去！火里火里去！,小说豪语,《水浒传》,写为识己者赴汤蹈火。,
LALTRS-018,李敖书信集,论识货,007.论识货.txt,29,29,若能够见用得一日，便死了开眉展眼！,小说豪语,《水浒传》,写一日见用也无憾。,
LALTRS-019,李敖书信集,论识货,007.论识货.txt,31,31,我弟兄三个真真实实地并没半点儿假！,小说人物语,《水浒传》,写赤诚无伪。,
LALTRS-021,李敖书信集,我为什么“战斗性隐居”？,012.我为什么“战斗性隐居”？.txt,11,11,诸葛亮写《出师表》，我们只看到他明谏之切，却没看到他隐痛之深。,李敖读史短语,李敖书信,从《出师表》读出隐痛。,
LALTRS-022,李敖书信集,我为什么“战斗性隐居”？,012.我为什么“战斗性隐居”？.txt,13,13,宁静致远,古典成语,诸葛亮语,写孤独宁静的志趣。,
LALTRS-023,李敖书信集,我为什么“战斗性隐居”？,012.我为什么“战斗性隐居”？.txt,13,13,一心想把自己的生命支付在最该我做的事情上。,李敖自述格言,李敖书信,强调把余生投入要事。,
LALTRS-024,李敖书信集,我为什么“战斗性隐居”？,012.我为什么“战斗性隐居”？.txt,17,17,只有这样“不近人情”，我才能好好把握住余生，做对自己最能尽其才、做对世人最有益的事。,李敖人生格言,李敖书信,以自律换取余生的才用。,
LALTRS-025,李敖书信集,兔唇与真理,017.兔唇与真理.txt,5,5,一年不易又中秋,李敖化用诗句,李敖化用俗句,把中秋易逝改写为艰难度日。,
LALTRS-026,李敖书信集,兔唇与真理,017.兔唇与真理.txt,5,5,受难的人有受难的人的活法,李敖人生格言,李敖书信,写艰难处境中的活法。,
LALTRS-027,李敖书信集,兔唇与真理,017.兔唇与真理.txt,5,5,苦其心志,古文成句,《孟子》,以磨练心志解释艰苦。,
LALTRS-028,李敖书信集,兔唇与真理,017.兔唇与真理.txt,5,5,人生的艰苦对他说来，绝对得可偿失、绝对值回票价。,李敖人生格言,李敖书信,把艰苦视为值得的经验。,
LALTRS-029,李敖书信集,兔唇与真理,017.兔唇与真理.txt,7,7,我月亮是死而复生的，我同样的，也叫人类死而复生。,民间神话语,Hottentot传说,月亮托兔传话中的复生之语。,
LALTRS-030,李敖书信集,兔唇与真理,017.兔唇与真理.txt,7,7,我月亮是死而不复生的，我同样的，也教人类死而不复生。,民间神话语,Hottentot传说,兔子误传后的死亡之语。,
LALTRS-031,李敖书信集,兔唇与真理,017.兔唇与真理.txt,9,9,兔儿爷纵使错误，也该是对的。,李敖人生格言,李敖书信,以传错真理的故事写错误与正确。,
LALTRS-032,李敖书信集,兔唇与真理,017.兔唇与真理.txt,9,9,小市民的人生是缺少真理的，男子汉的人生却为真理献身，即使嘴唇给打破，也在所不惜,李敖人生格言,李敖书信,写为真理承受代价。,
LALTRS-033,李敖书信集,自大者言,018.自大者言.txt,5,5,from the horse's mouth,英语习语,英语习语,指从当事人口中取得消息。,
LALTRS-034,李敖书信集,自大者言,018.自大者言.txt,5,5,to look a gift horse in the mouth,英语习语,英语习语,指挑剔赠礼。,
LALTRS-035,李敖书信集,自大者言,018.自大者言.txt,5,5,to mount the high horse,英语习语,英语习语,指摆出傲慢姿态。,
LALTRS-036,李敖书信集,自大者言,018.自大者言.txt,7,7,我从无“满脸骄气”，却总有“一身傲骨”。,李敖自述格言,李敖书信,区分骄气与傲骨。,
LALTRS-037,李敖书信集,自大者言,018.自大者言.txt,7,7,拒人千里之外，而不拒人于‘千秋’之外,李敖自述短语,李敖书信,以幽默写隐居与发声。,
LALTRS-038,李敖书信集,自大者言,018.自大者言.txt,9,9,自大如果变为一种施教或武器，自大是可贵的。,李敖人格格言,李敖书信,把自大解释为方法。,
LALTRS-039,李敖书信集,自大者言,018.自大者言.txt,9,9,不畏浮云遮望眼，自缘身在最高层,古诗句,王安石,以高处视野写自许气魄。,
LALTRS-040,李敖书信集,自大者言,018.自大者言.txt,9,9,诚于中，形于外,古文成句,传统成句,写内在诚意自然外现。,
LALTRS-043,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,15,15,我的自卫意识远落在求真精神之后。,人生格言,殷海光书信,以求真压过自卫。,
LALTRS-044,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,15,15,一个理想主义者常常不免要为他的理想付出这类吃亏的代价的。,人生格言,殷海光书信,写理想主义的代价。,
LALTRS-045,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,15,15,我们没有决定性的理由（decisive reason）来断言这个地球上没有真诚的人。,人生格言,殷海光书信,保留对真诚的信念。,
LALTRS-046,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,15,15,我们还得在共同的工作里交友。,交友格言,殷海光书信,以共同工作检验朋友。,
LALTRS-047,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,17,17,珍惜余生，反求诸自己，做千秋大业,李敖人生格言,李敖书信,强调把余生转向自我完成。,
LALTRS-048,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,17,17,成品是检验真理的唯一标准,李敖创作格言,李敖书信,以成品检验理念。,
LALTRS-049,李敖书信集,乱世中的一个感想,020.乱世中的一个感想.txt,17,17,共同创造出成品，才是朋友的最大意义,交友格言,李敖书信,把共同创作视为友谊意义。,
LALTRS-050,李敖书信集,做光明磊落的朋友·做光明磊落的敌人,023.做光明磊落的朋友·做光明磊落的敌人.txt,17,17,使你过分痛苦的朋友，还是让他去做敌人吧！,李敖交友格言,李敖书信,以痛苦程度区分友敌。,
LALTRS-051,李敖书信集,做光明磊落的朋友·做光明磊落的敌人,023.做光明磊落的朋友·做光明磊落的敌人.txt,19,19,凡夫俗子愈大愈没是非，我却愈大愈是非分明。,李敖自述格言,李敖书信,写年岁增长后的判断。,
LALTRS-052,李敖书信集,做光明磊落的朋友·做光明磊落的敌人,023.做光明磊落的朋友·做光明磊落的敌人.txt,21,21,左右逢源，是一种道德上的软弱,李敖道德格言,李敖书信,批评无原则圆滑。,
