id	source_file	line_start	line_end	category	risk_in_quote	quote_text
LASHQ-001	001.《北京法源寺》勘误.txt	27	27	古人格言		自己有错误人必知之
LASHQ-002	001.《北京法源寺》勘误.txt	29	29	成语典故		身在庐山之中
LASHQ-003	001.《北京法源寺》勘误.txt	55	55	写作格言		既要古人说现代话（读者是现代人），又要尽量还古人之原
LASHQ-004	001.《北京法源寺》勘误.txt	55	55	写作妙语		必要的矛盾
LASHQ-005	001.《北京法源寺》勘误.txt	55	55	文学格言		事实逼真，小说完蛋
LASHQ-006	001.《北京法源寺》勘误.txt	55	55	成语化用		改不胜改
LASHQ-007	004.《北京法源寺》再勘误.txt	11	11	佛经引用		一切有为法，如梦幻泡影
LASHQ-008	004.《北京法源寺》再勘误.txt	15	15	文学评语		史诗式小说
LASHQ-009	004.《北京法源寺》再勘误.txt	51	51	妙语		随处结读者，诚意方殷，诸书现全身
LASHQ-010	004.《北京法源寺》再勘误.txt	51	51	写作评语		著作之幸
LASHQ-011	003.怨结金兰.txt	15	15	妙语		本来无事只畏扰
LASHQ-012	003.怨结金兰.txt	49	49	俗语		费力不讨好
LASHQ-013	003.怨结金兰.txt	49	49	典故成语		萧规曹随、无为而治
LASHQ-014	003.怨结金兰.txt	51	51	成语		精打细算
LASHQ-015	003.怨结金兰.txt	51	51	成语		哭笑不得
LASHQ-016	003.怨结金兰.txt	55	55	古文句式		天下宁有是理？
LASHQ-017	003.怨结金兰.txt	57	57	成语		同仇敌忾
LASHQ-018	003.怨结金兰.txt	59	59	俗语		疑心生暗鬼
LASHQ-019	003.怨结金兰.txt	59	59	成语		不与人为善
LASHQ-020	003.怨结金兰.txt	59	59	成语		任劳任怨
LASHQ-021	003.怨结金兰.txt	59	59	成语		今古奇观
LASHQ-022	003.怨结金兰.txt	61	61	成语		求之不得
LASHQ-023	003.怨结金兰.txt	61	61	处事格言		人间的一点起码的是非与正义
LASHQ-024	005.再致金兰邻居.txt	7	7	俗语		占了便宜还卖乖
LASHQ-025	005.再致金兰邻居.txt	7	7	成语		哑口无言
LASHQ-026	005.再致金兰邻居.txt	7	7	成语		自知理亏
LASHQ-027	005.再致金兰邻居.txt	9	9	成语		含沙射影
LASHQ-028	005.再致金兰邻居.txt	11	11	俗语		满口仁义道德
LASHQ-029	005.再致金兰邻居.txt	13	13	成语		销声匿迹
LASHQ-030	005.再致金兰邻居.txt	13	13	成语		光明正大
LASHQ-031	005.再致金兰邻居.txt	23	23	处事格言		打小算盘，量入而出，应系美德
LASHQ-032	005.再致金兰邻居.txt	25	25	成语		鱼目混珠
LASHQ-033	007.三致金兰邻居.txt	5	5	成语		悉听尊便
LASHQ-034	007.三致金兰邻居.txt	13	13	成语		莫名其妙
LASHQ-035	007.三致金兰邻居.txt	19	19	成语		理屈词穷
LASHQ-036	007.三致金兰邻居.txt	19	19	俗语		胡扯八扯
LASHQ-037	007.三致金兰邻居.txt	19	19	妙语		自己却先落入自己之网了
LASHQ-038	007.三致金兰邻居.txt	25	25	成语		胡搅蛮缠
LASHQ-039	007.三致金兰邻居.txt	35	35	处事格言		用证据说话
LASHQ-040	007.三致金兰邻居.txt	51	51	成语		无知妄作
LASHQ-041	007.三致金兰邻居.txt	51	51	俗语		信口胡说
LASHQ-042	007.三致金兰邻居.txt	51	51	处事格言		空口“测量”，只是说不负责任的大话而已
LASHQ-043	007.三致金兰邻居.txt	57	57	成语		越俎代庖
LASHQ-044	007.三致金兰邻居.txt	57	57	俗语		少打主意吧
LASHQ-045	007.三致金兰邻居.txt	63	63	俗语		冤大头
LASHQ-046	007.三致金兰邻居.txt	75	75	成语		大惊小怪
LASHQ-047	007.三致金兰邻居.txt	75	75	妙语		邻居难为
LASHQ-048	007.三致金兰邻居.txt	77	77	处事格言		正门不正门，不是名词之争，是事实展现
LASHQ-049	007.三致金兰邻居.txt	77	77	妙语		正门正道
LASHQ-050	009.卖掉汽车，改骑脚踏车了.txt	5	5	俗语		当家方知柴米贵
LASHQ-051	009.卖掉汽车，改骑脚踏车了.txt	9	9	古人格言		天行有常
LASHQ-052	009.卖掉汽车，改骑脚踏车了.txt	9	9	处事格言		事实总是事实，何能抹杀
LASHQ-053	009.卖掉汽车，改骑脚踏车了.txt	9	9	俗语		天要下雨，娘要嫁人
LASHQ-054	021.致萧启庆王国璎.txt	5	5	妙语		一个忙字了得
LASHQ-055	021.致萧启庆王国璎.txt	5	5	俗语		吞云雾、喝黄汤
LASHQ-056	021.致萧启庆王国璎.txt	9	9	典故成语		郢书燕说
LASHQ-057	021.致萧启庆王国璎.txt	11	11	俗语		一蟹不如一蟹
LASHQ-058	022.有子三书.txt	5	5	妙语		前者一何迟，后者一何速
LASHQ-059	022.有子三书.txt	11	11	育儿妙语		人来哭
LASHQ-060	022.有子三书.txt	11	11	妙语		噪音战奇效非凡，连战奏捷
LASHQ-061	022.有子三书.txt	17	17	俗语		一眠大一寸
LASHQ-062	022.有子三书.txt	17	17	成语		日迈月征
LASHQ-063	022.有子三书.txt	17	17	育儿妙语		同步口追
LASHQ-064	022.有子三书.txt	17	17	妙语		猫生幻化，所过者神
LASHQ-065	022.有子三书.txt	17	17	人生妙语		人生如猫，心同此理也
LASHQ-066	022.有子三书.txt	25	25	儿歌		戡戡是个小河马
LASHQ-067	022.有子三书.txt	27	27	儿歌		胖胖屁股一个“顶俩”
LASHQ-068	022.有子三书.txt	29	29	儿歌		吃起牛奶就装傻
LASHQ-069	022.有子三书.txt	31	31	儿歌		光着脑袋不理发
LASHQ-070	022.有子三书.txt	33	33	儿歌		不用上班不打卡
LASHQ-071	022.有子三书.txt	35	35	儿歌		一身肥肉把你压垮垮
LASHQ-072	023.致陈又亮.txt	7	7	校勘格言		重要原文不宜改，改了就不是作者原意了
LASHQ-073	023.致陈又亮.txt	7	7	文字评语		“执”的主词一定是手，无须写出
LASHQ-074	023.致陈又亮.txt	11	11	评语		认真与费心
LASHQ-075	025.致汤麟武.txt	5	5	成语		情见乎词
