file	line	text
001.20090803惨绿少年·初抵台湾.txt	3	片瓦篇 《浮海说从头》
001.20090803惨绿少年·初抵台湾.txt	5	1949年5月12号，一个十四岁的小难民，从中国的上海到了中国台湾的基隆港，小难民就是我。整整60年以后，2009年5月12号，这个小难民变成七十四岁的老头子，又旧地重游到了基隆港，我坐在码头上面，没有任何感慨，只有觉得好笑，我双手上举还在神气活现。因为我活了六十年，六十年来看尽了中国台湾岛上的沧桑，当时我离开上海半个月，国民党，祸国殃民的国民党就丢掉了上海，他们在报纸上面宣传说，完成阻匪南进任务，淞沪国军顺利撤离。他们在骗我们，事实上所谓顺利撤离，是丢掉了十五万的军队，只逃出来五万人。
001.20090803惨绿少年·初抵台湾.txt	13	到台湾来第一个感觉是，我发现台湾的小学生都光着脚，看到没有打赤脚，小学生打赤脚，就算有一双烂鞋，然后打赤脚，为什么打赤脚？因为日本人对待中国同胞根本没有鞋穿。今天台湾人有鞋穿，不得不感谢我们自己的努力，靠日本人连鞋都没得穿。我在台中一中，我由初中一年级在上海跳班跳到了初中二年级台中一中，然后认识我的好朋友，班长陈正澄。陈正澄在德国留学的时候，请我写一幅字给他，我特别写：同学十载空余恨，抢去我的第一名。我们优秀的国文老师杨锦铨，鼓励我们办一个叫《初三上甲组报》，这是油印的报纸，发行人就是陈正澄。我编这个报纸，惹来了高班学生的抗议，为什么？批评了高班同学，高班同学到学校，到班上门口来向我们抗议，证明了什么？证明了我李敖在初中三年级，就开始写文章闯祸，我有这个前科可说是渊源流长。我的好朋友徐武军，这一次我到台中旧地重游，跟他照张相，就是在台中火车站，现在没有改，我们两个老头子合照的相。
001.20090803惨绿少年·初抵台湾.txt	15	徐武军介绍我认识一个大学者，当时在台中养病的钱穆，钱穆就是毛泽东选集里面《丢掉幻想，准备斗争》，这段文章里面提到的“反动”学人，像胡适、傅斯年、钱穆之类。我认识了钱穆，钱穆后来很奇怪地发现，这个中学生能够写信向他挑出来这个大历史家的错误。他大为惊讶，他写信鼓励我，用钢笔字写这么动人的信给我，还送书给我，当时我很崇拜钱穆，可是过了几年，我觉得我跑得太快了，钱穆果然是一个“反动”学者，我就跟他疏远了。
001.20090803惨绿少年·初抵台湾.txt	21	大家知道王国维《人间词话》所描写的，有我之境跟无我之境吗？这就是典型的无我之境。我使瓦变得凄凉，捧得凄凉片瓦回，请大家看我七十四岁的毛笔字，还可以这么样的好，六十年前谁识我，六十年后我识谁，信知老屋终作土，捧得凄凉片瓦回。
001.20090803惨绿少年·初抵台湾.txt	27	他在台湾无法发展，他要回到祖国去，他要带我偷渡回到祖国去，我同意了。因为我也想做共产党，我不愿意在台湾。有一天我爸爸从台中一中回来，说昨天晚上严侨被抓走了，我听了以后大吃一惊，我就饿了早饭不吃，存一点钱给严师母，严师母带了三个小孩子，他们到台北，我自己就很失落在台中，后来听说严侨老师死在了火烧岛，就是“绿岛”。多少年以后，因为胡适送了我一千块钱，我很感谢他帮助我，我把我过去的一些历史写出来，一封长信，就提到了我很怀念严侨老师，他死掉了。忽然间，我收到严侨死后的一封怪信，就是胡适在1960年10月29号写给我的。他说，李敖先生，有一个好消息报告你，严停云女士，就是女作家《智慧的灯》的作者和她丈夫叶明勋先生昨天来看我，他们说严以侨就是严侨，已恢复自由了，现在台北私立育英中学教书，他喝酒太多，身体颇受影响，我盼望这个消息可以给你一点安慰。
001.20090803惨绿少年·初抵台湾.txt	29	后来我找到了漂亮的女作家，风化绝代的华严，找到我的老师跟他重新见面，严侨老师劝我，李敖，你不要再写文章，那个下场没有好下场，因为那天正好他看到了，我在《文星》杂志发表的第一篇文章叫做《老年人和棒子》。他特别对我做了劝告，胡适这封信，是敬请姚从吾先生，便交李敖先生。为什么？这是胡适的细心地方，他怕这封信被检查，所以托姚老师带给我。里面什么？里面是胡适等于通风报信，告诉小匪谍李敖，大匪谍严侨没有死出来了，这就是严侨，年轻时候的严侨，我最怀念的一个老师，后来我在国民党的秘密记录里面找到了记录。
001.20090803惨绿少年·初抵台湾.txt	31	匪共产党闽省福建省公安厅潜匪严侨叛乱案，这个案子就他一个人严侨，当时三十五岁。多少年以后，我在祖国的《中华英烈》刊物上面，特别写一篇文章，怀念我的老师严侨。这个故事告诉了大家，我很早就要离开台湾，回到祖国，可是我没有成功，只好继续留在这个鬼岛，跟蒋介石和阴魂不散的团队纠缠不清，一直纠缠了六十年。
001.20090803惨绿少年·初抵台湾.txt	41	后来我给我爸爸印出来的一部书，就是《中国文学史》。这是我爸爸当年写的一部书，被埋没了，我把它重新印出来。我用我的方式来纪念，我所怀念的人。同时我得到一个教训，就是婚丧喜庆都是一些无聊的动作，我从此避免参加任何的婚丧喜庆。遇到婚丧喜庆，我礼到人不到，我本人再也不参加了。
001.20090803惨绿少年·初抵台湾.txt	53	现在我一个人坐在这里，本来坐在这里的，现在坐在这里，六十年间对我就是刹那一样，这是我的女朋友在碧潭的照片，这是她跟她一个小亲戚合照的照片，她在家里照片。为什么我公布这个照片？因为这个女朋友是一个神童，好比说我们背英文诗，大概她念三遍就可以背下来，她考大学的时候，她的国文考得比我还高，她是一个神童。我们后来分开了，我还特别写了一首诗代表我的一个感觉，大家看这首诗叫做《情老》：
002.20090804狂妄青年·崭露头角.txt	3	弃甲篇《从戎不投笔》
002.20090804狂妄青年·崭露头角.txt	21	大家看看第一页，雷震出狱以后，看到没有啊，第一页，看到没有啊，李敖站在中间去接雷震，这时候夏比罗，夏比罗，这个事实上这是沙荡，这是《纽约时报》的沙荡，他写成了白伦，都写错了。魏廷朝去接雷震的时候，他们给我的秘密拍照，呈给尹俊看。所以想不到阴错阳差我在十七师的前一任的师长，他们是这样子整我，这些整我的秘密照片，最后为什么原本都落到我手里？那是我李敖的神通广大。我更神通广大的是我用我的《李敖千秋评论丛书》，发表了一篇五万字的文章，叫做《军中乐园的血与泪》。
002.20090804狂妄青年·崭露头角.txt	23	我经过明察暗访，把刚刚尹师长所提到的军中乐园，做了详细的记录，记录那些老兵跟这些妓女们的这些痛苦，全部被我记录下来。后来我跟《自由中国》社的殷海光讲，我说殷老师你们千言万语写的所谓自由中国，充其量是纵贯线上的、铁路线上的自由中国。在这个纵贯线跟铁路线以外，真正中国民间的疾苦，你们是不知道的，一个妓女每天要接客六十次，然后还要放鞭炮来庆祝，这种凄惨，这种黑暗，你们是不知道的，可是只有我知道，我把他们全部记录下来。
