score	file	line	text	context
5	《蒋介石研究四集》自序.txt	5	不为尧存，不为桀亡	最近我的朋友许以祺先生过台，跟我说，现在中国大陆共产党都不骂蒋介石了，你在台湾还在骂。我说，我对蒋介石，绝不因为一时的政治目的骂或不骂，为了一时的政治目的骂或不骂蒋介石，是不对的、不客观的、是非不明的，也是令人看不起的，我绝不如此。我骂蒋介石，是全天候的，是天行有常的。天行有常的特色是自己在常道上前进，这一前进，“不为尧存，不为桀亡”，不以一时的存亡以定常道...
8	001.蒋介石比祖宗.txt	9	姓氏必人，岂从水耶？	再八传至宣惠侯，其时周室益微，乃称王，与赵、魏、燕、秦、齐、楚，并为七国，凡四世，至王安为秦所灭。由是韩之国族，奔窜隐伏，以避秦虐。有厘王之子名瑊者，遁至庐江，寓于津要，买舟送济，取资以自给。后秦始皇出游至博浪沙，为人所击，大索不获，疑是六国公子阴谋所使，乃下令潜访六国之后，尽屠害之。秦吏循令密诘居民姓氏，时瑊方掌济，胥吏发舟而诘曰：“公何姓？”瑊当时未知为...
7	001.蒋介石比祖宗.txt	9	吾家获免刀锯者，‘何’一字也，岂非天启后耶？	再八传至宣惠侯，其时周室益微，乃称王，与赵、魏、燕、秦、齐、楚，并为七国，凡四世，至王安为秦所灭。由是韩之国族，奔窜隐伏，以避秦虐。有厘王之子名瑊者，遁至庐江，寓于津要，买舟送济，取资以自给。后秦始皇出游至博浪沙，为人所击，大索不获，疑是六国公子阴谋所使，乃下令潜访六国之后，尽屠害之。秦吏循令密诘居民姓氏，时瑊方掌济，胥吏发舟而诘曰：“公何姓？”瑊当时未知为...
6	001.蒋介石比祖宗.txt	9	公何姓？	再八传至宣惠侯，其时周室益微，乃称王，与赵、魏、燕、秦、齐、楚，并为七国，凡四世，至王安为秦所灭。由是韩之国族，奔窜隐伏，以避秦虐。有厘王之子名瑊者，遁至庐江，寓于津要，买舟送济，取资以自给。后秦始皇出游至博浪沙，为人所击，大索不获，疑是六国公子阴谋所使，乃下令潜访六国之后，尽屠害之。秦吏循令密诘居民姓氏，时瑊方掌济，胥吏发舟而诘曰：“公何姓？”瑊当时未知为...
5	001.蒋介石比祖宗.txt	9	若是殆‘河’姓耶？	再八传至宣惠侯，其时周室益微，乃称王，与赵、魏、燕、秦、齐、楚，并为七国，凡四世，至王安为秦所灭。由是韩之国族，奔窜隐伏，以避秦虐。有厘王之子名瑊者，遁至庐江，寓于津要，买舟送济，取资以自给。后秦始皇出游至博浪沙，为人所击，大索不获，疑是六国公子阴谋所使，乃下令潜访六国之后，尽屠害之。秦吏循令密诘居民姓氏，时瑊方掌济，胥吏发舟而诘曰：“公何姓？”瑊当时未知为...
3	001.蒋介石比祖宗.txt	9	此为吾姓。	再八传至宣惠侯，其时周室益微，乃称王，与赵、魏、燕、秦、齐、楚，并为七国，凡四世，至王安为秦所灭。由是韩之国族，奔窜隐伏，以避秦虐。有厘王之子名瑊者，遁至庐江，寓于津要，买舟送济，取资以自给。后秦始皇出游至博浪沙，为人所击，大索不获，疑是六国公子阴谋所使，乃下令潜访六国之后，尽屠害之。秦吏循令密诘居民姓氏，时瑊方掌济，胥吏发舟而诘曰：“公何姓？”瑊当时未知为...
3	001.蒋介石比祖宗.txt	17	其先出自周公第三子伯龄	据毛思诚主编陈布雷校订《民国十五年以前之蒋介石先生》，明说蒋介石“其先出自周公第三子伯龄”，是周公之后，周公是周武王之弟，在周朝系统上，自非嫡系。如今何应钦将军认亲，直认至周武王之后，显然在祖宗上，有我比你大之意，何应钦将军挟祖宗以“犯上作乱”，其心司马昭矣！
3	002.蒋介石是“郑三发子”吗？.txt	7	充实、丰富和补充有关这方面的资料，以提高《金陵春梦》的文学价值和史学价值，是父亲这几年来的奋斗目标。父亲也为此耗尽了心血。他几十年如一日，从不间断地搜集各方面的资料。他的资料之多也是惊人的，两米高的文件柜，足足装了三大柜。《金陵春梦》一至七集，就是在大量搜集资料以后，重新整理完成的。	在揭发蒋介石真面目的里程上，无疑的，《金陵春梦》是一部生动详细的大书。唐人写这部大书，用力至勤。唐人的子女在《怀念我们的父亲——代后记》中说：“充实、丰富和补充有关这方面的资料，以提高《金陵春梦》的文学价值和史学价值，是父亲这几年来的奋斗目标。父亲也为此耗尽了心血。他几十年如一日，从不间断地搜集各方面的资料。他的资料之多也是惊人的，两米高的文件柜，足足装了三...
3	002.蒋介石是“郑三发子”吗？.txt	7	不间断地搜集各方面的资料	在揭发蒋介石真面目的里程上，无疑的，《金陵春梦》是一部生动详细的大书。唐人写这部大书，用力至勤。唐人的子女在《怀念我们的父亲——代后记》中说：“充实、丰富和补充有关这方面的资料，以提高《金陵春梦》的文学价值和史学价值，是父亲这几年来的奋斗目标。父亲也为此耗尽了心血。他几十年如一日，从不间断地搜集各方面的资料。他的资料之多也是惊人的，两米高的文件柜，足足装了三...
5	002.蒋介石是“郑三发子”吗？.txt	11	逃荒年郑家拆骨肉，找奶妈蒋府迎新人	《金陵春梦》一开始，一连六回详写蒋介石的身世，其中最令人感到兴趣的，是说蒋介石本来不姓蒋，而姓郑；不是浙江人，而是河南人。《金陵春梦》第一回“逃荒年郑家拆骨肉，找奶妈蒋府迎新人”中说：
3	002.蒋介石是“郑三发子”吗？.txt	13	咱三发子也去上个学，将来弄个功名，省得咱几辈子做牛做马。人向高处爬，水往低处流，瞧前郑庄哪一家不是体体面面的，养一条狗，都比咱后郑庄的人强。	在下说这本书，要从一个小小的顽童说起。此人姓郑，乳名三发子，河南省许州（今许昌市）繁城镇后郑庄人氏。清光绪十三年（民元前二十五年，1887年）10月31日他诞生时，堂上双亲健在，还有两个兄长。大哥名叫郑绍发，比他大七岁；二哥乳名二发子，比他大四岁。他父亲克勤克俭，积得十几亩薄田，还附带开了一个磨坊；他母亲长得面目姣好，一手女红干净利落，全家五口种种地、磨磨面...
4	002.蒋介石是“郑三发子”吗？.txt	15	嘿嘿，这该怨咱没长好命，上学堂？咱一年有多少收成？拋去完粮纳税，束紧裤带也不够他花销的，年头儿荒乱，咱就认命，凑合凑合算啦！	三发子他爹是个老实庄稼汉，含含糊糊也就对付过去：“嘿嘿，这该怨咱没长好命，上学堂？咱一年有多少收成？拋去完粮纳税，束紧裤带也不够他花销的，年头儿荒乱，咱就认命，凑合凑合算啦！”
3	002.蒋介石是“郑三发子”吗？.txt	19	别舍不下这个家啦，待下去一命见阎王！盼赈粮要盼到哪一辈子？树皮草根都快吃光，大家在把观音土抢。早上咱出门看见十来个死尸，俺刚才回家数一数，死尸又加了好几个，瘸子他媳妇长得多结实！两天观音土下肚，现在满地打滚，眼看又是活不成！走吧，趁咱还有点气力……	三发子在他母亲溺爱下瞧不起起早摸黑、下地上山、一身汗臭、两脚泥巴的哥哥，又羨慕着前郑庄养尊处优、白白胖胖、衣来伸手、饭来张口的地主乡绅家的儿童。反正他闲着，便忍受欺侮找他们一起玩。农忙时他也上田塍送送饭、烧烧水，碰到这时候有富家儿童在纵横阡陌上玩耍，他就宁可下田在泥浆里绕道而过，不愿给他们看见讥笑他“没出息”。可是他妈却认为三发子志气高，老是跟她丈夫吵着要把...
5	002.蒋介石是“郑三发子”吗？.txt	21	三发子跑不动路，你说咋办？	“三发子跑不动路，你说咋办？”
4	002.蒋介石是“郑三发子”吗？.txt	23	跑不动俺背着，要活一起活、要死一块儿死。	“跑不动俺背着，要活一起活、要死一块儿死。”
5	002.蒋介石是“郑三发子”吗？.txt	25	还是死在家里吧，俺同三发子不逃啦，要逃，你爷儿三个逃吧！	“不行哪！”她还反对，“咱们带点穿的盖的，还有些零零碎碎舍不得，你同绍发、二发子扛不完，再要背上三发子，咱咋上路？难道啥都不带吗？再说在路上还是没吃的，没吃的你就背不动三发子，三发子也饿得走不动，天哪！”她哭着：“还是死在家里吧，俺同三发子不逃啦，要逃，你爷儿三个逃吧！”
4	002.蒋介石是“郑三发子”吗？.txt	25	咱们带点穿的盖的，还有些零零碎碎舍不得，你同绍发、二发子扛不完，再要背上三发子，咱咋上路？难道啥都不带吗？再说在路上还是没吃的，没吃的你就背不动三发子，三发子也饿得走不动，天哪！	“不行哪！”她还反对，“咱们带点穿的盖的，还有些零零碎碎舍不得，你同绍发、二发子扛不完，再要背上三发子，咱咋上路？难道啥都不带吗？再说在路上还是没吃的，没吃的你就背不动三发子，三发子也饿得走不动，天哪！”她哭着：“还是死在家里吧，俺同三发子不逃啦，要逃，你爷儿三个逃吧！”
3	002.蒋介石是“郑三发子”吗？.txt	25	不行哪！	“不行哪！”她还反对，“咱们带点穿的盖的，还有些零零碎碎舍不得，你同绍发、二发子扛不完，再要背上三发子，咱咋上路？难道啥都不带吗？再说在路上还是没吃的，没吃的你就背不动三发子，三发子也饿得走不动，天哪！”她哭着：“还是死在家里吧，俺同三发子不逃啦，要逃，你爷儿三个逃吧！”
5	002.蒋介石是“郑三发子”吗？.txt	27	走吧，走吧，再不走，咱全家都完啦！	“球！”三发子他爹咒骂着，饿得瘫软在床上，头昏眼花一个劲儿干呕。第二天再也熬不住了，跪在他妻子面前干号：“走吧，走吧，再不走，咱全家都完啦！”但是她不肯走，边哭边嘟囔着道：“要是像前郑庄多好哪，金子银子一大把，东边闹灾荒，西边躲一躲，咱穷人家就没路！……”
5	002.蒋介石是“郑三发子”吗？.txt	27	要是像前郑庄多好哪，金子银子一大把，东边闹灾荒，西边躲一躲，咱穷人家就没路！……	“球！”三发子他爹咒骂着，饿得瘫软在床上，头昏眼花一个劲儿干呕。第二天再也熬不住了，跪在他妻子面前干号：“走吧，走吧，再不走，咱全家都完啦！”但是她不肯走，边哭边嘟囔着道：“要是像前郑庄多好哪，金子银子一大把，东边闹灾荒，西边躲一躲，咱穷人家就没路！……”
5	002.蒋介石是“郑三发子”吗？.txt	29	绍发、二发子、三发子，你爹可要走啦，谁跟俺，就走；谁跟妈，听她的话……谁跟我走啊？	听见妻子这样埋怨，三发子他爹也就横了心，从地上爬起来号哭着道：“绍发、二发子、三发子，你爹可要走啦，谁跟俺，就走；谁跟妈，听她的话……谁跟我走啊？”结果老大郑绍发哭哭啼啼跟他爹走了。二发子也想跟他爹上路，可是一扭头又躺回床上去，用被子蒙住脸直哭。第二天，有人到灾区里买女孩子当丫头、妓女；买壮丁去做苦工、当兵，二发子再也忍不住就去当了兵，换到一块大饼两个蒸馍，...
4	002.蒋介石是“郑三发子”吗？.txt	31	怨你爹不等等咱，他倒先逃啦，咱娘儿俩也走吧，天可怜别在路上喂了老狼。	“饥饿”本身在吃人，它吞噬了千千万万的生命，草根树皮荡然无存，观音土被视为珍品。衙门里的赈粮用来收买黄花闺女当丫头娼妓，收买精壮汉子做工当兵，广大的灾民绝少可能分到一块饼、一碗粥。两个多月后，易子而食，惨绝人寰的故事也在郑庄重演了，三发子他妈开始绝望，软弱地牵着他：“怨你爹不等等咱，他倒先逃啦，咱娘儿俩也走吧，天可怜别在路上喂了老狼。”这当儿同村的人差不多全...
5	002.蒋介石是“郑三发子”吗？.txt	33	嘉庆无道登了基，老百姓逃荒乱唧唧，逃来大车并小辆，逃来驴驮担担的……	且说在一路逃荒的灾民之中，只剩下一个姜二拐是后郑庄人氏，他给地主打瘸了腿，也给苛捐重税和灾荒压毁了家，是个单身汉。三发子娘儿俩亏得他一路照料，没有在途中倒毙。到得开封，那时光既没有“难民集中营”又没有“收容所”那些花招。衙门找几条街口施施粥，灾民到店铺住户要要饭，入晚找个破庙、马厩睡一觉，生命的威胁暂时解除，可是长此以往终非久策。有一晚他们在破庙里烤火，三发...
3	002.蒋介石是“郑三发子”吗？.txt	35	给捕快听见要砍头的！	“小心！”三发子他妈抹抹眼泪警告道，“给捕快听见要砍头的！”
5	002.蒋介石是“郑三发子”吗？.txt	37	俺长大以后要做捕快，不让人欺侮咱！	“捕快有这样大本事？”三发子大感兴趣，“俺长大以后要做捕快，不让人欺侮咱！”
3	002.蒋介石是“郑三发子”吗？.txt	37	捕快有这样大本事？	“捕快有这样大本事？”三发子大感兴趣，“俺长大以后要做捕快，不让人欺侮咱！”
5	002.蒋介石是“郑三发子”吗？.txt	39	你人品长得好，一手女红干净利落，怕没人要？	“俺入他捕快八辈儿的！”姜二拐长长地叹口气道，“郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？”三发子他妈闻言垂下头来道：“二拐，如今咋谈得上这个。”二拐道：“你人品长得好，一手女红干净利落，怕没人要？”她瞅一眼三发子，见他已经躺在稻草上呼...
4	002.蒋介石是“郑三发子”吗？.txt	39	二拐，如今咋谈得上这个。	“俺入他捕快八辈儿的！”姜二拐长长地叹口气道，“郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？”三发子他妈闻言垂下头来道：“二拐，如今咋谈得上这个。”二拐道：“你人品长得好，一手女红干净利落，怕没人要？”她瞅一眼三发子，见他已经躺在稻草上呼...
4	002.蒋介石是“郑三发子”吗？.txt	39	二拐，你不懂。	“俺入他捕快八辈儿的！”姜二拐长长地叹口气道，“郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？”三发子他妈闻言垂下头来道：“二拐，如今咋谈得上这个。”二拐道：“你人品长得好，一手女红干净利落，怕没人要？”她瞅一眼三发子，见他已经躺在稻草上呼...
3	002.蒋介石是“郑三发子”吗？.txt	39	俺入他捕快八辈儿的！	“俺入他捕快八辈儿的！”姜二拐长长地叹口气道，“郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？”三发子他妈闻言垂下头来道：“二拐，如今咋谈得上这个。”二拐道：“你人品长得好，一手女红干净利落，怕没人要？”她瞅一眼三发子，见他已经躺在稻草上呼...
3	002.蒋介石是“郑三发子”吗？.txt	39	郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？	“俺入他捕快八辈儿的！”姜二拐长长地叹口气道，“郑大娘，俺说实话，三发子他爹一去无音讯，咱们这几天到处要饭打听都扑了空。你还年轻，今年不过二十出头，三发子又太小，没法养活你，咋说你都该找个人，要不你将来日子咋打发？”三发子他妈闻言垂下头来道：“二拐，如今咋谈得上这个。”二拐道：“你人品长得好，一手女红干净利落，怕没人要？”她瞅一眼三发子，见他已经躺在稻草上呼...
5	002.蒋介石是“郑三发子”吗？.txt	41	郑大娘，	“郑大娘，”二拐也叹气道，“今天俺在相国寺后边那条街上要饭，听说有一家姓蒋的老爷要找个奶妈什么的，要是还没有找妥人，你干不干？”三发子他妈怦然心动道：“二拐，反正闲着也是闲着，俺咋不干？”这么着，第二天一早，姜二拐便带着三发子娘儿俩，找到那家乌黑黑的门堂。只见门口挂着素灯笼，有一个上面贴着几个青莲色的扁仿宋：“候补道蒋”，一望而知那家人家有了丧事。三发子他妈...
5	002.蒋介石是“郑三发子”吗？.txt	41	二拐，反正闲着也是闲着，俺咋不干？	“郑大娘，”二拐也叹气道，“今天俺在相国寺后边那条街上要饭，听说有一家姓蒋的老爷要找个奶妈什么的，要是还没有找妥人，你干不干？”三发子他妈怦然心动道：“二拐，反正闲着也是闲着，俺咋不干？”这么着，第二天一早，姜二拐便带着三发子娘儿俩，找到那家乌黑黑的门堂。只见门口挂着素灯笼，有一个上面贴着几个青莲色的扁仿宋：“候补道蒋”，一望而知那家人家有了丧事。三发子他妈...
