score	file	line	text	context
4	001.《蒋介石评传》序（汪荣祖）.txt	13	失之雅驯	李敖公开宣称，这部评传由汪执笔，他自己只提供资料。这是向来不谦虚的李敖，对老友兼好友的谦虚。有心的读者不难在白纸黑字的字里行间，看到那来自白山黑水间的磅礴气势与深邃的内涵。所谓“执笔”，实系“顺稿”，因为我们两人文体有异。李敖说我“失之雅驯”，我说他“失之恣肆”，为了读者的利益，在二“失”之间，须求一“得”，如此而已。事实上，西方有声誉的出版社对于任何稿件，...
4	001.《蒋介石评传》序（汪荣祖）.txt	13	失之恣肆	李敖公开宣称，这部评传由汪执笔，他自己只提供资料。这是向来不谦虚的李敖，对老友兼好友的谦虚。有心的读者不难在白纸黑字的字里行间，看到那来自白山黑水间的磅礴气势与深邃的内涵。所谓“执笔”，实系“顺稿”，因为我们两人文体有异。李敖说我“失之雅驯”，我说他“失之恣肆”，为了读者的利益，在二“失”之间，须求一“得”，如此而已。事实上，西方有声誉的出版社对于任何稿件，...
3	001.《蒋介石评传》序（汪荣祖）.txt	13	定稿编辑	李敖公开宣称，这部评传由汪执笔，他自己只提供资料。这是向来不谦虚的李敖，对老友兼好友的谦虚。有心的读者不难在白纸黑字的字里行间，看到那来自白山黑水间的磅礴气势与深邃的内涵。所谓“执笔”，实系“顺稿”，因为我们两人文体有异。李敖说我“失之雅驯”，我说他“失之恣肆”，为了读者的利益，在二“失”之间，须求一“得”，如此而已。事实上，西方有声誉的出版社对于任何稿件，...
6	002.《蒋介石评传》序（李敖）.txt	3	不知哪个外国元首死了？	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻...
6	002.《蒋介石评传》序（李敖）.txt	3	你们戴黑纱干什么呀？	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻...
6	002.《蒋介石评传》序（李敖）.txt	3	老王八蛋死了！	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻...
3	002.《蒋介石评传》序（李敖）.txt	3	放风	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻...
3	002.《蒋介石评传》序（李敖）.txt	3	老总统死了。	1975年4月6日的清早，我在蒋介石的黑狱里朝高窗外望，看到禁子牢头——所谓“班长”们——臂戴黑纱，我心里纳闷：“不知哪个外国元首死了？”那时候我已近五年不准看报，消息闭塞，对外面发生的事，所知有限。偶然听到点新闻，也只能瞎猜，不得其详。两三个小时后，牢门打开，“放风”十分钟，我问秦姓班长：“你们戴黑纱干什么呀？”他面露悲戚，偷偷告诉我：“老总统死了。”我闻...
3	002.《蒋介石评传》序（李敖）.txt	21	台大历史系老同学汪荣祖是我最佩服的历史学者。在我眼中，成为历史学者除了历史在行外，还得有伟大的正义感。环顾中国，两者兼具的，荣祖要列前茅。	汪荣祖比我小五岁，在台大历史系比我晚两班。我在台大毕业后做预备军官一年半，退伍考研究所，与荣祖的太太陆善仪同班。他们后来都去了美国。他们同班四年，止于同学，没有料到在域外缔为佳偶，三十年来恩爱不衰，在学业上更是相得益彰。荣祖在西雅图华盛顿大学得博士，现在弗吉尼亚州立大学（柏堡）做资深教授，曾任师大历史研究所客座教授、美中学术交流会访问学者、澳大利亚国立大学访...
3	002.《蒋介石评传》序（李敖）.txt	23	我们的评传出来，完全可做到每一事件都论定出结论的境界，纵使新史料出来，也只能更印证我们结论的正确，而不能推翻我们的结论。	由于我希望在蒋介石死掉二十周年之日出版，借以雷霆万钧之势做盖棺后的定论，因此写作时间，不过一年。而这一年之间，荣祖课余之暇，搁下其他研究工作，全力以赴，本来约好从旁襄助的我，却闪在一旁，看似偷懒，私下的理由也有一二：理由之一是我要荣祖放手去人尽其才，把他推到第一线，榨取出他私下研究蒋介石的全部家当，他多年前曾有写作THE GEMO UNMASKED：Chia...
5	002.《蒋介石评传》序（李敖）.txt	29	诛奸谀于既死，发潜德之幽光	虽然在情绪上，我对蒋介石深恶痛绝——我是伍子胥；但在行文上，我却有历史家的谨严，全凭证据来“诛奸谀于既死，发潜德之幽光”——我是沙尔非米尼（Gaetano Salvemini）。沙尔非米尼是意大利历史学家，他因反对大独裁者墨索里尼（Benito Mussolini）的法西斯政权入狱，但他日后下笔写墨索里尼，却凭证据来说话，教人心服口服。
3	003.第一章、发迹以前.txt	5	其先出自周公第三子伯龄	蒋介石飞黄腾达之后，日理万机，仍不能忘怀传统宗法意识，对寻根认祖，兴趣极浓，以至于一再修谱，甚至于1948年，国共内战已打得不可开交、蒋政权已摇摇欲坠时，仍要循例大修特修，聘吴敬恒为修谱总裁，陈布雷为总编纂。此次修谱在宁波找到一个祖宗头，并一直追到公元前12世纪的周公。毛思诚主编，陈布雷校订的《民国十五年以前之蒋介石先生》，便说明蒋介石“其先出自周公第三子伯...
5	003.第一章、发迹以前.txt	15	为配王氏女合葬之，且为之立嗣	蒋周传死的时候，蒋介石只十一岁，从“亡弟瑞青哀状”可知，他妈妈死了小儿子的时候，比死了丈夫更痛苦，痛苦之余，做了两件事：一是硬破“吾家族规”要蒋介石把儿子蒋经国做蒋周传的后人；一是“为配王氏女合葬之，且为之立嗣”。这两件大手笔，都是违反正统中国文化的。
8	003.第一章、发迹以前.txt	17	为配王氏女合葬之，且为之立嗣	所谓“为配王氏女合葬之，且为之立嗣”，就是找到一位王家的早夭女儿，给蒋周传“冥婚”，“冥婚”之后，死人蒋周传就有了被继承人资格、就可以立蒋经国为后，蒋周传这一支就不绝后了。
5	003.第一章、发迹以前.txt	19	生时非夫妇，死而迁葬之，使相从	“冥婚”是中国文化，但却不是正统的。例如曹操的小儿子曹冲死了，因为死时只有十三岁，曹操怜其少子，就想来一次“冥婚”。正好邴原有一个女儿早死了，曹操找到邴原，要把两个孩子合葬。不料邴原却不买账，邴原说：“原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？”邴原为什么拒绝曹操呢？他的理论根据是这样做不合于“训典”，他...
4	003.第一章、发迹以前.txt	19	原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？	“冥婚”是中国文化，但却不是正统的。例如曹操的小儿子曹冲死了，因为死时只有十三岁，曹操怜其少子，就想来一次“冥婚”。正好邴原有一个女儿早死了，曹操找到邴原，要把两个孩子合葬。不料邴原却不买账，邴原说：“原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？”邴原为什么拒绝曹操呢？他的理论根据是这样做不合于“训典”，他...
3	003.第一章、发迹以前.txt	19	十九以下未嫁而死者	“冥婚”是中国文化，但却不是正统的。例如曹操的小儿子曹冲死了，因为死时只有十三岁，曹操怜其少子，就想来一次“冥婚”。正好邴原有一个女儿早死了，曹操找到邴原，要把两个孩子合葬。不料邴原却不买账，邴原说：“原之所以自容于明公，公之所以待原者，以能守训典而不易也！若听明公之命，则是凡庸也！明公焉以为哉？”邴原为什么拒绝曹操呢？他的理论根据是这样做不合于“训典”，他...
5	003.第一章、发迹以前.txt	25	能执干戈以卫社稷，虽欲无殇，不亦可乎？	中国正统思想是长子继承制，长子是“大宗”，“大宗”一支没有儿子，要找人过继，叫做立后，但这乃指成人而言，不指殇而言。殇是十九岁以下早死了的人，按规矩，殇不立后，除非他是战死的。孔夫子说：“能执干戈以卫社稷，虽欲无殇，不亦可乎？”就是指此。
7	003.第一章、发迹以前.txt	27	永顺县人民，泥于古来大宗小宗之义，对于长支长子，均不准出继他支，盖恐乱宗法也。	薛蕙《为人后解》说：“礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。”正因为中国正统思想如此，所以，“大宗”的长支长子都不准过继给他支，要自己留着。1923年《中华民国民事习惯大全》记湖南永顺县“长支长子不得出继他支”，就说：“永顺县人民，泥于古来大宗小宗之义，对于长支长子，均不准出继他支，盖恐乱宗法也。...
6	003.第一章、发迹以前.txt	27	礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。	薛蕙《为人后解》说：“礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。”正因为中国正统思想如此，所以，“大宗”的长支长子都不准过继给他支，要自己留着。1923年《中华民国民事习惯大全》记湖南永顺县“长支长子不得出继他支”，就说：“永顺县人民，泥于古来大宗小宗之义，对于长支长子，均不准出继他支，盖恐乱宗法也。...
6	003.第一章、发迹以前.txt	27	长支长子不得出继他支	薛蕙《为人后解》说：“礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。”正因为中国正统思想如此，所以，“大宗”的长支长子都不准过继给他支，要自己留着。1923年《中华民国民事习惯大全》记湖南永顺县“长支长子不得出继他支”，就说：“永顺县人民，泥于古来大宗小宗之义，对于长支长子，均不准出继他支，盖恐乱宗法也。...
3	003.第一章、发迹以前.txt	27	大宗不可绝	薛蕙《为人后解》说：“礼之所以立法，曰重大宗也；小宗无子，以为可以绝者也，故不为之立后，大宗无子，不可以绝，故立后以继之。”正因为中国正统思想如此，所以，“大宗”的长支长子都不准过继给他支，要自己留着。1923年《中华民国民事习惯大全》记湖南永顺县“长支长子不得出继他支”，就说：“永顺县人民，泥于古来大宗小宗之义，对于长支长子，均不准出继他支，盖恐乱宗法也。...
5	003.第一章、发迹以前.txt	31	己未岁，吾母为配王氏女合葬之，且为之立嗣	蒋介石文中说“己未岁，吾母为配王氏女合葬之，且为之立嗣”。“己未岁”是1919年，已在蒋周传死后二十一年，也就是这四岁亡童冥岁二十五岁之年，王太夫人在小儿子死后二十一年还大搞这一套，显然颇使蒋介石头痛。但蒋介石为了“不忍重违母命，以伤骨肉之至情，不获已，仍以长子经国嗣之”。蒋经国过继这年，蒋纬国只有三岁，蒋纬国的生父不是蒋介石，是戴传贤，他被蒋介石收为次子，...
5	003.第一章、发迹以前.txt	31	不忍重违母命，以伤骨肉之至情，不获已，仍以长子经国嗣之	蒋介石文中说“己未岁，吾母为配王氏女合葬之，且为之立嗣”。“己未岁”是1919年，已在蒋周传死后二十一年，也就是这四岁亡童冥岁二十五岁之年，王太夫人在小儿子死后二十一年还大搞这一套，显然颇使蒋介石头痛。但蒋介石为了“不忍重违母命，以伤骨肉之至情，不获已，仍以长子经国嗣之”。蒋经国过继这年，蒋纬国只有三岁，蒋纬国的生父不是蒋介石，是戴传贤，他被蒋介石收为次子，...
4	003.第一章、发迹以前.txt	31	今吾‘生’有二子，以母命长孙经国为吾弟后	蒋介石文中说“己未岁，吾母为配王氏女合葬之，且为之立嗣”。“己未岁”是1919年，已在蒋周传死后二十一年，也就是这四岁亡童冥岁二十五岁之年，王太夫人在小儿子死后二十一年还大搞这一套，显然颇使蒋介石头痛。但蒋介石为了“不忍重违母命，以伤骨肉之至情，不获已，仍以长子经国嗣之”。蒋经国过继这年，蒋纬国只有三岁，蒋纬国的生父不是蒋介石，是戴传贤，他被蒋介石收为次子，...
5	003.第一章、发迹以前.txt	33	六岁就学，顽劣益甚	蒋介石在母爱上，争不过夭折的小弟，印象深刻，甚至形诸笔墨，很可以解释他两方面的强烈反应。一方面蒋介石从小顽皮，自称“六岁就学，顽劣益甚”，害得他妈妈“训迪不倦”。这是在下意识中对母亲偏爱的一种“抗议”，以及为了引起母亲注意或争夺母爱的表现。而这种顽劣又演变成一种“无赖”的性格，蒋介石小名瑞元，“瑞元无赖”久已闻名溪口乡里间，有好几则“口说历史”，为此提供了一...
4	003.第一章、发迹以前.txt	37	吾夫既死，与之同棺共穴可也。	另一方面，蒋介石下意识中争取母爱的强烈愿望，表现于他毕生对他妈妈不寻常的景仰、表扬与怀念。当王太夫人于1921年6月14日去世时，蒋介石葬之于溪口之北的白岩山。夫妻死后要“同穴”，就是要合葬，是中国传统文化的项目之一。不但合葬，甚至有的还要同一口棺材呢！古代有一位汴梁儒士孟志刚的夫人衣氏，丈夫死后，她吩咐棺材店老板说，我先生殉葬的衣服很多，请把棺材做个特大号...
4	003.第一章、发迹以前.txt	57	瑞元（蒋的小名），你千万要记住，我将来坟墓不要与父亲合葬。	王氏在生前曾对蒋介石谈起自己百年后的坟地。因为蒋介石的父亲和前妻徐氏、孙氏的坟墓合葬在溪口镇北一里许的桃坑山，如果将王氏棺柩与他父亲合葬，王氏就得屈居徐、孙之下，这是王氏所不愿的。蒋介石当初曾向他的生母建议，将桃坑山父坟迁葬，单独与王氏合穴，但王氏亦不愿这样做。她态度坚决地说：“瑞元（蒋的小名），你千万要记住，我将来坟墓不要与父亲合葬。”蒋介石是个满脑子封建...
5	003.第一章、发迹以前.txt	73	他见到试场中种种不合理与腐败的现象，下决心再也不去参加这种考试了	蒋介石去日本之前，先于五六岁时在家延师启蒙，后来又进私塾，读四书五经，接受科举式教育，并于1902年到县城奉化应童子试，考中童子试以后，才能报考秀才，结果连童子试都未考取。黎东方于《蒋公介石序传》中说：“他见到试场中种种不合理与腐败的现象，下决心再也不去参加这种考试了”（第16页），是明显的曲笔。其实义和团之乱以后，1901年订立《辛丑条约》，清廷有鉴于国耻...
6	003.第一章、发迹以前.txt	81	你是否革命党？	蒋介石第一次到日本是1906年的4月，年底前就已回国，原因是他想学军事，但清廷已与日本政府有协议，不准中国学生自费学习军事，只收国家保送的学生。蒋介石遂于回国后进入段祺瑞任督办的通国陆军速成学堂（保定军校前身）。后来在国民党统治地区（包括1949年以后的台湾），小学课本中有一则沿用毛思诚所记（见《民国十五年以前之蒋介石先生》第一册第三编，第9-10页）有关蒋...
5	003.第一章、发迹以前.txt	89	年在十八岁以上，二十二岁以下者	根据1904年（光绪三十年）阴历四月的练兵处《陆军学生分班游学章程》，当时所选学生要“年在十八岁以上，二十二岁以下者”，蒋介石进振武学校已二十一岁，年纪不算小了。据振武学校编《振武学校沿革志》，改三年制后，上课总时数如下：
3	003.第一章、发迹以前.txt	97	中国武备学生接受预备教育的期限，因学校、时期而有所不同。成城学校时代概为十六个月，而振武学校则有数次变更。创立之初为十五个月，1905年10月，改为十八个月，次年，再改为两年，旋改为三年，直至该校废止，未再有更动。	对照起振武学校创办时期的《课程概要》（实藤惠秀著《中国人日本留学史》），三年制的课程，日本语文方面多了1212小时，比起没改成三年制以前，改了半天，重点不外在加强日本语文训练而已。综合观察起来，三年期间，除了军事课程外，蒋介石所学的，远在今天高中生的课目以下，甚至是初中生以下（注意课目中有算术，就是初中生的程度！）足见他的教育程度，只是相当于初高中程度而已。...
4	003.第一章、发迹以前.txt	99	不负师教	蒋介石当时叫蒋志清，于1910年冬天，自振武学校毕业，时年二十三岁，遂即分配到北海道新潟县高田镇的十三野炮联队实习，此时他身高169.4公分，体重59.2公斤。（据高田市史记载，见《蒋总统秘录》第二册，第213页）实习生是二等兵，生活十分艰苦。至于军事训练，主要是喂马，以及替军马“擦热”，使马在严寒中血液流通，并没有真正学到军事科技。据毛思诚的《民国十五年以...
5	003.第一章、发迹以前.txt	101	初入日本振武学堂，继入日本士官学校	但是1928年国民政府成立后，蒋主席的钦定履历中，赫然有“日本士官学校毕业”的最高学历。（见民国十八年《中国国民党年鉴》）1937年5月出版的《蒋介石全集》，于《传略》中也赫然有“初入日本振武学堂，继入日本士官学校”字样。（见上册，正文第1页）比后宣传顺流而下，公私各家莫不视为事实。邓文仪编著的《蒋主席》，说得最神龙活现：
3	003.第一章、发迹以前.txt	111	直接送进联队	这种在意，多少透露蒋介石性格中的自卑感与不安全感。亦由于这种在意，使许多文学侍从，不惜把士官的衔头套在他身上，或尽量把他与士官挂钩。实际上，蒋介石的最高学历是而且仅是振武学校出身，“直接送进联队”的阶段而已，距离士官毕业，还十分遥远。总之，蒋介石在日本留学，所得学历只是军士教育程度的训练，阶级只是上等兵。如此而已。
3	003.第一章、发迹以前.txt	115	校中一切学生除蒋总统外皆有辫发	在辛亥革命之前，蒋介石并无明显的革命动作。蒋介石于第一次出洋前就剪辫示决，完全是后人的伪造。蒋生于清朝光绪年间，理论上和习惯上，凡是当时大清子民，男的都要留辫子。留辫子本是满清入关时，检定汉人人心向背的一个形式条件，相习成风后，相对的，日后剪辫子也就变成“革命排满”的一个形式条件，所以，谁先在清廷没倒前剪辫子，谁就值得佩服。不过那时剪辫子，多是在外国的留学生...
4	003.第一章、发迹以前.txt	121	和黄郛一同创办《武学杂志》，这个杂志，也是留学军事的革命青年们的重要言论机关	蒋介石在留日期间，亦并没有加入一个叫“丈夫团”的秘密团体。日本记者古屋奎二写的《蒋总统秘录》中说，蒋与张群一起加入，又说“和黄郛一同创办《武学杂志》，这个杂志，也是留学军事的革命青年们的重要言论机关”，以证蒋当年确实加入了“丈夫团”，掩遮了历史真相！不可不辩。
8	003.第一章、发迹以前.txt	125	富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫	郛学测量，当时颇激昂，常谓众人曰，满洲政府非我族类，其心必异，国人应起而推翻之，古人尝谓“当仁不让”，又曰，本校人数甚多，良莠不齐，应有严密组织小团体之必要。当时赞同其说者颇众，于是商议命名，众皆默然，郛笑谓众人曰，孟子不云乎“富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫”，我辈既以推翻满清为责任，必须且有不屈不挠之精神，不移不淫之毅力，革命乃克有济。众...
4	003.第一章、发迹以前.txt	125	当仁不让	郛学测量，当时颇激昂，常谓众人曰，满洲政府非我族类，其心必异，国人应起而推翻之，古人尝谓“当仁不让”，又曰，本校人数甚多，良莠不齐，应有严密组织小团体之必要。当时赞同其说者颇众，于是商议命名，众皆默然，郛笑谓众人曰，孟子不云乎“富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫”，我辈既以推翻满清为责任，必须且有不屈不挠之精神，不移不淫之毅力，革命乃克有济。众...
3	003.第一章、发迹以前.txt	125	丈夫成城团	郛学测量，当时颇激昂，常谓众人曰，满洲政府非我族类，其心必异，国人应起而推翻之，古人尝谓“当仁不让”，又曰，本校人数甚多，良莠不齐，应有严密组织小团体之必要。当时赞同其说者颇众，于是商议命名，众皆默然，郛笑谓众人曰，孟子不云乎“富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫”，我辈既以推翻满清为责任，必须且有不屈不挠之精神，不移不淫之毅力，革命乃克有济。众...
8	003.第一章、发迹以前.txt	127	合同志中之尤坚贞者，得二十五人	于此可知，“丈夫团”紧接同盟会而成立，应在1905年，为同盟会中学军事同志们的盟中加盟，团员人数极少。据《黄膺白先生家传》说“合同志中之尤坚贞者，得二十五人”，阎锡山的《回忆录》则说是二十八人，沈云龙撰《黄膺白先生年谱长编》谓一共三十二人，又据黄郛的太太沈亦云写的《亦云回忆》，团员有三十四人。另一方面，阎锡山提到的二十八人中，有五人不见于沈云龙的笔下，如统统...
5	003.第一章、发迹以前.txt	129	并且和张群都加入了在同盟会会员中的军事留学生们所组成的一个秘密团体‘丈夫团’	张群是和蒋介石同船在1908年春天去日本的，“丈夫团”有他的名字，却没有蒋介石的名字，自然反证了“丈夫团”没有吸收蒋介石。因此，所谓蒋介石是“丈夫团”团员之说，不但文献无征，甚至不见于他早期“钦定”的《民国十五年以前之蒋介石先生》（这书只承认他加入同盟会）。可见《蒋总统秘录》扑人而来的蒋介石“并且和张群都加入了在同盟会会员中的军事留学生们所组成的一个秘密团体...
4	003.第一章、发迹以前.txt	131	密商举义计划	直到1911年辛亥年的夏天，因四川保路风潮激荡，蒋介石应陈其美之召回沪，“密商举义计划”（见《陈英士先生年谱》，第19页），寻因假满返日，重回十三联队。未久，武昌起义，各省纷纷响应，又得陈其美电催返国，即向日本师团长请假，然师团长与清廷陆军部有约，非得清方许可，不能擅自回国，遂向联队长请假四十八小时，明知不可能于期限回营，实借此乔装返国，有如逃兵，事实上亦一...
