id	source_file	line_start	line_end	category	quote_text	source_or_origin	summary	notes
LALRW-001	001.我最佩服的一个国民党.txt	5	5	人物评语	年少通经，文极古藻，隽才也！	翁同龢日记	李敖引用翁同龢评蔡元培年少通经、文采古雅的句子。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-002	001.我最佩服的一个国民党.txt	35	35	成语	摧枯拉朽	中文成语	李敖引摧枯拉朽形容迅速倒下。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-003	001.我最佩服的一个国民党.txt	35	35	易经文句	小人知进而不知退	《易经》	李敖引用《易经》小人知进而不知退的古语。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。 只收《易经》古语本体；不收五四和南北政治语境。
LALRW-004	001.我最佩服的一个国民党.txt	35	35	俗语	有奶便是娘	中文俗语	李敖引俗语有奶便是娘，形容只认利益。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-005	001.我最佩服的一个国民党.txt	35	35	成语典故	助纣为虐	商纣典故	李敖用助纣为虐形容帮恶人作恶。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-006	001.我最佩服的一个国民党.txt	53	53	人物评语	律己不苟而对人绝对放任	吴稚晖评蔡元培语	李敖引吴稚晖评蔡元培律己严谨而宽待他人的话。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-007	001.我最佩服的一个国民党.txt	57	57	文言格言	不忍为同流合污之苟安	胡适评蔡元培语	李敖摘出不忍同流合污而苟安的文言格言。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-008	001.我最佩服的一个国民党.txt	89	89	成语	无可奈何	中文成语	李敖引无可奈何表示没有办法。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-009	001.我最佩服的一个国民党.txt	117	117	格言	有所不为而后可以有为	胡适评蔡元培语	李敖引有所不为而后可以有为，说明有所拒绝才可能有所成就。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-010	001.我最佩服的一个国民党.txt	119	119	古典成句	不降志，不辱身	《论语》相关成句	李敖引不降志、不辱身，说明不降低志向、不辱没自身。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-011	001.我最佩服的一个国民党.txt	149	149	成语	咄咄逼人	中文成语	李敖用咄咄逼人形容气势逼人。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-012	002.五四以后的陈独秀.txt	13	13	禅宗化句	看山水又是山水	看山是山相关禅语	李敖化用看山水又是山水，写回到最后见解。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
LALRW-013	002.五四以后的陈独秀.txt	13	13	成语	有始无终	中文成语	李敖引有始无终，说明有开端而无收束。	首轮保守收入：《李敖论人物》以蔡元培、陈独秀、胡适、梁实秋、方豪、殷海光、雷震、孙立人、李翰祥、江南、郑南榕、刘辰旦、许信良、李庆华、苦苓、李锡锟等人物评论为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、政治犯、刑求、暗杀、选举、接班和反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、成语、俗语、题辞、宗教文句、文学引文、学术/传记格言和非政治人物评语。
