score	file	line	text	context
3	001.蒋介石还是没加入“丈夫团”.txt	5	加入同盟会，挺身参加了革命活动，并且和张群都加入了在同盟会会员中的军事留学生们所组成的一个秘密团体——‘丈夫团’	我在《千秋评论》第四十九期《历史·历史·吹》里，写了一篇《蒋介石加入了“丈夫团”吗？》考证同盟会时“丈夫团”的成员，并没有蒋介石，证明《蒋总统秘录》所说蒋介石“加入同盟会，挺身参加了革命活动，并且和张群都加入了在同盟会会员中的军事留学生们所组成的一个秘密团体——‘丈夫团’” 等话，都是造谣、都是乱拍马屁。
3	001.蒋介石还是没加入“丈夫团”.txt	7	该书部分文稿，核已违反《台湾地区戒严时期出版物管制办法》第3条第4款‘诋毁国家元首’、第6款‘淆乱视听足以影响民心士气’、第7款‘挑拨政府与人民情感’之规定	这篇文章是10月15日印出的，国民党警备总部迫不及待，19日就发出（74）剑佳字第5003号函，查禁了它。理由是“该书部分文稿，核已违反《台湾地区戒严时期出版物管制办法》第3条第4款‘诋毁国家元首’、第6款‘淆乱视听足以影响民心士气’、第7款‘挑拨政府与人民情感’之规定”。
6	001.蒋介石还是没加入“丈夫团”.txt	9	革命组织的建立与发展	奇怪的是，我研究“丈夫团”的成员，根据的，是黄郛太太沈亦云的《亦云回忆》（传记文学社出版）、沈云龙的《黄膺白先生年谱长编》（联经出版事业公司出版），和阎锡山的《回忆录》（收入《阎伯川先生纪念集》，阎伯川先生纪念集编辑委员会出版），这些书都是台湾的出版品，都没被禁，为什么我一研究，就要禁我的？若国民党警备总部说，这些书是私书，不是官书，不足为据，好吧，我现在就...
6	001.蒋介石还是没加入“丈夫团”.txt	9	同盟会在国内与海外的组织	奇怪的是，我研究“丈夫团”的成员，根据的，是黄郛太太沈亦云的《亦云回忆》（传记文学社出版）、沈云龙的《黄膺白先生年谱长编》（联经出版事业公司出版），和阎锡山的《回忆录》（收入《阎伯川先生纪念集》，阎伯川先生纪念集编辑委员会出版），这些书都是台湾的出版品，都没被禁，为什么我一研究，就要禁我的？若国民党警备总部说，这些书是私书，不是官书，不足为据，好吧，我现在就...
4	001.蒋介石还是没加入“丈夫团”.txt	9	教育部主编	奇怪的是，我研究“丈夫团”的成员，根据的，是黄郛太太沈亦云的《亦云回忆》（传记文学社出版）、沈云龙的《黄膺白先生年谱长编》（联经出版事业公司出版），和阎锡山的《回忆录》（收入《阎伯川先生纪念集》，阎伯川先生纪念集编辑委员会出版），这些书都是台湾的出版品，都没被禁，为什么我一研究，就要禁我的？若国民党警备总部说，这些书是私书，不是官书，不足为据，好吧，我现在就...
3	001.蒋介石还是没加入“丈夫团”.txt	9	国立	奇怪的是，我研究“丈夫团”的成员，根据的，是黄郛太太沈亦云的《亦云回忆》（传记文学社出版）、沈云龙的《黄膺白先生年谱长编》（联经出版事业公司出版），和阎锡山的《回忆录》（收入《阎伯川先生纪念集》，阎伯川先生纪念集编辑委员会出版），这些书都是台湾的出版品，都没被禁，为什么我一研究，就要禁我的？若国民党警备总部说，这些书是私书，不是官书，不足为据，好吧，我现在就...
8	001.蒋介石还是没加入“丈夫团”.txt	11	富贵不能淫，贫贱不能移，威武不能屈	同盟会组织中，尚有“丈夫团”的一个集团。这个集团，是留日学生中学习军事之同盟会员的结合，由黄郛、李烈钧等发起，其取名为“丈夫团”，乃以孟子“富贵不能淫，贫贱不能移，威武不能屈”作为团员之品德，藉以结合志节坚贞之士，以为革命之核心。团员初为二十五人，其后或有陆续参加者，数字当不止二十五，其参加同盟会的日期亦不一致。彼等参加同盟会，多由黄兴主持，其誓书等亦悉由黄...
5	002.蒋介石与张群合照质疑.txt	11	请安，请安！	后来家父宦移成都，我们算是迁居到大都市。在那时，大家都已渐渐感到清廷的腐败，我是十来岁的男孩，在成都也有机会读到一些革命性的读物，心中的革命意识也在此时渐渐生根。我就这个时候考取保定陆军学校，决定投笔从戎。家父给我六十银元，作为旅费，赴京参加会试。当时同行的有另一位青年朋友王君，我们两人性情相投，志同道合。会试时，由段祺瑞亲自召见，监考官就是他的部属，他叮嘱...
4	002.蒋介石与张群合照质疑.txt	11	这怎么可以呢？而且你若弃考，那么连回家的盘费都没有着落，你还是将就一点吧。	后来家父宦移成都，我们算是迁居到大都市。在那时，大家都已渐渐感到清廷的腐败，我是十来岁的男孩，在成都也有机会读到一些革命性的读物，心中的革命意识也在此时渐渐生根。我就这个时候考取保定陆军学校，决定投笔从戎。家父给我六十银元，作为旅费，赴京参加会试。当时同行的有另一位青年朋友王君，我们两人性情相投，志同道合。会试时，由段祺瑞亲自召见，监考官就是他的部属，他叮嘱...
4	002.蒋介石与张群合照质疑.txt	11	我从来没有请过安，不知道怎样做。	后来家父宦移成都，我们算是迁居到大都市。在那时，大家都已渐渐感到清廷的腐败，我是十来岁的男孩，在成都也有机会读到一些革命性的读物，心中的革命意识也在此时渐渐生根。我就这个时候考取保定陆军学校，决定投笔从戎。家父给我六十银元，作为旅费，赴京参加会试。当时同行的有另一位青年朋友王君，我们两人性情相投，志同道合。会试时，由段祺瑞亲自召见，监考官就是他的部属，他叮嘱...
