action	target	source_file	line_range	quote_or_candidate	reason
keep	LAZJ-001	005.施不全的尊容.txt	5-5	处事唯求得中，岂可偏执？	以居中不偏作为处事尺度。
keep	LAZJ-002	009.有朋党无政党.txt	3-3	小人无朋，其暂为朋者，伪也。	以小人结朋多出伪合说明利害结合的短暂。
keep	LAZJ-003	009.有朋党无政党.txt	3-3	小人与小人，以同利为朋，此自然之理也。	以同利相合说明小人结朋的根由。
keep	LAZJ-004	017.“拜码头”.txt	7-7	夫‘斶前’为慕势，‘王前’为趋士。与使斶为慕势，不如使王为趋士。	颜斶以趋士胜过慕势，凸显士人自重。
keep	LAZJ-005	017.“拜码头”.txt	7-7	士贵耳！王者不贵。	以士贵于王者的对答突出士的尊严。
keep	LAZJ-006	022.怎样杀老浑蛋？.txt	5-5	缅人恶俗极多，有种族号曰浸，居于僻野之山社。凡遇其父母年岁老者，筑台一座甚高，恭请老人登其上，而社中幼壮男女相率而歌舞于台下，老人从台上和之；至老人乐极生狂，忘其在台上歌舞，跌下身死，则以火焚葬之。谓老人得天神之召，为莫大之荣幸云。	记述异域弃老习俗，作为人类学掌故。
keep	LAZJ-007	034.没有大忏悔，只有大遮盖.txt	3-3	遥爱云水秀，初疑路不同，安知清流转，偶与前山通。	以清流与前山相通写路径转合。
keep	LAZJ-008	035.三百六十的数字观.txt	3-3	杭州三百六十行，各有市语。	说明三百六十行各有行业用语。
add	LAZJ-009	039.古语今用更真实.txt	3-3	不战而屈人之兵	以不经交战即制服对方概括上策。
add	LAZJ-010	039.古语今用更真实.txt	3-3	决胜于千里之外	以远距离筹划而定胜负概括谋略成效。
keep	LAZJ-011	040.国民党谄洋鬼而祭之.txt	11-11	非其鬼而祭之，谄也	以不当祭而祭归为谄媚。
keep	LAZJ-012	040.国民党谄洋鬼而祭之.txt	11-11	非其所祭而祭之	以不当祭而祭说明祭祀对象失当。
keep	LAZJ-013	041.中人的歧路.txt	5-5	夫出中人之上者，虽穷而不失为君子；出中人之下者，虽泰而不失为小人。唯中人不然：穷则为小人，泰则为君子。计天下之士，出中人之上下者，千百而无十一；穷而为小人，泰而为君子者，则天下皆是也！	王安石以穷泰之间的品格变化辨析中人。
keep	LAZJ-014	045.中国的游记.txt	3-3	有体国经野之心，然后可以登山临水。	强调游山水也须有经世观照。
keep	LAZJ-015	046.沙门岛与魔鬼岛.txt	5-5	沙门岛旧属有定额，过额则取一人投之海中。神宗时，马默守登州，建言今后溢额，乞选年深自至配所不作过人，移登州。上深然之。即谓可着为定制。	记述沙门岛配所旧制及后来的移配办法。
keep	LAZJ-016	063.打官司的成与败.txt	3-3	成固欣然，败亦可喜	以胜败皆可转化为价值说明处事心态。
keep	LAZJ-017	069.“视弃天下，犹弃敝屣也！”.txt	3-3	视弃天下，犹弃敝屣也！	以弃天下如弃旧鞋写轻弃富贵权位。
keep	LAZJ-018	078.党外助选下场.txt	9-9	狡兔死，走狗烹	以功成见弃概括助力者的结局。
