score	file	line	text	context
8	《爱情的秘密》目录.txt	31	于人曰浩然，沛乎塞苍冥	028.“于人曰浩然，沛乎塞苍冥”
3	《爱情的秘密》目录.txt	52	一个文法学家的葬礼	049.“一个文法学家的葬礼”
8	001.爱情的秘密.txt	7	齐心同所愿，含意俱未伸	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
3	001.爱情的秘密.txt	7	但无言语空相骂	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
3	001.爱情的秘密.txt	7	细语温存	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
3	001.爱情的秘密.txt	7	怜我怜卿	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
3	001.爱情的秘密.txt	15	爱情	这首短诗描写爱情上无言之美的势力，可谓透辟已极了。本来爱情全是一种心灵的感应，其深刻处老子所谓不可道不可名的。所以许多诗人以为“爱情”两个字本身就太滥太寻常太乏味，不能拿来写照男女间神圣深挚的情绪。
8	001.爱情的秘密.txt	19	不着一字，尽得风流	这首布莱克的诗，颇有《诗品》中“不着一字，尽得风流”的境界。原诗如下：
4	001.爱情的秘密.txt	81	诗无能者	译得虽然不满意，但总觉得比朱译稍胜。我认为诗以有韵为上，没韵的诗，只证明了掌握中文能力的不足。台湾的所谓诗人和译诗家，既不诗又不韵，像性无能者一般，是“诗无能者”，却整天以阳痿行骗，真是笑话极矣！
3	002.沙丘忆.txt	3	也许我们应该彼此介绍一下，不过，也许根本不必介绍。你是个愿意教的小孩子，我是个愿意学的老师，这就够了。我喊你‘小朋友’，你就喊我‘先生’吧。	阿瑟·戈登（Arthur Gordon）写过一篇短篇小说，叫《奇人述异》（The Stranger Who Taught Magic），写一个十三岁的小男孩，在一天清早，蹲在河边看鱼，一个陌生人走过来，这陌生人有一张苍白清瘦的脸，一对非常特殊的眼睛，表情似愁非愁，但是友善而令人难以抗拒。陌生人希望小男孩教他钓鱼，小男孩同意了。陌生人说：“也许我们应该彼此介绍...
8	002.沙丘忆.txt	5	总是白白让鱼吃了，因为羊齿鱼轻轻吞饵时候，他感觉不出来；但是钓不到鱼，他好像也无所谓	教学过程开始后，陌生人的鱼饵，“总是白白让鱼吃了，因为羊齿鱼轻轻吞饵时候，他感觉不出来；但是钓不到鱼，他好像也无所谓”。显然的，他志不在鱼。
6	002.沙丘忆.txt	11	生活充满了节奏；语言文字也该有节奏。不过你得先训练耳朵。听听静夜的涛声，可以体会其中的韵律；看看海风在干沙上的痕迹，可以体会句子里应有的抑扬顿挫。你懂我意思吗？	陌生人教小男孩，注意生活里的节奏（rhythm）。他说：“生活充满了节奏；语言文字也该有节奏。不过你得先训练耳朵。听听静夜的涛声，可以体会其中的韵律；看看海风在干沙上的痕迹，可以体会句子里应有的抑扬顿挫。你懂我意思吗？”（“Life is full of it；words should have it, too. But you have to train ...
4	002.沙丘忆.txt	13	It gives me the shivers. 	为了做这种节奏实验，有一次，陌生人举出15世纪马洛礼（Sir Thomas Malory）《亚瑟王之死》（Le Morte d'Arthur）中“骏马悲撕”（And the great horse grimly neighed）—段，要小孩子把眼睛闭上，慢慢念出这一句、体味这一句，问小男孩，你有什么感觉？小男孩说他闭眼一念，就“寒毛直竖”（“It gives...
3	002.沙丘忆.txt	13	骏马悲撕	为了做这种节奏实验，有一次，陌生人举出15世纪马洛礼（Sir Thomas Malory）《亚瑟王之死》（Le Morte d'Arthur）中“骏马悲撕”（And the great horse grimly neighed）—段，要小孩子把眼睛闭上，慢慢念出这一句、体味这一句，问小男孩，你有什么感觉？小男孩说他闭眼一念，就“寒毛直竖”（“It gives...
3	002.沙丘忆.txt	13	寒毛直竖	为了做这种节奏实验，有一次，陌生人举出15世纪马洛礼（Sir Thomas Malory）《亚瑟王之死》（Le Morte d'Arthur）中“骏马悲撕”（And the great horse grimly neighed）—段，要小孩子把眼睛闭上，慢慢念出这一句、体味这一句，问小男孩，你有什么感觉？小男孩说他闭眼一念，就“寒毛直竖”（“It gives...
6	002.沙丘忆.txt	15	你看见了什么？看见五颜六色吗？这不够。要找尖塔、吊桥，要找云龙、飞狮，要找千奇百怪的野兽。	陌生人还教小男孩看云，他指着一片云，问：“你看见了什么？看见五颜六色吗？这不够。要找尖塔、吊桥，要找云龙、飞狮，要找千奇百怪的野兽。”（What do you see there? Colors? That's not enough. Look for towers and drawbridges. Look for dragons and griffins...
6	002.沙丘忆.txt	17	用麦秆似的眼睛，你看到了什么？用乱七八糟的脚，你碰到了什么？你的小脑袋里想到了什么？试试看，只要五秒钟就行了。不要把自己当成男孩，把自己当成蟹！	陌生人的花样还多呢！他不但教小男孩如何看云，还教小男孩如何看蟹。他抓起一只蟹，照小男孩教他的抓蟹脚的法子，抓住后脚，问小男孩：“用麦秆似的眼睛，你看到了什么？用乱七八糟的脚，你碰到了什么？你的小脑袋里想到了什么？试试看，只要五秒钟就行了。不要把自己当成男孩，把自己当成蟹！”（What do you see through those stalk-like e...
4	002.沙丘忆.txt	59	台北蒙难	萨拉·蒂斯代尔是美国浪漫派女诗人。她在我出生前两年（1933）死去，是自杀的，活了四十九岁。《火焰与阴影》是她三十六岁（1920）出版的。我译这首诗的时候，正三十六岁，如今我也快四十九了。因为这首译诗是我“台北蒙难”时残存的作品，对我有特别的意义，所以我特别为它写了这篇衬托性的文字。
4	003.除却一寒冬.txt	69	煦煦春阳	这两首诗的意境，颇为悠闲超迈。我译它们的时候，既无“绿树荫荫”，也无“煦煦春阳”，但我在牢里，的确有了“仇敌都不见”的清静。只是牢里的冬天很冷，我可以不见“仇敌”，但却无法不见“寒冬”，在“寒冬”来的时候，为了御寒，每天晚上，我要在阴暗的灯光里，咿哑的地板上，不断来回走着，边走边背书，经常两三个小时。我之能背书、能走路，都拜坐牢之赐，坐牢对强者说来，真不是坏...
3	003.除却一寒冬.txt	69	绿树荫荫	这两首诗的意境，颇为悠闲超迈。我译它们的时候，既无“绿树荫荫”，也无“煦煦春阳”，但我在牢里，的确有了“仇敌都不见”的清静。只是牢里的冬天很冷，我可以不见“仇敌”，但却无法不见“寒冬”，在“寒冬”来的时候，为了御寒，每天晚上，我要在阴暗的灯光里，咿哑的地板上，不断来回走着，边走边背书，经常两三个小时。我之能背书、能走路，都拜坐牢之赐，坐牢对强者说来，真不是坏...
3	003.除却一寒冬.txt	69	仇敌都不见	这两首诗的意境，颇为悠闲超迈。我译它们的时候，既无“绿树荫荫”，也无“煦煦春阳”，但我在牢里，的确有了“仇敌都不见”的清静。只是牢里的冬天很冷，我可以不见“仇敌”，但却无法不见“寒冬”，在“寒冬”来的时候，为了御寒，每天晚上，我要在阴暗的灯光里，咿哑的地板上，不断来回走着，边走边背书，经常两三个小时。我之能背书、能走路，都拜坐牢之赐，坐牢对强者说来，真不是坏...
6	005.评改余光中的一首译诗.txt	3	译者希望这本小册子能符合初学英文诗者的需要。每首诗都中英对照，并附原文难解字句的诠释、创作的背景、形式的分析、作者的生平等等。	余光中《英诗译注》共收三十七首英诗。“译者希望这本小册子能符合初学英文诗者的需要。每首诗都中英对照，并附原文难解字句的诠释、创作的背景、形式的分析、作者的生平等等。”
