score	file	line	text	context
5	001.孙中山见了李鸿章吗？.txt	7	国民党又造假历史了，我非拆穿它不可！	看了这篇文字，我忍不住要对自己说：“国民党又造假历史了，我非拆穿它不可！”下面就是我这违章历史拆除大队的一次成绩。
3	001.孙中山见了李鸿章吗？.txt	17	出示其所拟上李鸿章书	照桂崇基所说，唐绍仪在香港见到“二十许人”的孙中山，孙中山“出示其所拟上李鸿章书”，但按此书写作年代，该是1894年，这年唐绍仪正在北方追随袁世凯，跑到香港去见比他小七岁的孙中山（孙中山那年二十九岁），已极可疑，因为当时孙中山无籍籍之名，唐绍仪“返回香港”去见他，又所为何来呢？
5	001.孙中山见了李鸿章吗？.txt	19	以医务委之于尹文楷，自偕陆皓东自湖南循长江东下，抵上海	何况，既说唐绍仪“返回香港”见孙中山，则孙中山本人，必须人在香港，才有见到的可能，无奈这年孙中山根本不在香港，他人在广州做医生，并且2月起就“以医务委之于尹文楷，自偕陆皓东自湖南循长江东下，抵上海”（《国父年谱初稿》）了，纵使唐绍仪“返回香港”，也见不到孙中山啊！
4	001.孙中山见了李鸿章吗？.txt	25	孙先生失踪了，药房中开销很难，收入不敷只剩十几块钱了。	有一天，我在香港，他在广州，忽然药房里有信来，说：“孙先生失踪了，药房中开销很难，收入不敷只剩十几块钱了。”我接到信，就到广州去，替他维持店务。等了多天，一点消息都没有，心里非常焦急。到十六那天，他忽然跑来了，手里拿了很大一卷像文件的东西，他见了我就说：“对不起！对不起！”我问他：“你跑到什么地方去的？”他说：“这些事情不要去管他了。”就打开手里的一卷纸给我...
3	001.孙中山见了李鸿章吗？.txt	25	对不起！对不起！	有一天，我在香港，他在广州，忽然药房里有信来，说：“孙先生失踪了，药房中开销很难，收入不敷只剩十几块钱了。”我接到信，就到广州去，替他维持店务。等了多天，一点消息都没有，心里非常焦急。到十六那天，他忽然跑来了，手里拿了很大一卷像文件的东西，他见了我就说：“对不起！对不起！”我问他：“你跑到什么地方去的？”他说：“这些事情不要去管他了。”就打开手里的一卷纸给我...
3	001.孙中山见了李鸿章吗？.txt	25	你跑到什么地方去的？	有一天，我在香港，他在广州，忽然药房里有信来，说：“孙先生失踪了，药房中开销很难，收入不敷只剩十几块钱了。”我接到信，就到广州去，替他维持店务。等了多天，一点消息都没有，心里非常焦急。到十六那天，他忽然跑来了，手里拿了很大一卷像文件的东西，他见了我就说：“对不起！对不起！”我问他：“你跑到什么地方去的？”他说：“这些事情不要去管他了。”就打开手里的一卷纸给我...
6	001.孙中山见了李鸿章吗？.txt	29	打仗完了以后再见吧！	这时候，王韬有一个朋友在李鸿章幕下当文案，王韬就写了封信，介绍孙先生到天津，见这位李鸿章幕下的老夫子，同老夫子商量，或者可以见李鸿章，孙先生快乐极了，就到天津去见老夫子。那时候，刚刚中日大战，打得很厉害，李鸿章至芦台督师，军书旁午，老夫子把孙先生的大文章送到李鸿章那边去，李鸿章是否看过，就不得而知了。不过后来李鸿章说：“打仗完了以后再见吧！”孙先生听了这句话...
5	001.孙中山见了李鸿章吗？.txt	53	偕陆皓东至天津，上书李鸿章	至于桂崇基说孙中山因唐绍仪之介，得识徐秋畦的事，也不能成立。据《国父年谱初稿》，1894年6月，孙中山“偕陆皓东至天津，上书李鸿章”，“先生在沪遇香山同乡郑官应，由其函托王韬介绍于李鸿章幕僚罗丰禄。迨先生偕皓东抵天津后，先访罗，又得徐秋畦为先容，求介见鸿章，先以书进。”则徐秋畦和孙中山的搭线，是罗丰禄而非唐绍仪。徐秋畦是李鸿章的幕僚，陈少白回忆中的“李鸿章幕...
3	001.孙中山见了李鸿章吗？.txt	53	先生在沪遇香山同乡郑官应，由其函托王韬介绍于李鸿章幕僚罗丰禄。迨先生偕皓东抵天津后，先访罗，又得徐秋畦为先容，求介见鸿章，先以书进。	至于桂崇基说孙中山因唐绍仪之介，得识徐秋畦的事，也不能成立。据《国父年谱初稿》，1894年6月，孙中山“偕陆皓东至天津，上书李鸿章”，“先生在沪遇香山同乡郑官应，由其函托王韬介绍于李鸿章幕僚罗丰禄。迨先生偕皓东抵天津后，先访罗，又得徐秋畦为先容，求介见鸿章，先以书进。”则徐秋畦和孙中山的搭线，是罗丰禄而非唐绍仪。徐秋畦是李鸿章的幕僚，陈少白回忆中的“李鸿章幕...
3	001.孙中山见了李鸿章吗？.txt	53	李鸿章幕下的老夫子	至于桂崇基说孙中山因唐绍仪之介，得识徐秋畦的事，也不能成立。据《国父年谱初稿》，1894年6月，孙中山“偕陆皓东至天津，上书李鸿章”，“先生在沪遇香山同乡郑官应，由其函托王韬介绍于李鸿章幕僚罗丰禄。迨先生偕皓东抵天津后，先访罗，又得徐秋畦为先容，求介见鸿章，先以书进。”则徐秋畦和孙中山的搭线，是罗丰禄而非唐绍仪。徐秋畦是李鸿章的幕僚，陈少白回忆中的“李鸿章幕...
7	001.孙中山见了李鸿章吗？.txt	57	今日之革命，余亦知其不可已；然余年七十有九，精力既衰，断不能大有为，幸君努力为之，中囯前途，唯君等是赖，余必为君后援	至北京时，冒险谒李鸿章，密陈北京政府之横暴腐败，革命之不可缓，议论雄快。李谢之曰：“今日之革命，余亦知其不可已；然余年七十有九，精力既衰，断不能大有为，幸君努力为之，中囯前途，唯君等是赖，余必为君后援”云云（见时事新报馆编《中国革命记革命党小传》）。吴稚晖编年系“别传”云，中日交战前，先生由湖南出扬子江口，由海路入北京，深夜冒险晤李鸿章于私邸，陈说大计，劝李...
3	001.孙中山见了李鸿章吗？.txt	57	十年如一日	至北京时，冒险谒李鸿章，密陈北京政府之横暴腐败，革命之不可缓，议论雄快。李谢之曰：“今日之革命，余亦知其不可已；然余年七十有九，精力既衰，断不能大有为，幸君努力为之，中囯前途，唯君等是赖，余必为君后援”云云（见时事新报馆编《中国革命记革命党小传》）。吴稚晖编年系“别传”云，中日交战前，先生由湖南出扬子江口，由海路入北京，深夜冒险晤李鸿章于私邸，陈说大计，劝李...
3	001.孙中山见了李鸿章吗？.txt	61	在国父演讲时曾担任过记录的中国广播公司董事长梁寒操，讲了八个有关国父生前的小故事，来纪念国父百年诞辰。	胡去非本人后来也不信这些捏造，他在《总理事略》（1937年10月上海商务印书馆版）中，就有“先生见李鸿章不遂”的更正。但是国民党逃到台湾后，却把这一捏造，花样翻新起来。首先是1965年11月11日《新生报》登出“中央社特稿”——《万世风范的国父》，其中说：“在国父演讲时曾担任过记录的中国广播公司董事长梁寒操，讲了八个有关国父生前的小故事，来纪念国父百年诞辰。...
5	001.孙中山见了李鸿章吗？.txt	63	我起先以为李鸿章很行，现在才知道他根本不行，我的建议他干不了，我自己来干！	国父在二十七八岁的时候已经出来行医，有一次他满怀爱国报国的热忱，上书李鸿章，并由唐绍仪陪同，去见李鸿章。当时李鸿章还没有看完国父所上的书，就老气横秋地对国父说：“天下大事困难重重，不是你们年轻人所能够了解的。”国父辞出后，大为光火，眼睛冒出愤怒的光芒对唐绍仪说：“我起先以为李鸿章很行，现在才知道他根本不行，我的建议他干不了，我自己来干！”
4	001.孙中山见了李鸿章吗？.txt	63	天下大事困难重重，不是你们年轻人所能够了解的。	国父在二十七八岁的时候已经出来行医，有一次他满怀爱国报国的热忱，上书李鸿章，并由唐绍仪陪同，去见李鸿章。当时李鸿章还没有看完国父所上的书，就老气横秋地对国父说：“天下大事困难重重，不是你们年轻人所能够了解的。”国父辞出后，大为光火，眼睛冒出愤怒的光芒对唐绍仪说：“我起先以为李鸿章很行，现在才知道他根本不行，我的建议他干不了，我自己来干！”
3	001.孙中山见了李鸿章吗？.txt	79	当我在中日甲午战争爆发前夕，正停留天津；那时曾亲眼见到有许多文武官员自全国各地赶来向当时权倾一时的宰相李鸿章晋见，在蒙允晋见之前，无不需与馈赠巨额红包给他的僚属。	盛宣怀接阅郑观应信后，曾致函李鸿章，介绍孙先生往见。孙是否见到李，文献无征。但多数记载肯定孙李没有晤面。因当时中日为朝鲜东学党之乱，两国正调兵遣将前往三韩。李鸿章忙于这军国大事，自无暇接见孙。但孙先生在三年以后一论文中指出：“当我在中日甲午战争爆发前夕，正停留天津；那时曾亲眼见到有许多文武官员自全国各地赶来向当时权倾一时的宰相李鸿章晋见，在蒙允晋见之前，无不...
4	001.孙中山见了李鸿章吗？.txt	81	孙先生既正努力革除陋习，当不会纳贿求见。	吴相湘说：“孙先生既正努力革除陋习，当不会纳贿求见。”以这一理由而不能见李鸿章，是可疑的。因为见李鸿章是大事，孙中山识其大者，当不致因小失大。我看根本的原因还是孙中山当时人微望轻，李鸿章不肯见他而已。
6	001.孙中山见了李鸿章吗？.txt	111	冀万乘之尊或一垂听	在这段话中，孙中山原始的改良主义的色彩，是非常明显的。所谓“和平手段”、所谓“渐进方法”、所谓“请愿于朝廷”、所谓“冀万乘之尊或一垂听”、所谓“政府之或可奋起”、所谓“全体联名上书”、所谓“和平方法”等话，都是明显的改良主义的语句，都不是革命的立意与手段。直到这些立意与手段都“无可复施”的时候，才轮到“不得不稍易以强迫”、“徐图所以倾覆而变更之者”。
