id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAAQMM-001,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,7,7,齐心同所愿，含意俱未伸,古诗句,朱光潜《无言之美》转引古典情诗句,朱光潜论无言之美时举出的爱情含蓄诗句。,
LAAQMM-002,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,7,7,但无言语空相骂,古诗句,朱光潜《无言之美》转引古典情诗句,与前句并举，说明无言爱情的甜蜜。,
LAAQMM-003,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,9,13,"（一）切莫告诉你的爱情，爱情是永远不可以告诉的，因为她像微风一样，不做声不做气的吹着。
（二）我曾经把我的爱情告诉而又告诉，我把一切都披肝沥胆地告诉爱人了，打着寒颤，耸头发地苦诉，然而她终于离我去了！
（三）她离我去了，不多时一个过客来了。不做声不做气地，只微叹一声，便把她带去了。",西方诗歌译文,朱光潜译布莱克《爱情之秘》,朱光潜在《无言之美》中转译布莱克《Love's Secret》。,
LAAQMM-004,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,19,19,不着一字，尽得风流,诗论成句,司空图《诗品》语意,李敖评布莱克短诗时借用《诗品》成句。,
LAAQMM-005,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,21,45,"Love's Secret
Never Seek to tell thy love，
Love that never told can be；
For the gentle wind doth move
Silently，invisibly.
I told my love，I told my love，
I told her all my heart，
Trembling cold，in ghastly fears，
Ah! she did depart!
Soon after she was gone from me,
A traveller came by，
Silently, invisibly ：
He took her with a sigh.",西方诗歌,布莱克《Love's Secret》原诗,李敖列出布莱克《爱情之秘》的英文原诗。,
LAAQMM-006,爱情的秘密,爱情的秘密,001.爱情的秘密.txt,51,79,"（一）
君莫诉衷情，
衷情不能诉。
微风拂面来，
寂寂如重雾。
（二）
我曾诉衷情，
万语皆烟树。
惶恐心难安，
伊人莫我顾。
（三）
伊人离我后，
行者方过路。
无言只太息，
双双无寻处。",西方诗歌译文,李敖译布莱克《Love's Secret》,李敖用古体诗重译布莱克短诗。,保留外部诗的李敖译文，不收后文李敖自造讽刺语。
LAAQMM-007,爱情的秘密,沙丘忆,002.沙丘忆.txt,11,11,生活充满了节奏；语言文字也该有节奏。不过你得先训练耳朵。听听静夜的涛声，可以体会其中的韵律；看看海风在干沙上的痕迹，可以体会句子里应有的抑扬顿挫。你懂我意思吗？,文学格言,阿瑟·戈登《奇人述异》人物语,小说人物讲述生活与语言节奏的文学训练格言。,
LAAQMM-008,爱情的秘密,沙丘忆,002.沙丘忆.txt,13,13,And the great horse grimly neighed,西方古典文句,马洛礼《亚瑟王之死》,李敖转述小说中用来训练节奏感的马洛礼文句。,
LAAQMM-009,爱情的秘密,沙丘忆,002.沙丘忆.txt,27,35,"死别一复生，滨水再徘徊，
斑驳深如海，常变每重来。
自悲身须臾，莫怪此情哀，
逝者得其静，烟直上高台。
忆我沙丘侧，呼名入君怀。",西方诗歌译文,李敖译萨拉·蒂斯代尔《On the Dunes》,李敖译蒂斯代尔《沙丘忆》的中文诗。,
LAAQMM-010,爱情的秘密,沙丘忆,002.沙丘忆.txt,37,51,"If there is any life when death is over,
These tawny beaches will know much of me,
I shall come back, as constant and as changeful
As the unchanging, many-colored sea.
If life was small, if it has made me scornful,
Forgive me ; I shall straighten like a flame
In the great calm of death, and if you want me
Stand on the sea-ward dunes and call my name.",西方诗歌,萨拉·蒂斯代尔《On the Dunes》原诗,《火焰与阴影》中《沙丘忆》的英文原诗。,
LAAQMM-011,爱情的秘密,除却一寒冬,003.除却一寒冬.txt,5,19,"Under the greenwood tree
Who loves to lie with me,
And turn his merry note
Unto the sweet bird’s throat,
Come hither, come hither, come hither.
Here shall he see
No enemy
But winter and rough weather.",西方诗歌,莎士比亚《As You Like It》第五幕歌诗之一,李敖引用莎士比亚剧中的第一首歌诗。,
LAAQMM-012,爱情的秘密,除却一寒冬,003.除却一寒冬.txt,23,37,"Who doth ambition shun,
And loves to live i the sun,
Seeking the food he eats，
And pleased with what he gets，
Come hither, come hither, come hither.
Here shall he see
No enemy
But winter and rough weather.",西方诗歌,莎士比亚《As You Like It》第五幕歌诗之二,李敖引用莎士比亚剧中的第二首歌诗。,
LAAQMM-013,爱情的秘密,除却一寒冬,003.除却一寒冬.txt,43,53,"绿树荫荫下
谁伴卧此中
此处音宛啭
人声和鸟声
仇敌都不见
除却一寒冬",西方诗歌译文,李敖意译莎士比亚歌诗之一,李敖将第一首歌诗译作六行中文。,
LAAQMM-014,爱情的秘密,除却一寒冬,003.除却一寒冬.txt,57,67,"煦煦春阳下
名利一场空
觅食欣所遇
知足任西东
仇敌都不见
除却一寒冬",西方诗歌译文,李敖意译莎士比亚歌诗之二,李敖将第二首歌诗译作六行中文。,
LAAQMM-015,爱情的秘密,一首诗几件事,004.一首诗几件事.txt,5,5,No man is an Iland，intire of itselfe; every man is a peece of the Continent ，a part of the maine ； if a Clod bee washed away by the Sea，Europe is the lesse，as well as if Promontorie were，as well as if a Manor of thy friends or of thine owne were. Any mans death diminishes me，because I am involved in Mankinde. And therefore never send to know for whom the bell tolls. It tolls for thee.,西方诗文,约翰·邓恩《Meditation XVII》,李敖引用邓恩著名段落的英文原文。,
LAAQMM-016,爱情的秘密,一首诗几件事,004.一首诗几件事.txt,19,53,"没有人能自全，
没有人是孤岛，
每人都是大陆的一片，
要为本土应卯。
哪便是一块土地，
哪便是一方海角，
哪便是一座庄园，
不论是你的、还是朋友的，
一旦海水冲走，
欧洲就要变小。
任何人的死亡，
都是我的减少，
作为人类的一员，
我与生灵共老。
丧钟在为谁敲，
我本茫然不晓，
不为幽明永隔，
它正为你哀悼。",西方诗文译文,李敖译约翰·邓恩诗文,李敖将邓恩段落译成押韵中文。,
LAAQMM-017,爱情的秘密,评改余光中的一首译诗,005.评改余光中的一首译诗.txt,7,7,译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的,译诗格言,余光中《英诗译注》说明语,李敖引余光中关于选译英诗的比喻。,非政治语录，作为译诗论格言保留。
LAAQMM-018,爱情的秘密,评改余光中的一首译诗,005.评改余光中的一首译诗.txt,23,49,"With you a part of me hath passed away ；
For in the peopled forest of my mind
A tree made leafless by this wintry wind
Shall never don again its green array.
ChaPel and fireside，country road and bay，
Have something of their friendliness resigned ；
Another, if I would，I could not find，
And I am grown much older in a day.
But yet I treasure in my memory
Your gift of charity, and young heart's ease,
And the dear honour of your amity ；
For these once mine，my life is rich with these.
And I scarce know which part may greater be，——
What I keep of you，or you rob from me.",西方诗歌,桑塔亚纳《To W. P.》第二首原诗,李敖列出桑塔亚纳《给W. P.》第二首英文原诗。,
LAAQMM-019,爱情的秘密,评改余光中的一首译诗,005.评改余光中的一首译诗.txt,53,79,"我生命的一部已随你而消亡；
因为在我心里那人物的林中，
一棵树飘零于冬日的寒风，
再不能披上它嫩绿的春装。
教堂、炉边、郊路和湾港，
都丧失些许往日的温情；
另一个，就如我愿意，也无法追寻，
在一日之内我白发加长。
但是我仍然在记忆里珍藏
你仁慈的天性、你轻松的童心，
和你那可爱的、可敬的亲祥；
这一些曾属于我，便充实了我的生命。
我不能分辨哪一份较巨——
是我保留住你的，还是你带走我的。",西方诗歌译文,余光中译桑塔亚纳《To W. P.》第二首,李敖引用余光中的中译本以供评改。,
LAAQMM-020,爱情的秘密,评改余光中的一首译诗,005.评改余光中的一首译诗.txt,83,107,"冬风扫叶时节，一树萧条如洗，
绿装已卸，卸在我心里。
我生命的一部分，已消亡
随着你。
教堂、炉边、郊路和港湾，
情味都今非昔比。
虽有余情，也难追寻，
一日之间，我不知老了几许？
你天性的善良、慈爱和轻快，
曾属于我，跟我一起。
我不知道哪一部分多，——
是你带走的我，
还是我留下的你。",西方诗歌译文,李敖改译桑塔亚纳《To W. P.》第二首,李敖改译桑塔亚纳悼友诗。,
LAAQMM-021,爱情的秘密,如影随形,008.如影随形.txt,9,9,对影成三人！,唐诗名句,李白《月下独酌》,李敖自作短诗中化用李白名句。,
LAAQMM-022,爱情的秘密,墓中人语,018.墓中人语.txt,7,33,"Danny Boy
Oh Danny boy, the pipes, the pipes are calling
From glen to glen and down the mountainside
The summer's gone and all the roses are falling
It's you, it's you must go and I, I must bide,
But come ye back when summer is in the meadow
And when the valley is hushed and white with snow
Then I'll be here in sunshine or in shadow
Oh Danny, Danny Boy, oh Danny Boy ,I love you so
But come to me, my Danny, Danny, oh say you love me
If I am dead as dead I well may be
You come and find a place where I'll lie
And kneel and kneel and say, yes, and say an Ave ,an Ave
You，ll find me",民歌歌词,爱尔兰民歌《Danny Boy》原词,李敖引用《Danny Boy》英文歌词。,
LAAQMM-023,爱情的秘密,墓中人语,018.墓中人语.txt,37,71,"哦，Danny Boy，
当风笛呼唤，幽谷成排，
当夏日已尽，玫瑰难怀。
你，你天涯远引，
而我，我在此长埋。
当草原尽夏，
当雪地全白。
任晴空万里，
任四处阴霾。
哦，Danny Boy，
我如此爱你，等你徘徊。
哦，说你爱我，你将前来，
纵逝者如斯，
死者初裁。
谢皇天后土，
在荒坟冢上，
请把我找到，找到，
寻我遗骸。",民歌歌词译文,李敖译爱尔兰民歌《Danny Boy》,李敖译《Danny Boy》的中文歌词。,
LAAQMM-024,爱情的秘密,情律,019.情律.txt,21,21,弱水三千，我只取一瓢饮。,传统成句,传统爱情成句,李敖为自作诗注释时引用的爱情成句。,
LAAQMM-025,爱情的秘密,菩萨写诗,020.菩萨写诗.txt,5,7,"半年学做书呆瓜，未上草山看乌鸦。
不写文章不吵架，偶尔怀念李菩萨。",友人题诗,李筱峰《叙近况致敖之先生》,李敖转录李筱峰贺年片七绝。,仅保留友人原诗；后续李敖答诗含政治讽刺，不收。
LAAQMM-026,爱情的秘密,自赞五首,024.自赞五首.txt,45,45,梓匠轮舆，能与人规矩，不能使人巧。,孟子名句,《孟子》,李敖注释自赞诗时引用孟子名句。,
LAAQMM-027,爱情的秘密,“于人曰浩然，沛乎塞苍冥”,028.“于人曰浩然，沛乎塞苍冥”.txt,1,1,于人曰浩然，沛乎塞苍冥,古典成句,孟子浩然之气语意,篇题化用浩然之气典故。,
LAAQMM-028,爱情的秘密,“于人曰浩然，沛乎塞苍冥”,028.“于人曰浩然，沛乎塞苍冥”.txt,17,33,"天涯怀李敖
傲骨本天生
非能口舌争
有才君佯狂
无势我真怜
击鼓敢骂曹
任性终误萧
浮云遮白日
狱中作长啸",友人诗,居浩然《天涯怀李敖》,李敖转录居浩然遗诗。,
LAAQMM-029,爱情的秘密,“于人曰浩然，沛乎塞苍冥”,028.“于人曰浩然，沛乎塞苍冥”.txt,57,57,渭知兵，好奇计，宗宪擒徐海，诱王直，皆预其谋。藉宗宪势，颇横。及宗宪下狱，渭惧祸，遂发狂，引巨锥剚耳，深数寸，又以椎碎肾囊，皆不死。已，又击杀继妻，论死系狱，里人张元忭力救得免。,古文传记引文,《明史》徐渭传相关文字,李敖谈徐文长时引用《明史》文字。,
LAAQMM-030,爱情的秘密,“于人曰浩然，沛乎塞苍冥”,028.“于人曰浩然，沛乎塞苍冥”.txt,61,61,晚年，愤益深，佯狂益甚；显者至门，或拒不纳。时携钱至酒肆，呼下隶与饮；或自持斧，击破其头，血流被面，头骨皆折，揉之有声；或以利锥锥其两耳，深入寸余，竟不得死。……先生数奇不已，遂为狂疾，狂疾不已，遂为囹圄。古今文人，牢骚困苦，未有若先生者也！,古文传记引文,袁宏道《徐文长传》,李敖谈徐文长时引用袁宏道传文。,
LAAQMM-031,爱情的秘密,万古风骚一羽毛,035.万古风骚一羽毛.txt,3,3,三分割据纡筹策，万古云霄一羽毛。,唐诗名句,杜甫《咏怀古迹》,李敖说明篇题来源时引用杜甫诗句。,
LAAQMM-032,爱情的秘密,万古风骚一羽毛,035.万古风骚一羽毛.txt,3,3,江山代有才人出，各领风骚数百年。,清诗名句,赵翼《论诗》,李敖说明篇题来源时引用赵翼诗句。,
LAAQMM-033,爱情的秘密,万古风骚一羽毛,035.万古风骚一羽毛.txt,5,5,羽扇纶巾，谈笑间，强虏灰飞烟灭,宋词名句,苏轼《念奴娇·赤壁怀古》,李敖借苏轼词句说明从容气度。,
LAAQMM-034,爱情的秘密,万古风骚一羽毛,035.万古风骚一羽毛.txt,9,9,虽世殊事异，所以兴怀，其致一也！,古文名句,王羲之《兰亭集序》,李敖谈照片兴怀时化用《兰亭集序》。,
LAAQMM-035,爱情的秘密,两亿年在你手里,036.两亿年在你手里.txt,55,55,所过者化，所存者神,古典成句,中国古人语,李敖以古人成句说明化石带来的余味。,
LAAQMM-036,爱情的秘密,一片欢喜心，对夜坐着笑,041.一片欢喜心，对夜坐着笑.txt,3,17,"太阳落西方，
晚星在闪耀，
小鸟静还巢，
我也不再叫。
月像一枝花，
高空里清照，
一片欢喜心，
对夜坐着笑。",西方诗歌译文,李敖译布莱克《Night》前二节,李敖先列出布莱克《子夜歌》的中文意译。,
LAAQMM-037,爱情的秘密,一片欢喜心，对夜坐着笑,041.一片欢喜心，对夜坐着笑.txt,19,33,"The sun descending in the west,
The evening star does shine ；
The birds are silent in their nest,
And I must seek for mine.
The moon, like a flower
In heaven's high bower,
With silent delight
Sits and smiles on the night.",西方诗歌,布莱克《Night》原诗前二节,李敖列出布莱克《Night》的英文原诗前二节。,
LAAQMM-038,爱情的秘密,一片欢喜心，对夜坐着笑,041.一片欢喜心，对夜坐着笑.txt,37,37,强说愁,宋词成句,辛弃疾《丑奴儿》语意,李敖谈少年情绪时引用辛弃疾词语。,
