score	file	line	text	context
4	002.《李敖语录》总序（李敖）.txt	5	著作等身	常言道“著作等身”，但和身体一边高的著作，只是多而已矣，未必又多又好，国民党中央宣传部代理部长任卓宣（叶青）就是“著作等身”的一位，但是所写各书，本本是糟粕而已，纵等了半天身，又奈读者何？等而上之，国民党层峰极处，也颇多“全集”、“汇编”问世，究其内容，类多出自文学侍从之手，其去王安石所谓“断烂朝报”者，又几希？
3	002.《李敖语录》总序（李敖）.txt	5	断烂朝报	常言道“著作等身”，但和身体一边高的著作，只是多而已矣，未必又多又好，国民党中央宣传部代理部长任卓宣（叶青）就是“著作等身”的一位，但是所写各书，本本是糟粕而已，纵等了半天身，又奈读者何？等而上之，国民党层峰极处，也颇多“全集”、“汇编”问世，究其内容，类多出自文学侍从之手，其去王安石所谓“断烂朝报”者，又几希？
6	002.《李敖语录》总序（李敖）.txt	7	我的朋友不读我的书	另一方面，“著作等身”又多又好的，当然大有人在。对这些大量的著作，一般人是没有办法全部找到或读完的。结果呢，一般人只震于这些作者的威名、只耳食于这些著作的口味，并不真的读它们。胡适生前有“我的朋友不读我的书”之叹，可见此一窘局，其来有渐也。
4	002.《李敖语录》总序（李敖）.txt	7	著作等身	另一方面，“著作等身”又多又好的，当然大有人在。对这些大量的著作，一般人是没有办法全部找到或读完的。结果呢，一般人只震于这些作者的威名、只耳食于这些著作的口味，并不真的读它们。胡适生前有“我的朋友不读我的书”之叹，可见此一窘局，其来有渐也。
8	003.《李敖语录》编辑手记（应凤凰）.txt	17	五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖	李敖是写作者，是文章大家。中国文字到了他手上，仿佛有什么魔棒在指挥，能自行奏出美丽的乐章，开出鲜艳的花朵。照他自己的说法——“五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖”。从这句惊人之语，读者也顺便看到他狂放高傲的一面。
5	003.《李敖语录》编辑手记（应凤凰）.txt	19	真理所在，绝不饶人	李敖是当代思想家，社会批评家。青年时代，他就出版《为中国思想趋向求答案》一书，并主张全盘西化，引起好大一场论战。他写文章、办杂志，批评对象从执政党高官到文化界名人，文字犀利，有如“小李飞刀”，常命中要害。李敖的信条是“真理所在，绝不饶人”，但是刀刀见血，使人吃不消，因此也树敌无数，四面埋伏。
4	003.《李敖语录》编辑手记（应凤凰）.txt	23	真正第一流的大思想家的工作地点是自己的书房，而不是图书馆。	李敖是大资料家，大藏书家。支持他不停发表文章的，是他拥有一个，不，好几个庞大的资料库。他对于资料及书籍的勤于收集，善于运用，如果他只谦称第二，台湾没有人敢居第一。依他的话：“真正第一流的大思想家的工作地点是自己的书房，而不是图书馆。”为了印行他自己的“麻烦”文章，他只好又身兼出版家——除了每月自写自印一册《李敖千秋评论》丛书，又创办“李敖出版社”，出版一系列...
5	004.自我炼钢.txt	7	虽千万人，吾往矣	在我成长的过程中，我曾花了许多气力来把自己锻炼成钢铁。锻炼的方法，不论是东海圣人的，还是西海圣人的，我都一网兜收，从摸索和试验中，求得安身立命。我这种自我炼钢，是很用心的，我今天能有一些个性、一些独来独往的气魄、一些“虽千万人，吾往矣”的决绝，追溯起来，都跟我早年的刻苦自励有深切关系。（《大学札记前记》1982年）
6	004.自我炼钢.txt	21	胡博士虽然一身有好几种病，但是毕竟是一个意志非常坚强的人，他之能够吃苦耐劳，向为朋友们所最钦佩。	钱思亮说：“胡博士虽然一身有好几种病，但是毕竟是一个意志非常坚强的人，他之能够吃苦耐劳，向为朋友们所最钦佩。”但是胡适的意志是长者化了的，未免缺乏英雄之气，如今我所要求自己的是一种有“英雄之气的意志”。（《大学札记》1957年5月18日）
4	004.自我炼钢.txt	21	英雄之气的意志	钱思亮说：“胡博士虽然一身有好几种病，但是毕竟是一个意志非常坚强的人，他之能够吃苦耐劳，向为朋友们所最钦佩。”但是胡适的意志是长者化了的，未免缺乏英雄之气，如今我所要求自己的是一种有“英雄之气的意志”。（《大学札记》1957年5月18日）
4	004.自我炼钢.txt	31	如果不等着说完全的真理，那么要说话是很容易的。	“默然不语”是一种最伟大的作风，何况事实上的是非恩怨又是一本搞不清的烂帐！泰戈尔说：“如果不等着说完全的真理，那么要说话是很容易的。”在一种公允的总结永不会产生的情况下，我的确是不该再说什么的。（《大学札记》1957年5月18日）
3	004.自我炼钢.txt	39	我们该不要回头望，除非是要从过去错误中提取有用的教训，和为了从经验中获得益处（华盛顿）	事情过去了就总算是过去了，我虽不愿遗忘，但也的确不愿再回想，一切欢乐、眼泪与名分都已逐渐成为往事，既然都成为往事。“我们该不要回头望，除非是要从过去错误中提取有用的教训，和为了从经验中获得益处（华盛顿）”，否则对既往的缅怀与回想都将是我目前的戕贼与毒素，我为自己订了一个严格的标准：凡是对“现在”有害的回想与想像，我都要一律不去想它。（《大学札记》1957年5...
6	004.自我炼钢.txt	43	普通的生活是感觉的生活（life of senses），是属于声色香味的生活，而不是意志的生活（life of Will）。意志的生活是另一种境界，只有特立独行的人才能过得了的。	“普通的生活是感觉的生活（life of senses），是属于声色香味的生活，而不是意志的生活（life of Will）。意志的生活是另一种境界，只有特立独行的人才能过得了的。”过意志的生活虽然辛劳坚苦，但是一天下来，它的果实是最能慰藉人的，最能使人心安梦宁的。“过意志的生活”一句话，鼓励我无穷的道德的勇气，我没有丝毫向后退的犹豫了。（《大学札记》195...
4	004.自我炼钢.txt	43	过意志的生活	“普通的生活是感觉的生活（life of senses），是属于声色香味的生活，而不是意志的生活（life of Will）。意志的生活是另一种境界，只有特立独行的人才能过得了的。”过意志的生活虽然辛劳坚苦，但是一天下来，它的果实是最能慰藉人的，最能使人心安梦宁的。“过意志的生活”一句话，鼓励我无穷的道德的勇气，我没有丝毫向后退的犹豫了。（《大学札记》195...
7	004.自我炼钢.txt	47	放弃故我，重修学立身。	我正展开一个律己极严的严肃生活，“放弃故我，重修学立身。”在各方面我都严格的要求我自己，非逼迫我“止于至善”不罢休，照我最近的突飞猛进看来，“止于至善”对于我似乎已不是难事，因为“道德的勇气”（moral courage）已在极短的时间内占据了我的心。“Arise；for this matter belongeth unto thre；we also wil...
6	004.自我炼钢.txt	47	Arise；for this matter belongeth unto thre；we also will be with thee：be of good courage，and do it.	我正展开一个律己极严的严肃生活，“放弃故我，重修学立身。”在各方面我都严格的要求我自己，非逼迫我“止于至善”不罢休，照我最近的突飞猛进看来，“止于至善”对于我似乎已不是难事，因为“道德的勇气”（moral courage）已在极短的时间内占据了我的心。“Arise；for this matter belongeth unto thre；we also wil...
4	004.自我炼钢.txt	47	止于至善	我正展开一个律己极严的严肃生活，“放弃故我，重修学立身。”在各方面我都严格的要求我自己，非逼迫我“止于至善”不罢休，照我最近的突飞猛进看来，“止于至善”对于我似乎已不是难事，因为“道德的勇气”（moral courage）已在极短的时间内占据了我的心。“Arise；for this matter belongeth unto thre；we also wil...
