score	file	line	text	context
3	《求是新语》目录.txt	33	何其声之似我也！	027.“何其声之似我也！”
6	《求是新语》目录.txt	67	胡适是谁？	061.“胡适是谁？”
5	《求是新语》目录.txt	80	只会筑桥，不会玩桥	074.“只会筑桥，不会玩桥”
5	《求是新语》目录.txt	127	一脸横肉、扑人而来	118.“一脸横肉、扑人而来”的男女
3	《求是新语》目录.txt	183	政治黑名单取消了吗？	171.“政治黑名单取消了吗？”
5	《求是新语》自序.txt	5	尔为尔，我为我	《世界论坛报》是一家低格调的烂报，只因全台湾只有这一家报的发行人愿意邀我写专栏并保障我一字不改的言论自由，所以我也就以“尔为尔，我为我”的划清界限，撒起野来了。最后发行人吃不消，大家闹翻也、绝交也，自是意料中事。如今回想，了无遗憾，但恨没有第二家烂报烂眼识人耳！
4	《求是新语》自序.txt	15	吾道一以贯之	我盼有兴趣的读者，能够连同《世论新语》一书，跟此书合看，才能得到好戏连台之乐或歹戏拖棚之苦，子曰“吾道一以贯之”，不论是苦是乐，子在其中矣！
4	001.钟曜唐的国文程度.txt	5	读了这段妙文，读者必须当心笑死——尤其千万请勿‘自行意外笑死’为幸。	钟曜唐除了发生做人的故障以外，我看他的作文，也发生了故障。难友李世杰11月1日写信给我说：“刚刚看到早报，前高雄县长余登发命案，已经‘结’掉了。高雄地检处首席检察官钟曜唐表示：检方对余登发命案是以‘平常心’处理，……余登发是‘自行意外摔跌……’死亡的。”李世杰说：“读了这段妙文，读者必须当心笑死——尤其千万请勿‘自行意外笑死’为幸。”
3	001.钟曜唐的国文程度.txt	5	刚刚看到早报，前高雄县长余登发命案，已经‘结’掉了。高雄地检处首席检察官钟曜唐表示：检方对余登发命案是以‘平常心’处理，……余登发是‘自行意外摔跌……’死亡的。	钟曜唐除了发生做人的故障以外，我看他的作文，也发生了故障。难友李世杰11月1日写信给我说：“刚刚看到早报，前高雄县长余登发命案，已经‘结’掉了。高雄地检处首席检察官钟曜唐表示：检方对余登发命案是以‘平常心’处理，……余登发是‘自行意外摔跌……’死亡的。”李世杰说：“读了这段妙文，读者必须当心笑死——尤其千万请勿‘自行意外笑死’为幸。”
4	001.钟曜唐的国文程度.txt	7	‘自行’是‘自’己立意决定而后‘行’之，是有自主意思表现的行为。	李世杰进一步说：“‘自行’是‘自’己立意决定而后‘行’之，是有自主意思表现的行为。”照钟曜唐的国文程度，“可不就等于是说，余登发他老先生是不想活了，乃自己决定要‘意外摔跌’一下以求‘死亡’的，夫既‘自行’，怎又‘意外’？说‘意外’，又怎会是‘自行’的呢？”
3	001.钟曜唐的国文程度.txt	7	可不就等于是说，余登发他老先生是不想活了，乃自己决定要‘意外摔跌’一下以求‘死亡’的，夫既‘自行’，怎又‘意外’？说‘意外’，又怎会是‘自行’的呢？	李世杰进一步说：“‘自行’是‘自’己立意决定而后‘行’之，是有自主意思表现的行为。”照钟曜唐的国文程度，“可不就等于是说，余登发他老先生是不想活了，乃自己决定要‘意外摔跌’一下以求‘死亡’的，夫既‘自行’，怎又‘意外’？说‘意外’，又怎会是‘自行’的呢？”
4	001.钟曜唐的国文程度.txt	9	自行失足落水而死	李世杰回忆，五十多年前，国民党军警在南京干请愿学生，事后发言说，许多学生乃“自行失足落水而死”，鲁迅有文奚落之。我想，钟曜唐自非五十年前军警的子孙，但其自行有此慧根、自行发为妙论，则属无独有偶也。感而记之，以告天下国文老师，请自行打自己三个嘴巴子。
3	002.奴才教育与浑蛋教育.txt	7	台湾共和国基本法草案	由于混蛋教育的成功，人们居然忘了自己应该面对的现实与真相，而要不断异想天开、一厢情愿。国民党昧于“台独分子”的存在，自以为长治久安；“台独分子”昧于中共的虎视眈眈，自以为斯台可独。这种不知今夕何夕、身处何地的混蛋性格，真被全世界有识之士窃笑、也被中共窃笑。但国民党和“台独分子”居然在台湾还洋洋自得，这边搞“中华民国宪法”自渎，那边搞“台湾共和国基本法草案”手...
3	003.台湾哪有大事！.txt	3	你呀，要有见识一点！台湾哪有大事可谈？台湾有的，都是屁事小事，不谈这些，没得可谈了。你可以转告我的话给这种林正杰水准的读者，叫他好好想想吧。读了我这么久的文章，这种人头脑还这么浑，他应该惭愧！	老友段宏俊打电话来，说有读者抗议，埋怨李敖的文章谈了许多小人物的小事。我告诉段宏俊：“你呀，要有见识一点！台湾哪有大事可谈？台湾有的，都是屁事小事，不谈这些，没得可谈了。你可以转告我的话给这种林正杰水准的读者，叫他好好想想吧。读了我这么久的文章，这种人头脑还这么浑，他应该惭愧！”
7	004.孙中山的二不.txt	3	国父伟大，不用私人、不报私仇。……	我早上起来，同时做三件事：早餐、看报、顺便听华视晨间节目。三件事，都在三十分钟以内完成。十一月九日听华视报导，说“国父伟大，不用私人、不报私仇。……”云云，这就是武夫武士嵩的胡说八道！
