decision	id	source_file	line_range	category	risk_in_quote	quote_text	reason
keep	LAGMG-001	001.无闻之美.txt	5-5	李敖处世短语	no	无闻之美	以不问结果的态度概括洒脱之美。
keep	LAGMG-002	001.无闻之美.txt	5-5	李敖处世格言	no	不可为的事不可悬念它，不再过问它最好。	劝朋友摆脱不可为之事的悬念。
keep	LAGMG-003	002.“我自成佛不读经”.txt	7-13	友人诗	no	长安城外赋折柳，\n征西道上马蹄轻，\n行侠何须仗名剑？\n我自成佛不读经。	信中录出新汉和马戈的送别诗。
keep	LAGMG-004	002.“我自成佛不读经”.txt	19-21	李敖英文墓志铭	no	If I die, the epitaph would be：\nHere he lies, with the sneer to other and, the pride of himself.	李敖自拟英文墓志铭。
keep	LAGMG-005	006.活页日记.txt	15-15	李敖写作短语	no	第一手的，最原始的，也是最好的“活页日记”	把往来书信称作最原始的一手活页日记。
keep	LAGMG-006	006.活页日记.txt	39-41	李敖对联	no	秦琼难卖马\n苏武不牧羊	以秦琼、苏武典故写成的鼓励对联。
keep	LAGMG-007	006.活页日记.txt	47-47	古文名句	no	微之微之，知我心哉！	孤寂中诵元九文句。
keep	LAGMG-008	006.活页日记.txt	49-49	俗谚	no	光阴如箭，日月如梭	感叹时间流逝的成语化俗语。
keep	LAGMG-009	008.提倡狠心肠.txt	5-5	李敖人生格言	no	坚强比什么都重要	以坚强压过感情负担的断语。
keep	LAGMG-010	009.爱情牢骚.txt	15-15	古典名句	no	吾与其富贵而诎于人，宁贫贱而轻世肆志焉！	信中引用鲁仲连不屈于人的名句。
keep	LAGMG-011	009.爱情牢骚.txt	17-17	李敖改写格言	no	吾与其恋爱而诎于人，宁光杆而轻世肆志焉！	把鲁仲连名句改写为爱情尊严断语。
keep	LAGMG-012	009.爱情牢骚.txt	31-33	李敖爱情格言	no	她与我能容许我多少浪漫，\n我便浪漫多少！	以浪漫的容许度概括自己的恋爱观。
keep	LAGMG-013	010.有耳无膜.txt	5-5	电影台词译句	no	他样子像神父，行为却不像。	信中套用电影里的俏皮话。
keep	LAGMG-014	010.有耳无膜.txt	9-11	唐诗句	no	知音如不赏\n归卧故山秋	信中引用贾岛诗句自嘲无人赏识歌声。
keep	LAGMG-015	010.有耳无膜.txt	15-15	电影台词译句	no	我们才是真人，他们只是影子。	信中称赞电影中的影子双关句。
keep	LAGMG-016	011.赫本欠资.txt	11-11	古典诗句	no	弱女虽非男，慰情聊胜无。	信中借陶渊明诗句调侃赫本照片。
keep	LAGMG-017	012.十字街头筑隐居.txt	13-13	老子名句	no	夫唯不争，故天下莫能与之争。	信中以老子名句说明不争风度。
