score	file	line	text	reasons	context
13	003.第二部——1961（黄花岗50年后）.txt	911	他是专写‘民族救星’毛笔字歌颂‘中华民国’总统的遗老，书法一流、骨头末等，这算遗老吗？	known-pattern,literary-context,punctuated,chinese-compact,political-context	“他是专写‘民族救星’毛笔字歌颂‘中华民国’总统的遗老，书法一流、骨头末等，这算遗老吗？”
13	003.第二部——1961（黄花岗50年后）.txt	947	别管什么莫纪彭、彭纪莫了吧，别研究这个索隐了吧，什么都不必再知道啦，只知道又一副对联要送给‘党史会’了吧！	known-pattern,literary-context,punctuated,chinese-compact,political-context	“别管什么莫纪彭、彭纪莫了吧，别研究这个索隐了吧，什么都不必再知道啦，只知道又一副对联要送给‘党史会’了吧！”
13	004.第三部——1963（黄花岗52年后）.txt	705	三扁不如一圆，肏屁股等于过年	known-pattern,literary-context,punctuated,chinese-compact,political-context	男色问题也有所闻，“筒屁股”（鸡奸）一词且成日常用语。下山打靶，第六连偷走我们的机枪靶，我越河索回，他们一个排长老羞成怒，破口大骂：“筒你们第四连的屁股！”我的排附是老士官，挺身和他理论，我笑着说：“第四连的屁股这么多，你筒不完。”大家大笑。军中有好男色的军官士官，阿兵哥就大倒其霉。第五连一个军官最好此道：理论是“三扁不如一圆，肏屁股等于过年”。“扁”者指女人生殖器、“圆」”者指男人屁眼也。有一次他向我抱怨：“以前步兵排两个传令兵，现在只有一个了。”我打趣他说：“屁股不够用了。”
13	005.第四部——1982（黄花岗71年后）.txt	79	暮投石壕村，有吏夜捉人	known-pattern,literary-context,punctuated,chinese-compact,political-context	唐诗里写古代拉夫的情形，写“暮投石壕村，有吏夜捉人”的凄惨，其实一千年后，还在中国变本加厉的重演着。据红十字会会长的调查，在贵阳的一个壮丁收容所里，就有这样的惨象：
13	006.第五部——2002（黄花岗91年后）.txt	21	佩虎符、坐皋比	known-pattern,literary-context,punctuated,chinese-compact,political-context	首先给人的印象是，这真是一座神秘的坟！它四边以巨石为垒，中间又以巨石凸堆成半个圆球，砌成主坟，看来结实无比，不像个坟，倒像个碉堡。坟前有一矮碑，上刻“陈公退素之墓”六个大字，书法隶中带颜，亦少俗气。报上说这块墓地风水上属于“蛇穴”，蛇头是当地陈姓家族祖先合葬的地方，陈仪之墓则位于蛇腹的部位。风水师强调，人站立时以双腿最有力，躺下时则是呼吸系统最旺盛，而蛇以腹爬行，虽不若蛇头综观全局，但其气息却是绵延流长、有利子孙。又说墓地刚好占住“财位”，加上刻意避开蛇头肃杀的霸气，应属“调珠宝”的格局，有利子孙“坐拥财富”。这些风水鬼话，林光烈完全不信。林光烈从陈仪墓上，遥望观音山主峰、遥望公墓的天坛顶式纳骨塔，别有所思。陈仪一生清廉，他在台湾做“总督”时，他的日本贵族出身的太太，每天要提菜篮亲去市场买菜。他们膝下无儿女，只过继了哥哥的一个女儿。妻女后来都留在大陆，穷困不堪。他的日本太太甚至要出售陈仪的上将军装，以换温饱，后为中共当局得知，酌予救济。以这样空前绝后的遭遇，还说有利子孙“坐拥财富”，妖妄之言，真是滑稽。在坟旁边，林光烈遥想墓中人当年的叱咤风云、遥想他的正气霸气、遥想他的敢做敢当、遥想他的舍生取义、遥想他的视死如归……觉得他真...
12	001.楔子——1911（黄花岗）.txt	21	丢老妈！这些死革命党！年纪轻轻的，革什么命？革命就是丢老妈造反啊，造反就得杀头啊！杀得老子累死了，一个又一个、一个又一个，要杀这么多头啊，溅得一身都是血，这些死革命党真不怕死啊，砍了一辈子人头，多少江洋大盗、绿林好汉，有的临砍头前就懦了、就软了、就脸白了、就腿抖了，可是这些死革命党啊，一个又一个、一个又一个，没有一个懦的，怎么回事啊，丢老妈！	known-pattern,literary-context,punctuated,political-context	“丢老妈！这些死革命党！年纪轻轻的，革什么命？革命就是丢老妈造反啊，造反就得杀头啊！杀得老子累死了，一个又一个、一个又一个，要杀这么多头啊，溅得一身都是血，这些死革命党真不怕死啊，砍了一辈子人头，多少江洋大盗、绿林好汉，有的临砍头前就懦了、就软了、就脸白了、就腿抖了，可是这些死革命党啊，一个又一个、一个又一个，没有一个懦的，怎么回事啊，丢老妈！”
12	002.第一部——1949（黄花岗38年后）.txt	57	‘缔造民国七十二烈士纪功坊’、‘缔造民国七十二烈士纪功坊’，他们的功，是可以纪的，但是，‘中华民国’呢？今天我来了，‘中华民国’就亡在眼前，他们虽死犹生、我虽生犹死，‘中华民国’、‘中华民国’，是我向他们讨呢？还是他们向我讨呢？他们地下有知，应会知道，他们给不出来‘中华民国’了吧？	known-pattern,literary-context,punctuated,political-context	大官人一直抬头看着这行横表，口中念念有词：“‘缔造民国七十二烈士纪功坊’、‘缔造民国七十二烈士纪功坊’，他们的功，是可以纪的，但是，‘中华民国’呢？今天我来了，‘中华民国’就亡在眼前，他们虽死犹生、我虽生犹死，‘中华民国’、‘中华民国’，是我向他们讨呢？还是他们向我讨呢？他们地下有知，应会知道，他们给不出来‘中华民国’了吧？”
12	002.第一部——1949（黄花岗38年后）.txt	293	那只是名词的大同小异，是革命、是起义、是造反、是犯上，都相通的。	known-pattern,literary-context,punctuated,political-context	“那只是名词的大同小异，是革命、是起义、是造反、是犯上，都相通的。”
12	003.第二部——1961（黄花岗50年后）.txt	255	‘时有落花随我行’、‘时有落花随我行’。	known-pattern,literary-context,punctuated,political-context	“‘时有落花随我行’、‘时有落花随我行’。”老先生兴奋说着，“多么洒脱！多么诗意！这就是你大伯父，他跟我同岁，三二九那年春天，他正生病，就写下这七个字。病还没好，就收到黄克强他们的信，说要在广州起义，他立刻约了林觉民和我等一起赶到香港，我记得很清楚，离日本那天是阳历3月3日，距阴历三月二十九起义，也就是阳历4月27日，相隔四十五天，四十五天中，我们先在香港准备了四十一天，最后四天混进广州。最后起义时候，因为黄克强另调我做第三选锋队长，所以我没参加攻打督署这一队，结果，你大伯父头部中弹，当场死了；林觉民被捕后，砍头了，死伤惨重。记得你大伯父说过，过去革命，前面死的多是乡下人、是‘乡氓’，我们读书人反倒在后面，这回一定要走在前面，要死也死在前面，死给他们看。这回他真做到了，他当场打到广州东辕门，正好碰到李准的先锋队，你大伯父听说先锋队中有同志卧底，倾向革命，就一马当先，向先锋队招手，高喊，我们都是汉人，应该同心协力杀异族，汉人不要自相残杀。话没喊完，脑部就中弹了，黄克强词里说‘血肉纷飞、气直吞狂虏’，看来就是特指你大伯父的。好可惜啊，二十五岁，就那样牺牲了。我后来想，也许当天喊话的不是他而是我，效果可能不一样，因为李准的先锋队是...
12	003.第二部——1961（黄花岗50年后）.txt	873	弄拧了，可别那么说。革命先烈既有赤血史诗、又有红颜故事，也不错啊。	known-pattern,literary-context,punctuated,political-context	“弄拧了，可别那么说。革命先烈既有赤血史诗、又有红颜故事，也不错啊。”
