id	source_file	line_start	line_end	present	political_hits	quote_text
LALDJJG-001	《论定蒋经国》前言（李敖）.txt	7	7	yes		富贵不能淫、贫贱不能移、威武不能屈
LALDJJG-002	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	yes		六帝园林堕劫灰，独余静谷葬崔嵬，行人指点云间鹤，唤得齐梁一梦回。
LALDJJG-003	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	yes		贫僧塔坏，陛下社稷随坏。
LALDJJG-004	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	17	17	yes		一介有能，片言可用，朕亲加听览
LALDJJG-005	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		国君死社稷，朕将安往？
LALDJJG-006	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		因失江山，无面目见祖宗于天上，不敢终于正寝
LALDJJG-007	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	yes		自去冠冕，以发覆面
LALDJJG-008	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	29	29	yes		乐不思蜀
LALDJJG-009	002.论定蒋经国（李敖）.txt	17	17	yes		看人只看后半截。
LALDJJG-010	002.论定蒋经国（李敖）.txt	17	17	yes		声妓晚景从良，一世之烟花无碍；贞妇白头失守，半生之清苦俱非。
LALDJJG-011	002.论定蒋经国（李敖）.txt	19	19	yes		朕即位以来，所为狂悖，使天下愁苦，不可追悔，自今事有伤害百姓、靡费天下者，悉罢之！
LALDJJG-012	002.论定蒋经国（李敖）.txt	23	23	yes		无智，故能使众智也；无能，故能使众能也；无为，故能使众为也。
LALDJJG-013	002.论定蒋经国（李敖）.txt	23	23	yes		重为惠，若重为暴
LALDJJG-014	003.蒋经国与故乡（毛炳岳）.txt	17	17	yes		读书总以烂熟为度
LALDJJG-015	004.蒋经国的本生母——“毛太君”（龙中天）.txt	9	9	yes		身体发肤，受之父母，不敢毁伤，孝之始也；立身行道，扬名于后世，以显父母，孝之终也！
LALDJJG-016	004.蒋经国的本生母——“毛太君”（龙中天）.txt	21	21	yes		清明在躬，仪矩咸宜
LALDJJG-017	004.蒋经国的本生母——“毛太君”（龙中天）.txt	29	29	yes		昏定晨省
LALDJJG-018	004.蒋经国的本生母——“毛太君”（龙中天）.txt	29	29	yes		有其父者，必有其子
LALDJJG-019	004.蒋经国的本生母——“毛太君”（龙中天）.txt	35	35	yes		临难不苟免
LALDJJG-020	004.蒋经国的本生母——“毛太君”（龙中天）.txt	89	89	yes		不但可以暖我身，而更可以温我心
LALDJJG-021	004.蒋经国的本生母——“毛太君”（龙中天）.txt	91	91	yes		慈母手中线，游子身上衣
LALDJJG-022	004.蒋经国的本生母——“毛太君”（龙中天）.txt	105	105	yes		大丈夫三父八母
LALDJJG-023	004.蒋经国的本生母——“毛太君”（龙中天）.txt	105	105	yes		父母天地
LALDJJG-024	007.我所认识的蒋经国（覃异之）.txt	21	21	yes		除暴安良
LALDJJG-025	007.我所认识的蒋经国（覃异之）.txt	21	21	yes		敬老尊贤
LALDJJG-026	009.蒋经国在赣南（胡越一）.txt	15	15	yes		谁能用人，谁就成功
LALDJJG-027	009.蒋经国在赣南（胡越一）.txt	15	15	yes		要成就伟大事业，第一要有能干的人，第二要有能干的人，第三还是要有能干的人
LALDJJG-028	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		当官不与民作主，不如回家卖红薯。
LALDJJG-029	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		暮宿石壕村，有吏夜捉人
LALDJJG-030	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		昔日石壕吏捉人，尚获老妇。今日之赣南，虽老妇亦戛戛乎其难矣！
LALDJJG-031	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		爱民如子
LALDJJG-032	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		不在其位，不谋其政
LALDJJG-033	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		明察秋毫
LALDJJG-034	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		秦镜高悬
LALDJJG-035	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		朝不保夕
LALDJJG-036	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		各霸一方
LALDJJG-037	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		尾大不掉
LALDJJG-038	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		占山为王
LALDJJG-039	015.关于青年军的回忆（黄维）.txt	7	7	yes		投笔从戎
LALDJJG-040	016.我任青年军政工督导员的经历（吕振寰）.txt	83	83	yes		人地不宜
LALDJJG-041	016.我任青年军政工督导员的经历（吕振寰）.txt	85	85	yes		急流勇退
LALDJJG-042	016.我任青年军政工督导员的经历（吕振寰）.txt	85	85	yes		收回成命
LALDJJG-043	016.我任青年军政工督导员的经历（吕振寰）.txt	87	87	yes		安身立命
LALDJJG-044	019.蒋经国出掌政大风波（天龙）.txt	31	31	yes		失之东隅，收之桑榆
LALDJJG-045	023.蒋经国的小组织“燕廉”的活动（屈凌汉）.txt	13	13	yes		五子登科
LALDJJG-046	025.上海金圆券案之一幕（周一志）.txt	5	5	yes		铁面无私
LALDJJG-047	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	9	9	yes		驷不及舌
LALDJJG-048	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	17	17	yes		晴天霹雳
LALDJJG-049	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	17	17	yes		丈二和尚摸不着头脑
LALDJJG-050	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	19	19	yes		和盘托出
LALDJJG-051	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	27	27	yes		无稽之谈
LALDJJG-052	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	39	39	yes		为所欲为
LALDJJG-053	028.蒋经国的情妇吴惊鸿（郑经）.txt	21	21	yes		用高射炮打蚊子
LALDJJG-054	028.蒋经国的情妇吴惊鸿（郑经）.txt	29	29	yes		但愿生女不生男
LALDJJG-055	029.蒋经国用人“天威难测”（赵达中）.txt	27	27	yes		功高震主
LALDJJG-056	029.蒋经国用人“天威难测”（赵达中）.txt	33	33	yes		乔太守乱点鸳鸯谱
LALDJJG-057	029.蒋经国用人“天威难测”（赵达中）.txt	37	37	yes		朝秦暮楚
LALDJJG-058	029.蒋经国用人“天威难测”（赵达中）.txt	43	43	yes		一而再，再而三
LALDJJG-059	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		六宫粉黛无颜色
LALDJJG-060	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		明日巴陵道，秋山又几重
LALDJJG-061	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		人在江湖，身不由己
LALDJJG-062	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		赵孟能贵之，亦能贱之
LALDJJG-063	029.蒋经国用人“天威难测”（赵达中）.txt	47	47	yes		赏赐的是耶和华，收回的也是祂，耶和华的名是值得称颂的
LALDJJG-064	029.蒋经国用人“天威难测”（赵达中）.txt	53	53	yes		不求有功，但求无过
LALDJJG-065	032.略谈蒋经国（陈左弧）.txt	9	9	yes		孤掌难鸣
LALDJJG-066	032.略谈蒋经国（陈左弧）.txt	9	9	yes		众擎易举
LALDJJG-067	032.略谈蒋经国（陈左弧）.txt	11	11	yes		黄老之术
LALDJJG-068	032.略谈蒋经国（陈左弧）.txt	11	11	yes		无为而治
LALDJJG-069	032.略谈蒋经国（陈左弧）.txt	11	11	yes		醉翁之意不在酒
LALDJJG-070	032.略谈蒋经国（陈左弧）.txt	21	21	yes		百足之虫，死而不僵
LALDJJG-071	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		代死者祷告
LALDJJG-072	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		蒙主宠召
LALDJJG-073	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，你可以不讲话，但不可以讲他坏话
LALDJJG-074	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，一切就都算了、被饶恕了
LALDJJG-075	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，只能讲他的好话
LALDJJG-076	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		万世流芳
LALDJJG-077	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		大贤涉世也，翔而有集，色斯而举。乱君之患，不累其身，危国之祸，不及其家，安得逢其祸而死其患乎？
LALDJJG-078	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		里有殡，不巷歌！
LALDJJG-079	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		危国之祸，不及其家。
LALDJJG-080	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		宗庙有灵存社稷，英宗无意杀先生。
LALDJJG-081	035.为蒋经国先生遗族祈祷（李世杰）.txt	13	13	yes		廿年三字冤沉海，一别千秋恨怎平！
