file	line	text	context
《世论新语》自序.txt	7	学行继程朱之后，文章在韩欧之间	我这些话，并非狂言。唐宋八大家的文章，在比较务实的清朝文章家眼中，实在漏洞百出。清朝的方苞少有文名，并以此自矜，后来到了北京，见到万斯同，万斯同跟他说，你整天迷恋古文，其实唐宋八大家中，除了韩愈文章中稍通圣贤之道外，其余七家，作了一辈子的文章，所说多空洞无裨实际。方苞经这一点醒，改治经学，以“学行继程朱之后，文章在韩欧之间”自期。他是桐城派开山祖师，桐城派作文标榜“义法”。“义”是“言有物”，“法”是“言有序”，立意固佳，可是他们的才具却跟不上。他们在义上虽然不像宋朝人明朝人那样空疏无学，但在思想上还是难脱中国道统乃至宋明理学的樊笼，则其“义”也，也就无足观；至于“法”上，更是放不开，从佛经的禅语、到语录的口语；从骈文的俳语、到诗歌的集语……在在都是他们严防之列。结果文章选出来、写出来，谨严有余、变化不足；规格林立、雄奇独缺。论思想，不能超迈古人；论文字，且在古人之下。桐城派在作文上下了那么大的功夫，结果空忙了一场，更使中文头巾...
《世论新语》自序.txt	7	义法	我这些话，并非狂言。唐宋八大家的文章，在比较务实的清朝文章家眼中，实在漏洞百出。清朝的方苞少有文名，并以此自矜，后来到了北京，见到万斯同，万斯同跟他说，你整天迷恋古文，其实唐宋八大家中，除了韩愈文章中稍通圣贤之道外，其余七家，作了一辈子的文章，所说多空洞无裨实际。方苞经这一点醒，改治经学，以“学行继程朱之后，文章在韩欧之间”自期。他是桐城派开山祖师，桐城派作文标榜“义法”。“义”是“言有物”，“法”是“言有序”，立意固佳，可是他们的才具却跟不上。他们在义上虽然不像宋朝人明朝人那样空疏无学，但在思想上还是难脱中国道统乃至宋明理学的樊笼，则其“义”也，也就无足观；至于“法”上，更是放不开，从佛经的禅语、到语录的口语；从骈文的俳语、到诗歌的集语……在在都是他们严防之列。结果文章选出来、写出来，谨严有余、变化不足；规格林立、雄奇独缺。论思想，不能超迈古人；论文字，且在古人之下。桐城派在作文上下了那么大的功夫，结果空忙了一场，更使中文头巾...
《世论新语》自序.txt	7	言有物	我这些话，并非狂言。唐宋八大家的文章，在比较务实的清朝文章家眼中，实在漏洞百出。清朝的方苞少有文名，并以此自矜，后来到了北京，见到万斯同，万斯同跟他说，你整天迷恋古文，其实唐宋八大家中，除了韩愈文章中稍通圣贤之道外，其余七家，作了一辈子的文章，所说多空洞无裨实际。方苞经这一点醒，改治经学，以“学行继程朱之后，文章在韩欧之间”自期。他是桐城派开山祖师，桐城派作文标榜“义法”。“义”是“言有物”，“法”是“言有序”，立意固佳，可是他们的才具却跟不上。他们在义上虽然不像宋朝人明朝人那样空疏无学，但在思想上还是难脱中国道统乃至宋明理学的樊笼，则其“义”也，也就无足观；至于“法”上，更是放不开，从佛经的禅语、到语录的口语；从骈文的俳语、到诗歌的集语……在在都是他们严防之列。结果文章选出来、写出来，谨严有余、变化不足；规格林立、雄奇独缺。论思想，不能超迈古人；论文字，且在古人之下。桐城派在作文上下了那么大的功夫，结果空忙了一场，更使中文头巾...
《世论新语》自序.txt	7	言有序	我这些话，并非狂言。唐宋八大家的文章，在比较务实的清朝文章家眼中，实在漏洞百出。清朝的方苞少有文名，并以此自矜，后来到了北京，见到万斯同，万斯同跟他说，你整天迷恋古文，其实唐宋八大家中，除了韩愈文章中稍通圣贤之道外，其余七家，作了一辈子的文章，所说多空洞无裨实际。方苞经这一点醒，改治经学，以“学行继程朱之后，文章在韩欧之间”自期。他是桐城派开山祖师，桐城派作文标榜“义法”。“义”是“言有物”，“法”是“言有序”，立意固佳，可是他们的才具却跟不上。他们在义上虽然不像宋朝人明朝人那样空疏无学，但在思想上还是难脱中国道统乃至宋明理学的樊笼，则其“义”也，也就无足观；至于“法”上，更是放不开，从佛经的禅语、到语录的口语；从骈文的俳语、到诗歌的集语……在在都是他们严防之列。结果文章选出来、写出来，谨严有余、变化不足；规格林立、雄奇独缺。论思想，不能超迈古人；论文字，且在古人之下。桐城派在作文上下了那么大的功夫，结果空忙了一场，更使中文头巾...
《世论新语》自序.txt	9	夙不喜桐城派古文；幼年为文，学晚汉、魏、晋，颇尚矜炼。至是（办《新民丛报》）自解放，务为平易畅达，时杂以俚语、韵语及外国语法；纵笔所至不检束。学者竞效之，号新文体。老辈则痛恨，诋为野狐。然其文条理明晰，笔锋常带情感，对于读者，别有一种魔力焉。	中文的最后解放，在文言文方面是由梁启超总其成的。梁启超自谓：“夙不喜桐城派古文；幼年为文，学晚汉、魏、晋，颇尚矜炼。至是（办《新民丛报》）自解放，务为平易畅达，时杂以俚语、韵语及外国语法；纵笔所至不检束。学者竞效之，号新文体。老辈则痛恨，诋为野狐。然其文条理明晰，笔锋常带情感，对于读者，别有一种魔力焉。”
《世论新语》自序.txt	11	诈尸	梁启超虽然把文言文写活了，但文言文究竟是一种死文字，再活也是“诈尸”“赶尸”式的活法。到了文学革命出来，终由白话文代领风骚，自此中文正宗，自文言转为白话。白话文当行，大家都写白话文了。
《世论新语》自序.txt	11	赶尸	梁启超虽然把文言文写活了，但文言文究竟是一种死文字，再活也是“诈尸”“赶尸”式的活法。到了文学革命出来，终由白话文代领风骚，自此中文正宗，自文言转为白话。白话文当行，大家都写白话文了。
001.新专栏——疯老虎出场.txt	3	我们已经无处后退，只有勇敢向前。	二十五年老友段宏俊，独力办报，转眼一年；拉我写专栏，也转眼一年。一年来，我骂人无算，把他辛苦建立的公共关系，破坏无遗。目前段宏俊的处境，已被我害得正如四十年前《保卫大台湾》歌词的一句：“我们已经无处后退，只有勇敢向前。”于是，他又力排众议，拉我再加一个专栏。
001.新专栏——疯老虎出场.txt	5	遥知天上桂华孤，为问嫦娥更要无？月宫幸有闲田地，何不中央种两株？	日前我们的老友黄三回来，吃饭时三人谈笑：当年沈常福马戏团，全团只有一只老虎，但是虎虎生风。如今老段的报纸，其实也只有李敖一只老虎，并且还是疯的。既然一山不容二虎，只好一虎化为两条，以《世论新语》与《李敖论坛》两个专栏，虎虎生“疯”。白居易《桂华曲》说：“遥知天上桂华孤，为问嫦娥更要无？月宫幸有闲田地，何不中央种两株？”如今老段不怕嫦娥被疯老虎吃到肚里，乾纲独断，我看也快疯啦！
005.还是出击自己吧！.txt	3	中国人权协会	所谓“中国人权协会”，将在8月20日组团前往北京。由于中共反对用“中国人权协会”名义，这个团就改称“台湾教授大陆访问团”，团员包括柴松林、雷飞龙、李伸一、傅昆成、丁庭宇、高崇云、彭芸等教授，由于这个会是半官方团体，这些教授是国民党或国民党同路人，这些货色能够“赴大陆调查狱政”，查出多少客观的真相，也就可想而知矣！
