id	source_file	line_start	line_end	present	political_hits	quote_text
LALDHTF-001	《李登辉的真面目》引言.txt	7	7	yes		俟后世圣人君子。
LALDHTF-002	002.“李登辉并无共党背景”吗？.txt	21	21	yes		女为君子儒，勿为小人儒
LALDHTF-003	004.李登辉的屁股功夫.txt	7	7	yes		非有材能，但以婉媚贵幸，与上卧起
LALDHTF-004	004.李登辉的屁股功夫.txt	9	9	yes		然进不繇道，位过其任，莫能有终，所谓爱之适足以害之者也！
LALDHTF-005	004.李登辉的屁股功夫.txt	9	9	yes		柔曼之倾意，非独女德，盖亦有男色焉。
LALDHTF-006	005.还有另一个李登辉么？.txt	27	27	yes		上穷碧落下黄泉，动手动脚找资料
LALDHTF-007	007.李登辉的亡国动作.txt	15	15	yes		风恬浪静可行船，恰是中秋月一轮，凡事不须多忧虑，福禄自有庆家门。
LALDHTF-008	008.李登辉无人君之风.txt	3	3	yes		魏王雅望非常。然床头捉刀人，此乃英雄也！
LALDHTF-009	009.李登辉被罚跪考.txt	5	5	yes		古人之坐者，两膝着地因反其跖而坐于其上，正如今之胡跪者。……疑跪有危义，故两膝着地，伸腰及股而势危者为跪；两膝着地，以尻着跖而稍安者为坐也。
LALDHTF-010	009.李登辉被罚跪考.txt	7	7	yes		坐地皆席地，两膝据地，伸腰危坐而以足承尻后
LALDHTF-011	009.李登辉被罚跪考.txt	15	15	yes		立毋跛、坐毋箕、寝毋伏
LALDHTF-012	011.李登辉杀郭士沅？.txt	19	19	yes		为善若升，为恶若崩
LALDHTF-013	012.嘴巴不歪的李登辉.txt	9	9	yes		私事不与人计较，公事则必力争；就事论事，既不迁怒，亦不怀怨。
LALDHTF-014	012.嘴巴不歪的李登辉.txt	9	9	yes		知无不言、言无不尽
LALDHTF-015	012.嘴巴不歪的李登辉.txt	13	13	yes		荜路蓝缕，以启山林
LALDHTF-016	012.嘴巴不歪的李登辉.txt	13	13	yes		其诠释之精确、例证之详尽、文笔之练达，足为后学者之规范。
LALDHTF-017	012.嘴巴不歪的李登辉.txt	15	15	yes		晚年生活，其寂寞如古庙孤僧。
LALDHTF-018	012.嘴巴不歪的李登辉.txt	15	15	yes		自奉俭约，不事生产积蓄
LALDHTF-019	020.李登辉啊，不是过渡，而是永远.txt	9	9	yes		名无固宜，约之以命。约定俗成谓之宜，异于约则谓之不宜。
LALDHTF-020	023.李登辉智能障碍得了“蒙古症”.txt	33	33	yes		猪八戒照镜子——里外不是人
LALDHTF-021	030.拆穿对长荣出走问题的欺人之谈.txt	17	17	yes		假使这种刊物突然有一篇文章恭维我，我便会因此而怀疑自己的人格，感到不安的。他们骂我，我倒觉得这是很自然的，没有什么。
LALDHTF-022	030.拆穿对长荣出走问题的欺人之谈.txt	21	21	yes		观人于其所友
LALDHTF-023	030.拆穿对长荣出走问题的欺人之谈.txt	23	23	yes		三千宠爱在一身
LALDHTF-024	034.李登辉想拖人下水.txt	33	43	yes		如果青蛙耐不住寂寞，
又算死水叫出了歌声。
这是一沟绝望的死水，
这里断不是美的所在，
不如让给丑恶来开垦，
看他造出个什么世界。
LALDHTF-025	034.李登辉想拖人下水.txt	121	121	yes		问渠哪得清如许，为有源头活水来
