id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LAQSJ-001,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,5,5,可爱的废话,李敖情书格言,李敖新序,以戏谑短语概括情书的本质。,
LAQSJ-002,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,5,5,纸上罗曼斯,西方人物语,萧伯纳语意,新序转述萧伯纳关于情书的说法。,
LAQSJ-003,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,5,5,聪明人绝不骂别人情书肉麻,李敖情书格言,李敖新序,谈读他人情书时应有的宽容。,
LAQSJ-004,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,7,7,情海余韵，亦堪“快然自足”,李敖情书格言,李敖新序,以《兰亭集序》成语说明旧情书的余味。,
LAQSJ-005,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,9,9,快然自足,古文名句,王羲之《兰亭集序》,新序借《兰亭集序》写情感满足。,
LAQSJ-006,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,9,9,情随事迁，感慨系之矣！,古文名句,王羲之《兰亭集序》,新序引用《兰亭集序》中情随事迁的感叹。,
LAQSJ-007,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,9,9,俯仰之间，已为陈迹,古文名句,王羲之《兰亭集序》,新序用作情书成为旧迹的说明。,
LAQSJ-008,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,9,9,不能不以之兴怀,古文名句,王羲之《兰亭集序》,新序以此说明重读旧情书的兴怀。,
LAQSJ-009,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,11,11,我只见甜甜的回忆，不见淡淡的哀愁,李敖情书格言,李敖新序,以甜蜜回忆取代滥情哀愁的爱情态度。,
LAQSJ-010,李敖情书集,《李敖情书集》新序,001.《李敖情书集》新序.txt,11,11,太上忘情,传统成语,传统情感成语,新序用来形容一种洒脱的爱情风度。,
LAQSJ-011,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,17,17,用现代化的水准与情调，开展现代化的爱情,李敖爱情格言,李敖原序,原序提出爱情也要走向现代化。,
LAQSJ-012,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,17,17,迷恋秋雨梧桐，何如春江水暖？感叹难乎为继，何如独起楼台？,李敖爱情格言,李敖原序,用对仗句式批评旧式感伤爱情。,
LAQSJ-013,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,21,21,爱情是不盲目的,李敖爱情格言,李敖原序,原序概括李敖反盲目爱情的主张。,
LAQSJ-014,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,23,23,爱情是盲目的,西方爱情俗语,Love is blind,原序先引西方爱情俗语再加以反驳。,
LAQSJ-015,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,23,23,爱情该像《三国演义》中张飞的眼睛，一天二十四小时，除了眨眼，连睡觉都是睁着的。,李敖爱情格言,李敖原序,以张飞眼睛比喻清醒的恋爱。,
LAQSJ-016,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,25,25,睁着眼睛的恋爱才是真的恋爱,李敖爱情格言,李敖原序,原序强调恋爱应保持清醒判断。,
LAQSJ-017,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,25,25,西施不该只出在情人眼里,李敖爱情格言,李敖原序,改写俗语，反对只靠情人眼光制造美。,
LAQSJ-018,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,25,25,爱情应该知道对方的优点与缺点,李敖爱情格言,李敖原序,强调爱情应认识对方全貌。,
LAQSJ-019,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,27,27,爱情是不痛苦的——它是纯快乐,李敖爱情格言,李敖原序,原序主张爱情本质是纯快乐。,
LAQSJ-020,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,29,29,男欢女爱是人类最大的快乐，这种快乐，是纯快乐，不该掺进别的，尤其不该掺进痛苦。,李敖爱情格言,李敖原序,阐述爱情不应与痛苦混同。,
LAQSJ-021,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,31,33,"爱情的代价是痛苦，
爱情的方法是忍受痛苦。",现代人物题句,胡适题扇语,原序引胡适关于爱情代价与方法的题句。,
LAQSJ-022,李敖情书集,《李敖情书集》原序,002.《李敖情书集》原序.txt,35,35,真正的第一流的人，是不为爱情痛苦的,李敖爱情格言,李敖原序,原序以第一流人的标准排除爱情痛苦。,
