file	line	quoteText	markers	political	previous	context	next
001.《你不知道的二二八》序（一）李敖.txt	1	你不知道的二二八		political-context		《你不知道的二二八》序（一） 李敖	
001.《你不知道的二二八》序（一）李敖.txt	3	蒋介石评传		political-context		在蒋介石死后二十年之日，李敖和汪荣祖出版了一本《蒋介石评传》，诛奸宄于既死、发史德之幽光；在二二八事件五十年之日，李敖和陈境圳出版了一本《你不知道的二二八》，为本省人立心、为外省人立命、为二二八开绝学、为台湾岛开太平。	
001.《你不知道的二二八》序（一）李敖.txt	3	你不知道的二二八		political-context		在蒋介石死后二十年之日，李敖和汪荣祖出版了一本《蒋介石评传》，诛奸宄于既死、发史德之幽光；在二二八事件五十年之日，李敖和陈境圳出版了一本《你不知道的二二八》，为本省人立心、为外省人立命、为二二八开绝学、为台湾岛开太平。	
001.《你不知道的二二八》序（一）李敖.txt	9	蒋中正闻报即派兵		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	歧视台民		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	罪		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	歧视		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	其言也善		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	最后我要代陈仪说句公道话，二二八的账都记陈的头上，是不公平的。……部队军风纪欠佳，引起台人反感，陈仪素重纪律、军容，故坚持撤走驻台之破烂叫化兵，因陈坚拒驻军，汤恩伯、林蔚等苦苦劝说，徐学禹也从旁力劝，……须驻军防变。陈仪说，我以至诚爱护台人，台人绝不会仇我，万一有意外，我愿做吴凤。大家建议由他最心爱的李良荣军驻防，陈说：‘我信任李良荣，但不欢迎他的叫化兵。		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	9	维持治安力量		political-context		第一条错路是国民党对二二八的导向。国民党从不准谈二二八，到头疼医头、脚疼医脚式的谈二二八，一直陷入解释上的困境，它的基调只是两点：一、维护蒋介石；二、一切推给陈仪。这一基调从蒋介石枪毙陈仪就预设了，五十年来，一直照预设发展，最后闹到二二八纪念碑文之争，在列不列入蒋介石的名字上讨价还价，其实最后碑文修正为“蒋中正闻报即派兵”也修正错了，因为这并非蒋介石的真正罪过。蒋介石真正罪过不在派兵，以当时情况，设身处地，世界任何统治者都会派兵。蒋介石真正罪过在派了陈仪主台，却又派了其他派系挖陈仪墙脚。另一方面，他又认同了陈仪信任台湾人的好心肠，同意把风纪不良的六十二军...	
001.《你不知道的二二八》序（一）李敖.txt	11	共党煽惑暴动		political-context		第二条错路是共产党对二二八的导向。国民党除了把一切推给自己人陈仪外，也附带临门一脚，把责任推给敌人共产党。有好长一段时间，国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。”这种宣称，又何其与事实不符！但是共产党哪管这些，党之常情，都要归功于己，何况拜国民党之赐，礼物送上门呢！	
001.《你不知道的二二八》序（一）李敖.txt	11	二二八纪念会		political-context		第二条错路是共产党对二二八的导向。国民党除了把一切推给自己人陈仪外，也附带临门一脚，把责任推给敌人共产党。有好长一段时间，国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。”这种宣称，又何其与事实不符！但是共产党哪管这些，党之常情，都要归功于己，何况拜国民党之赐，礼物送上门呢！	
001.《你不知道的二二八》序（一）李敖.txt	11	二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。		political-context		第二条错路是共产党对二二八的导向。国民党除了把一切推给自己人陈仪外，也附带临门一脚，把责任推给敌人共产党。有好长一段时间，国民党把二二八的原因，归咎于“共党煽惑暴动”。共产党也乐得顺水人情，也就居之不疑，大接起漏油来。一九七五年二月北京召开“二二八纪念会”，共产党巨头廖成志宣称：“二二八事件是中国人民在毛主席和中国共产党领导下，反帝反封建反官僚资本主义的新民主主义的一部分。”这种宣称，又何其与事实不符！但是共产党哪管这些，党之常情，都要归功于己，何况拜国民党之赐，礼物送上门呢！	
001.《你不知道的二二八》序（一）李敖.txt	13	台湾精英们		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	台湾精英们		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	台独		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	二二八事件研究报告		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	大溪档案		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	张镇呈蒋主席3月5日报告		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
001.《你不知道的二二八》序（一）李敖.txt	13	外省人之被袭击而伤亡者，总数在八百人以上		political-context		第三条错路是“台湾精英们”对二二八的导向。“台湾精英们”包括“台独”分子、民进党、学者教授以及受难者家属等等。这些人的心情是悲怆的，悲怆得令人同情，但是因悲怆就觉得自己有权利背离真相，则对历史而言，其不公道，却跟国民党共产党相同。不幸的是，他们却陷入这一情境而不能自拔，相激相荡之下，二二八碑文中竟看不到一丝一毫外省人伤亡的痕迹，这公道吗？再以李登辉指示《二二八事件研究报告》为例，在该报告附件中，明明“大溪档案”第49页有“张镇呈蒋主席3月5日报告”，明载到3月5日止，“外省人之被袭击而伤亡者，总数在八百人以上”，但在该报告正文中，却为何视而不见，全给抹杀...	
