id	source_file	line_start	line_end	quote_text	source_found	political_hits	summary	notes
LAKYHX001	001.9月19日神州文化之旅第一天.txt	25	25	孔雀东南飞	yes		李敖在返乡行程开头借古诗题名转化方向意象，说自己从东南海岛飞回西北故土。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX002	001.9月19日神州文化之旅第一天.txt	25	25	西北有高楼	yes		李敖承接“向西北飞”的说法，借汉乐府题名说明此行回到西北方向的文化原乡。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX003	001.9月19日神州文化之旅第一天.txt	55	55	如今我回来了，你们看便不一样了	yes		李敖在抵达北京前引用纽曼归来之语，说明自己此行“回来”后会带来不同的观看和意味。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。 校对轮补入：全书引文线索复核时补入，句子本体为归来主题的非政治格言。
LAKYHX004	002.9月20日神州文化之旅第二天.txt	109	115	考古虽然多有舛，临池何碍是其长。一千文抚精神蕴，八百年腾纸墨光。	yes		李敖介绍自己将捐给故宫的乾隆题跋，书中连排出这首跋诗的四句。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。 校对轮补入：首轮未扫到分行诗，按原文四句合并收入。
LAKYHX005	002.9月20日神州文化之旅第二天.txt	229	229	为者长成，行者长至	yes		李敖在太平路小学黑板题写此句，勉励做事和行路都要靠持续推进而成就。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX006	002.9月20日神州文化之旅第二天.txt	233	233	虽有智慧，不如乘势；虽有镃基，不如待时	yes		李敖在母校题写并说明此句，强调才智和工具还要配合时势与时机。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX007	002.9月20日神州文化之旅第二天.txt	263	263	往事如烟，永远新鲜；前程似锦，气象万千	yes		李敖为自己就读过的小学题词，把旧日记忆和未来祝愿并置成联语。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX008	003.9月21日神州文化之旅第三天.txt	17	17	演讲的时候不能用稿子	yes		李敖引用庇护十二世的话，说明演讲若依赖稿子就难以让听众记住。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。 校对轮补入：全书引文线索复核时补入，句子本体谈演讲方法，非政治语录。
LAKYHX009	003.9月21日神州文化之旅第三天.txt	63	63	富贵不能淫，贫贱不能移，威武不能屈	yes		李敖引用孟子大丈夫名句，借以说明人格操守不因境遇与压力而转移。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
LAKYHX010	003.9月21日神州文化之旅第三天.txt	77	77	今夜扁舟来诀汝	yes		李敖谈王安石悼亡诗时引用此句，说明离别诀绝的感情力度。	首轮保守收入：本书为神州文化之旅行程与演讲实录，现代政见、两岸论断、党派口号、国族/宪政判断、政治人物语录和媒体串场不收；只取李敖本人引用或题写，且句子本体可独立成立的古典诗文、题词、成语俗谚、歌谣、文学格言和非政治人生格言。
