action	file	line_range	quote_or_candidate	reason
add	011.3月的日记.txt	297-297	莲生淤泥中，不与泥同调。食莲谁不甘？知味良独少。	全库同句归为黄庭坚诗句。
add	013.欲看湖光不自由.txt	17-17	取法乎上，仅得其中	首轮漏收传统古训。
exclude	011.3月的日记.txt	171	这很可能，因为我的智慧每天都在增加。	现代公共人物演说轶语，暂不作为本书诗文格言保留。
exclude	011.3月的日记.txt	179	苛政猛于虎	此处紧贴查禁与出版压迫语境，本书暂不重复补入。
exclude	012.4月的日记.txt	249-259	五十开始，音容宛在；百年以后，尸骨无存。 / 六亲不认，专心写作；四面树敌，一意孤行。	电话戏联，作者与归属不宜作外部引用。
exclude	012.4月的日记.txt	263	但见旧人笑，哪闻新人哭	李敖化用古句，非外部原句。
exclude	012.4月的日记.txt	327	爱国不在得众人之欢心。真爱国者认清是非……	总统与爱国语境，作为公共政治语录排除。
exclude	014.夺魄的代价.txt	35-41	昨日成今日，今日气何如？……	李敖自作且依附当日公共事件。
exclude	015.垦丁随记.txt	17	青天白日你在做梦 / 我愿死在他乡做鬼魔	戏曲台词被当场转作时事讽喻，暂不收。
exclude	017.李登辉对谁而发.txt	7	民无信不立	整篇围绕现代公共人物与公开承诺，暂不收。
